iter  res_double64      res_float32      res_posit32q
   0  1.144351e+02  1.144351e+02  1.144351e+02
   1  6.364604e+01  6.364599e+01  6.364605e+01
   2  1.123264e+02  1.123264e+02  1.123264e+02
   3  1.453903e+02  1.453902e+02  1.453904e+02
   4  1.390536e+02  1.390535e+02  1.390538e+02
   5  1.187826e+02  1.187825e+02  1.187827e+02
   6  1.156515e+02  1.156513e+02  1.156517e+02
   7  2.441487e+02  2.441484e+02  2.441482e+02
   8  2.211204e+02  2.211196e+02  2.211202e+02
   9  1.458639e+02  1.458634e+02  1.458627e+02
  10  9.247759e+01  9.247745e+01  9.247796e+01
  11  2.485670e+02  2.485665e+02  2.485674e+02
  12  2.685871e+02  2.685867e+02  2.685847e+02
  13  1.652931e+02  1.652930e+02  1.652918e+02
  14  1.754159e+02  1.754159e+02  1.754170e+02
  15  1.835460e+02  1.835460e+02  1.835451e+02
  16  4.084951e+02  4.084954e+02  4.084931e+02
  17  3.603673e+02  3.603675e+02  3.603647e+02
  18  2.336197e+02  2.336196e+02  2.336192e+02
  19  1.366001e+02  1.365999e+02  1.365993e+02
  20  1.196740e+02  1.196748e+02  1.196741e+02
  21  8.309411e+01  8.309232e+01  8.309485e+01
  22  9.450551e+01  9.450989e+01  9.450316e+01
  23  8.697126e+01  8.696595e+01  8.697197e+01
  24  6.986652e+01  6.987286e+01  6.986016e+01
  25  6.090479e+01  6.088883e+01  6.091981e+01
  26  6.219351e+01  6.221115e+01  6.218160e+01
  27  7.165680e+01  7.168297e+01  7.157087e+01
  28  7.940346e+01  7.936693e+01  8.001155e+01
  29  6.802373e+01  6.886557e+01  6.812166e+01
  30  1.073304e+02  1.058137e+02  1.144630e+02
  31  1.040381e+02  1.003407e+02  8.506473e+01
  32  1.001285e+02  9.264416e+01  9.657223e+01
  33  6.866013e+01  7.205159e+01  7.207917e+01
  34  6.988048e+01  7.431321e+01  7.637667e+01
  35  7.576863e+01  8.304428e+01  8.107518e+01
  36  7.791522e+01  7.380388e+01  7.385690e+01
  37  7.814401e+01  7.765440e+01  7.743133e+01
  38  6.962287e+01  8.445564e+01  8.327410e+01
  39  4.618133e+01  7.025236e+01  7.489035e+01
  40  7.425191e+01  3.837244e+01  3.653272e+01
  41  4.002041e+01  7.551666e+01  7.968391e+01
  42  4.774281e+01  4.393192e+01  5.177779e+01
  43  6.257527e+01  5.034965e+01  9.108010e+01
  44  4.166440e+01  9.721436e+01  1.500540e+02
  45  3.685356e+01  1.210788e+02  1.107588e+02
  46  3.198307e+01  9.590873e+01  6.257618e+01
  47  9.851764e+01  7.190860e+01  3.580594e+01
  48  1.506609e+02  7.939886e+01  9.051113e+01
  49  1.200672e+02  1.702230e+02  1.573210e+02
  50  7.954653e+01  9.163161e+01  9.589243e+01
  51  6.362472e+01  1.104138e+02  1.100218e+02
  52  1.080806e+02  7.540100e+01  7.490200e+01
  53  9.075601e+01  8.348617e+01  8.143931e+01
  54  5.496575e+01  1.219500e+02  1.024893e+02
  55  8.607001e+01  7.756492e+01  8.078000e+01
  56  1.044776e+02  4.896604e+01  5.498664e+01
  57  6.432985e+01  8.337217e+01  9.264564e+01
  58  4.472457e+01  1.127331e+02  1.140945e+02
  59  3.371596e+01  9.920988e+01  9.654559e+01
  60  9.761370e+01  6.123878e+01  4.778061e+01
  61  1.982500e+02  3.439465e+01  3.505669e+01
  62  1.412399e+02  4.415983e+01  4.103931e+01
  63  7.154846e+01  4.372002e+01  4.865303e+01
  64  5.944448e+01  5.214927e+01  5.293737e+01
  65  9.185683e+01  6.872879e+01  1.193838e+02
  66  8.297610e+01  8.066712e+01  7.482864e+01
  67  5.619803e+01  8.065874e+01  6.682066e+01
  68  4.457326e+01  7.637529e+01  2.369664e+02
  69  1.786285e+02  1.309374e+02  9.862342e+01
  70  8.263470e+01  6.427474e+01  8.671839e+01
  71  5.419107e+01  1.018978e+02  3.719926e+01
  72  2.905584e+01  8.055998e+01  8.508346e+01
  73  2.634545e+01  7.957799e+01  7.298535e+01
  74  1.777798e+01  2.660988e+01  3.040070e+01
  75  2.416083e+01  5.006380e+01  4.872290e+01
  76  1.460246e+01  3.837990e+01  3.442957e+01
  77  2.388174e+01  5.562213e+01  5.777429e+01
  78  1.378575e+01  2.676812e+01  3.190070e+01
  79  9.781466e+00  6.457432e+01  6.478080e+01
  80  1.073037e+01  1.888653e+01  1.791732e+01
  81  2.403674e+01  2.904941e+01  2.949224e+01
  82  3.158120e+01  2.230549e+01  2.197829e+01
  83  3.766311e+01  3.468214e+01  3.428687e+01
  84  3.041785e+01  8.350616e+00  8.458727e+00
  85  3.243253e+01  1.227211e+01  1.065366e+01
  86  4.160997e+01  4.435788e+01  4.676079e+01
  87  4.006142e+01  3.803014e+01  3.988537e+01
  88  4.209720e+01  5.051103e+01  4.982525e+01
  89  3.276924e+01  2.949774e+01  3.730413e+01
  90  2.771909e+01  3.609415e+01  4.165944e+01
  91  3.538710e+01  6.872828e+01  1.463104e+02
  92  3.348925e+01  6.414115e+01  1.708115e+02
  93  3.530630e+01  9.887028e+01  8.880030e+01
  94  2.190873e+01  4.984543e+01  4.301822e+01
  95  1.815018e+01  1.443681e+02  6.764884e+01
  96  1.321171e+01  3.302848e+01  3.099701e+01
  97  8.999553e+00  3.080526e+01  2.413650e+01
  98  3.352387e+01  4.852697e+01  3.915281e+01
  99  2.564965e+01  2.266062e+01  3.305094e+01
 100  5.144643e+01  5.280337e+01  3.102362e+01
 101  1.816628e+01  2.061020e+01  2.733748e+01
 102  4.329135e+01  1.893058e+01  1.967284e+01
 103  3.480013e+01  1.539785e+01  1.389927e+01
 104  9.779812e+00  1.552677e+01  1.562938e+01
 105  5.591658e+00  1.227216e+01  1.294655e+01
 106  1.294894e+01  1.195992e+01  1.269026e+01
 107  6.813215e+00  2.194317e+01  1.687889e+01
 108  5.513394e+00  1.693128e+01  1.842897e+01
 109  5.911967e+00  1.690754e+01  1.346603e+01
 110  1.164607e+00  1.416804e+01  2.176750e+01
 111  9.865241e-02  2.336519e+01  3.033230e+01
 112  1.581357e+00  2.656374e+01  2.106951e+01
 113  1.191968e+00  1.389705e+01  8.568663e+00
 114  1.262224e-01  5.838450e+00  6.016685e+00
 115  1.246259e-01  6.754739e+00  1.389995e+01
 116  2.915967e-01  8.480468e+00  4.170767e+01
 117  5.329466e-01  7.457687e+00  1.658954e+01
 118  2.134332e-01  8.834710e+00  4.724874e+00
 119  9.818204e-02  1.292205e+01  6.186410e+00
 120  1.275629e-01  6.723578e+00  6.926010e+00
 121  7.668302e-01  3.896901e+00  7.939428e+00
 122  4.122416e-01  1.112108e+00  1.714686e+00
 123  7.712720e-03  6.472209e-01  7.400821e-01
 124  1.683230e-02  3.889588e-01  6.910280e-01
 125  1.610617e-02  7.983347e-01  3.080639e-01
 126  2.833260e-02  2.757002e-01  1.588104e+00
 127  5.654436e-02  4.628519e-01  1.450136e+00
 128  1.333517e-02  3.088211e-01  6.138744e-01
 129  1.013321e-03  4.280258e+00  1.521031e+00
 130  9.364741e-04  4.092279e+00  1.474626e+00
 131  3.190935e-04  6.873486e-01  3.202237e-01
 132  5.015747e-05  1.220701e+00  1.563516e-01
 133  1.856712e-04  3.808182e-01  1.037599e-01
 134  2.241846e-05  1.856158e-01  1.621703e-01
 135  7.721850e-05  2.141322e-01  2.015631e-01
 136  4.517961e-05  1.452454e-01  5.093614e-01
 137  8.714707e-05  1.240334e-01  7.545255e-01
 138  1.648314e-04  1.452129e-01  5.759264e-01
 139  2.302522e-04  4.597604e-01  2.018979e-01
 140  7.755249e-05  3.955875e-01  1.069582e-01
 141  1.980133e-05  3.115848e-01  6.670097e-02
 142  1.190725e-05  1.522845e-01  1.268321e-01
 143  1.045378e-05  7.537947e-02  1.136002e-01
 144  9.661336e-06  8.772884e-02  5.989410e-02
 145  9.756459e-06  1.606048e-01  6.430284e-02
 146  1.051572e-05  8.981491e-02  4.538983e-02
 147  1.322067e-05  8.271199e-02  3.508415e-02
 148  8.742094e-06  1.156168e-01  2.852694e-02
 149  1.681798e-05  6.526037e-02  1.278681e-02
 150  9.884200e-06  8.440759e-02  8.353573e-03
 151  4.810208e-06  6.359455e-02  5.188306e-03
 152  3.355328e-06  3.483447e-02  1.127849e-02
 153  3.168450e-06  2.449496e-02  1.870913e-02
 154  2.633233e-06  1.140424e-02  1.713413e-02
 155  2.668130e-06  8.808096e-03  1.660731e-02
 156  2.360014e-06  6.906042e-03  1.387997e-02
 157  2.056652e-06  1.060445e-02  7.579976e-03
 158  2.079506e-06  3.165053e-02  6.440312e-03
 159  2.085155e-06  1.951939e-02  7.003068e-03
 160  1.754016e-06  1.043768e-02  3.256674e-03
 161  6.438685e-06  1.102980e-02  8.231146e-03
 162  7.623021e-06  8.405281e-03  5.130269e-03
 163  6.124345e-06  8.738578e-03  1.684164e-03
 164  6.462215e-06  8.127529e-03  9.319050e-04
 165  8.278885e-06  8.096162e-03  1.684812e-03
 166  8.659293e-06  4.177357e-03  1.024175e-03
 167  7.537367e-06  3.231706e-03  5.531451e-04
 168  3.892200e-06  4.152252e-03  2.846792e-04
 169  1.918093e-06  3.275064e-03  1.804411e-04
 170  2.046841e-06  1.344815e-03  3.200542e-04
 171  1.403562e-06  2.581697e-03  1.371177e-04
 172  8.390031e-07  2.273779e-03  6.826771e-05
 173  5.016319e-07  8.475334e-04  1.005367e-04
 174  4.346596e-07  9.374736e-04  7.854188e-05
 175  7.617986e-07  3.832328e-04  5.126145e-05
 176  9.584991e-07  2.366419e-04  4.177186e-05
 177  9.019405e-07  8.572711e-05  5.710873e-05
 178  2.624430e-07  7.737463e-05  4.289615e-05
 179  1.023599e-07  1.105453e-04  5.511340e-05
 180  2.282037e-08  1.201280e-04  7.377760e-05
 181  5.563794e-08  8.582662e-05  2.989619e-05
 182  2.624053e-08  7.054444e-05  1.689343e-04
 183  2.072276e-08  1.355167e-04  9.311526e-05
 184  1.325786e-08  1.715929e-04  1.069888e-04
 185  7.868908e-09  2.834074e-04  4.563671e-04
 186  8.395970e-09  1.762078e-04  3.125380e-04
 187  5.412609e-09  2.159639e-04  1.809973e-04
 188  1.514047e-09  3.617559e-04  1.451729e-04
 189  1.596832e-09  4.250832e-04  1.686052e-04
 190  1.323758e-09  6.765919e-04  1.574697e-04
 191  4.178229e-10  8.310155e-04  1.185434e-04
 192  4.205778e-10  2.025854e-04  8.018674e-05
 193  4.636281e-10  1.075722e-04  2.861859e-05
 194  1.827902e-10  1.214541e-04  1.955442e-05
 195  1.945121e-10  1.603732e-04  2.785305e-05
 196  3.081104e-10  1.361118e-04  2.546618e-05
 197  1.342820e-10  7.603002e-05  2.298290e-05
 198  9.515000e-11  5.537200e-05  1.866336e-05
 199  1.054300e-10  9.209529e-05  1.488958e-05
 200  1.053191e-10  8.582080e-05  1.569522e-05
 201  5.575085e-11  8.278521e-05  1.780869e-05
 202  5.253355e-11  6.206900e-05  1.509541e-05
 203  2.201223e-11  5.202005e-05  1.498316e-05
 204  7.406764e-12  5.550638e-05  5.415060e-06
 205  4.199287e-12  6.225398e-05  6.983706e-06
 206  1.555811e-11  6.764715e-05  2.022566e-05
 207  1.912506e-11  6.458981e-05  3.062066e-05
 208  1.839661e-12  7.714410e-05  3.171397e-05
 209  1.517391e-12  1.728270e-04  1.120550e-05
 210  1.903676e-12  1.339444e-04  6.237231e-05
 211  7.591361e-13  1.250418e-04  3.277955e-05
 212  4.903799e-13  1.284693e-04  5.339011e-05
 213  6.094451e-13  1.788165e-04  2.439212e-05
 214  3.244095e-13  2.508370e-04  3.943321e-05
 215  1.533630e-13  1.881173e-04  2.798475e-05
 216  2.011312e-13  1.028141e-04  2.216996e-05
 217  3.788043e-13  2.913045e-04  2.001634e-05
 218  1.650257e-13  1.231307e-04  1.756085e-05
 219  4.939705e-14  1.188896e-04  1.814571e-05
 220  4.340362e-14  1.455426e-04  2.238510e-05
 221  4.853488e-14  1.738283e-04  2.486532e-05
 222  6.799519e-14  2.197122e-04  2.966606e-05
 223  3.154305e-15  1.379357e-04  2.223497e-05
 224  9.849248e-15  6.066792e-05  5.516110e-05
 225  1.140608e-14  6.187182e-05  5.709091e-05
 226  4.010503e-15  8.553202e-05  1.691524e-05
 227  7.294018e-15  8.641203e-05  4.879280e-05
 228  2.842273e-15  1.730411e-04  6.122952e-05
 229  8.390395e-15  1.805928e-04  9.848783e-05
 230  1.229025e-14  1.533423e-04  3.211465e-05
 231  3.891351e-15  9.314325e-05  9.866472e-05
 232  2.891882e-15  1.295552e-04  6.435593e-05
 233  2.138891e-15  1.339054e-04  2.084471e-05
 234  4.257542e-15  6.463427e-05  5.284117e-05
 235  4.417800e-16  4.552584e-05  4.291804e-05
 236  1.519818e-15  7.375419e-05  6.278500e-05
 237  2.926169e-15  1.414643e-05  1.513497e-05
 238  1.596751e-15  1.115637e-05  1.009284e-05
 239  1.047880e-15  1.132206e-05  6.225249e-06
 240  1.015430e-15  1.053571e-05  1.276024e-05
 241  8.830705e-16  1.934171e-05  1.589367e-05
 242  1.446631e-15  2.435814e-05  1.916549e-05
 243  3.106342e-16  9.091808e-06  1.767445e-05
 244  2.634644e-16  2.266292e-06  1.926471e-05
 245  4.651676e-16  1.380484e-06  1.495419e-05
 246  2.055699e-15  1.147955e-06  8.390604e-06
 247  2.061881e-15  1.086922e-06  1.513971e-05
 248  2.653628e-16  2.583281e-06  7.290000e-06
 249  1.334150e-16  2.109851e-06  9.611584e-06
 250  6.272577e-17  2.101865e-06  3.218128e-05
 251  4.097826e-17  3.162576e-06  1.777154e-05
 252  6.481671e-18  2.762903e-06  5.996459e-06
 253  1.668701e-18  4.619625e-06  7.045855e-06
 254  9.828313e-19  1.088629e-06  2.359909e-06
 255  8.392504e-19  1.202082e-06  2.460525e-06
