iter  res_double64      res_float32      res_posit32q
   0  4.113322e+01  4.113320e+01  4.113322e+01
   1  7.629371e+01  7.629360e+01  7.629371e+01
   2  5.911008e+01  5.911000e+01  5.911008e+01
   3  6.800802e+01  6.800796e+01  6.800802e+01
   4  1.052173e+02  1.052171e+02  1.052173e+02
   5  9.613786e+01  9.613771e+01  9.613787e+01
   6  5.973933e+01  5.973923e+01  5.973934e+01
   7  5.733520e+01  5.733508e+01  5.733522e+01
   8  9.223871e+01  9.223852e+01  9.223873e+01
   9  1.042016e+02  1.042015e+02  1.042016e+02
  10  7.704557e+01  7.704555e+01  7.704558e+01
  11  5.102723e+01  5.102722e+01  5.102724e+01
  12  4.513905e+01  4.513905e+01  4.513905e+01
  13  6.221275e+01  6.221277e+01  6.221276e+01
  14  7.509987e+01  7.509990e+01  7.509988e+01
  15  6.104414e+01  6.104419e+01  6.104415e+01
  16  4.743294e+01  4.743296e+01  4.743295e+01
  17  3.347272e+01  3.347275e+01  3.347273e+01
  18  2.788361e+01  2.788364e+01  2.788361e+01
  19  2.649040e+01  2.649045e+01  2.649040e+01
  20  3.144626e+01  3.144631e+01  3.144626e+01
  21  3.151043e+01  3.151050e+01  3.151043e+01
  22  2.181585e+01  2.181586e+01  2.181586e+01
  23  1.971948e+01  1.971951e+01  1.971947e+01
  24  2.640955e+01  2.640962e+01  2.640954e+01
  25  2.317156e+01  2.317161e+01  2.317155e+01
  26  2.642405e+01  2.642419e+01  2.642404e+01
  27  3.209001e+01  3.209009e+01  3.209000e+01
  28  3.068372e+01  3.068373e+01  3.068371e+01
  29  2.020741e+01  2.020722e+01  2.020744e+01
  30  1.754218e+01  1.754210e+01  1.754220e+01
  31  1.679089e+01  1.679087e+01  1.679089e+01
  32  1.451245e+01  1.451238e+01  1.451246e+01
  33  1.432743e+01  1.432741e+01  1.432743e+01
  34  1.889552e+01  1.889552e+01  1.889551e+01
  35  1.737731e+01  1.737730e+01  1.737731e+01
  36  1.659975e+01  1.659977e+01  1.659974e+01
  37  1.754586e+01  1.754579e+01  1.754586e+01
  38  1.521581e+01  1.521576e+01  1.521581e+01
  39  1.200836e+01  1.200832e+01  1.200837e+01
  40  1.323077e+01  1.323074e+01  1.323078e+01
  41  1.384212e+01  1.384210e+01  1.384212e+01
  42  1.272170e+01  1.272170e+01  1.272170e+01
  43  1.352251e+01  1.352249e+01  1.352251e+01
  44  1.381736e+01  1.381731e+01  1.381736e+01
  45  1.075078e+01  1.075077e+01  1.075078e+01
  46  1.077539e+01  1.077532e+01  1.077539e+01
  47  1.451934e+01  1.451923e+01  1.451935e+01
  48  1.427289e+01  1.427296e+01  1.427288e+01
  49  9.749423e+00  9.749505e+00  9.749417e+00
  50  7.206345e+00  7.206314e+00  7.206345e+00
  51  6.896982e+00  6.896983e+00  6.896983e+00
  52  6.306092e+00  6.306131e+00  6.306092e+00
  53  5.991029e+00  5.991052e+00  5.991030e+00
  54  6.939232e+00  6.939230e+00  6.939230e+00
  55  6.464127e+00  6.464185e+00  6.464119e+00
  56  5.506068e+00  5.506092e+00  5.506063e+00
  57  5.815933e+00  5.815918e+00  5.815931e+00
  58  6.973156e+00  6.973191e+00  6.973154e+00
  59  6.984347e+00  6.984389e+00  6.984346e+00
  60  5.995406e+00  5.995411e+00  5.995408e+00
  61  5.970706e+00  5.970709e+00  5.970704e+00
  62  6.566239e+00  6.566278e+00  6.566232e+00
  63  5.054220e+00  5.054246e+00  5.054218e+00
  64  4.782256e+00  4.782272e+00  4.782253e+00
  65  6.388680e+00  6.388693e+00  6.388680e+00
  66  6.992125e+00  6.992141e+00  6.992125e+00
  67  5.481146e+00  5.481160e+00  5.481144e+00
  68  4.947610e+00  4.947633e+00  4.947608e+00
  69  4.816017e+00  4.816034e+00  4.816020e+00
  70  4.355173e+00  4.355180e+00  4.355170e+00
  71  3.310641e+00  3.310650e+00  3.310637e+00
  72  2.730197e+00  2.730205e+00  2.730198e+00
  73  3.021624e+00  3.021627e+00  3.021629e+00
  74  2.528696e+00  2.528698e+00  2.528694e+00
  75  1.819396e+00  1.819400e+00  1.819392e+00
  76  1.565318e+00  1.565312e+00  1.565320e+00
  77  1.381870e+00  1.381862e+00  1.381871e+00
  78  1.307731e+00  1.307720e+00  1.307730e+00
  79  1.199780e+00  1.199768e+00  1.199783e+00
  80  1.763277e+00  1.763266e+00  1.763278e+00
  81  1.692491e+00  1.692511e+00  1.692475e+00
  82  1.145049e+00  1.145067e+00  1.145034e+00
  83  8.134367e-01  8.134047e-01  8.134514e-01
  84  7.620127e-01  7.619743e-01  7.620307e-01
  85  7.275367e-01  7.276196e-01  7.274761e-01
  86  7.639102e-01  7.639981e-01  7.638404e-01
  87  8.307423e-01  8.304304e-01  8.309058e-01
  88  7.313512e-01  7.311648e-01  7.314347e-01
  89  7.292965e-01  7.296418e-01  7.290733e-01
  90  6.996489e-01  6.996629e-01  6.996062e-01
  91  5.871975e-01  5.867313e-01  5.873396e-01
  92  5.296786e-01  5.296733e-01  5.295655e-01
  93  5.808474e-01  5.811136e-01  5.806348e-01
  94  4.942450e-01  4.937836e-01  4.943102e-01
  95  4.113541e-01  4.110229e-01  4.114565e-01
  96  3.473704e-01  3.479133e-01  3.472425e-01
  97  3.429032e-01  3.422623e-01  3.426422e-01
  98  3.275188e-01  3.264553e-01  3.276065e-01
  99  2.558663e-01  2.555278e-01  2.558890e-01
 100  2.781625e-01  2.765406e-01  2.767707e-01
 101  3.743776e-01  3.681502e-01  3.706988e-01
 102  3.068083e-01  3.057546e-01  3.074770e-01
 103  2.144191e-01  2.143475e-01  2.122103e-01
 104  2.155698e-01  2.187261e-01  2.153177e-01
 105  1.987009e-01  2.011145e-01  1.999425e-01
 106  1.688001e-01  1.663811e-01  1.667137e-01
 107  2.135102e-01  2.019227e-01  2.021888e-01
 108  2.580848e-01  2.641705e-01  2.628596e-01
 109  1.549791e-01  1.622090e-01  1.618105e-01
 110  1.052588e-01  1.066061e-01  1.063969e-01
 111  1.313393e-01  1.299660e-01  1.298202e-01
 112  1.314089e-01  1.318699e-01  1.318528e-01
 113  1.082205e-01  1.092618e-01  1.092564e-01
 114  1.145771e-01  1.129817e-01  1.129723e-01
 115  1.279898e-01  1.296149e-01  1.295705e-01
 116  8.348656e-02  9.006460e-02  9.003206e-02
 117  5.796817e-02  5.842222e-02  5.843297e-02
 118  7.273394e-02  7.107672e-02  7.109533e-02
 119  7.757778e-02  7.503030e-02  7.503828e-02
 120  7.666015e-02  7.436733e-02  7.436960e-02
 121  8.082721e-02  8.370302e-02  8.371329e-02
 122  8.396420e-02  8.393507e-02  8.395459e-02
 123  7.310535e-02  7.428387e-02  7.433799e-02
 124  6.414879e-02  6.409464e-02  6.424600e-02
 125  6.818799e-02  6.830545e-02  6.861291e-02
 126  7.365981e-02  7.225794e-02  7.252234e-02
 127  7.258006e-02  7.124777e-02  7.133721e-02
 128  6.673769e-02  7.008833e-02  7.008081e-02
 129  6.471526e-02  6.302694e-02  6.393810e-02
 130  6.784844e-02  6.545562e-02  6.652079e-02
 131  5.799304e-02  6.133379e-02  6.071519e-02
 132  5.037037e-02  5.085395e-02  5.083862e-02
 133  6.829020e-02  5.918615e-02  6.453865e-02
 134  7.086547e-02  7.231724e-02  7.240230e-02
 135  6.427455e-02  6.507737e-02  6.415461e-02
 136  7.349644e-02  7.133089e-02  7.248937e-02
 137  5.071323e-02  5.761425e-02  5.345662e-02
 138  2.868333e-02  3.582471e-02  3.344542e-02
 139  2.895863e-02  2.670483e-02  2.725143e-02
 140  5.559530e-02  4.605431e-02  4.866246e-02
 141  6.011946e-02  6.244207e-02  6.148778e-02
 142  3.813914e-02  4.431113e-02  4.287476e-02
 143  3.727425e-02  3.505591e-02  3.508483e-02
 144  4.224803e-02  4.044647e-02  4.007025e-02
 145  2.963896e-02  3.549824e-02  3.499041e-02
 146  2.276166e-02  2.360724e-02  2.354354e-02
 147  3.104044e-02  2.812767e-02  2.811747e-02
 148  3.592987e-02  3.617607e-02  3.608783e-02
 149  2.123696e-02  2.644655e-02  2.642657e-02
 150  1.725097e-02  1.750768e-02  1.752228e-02
 151  2.973570e-02  2.664640e-02  2.659757e-02
 152  3.450124e-02  3.541146e-02  3.538363e-02
 153  2.339106e-02  2.559750e-02  2.561245e-02
 154  2.916198e-02  2.618283e-02  2.616273e-02
 155  4.312945e-02  3.928301e-02  3.912273e-02
 156  2.636329e-02  3.371837e-02  3.394544e-02
 157  1.329893e-02  1.506273e-02  1.517326e-02
 158  1.613297e-02  1.306385e-02  1.281769e-02
 159  2.841899e-02  2.318055e-02  2.298961e-02
 160  2.456974e-02  2.861854e-02  2.871313e-02
 161  1.437415e-02  1.588449e-02  1.605230e-02
 162  1.213146e-02  1.141312e-02  1.135579e-02
 163  1.651083e-02  1.454343e-02  1.446689e-02
 164  1.888101e-02  1.936716e-02  1.916589e-02
 165  1.704152e-02  1.720008e-02  1.719446e-02
 166  1.340710e-02  1.409084e-02  1.432526e-02
 167  1.228318e-02  1.241904e-02  1.236474e-02
 168  1.206206e-02  1.309704e-02  1.290639e-02
 169  9.732495e-03  1.043436e-02  1.055676e-02
 170  8.282228e-03  7.968940e-03  8.392989e-03
 171  1.141244e-02  9.867816e-03  9.708838e-03
 172  1.477475e-02  1.480140e-02  1.483182e-02
 173  9.998952e-03  1.165480e-02  1.201819e-02
 174  8.231443e-03  7.865865e-03  8.020551e-03
 175  1.005646e-02  9.806371e-03  9.764520e-03
 176  9.502646e-03  1.054568e-02  1.047324e-02
 177  5.083305e-03  5.878273e-03  5.993930e-03
 178  4.886482e-03  4.407732e-03  4.332546e-03
 179  6.258382e-03  6.157989e-03  6.029860e-03
 180  5.262158e-03  5.809419e-03  5.997461e-03
 181  2.240024e-03  2.806311e-03  3.207680e-03
 182  1.937491e-03  1.794744e-03  1.787955e-03
 183  3.608219e-03  2.766301e-03  2.791472e-03
 184  5.016315e-03  4.544643e-03  5.051016e-03
 185  3.045598e-03  3.688125e-03  3.921432e-03
 186  2.309980e-03  2.884012e-03  2.482077e-03
 187  2.401497e-03  2.448492e-03  2.414095e-03
 188  2.572829e-03  2.071477e-03  2.534589e-03
 189  2.075170e-03  2.195189e-03  2.266318e-03
 190  1.811334e-03  2.330896e-03  1.965598e-03
 191  2.075187e-03  1.769503e-03  1.933872e-03
 192  3.550530e-03  2.414920e-03  2.987815e-03
 193  3.024567e-03  3.206354e-03  3.483768e-03
 194  1.291263e-03  2.680837e-03  2.061133e-03
 195  1.101595e-03  1.562152e-03  1.084128e-03
 196  1.747788e-03  1.162263e-03  1.374161e-03
 197  1.954806e-03  1.222528e-03  1.929544e-03
 198  9.789572e-04  1.623352e-03  1.420304e-03
 199  5.235709e-04  1.395894e-03  6.968154e-04
 200  7.505847e-04  8.307608e-04  6.512589e-04
 201  1.161772e-03  5.545632e-04  7.573724e-04
 202  8.885021e-04  7.157612e-04  8.600577e-04
 203  6.272995e-04  8.463516e-04  9.422797e-04
 204  7.497745e-04  7.991641e-04  7.714833e-04
 205  8.496498e-04  8.522403e-04  5.901811e-04
 206  4.464272e-04  7.112465e-04  6.158035e-04
 207  3.017945e-04  4.513772e-04  6.279278e-04
 208  5.481375e-04  4.725771e-04  4.510465e-04
 209  1.036013e-03  5.719542e-04  3.810213e-04
 210  6.678553e-04  5.407773e-04  6.259805e-04
 211  3.865754e-04  4.459885e-04  9.118295e-04
 212  4.057086e-04  6.404547e-04  5.818795e-04
 213  6.830927e-04  8.400562e-04  4.076245e-04
 214  5.213503e-04  5.669615e-04  4.307996e-04
 215  2.389823e-04  3.829666e-04  4.079550e-04
 216  2.021210e-04  4.151739e-04  3.894013e-04
 217  3.061537e-04  3.427378e-04  4.239244e-04
 218  2.531955e-04  3.130516e-04  3.138491e-04
 219  1.841347e-04  3.793811e-04  1.975549e-04
 220  2.369832e-04  2.948885e-04  1.591160e-04
 221  3.574759e-04  1.809682e-04  2.595739e-04
 222  1.806908e-04  1.510428e-04  2.761864e-04
 223  9.355858e-05  2.630730e-04  2.291329e-04
 224  1.221440e-04  3.024062e-04  2.198911e-04
 225  1.708696e-04  2.289715e-04  1.923613e-04
 226  9.404103e-05  1.673165e-04  1.292114e-04
 227  4.093630e-05  1.410824e-04  1.215374e-04
 228  4.141163e-05  1.031850e-04  1.169197e-04
 229  6.719396e-05  9.255897e-05  8.091766e-05
 230  5.809404e-05  9.827003e-05  5.864200e-05
 231  3.230102e-05  7.852030e-05  7.629173e-05
 232  2.759059e-05  5.025190e-05  7.236989e-05
 233  3.431586e-05  5.741536e-05  3.759461e-05
 234  1.671247e-05  5.830185e-05  3.208873e-05
 235  8.199217e-06  3.567853e-05  3.439952e-05
 236  6.845719e-06  2.959209e-05  3.457691e-05
 237  1.041485e-05  3.194209e-05  3.520190e-05
 238  6.854925e-06  2.968301e-05  2.843078e-05
 239  2.668139e-06  2.597362e-05  1.366965e-05
 240  1.853372e-06  1.983563e-05  7.567256e-06
 241  3.975381e-06  1.120743e-05  7.160272e-06
 242  5.026462e-06  6.243817e-06  6.730003e-06
 243  3.065687e-06  5.154504e-06  4.867952e-06
 244  2.127857e-06  5.097909e-06  4.830767e-06
 245  3.353051e-06  4.136010e-06  4.225783e-06
 246  3.206882e-06  4.048210e-06  2.685844e-06
 247  1.687884e-06  3.910596e-06  2.250174e-06
 248  1.487195e-06  2.450615e-06  3.331747e-06
 249  2.102312e-06  2.072133e-06  3.191998e-06
 250  1.039173e-06  3.290652e-06  2.681239e-06
 251  4.318997e-07  3.829423e-06  3.058334e-06
 252  4.807119e-07  2.877218e-06  3.591841e-06
 253  9.365173e-07  2.276431e-06  2.130091e-06
 254  8.328936e-07  2.666598e-06  1.670862e-06
 255  3.616088e-07  2.180814e-06  1.591065e-06
 256  1.776964e-07  1.586251e-06  1.125027e-06
 257  1.523885e-07  1.182519e-06  9.000991e-07
 258  1.758865e-07  1.095660e-06  1.133205e-06
 259  8.331497e-08  9.746012e-07  9.322720e-07
 260  6.546110e-08  7.948965e-07  5.911632e-07
 261  7.617672e-08  6.207220e-07  3.515715e-07
 262  5.357162e-08  5.275773e-07  4.103858e-07
 263  3.510453e-08  3.856979e-07  5.379047e-07
 264  2.007456e-08  4.152283e-07  5.130210e-07
 265  1.010607e-08  5.214845e-07  2.883214e-07
 266  4.790213e-09  3.525242e-07  1.842689e-07
 267  3.964041e-09  2.071646e-07  1.521452e-07
 268  5.846440e-09  1.908064e-07  9.775505e-08
 269  5.273795e-09  1.623680e-07  5.233927e-08
 270  4.068500e-09  9.569588e-08  4.499780e-08
 271  3.487248e-09  7.922693e-08  4.764844e-08
 272  2.264133e-09  7.643143e-08  3.193898e-08
 273  1.470346e-09  5.077967e-08  2.372617e-08
 274  1.705276e-09  2.738101e-08  2.410725e-08
 275  1.764541e-09  1.972050e-08  1.383997e-08
 276  1.189376e-09  1.759876e-08  8.568397e-09
 277  7.430775e-10  1.283926e-08  9.248426e-09
 278  8.302410e-10  1.224283e-08  6.398476e-09
 279  5.728105e-10  1.472726e-08  3.197450e-09
 280  3.030703e-10  1.134960e-08  2.582381e-09
 281  2.815403e-10  9.313412e-09  3.455766e-09
 282  2.483348e-10  8.892907e-09  2.931696e-09
 283  1.817885e-10  1.002426e-08  1.643851e-09
 284  2.175617e-10  1.389895e-08  1.724939e-09
 285  2.596381e-10  1.884176e-08  2.407452e-09
 286  1.406915e-10  2.336289e-08  1.588760e-09
 287  5.305340e-11  2.801130e-08  1.130750e-09
 288  4.075732e-11  2.538374e-08  1.176322e-09
 289  5.164330e-11  1.929924e-08  8.926624e-10
 290  3.845762e-11  1.677131e-08  5.890381e-10
 291  2.498002e-11  1.977294e-08  5.024627e-10
 292  2.170057e-11  1.568284e-08  6.688343e-10
 293  1.268663e-11  1.593161e-08  9.320044e-10
 294  5.306095e-12  2.230417e-08  1.094349e-09
 295  2.800427e-12  2.299158e-08  9.334234e-10
 296  2.629107e-12  1.485019e-08  7.864768e-10
 297  1.973347e-12  9.020379e-09  1.070234e-09
 298  7.307609e-13  8.513250e-09  1.043536e-09
 299  3.138011e-13  6.236634e-09  1.076793e-09
 300  2.715625e-13  3.986968e-09  1.679029e-09
 301  2.060268e-13  4.094578e-09  1.576786e-09
 302  1.560873e-13  5.617329e-09  9.185590e-10
 303  1.732335e-13  4.383401e-09  9.184438e-10
 304  1.302853e-13  2.247529e-09  1.152131e-09
 305  7.410392e-14  1.396752e-09  9.146316e-10
 306  3.692619e-14  2.136585e-09  7.168942e-10
 307  2.304737e-14  2.353487e-09  9.432964e-10
 308  1.361044e-14  1.636571e-09  8.692866e-10
