matrix,arm,n_seeds,n_breakdown,mean_rel,std_rel,median_rel,mean_errA,mean_iters,n_converged
bcsstk03,f32_naive,50,0,0.000677559,0.000432308,0.000559128,2.020005506,221.5,50
bcsstk03,f32_fma,50,0,0.000703683,0.00036376,0.000646178,2.08987373,226.32,50
bcsstk03,p32_naive,50,0,0.015335142,0.010793827,0.014984523,45.46792139,254.22,50
bcsstk03,p32_quire,50,0,0.016868187,0.011287265,0.013726931,49.9885227,251.58,50
nos2,f32_naive,50,0,0.326377868,0.052516986,0.329472191,2426.730564,300,0
nos2,f32_fma,50,0,0.326375072,0.052512933,0.329428611,2426.63584,300,0
nos2,p32_naive,50,0,0.32730523,0.05173873,0.330223373,2444.497906,300,0
nos2,p32_quire,50,0,0.327790596,0.052118974,0.328788044,2449.212221,300,0
mhd4800b,f32_naive,50,0,0.00017401,0.000131092,0.000123459,9.73E-07,39.56,50
mhd4800b,f32_fma,50,0,0.000163999,0.000135402,0.000123357,9.48E-07,39.56,50
mhd4800b,p32_naive,50,0,0.000678569,0.000666257,0.000449041,1.77E-07,39.4,50
mhd4800b,p32_quire,50,0,0.00070752,0.00066067,0.000439291,1.77E-07,39,50
bcsstk14,f32_naive,50,0,0.00011286,4.56E-05,0.0001021,1.05931829,300,0
bcsstk14,f32_fma,50,0,0.000112464,4.46E-05,0.000100837,1.053569447,300,0
bcsstk14,p32_naive,50,0,0.000259704,6.78E-05,0.000253823,7.506740784,300,0
bcsstk14,p32_quire,50,0,0.00026319,7.64E-05,0.00025697,7.658870086,300,0
sts4098,f32_naive,50,0,9.35E-05,3.71E-05,9.00E-05,0.096057765,300,0
sts4098,f32_fma,50,0,9.33E-05,3.53E-05,9.06E-05,0.095886274,300,0
sts4098,p32_naive,50,0,0.000424201,0.000480306,0.000305372,0.45494949,300,0
sts4098,p32_quire,50,0,0.000424959,0.000486408,0.000286941,0.443744158,300,0
nasa4704,f32_naive,50,0,0.142359308,0.026486925,0.143959805,75.7367026,300,0
nasa4704,f32_fma,50,0,0.142365157,0.026484576,0.144074747,75.73862254,300,0
nasa4704,p32_naive,50,0,0.142572829,0.026489767,0.144785292,75.97059014,300,0
nasa4704,p32_quire,50,0,0.141975166,0.02654698,0.144007762,75.37292536,300,0
bodyy4,f32_naive,50,0,1.28E-06,6.66E-08,1.28E-06,0.000324011,193.5,50
bodyy4,f32_fma,50,0,1.28E-06,6.77E-08,1.27E-06,0.00032393,193.5,50
bodyy4,p32_naive,50,0,2.55E-07,2.10E-08,2.53E-07,4.51E-05,193.26,50
bodyy4,p32_quire,50,0,2.59E-07,2.05E-08,2.58E-07,4.56E-05,193.5,50
