comparison,matrix,n,ratio,ci95_lo,ci95_hi,ci90_lo,ci90_hi,cohens_d,wilcoxon_p,tost_p_5pct,tost_p_10pct,tost_p_20pct
posit32 quire vs naive relative solution error,bcsstk03,50,0.989837507,0.843510918,1.161547848,0.866171164,1.131160135,-0.01814691,0.908597822,0.315059107,0.145153216,0.017761707
posit32 quire vs naive relative solution error,nos2,50,1.001290159,0.998871112,1.003715064,0.999271589,1.003312806,0.151486147,0.181254764,4.23E-39,2.17E-53,2.85E-67
posit32 quire vs naive relative solution error,mhd4800b,50,1.080358535,0.835963059,1.396203518,0.872258037,1.338106977,0.085651135,0.788752952,0.587900135,0.444154218,0.207255259
posit32 quire vs naive relative solution error,bcsstk14,50,1.02624174,0.981996612,1.072480389,0.989194731,1.064676221,0.167041519,0.201034738,0.150893011,0.001333243,2.07E-09
posit32 quire vs naive relative solution error,sts4098,50,1.058501952,0.996734929,1.124096637,1.006715891,1.112951918,0.268738394,0.093204085,0.605677568,0.102363212,5.73E-05
posit32 quire vs naive relative solution error,nasa4704,50,0.995876953,0.99493604,0.996818755,0.995091906,0.996662619,-1.242183283,3.00E-13,1.63E-57,1.16E-72,6.55E-87
posit32 quire vs naive relative solution error,POOLED,300,1.024801605,0.974311206,1.077908499,0.982297285,1.0691451,0.055093974,0.543972695,0.172416163,0.003085497,1.26E-09
float32 fma vs naive relative solution error IEEE control,bcsstk03,50,1.063507943,0.952156754,1.187881238,0.969769015,1.166307777,0.158219279,0.357187072,0.59134873,0.27135289,0.016503628
float32 fma vs naive relative solution error IEEE control,nos2,50,0.999992336,0.999930187,1.00005449,0.999940486,1.00004419,-0.035043124,0.420722863,2.92E-117,1.64E-131,2.57E-145
float32 fma vs naive relative solution error IEEE control,mhd4800b,50,0.952994204,0.842950361,1.077403837,0.860266212,1.055717335,-0.111515795,0.774053178,0.495815615,0.221781705,0.016370871
float32 fma vs naive relative solution error IEEE control,bcsstk14,50,0.999419558,0.977076848,1.022273176,0.980744623,1.018450094,-0.007298203,0.977103228,4.26E-05,2.19E-11,1.46E-21
float32 fma vs naive relative solution error IEEE control,sts4098,50,1.003775514,0.979967037,1.028162422,0.983873146,1.024080478,0.044614867,0.645875957,0.00022048,3.13E-10,3.47E-20
float32 fma vs naive relative solution error IEEE control,nasa4704,50,1.000036561,0.999848579,1.000224578,0.999879729,1.000193417,0.055269647,0.901017992,1.07E-93,5.94E-108,9.27E-122
float32 fma vs naive relative solution error IEEE control,bodyy4,50,0.998511001,0.989730645,1.007369251,0.991180359,1.005895859,-0.04794701,0.781393475,8.31E-15,9.14E-27,5.82E-40
float32 fma vs naive relative solution error IEEE control,POOLED,350,1.002167052,0.978806658,1.026084969,0.982541182,1.02218494,0.009648733,0.693713876,6.05E-05,4.51E-14,5.40E-40
posit32 quire vs naive same-width run,bcsstk03,50,1.148179966,0.955012251,1.380419185,0.984615378,1.33891595,0.213180318,0.09709385,0.83286235,0.678947457,0.316127457
posit32 quire vs naive same-width run,nos2,50,1.001394889,0.998847482,1.003948792,0.999269187,1.003525113,0.155528624,0.237352988,5.45E-38,2.82E-52,3.67E-66
posit32 quire vs naive same-width run,mhd4800b,50,0.990317846,0.781368788,1.255142836,0.812665072,1.206806433,-0.011667905,0.946606199,0.370939652,0.235730044,0.074847454
posit32 quire vs naive same-width run,bcsstk14,50,1.007739614,0.96446244,1.052958712,0.971503609,1.045327182,0.049917878,1,0.032977806,0.00010322,9.75E-11
posit32 quire vs naive same-width run,sts4098,50,1.000344735,0.934565861,1.070753417,0.945159728,1.058751828,0.001440148,0.855748317,0.079343988,0.003590515,1.05E-06
posit32 quire vs naive same-width run,nasa4704,50,0.995640923,0.994746843,0.996535806,0.994894953,0.996387451,-1.381953872,1.56E-13,1.77E-58,1.10E-73,5.80E-88
posit32 quire vs naive same-width run,bodyy4,50,1.014049427,0.995488177,1.032956759,0.99854047,1.029799264,0.214630471,0.237352988,0.000206748,4.93E-12,7.30E-24
posit32 quire vs naive same-width run,POOLED,350,1.021292106,0.977850791,1.066663314,0.984737545,1.059203613,0.050956651,0.718821776,0.105277988,0.000433898,1.00E-12
posit32 vs float32 both naive ratio gt1 means posit32 worse,bcsstk03,50,19.8998811,15.67910206,25.25688436,16.31090036,24.27856579,3.565456761,1.78E-15,1,1,1
posit32 vs float32 both naive ratio gt1 means posit32 worse,nos2,50,1.003201343,0.998792837,1.007629308,0.999522068,1.006894163,0.206251893,0.085793414,2.85E-26,2.10E-40,2.40E-54
posit32 vs float32 both naive ratio gt1 means posit32 worse,mhd4800b,50,3.237408601,2.543201603,4.121110351,2.646981392,3.959534617,1.383333873,1.90E-12,1,1,1
posit32 vs float32 both naive ratio gt1 means posit32 worse,bcsstk14,50,2.39204812,2.147786445,2.664088984,2.1864685,2.616957074,2.301153169,5.33E-15,1,1,1
posit32 vs float32 both naive ratio gt1 means posit32 worse,sts4098,50,3.501416723,2.824146927,4.341105255,2.926565269,4.189183544,1.656792545,3.38E-14,1,1,1
posit32 vs float32 both naive ratio gt1 means posit32 worse,nasa4704,50,1.001486977,1.000453893,1.002521127,1.00062502,1.002349675,0.409153487,0.006525205,7.13E-57,2.11E-71,2.36E-85
posit32 vs float32 both naive ratio gt1 means posit32 worse,bodyy4,50,0.1993273,0.19465865,0.204107922,0.195424704,0.20330783,-19.33930273,1.78E-15,1,1,1
posit32 vs float32 both naive ratio gt1 means posit32 worse,POOLED,350,1.952194701,1.680100676,2.26835463,1.721315199,2.214042001,0.468529569,1.95E-16,1,1,1
