matrix,width,reduction,n_seeds,mean_max_ratio,std_max_ratio,min_max_ratio,max_max_ratio,median_max_ratio,mean_med_ratio,std_med_ratio,mean_conv_iter
bcsstk03,p8,pAp,50,0.505882084,0.364421489,0.060412869,1.469695883,0.389161325,1.869080376,0.302343723,141.04
bcsstk03,p8,rz,50,0.192707193,0.184744982,0.043785589,0.752327299,0.110360023,2.098459851,0.41953577,141.04
bcsstk03,p16,pAp,50,5.68246088,3.838422955,1.689073556,20.32980958,4.889004928,3.265573691,0.60337761,141.04
bcsstk03,p16,rz,50,5.808397989,2.694681098,1.801903006,12.81526826,5.080279327,5.958702441,0.976930673,141.04
bcsstk03,p32,pAp,50,13.35402978,13.65924711,1.392391807,82.97190202,10.20174537,3.370796782,0.616457449,141.04
bcsstk03,p32,rz,50,12.24909959,10.54855936,1,52.5416958,9.33719528,4.093735041,0.750423808,141.04
nos2,p8,pAp,50,0.707801723,0.165647601,0.413869229,1.322454811,0.687365045,2.592484486,0.280666691,300
nos2,p8,rz,50,0.37936077,0.048837066,0.31536207,0.489358628,0.363704114,2.816299336,0.299951178,300
nos2,p16,pAp,50,5.07564453,3.760649033,2.569020557,20.05905474,3.652918688,32.93264063,4.181433402,300
nos2,p16,rz,50,4.695840853,3.93675642,2.515243014,23.50102352,3.428449569,116.7531523,11.98074037,300
nos2,p32,pAp,50,27.60058021,28.95062223,3.657702866,163.9801739,17.75375765,12.09300443,1.031636462,300
nos2,p32,rz,50,23.78626607,20.79877237,4.781608766,108.2267663,16.4131712,15.08379225,1.461106491,300
mhd4800b,p8,pAp,50,1,0,1,1,1,0.374969047,0.495690619,37
mhd4800b,p8,rz,50,1,0,1,1,1,0.37026309,0.147992762,37
mhd4800b,p16,pAp,50,0.683693627,0.261016857,0.33888584,1.272247508,0.605997686,69.30885489,19.0621143,37
mhd4800b,p16,rz,50,0.827651576,0.314759126,0.316619069,1.620254909,0.803373862,81.64862142,37.8011903,37
mhd4800b,p32,pAp,50,370.5173458,171.2703529,151.6852367,1092.297885,330.2919263,54.46008639,30.7081411,37
mhd4800b,p32,rz,50,542.0166557,194.79653,229.9219805,1004.05346,504.9250782,135.6407561,78.74622411,37
bcsstk14,p8,pAp,50,0.381050491,0.083433076,0.263645121,0.574355843,0.36624566,7.652366772,0.812738411,300
bcsstk14,p8,rz,50,0.367730143,0.071084191,0.256619511,0.550790487,0.355352613,7.392992569,0.919736389,300
bcsstk14,p16,pAp,50,12.00914738,7.626502207,5.294858965,49.36685115,9.698617537,65.36317505,9.672978339,300
bcsstk14,p16,rz,50,6.808345675,3.062618944,3.934960262,15.04736678,5.490574631,187.325206,35.27447562,300
bcsstk14,p32,pAp,50,30.96093862,27.15171517,3.642381246,138.5272451,21.83371604,16.4151131,1.60037388,300
bcsstk14,p32,rz,50,74.66183117,43.91682803,6.955611313,228.278929,65.17542141,20.17151319,2.13939951,300
sts4098,p8,pAp,50,0.52526343,0.162169182,0.331894722,0.912078624,0.447173693,11.57119809,0.881385369,300
sts4098,p8,rz,50,0.462157376,0.128753085,0.305243356,1,0.432506359,15.02299126,1.485175857,300
sts4098,p16,pAp,50,20.04270966,11.34168519,7.747464799,65.60411509,16.7007289,288.9504504,31.24420529,300
sts4098,p16,rz,50,25.24067684,12.52822429,6.389371049,58.8260642,21.38596989,491.7317418,42.91487591,300
sts4098,p32,pAp,50,443.377025,294.7763163,173.6377176,1642.381601,341.1173231,35.25605463,3.406950748,300
sts4098,p32,rz,50,430.0116068,190.4016514,181.4831629,933.4785151,384.3004029,43.82380532,3.793602709,300
nasa4704,p8,pAp,50,0.523237232,0.149248646,0.327670694,0.845334082,0.493395334,8.344245182,0.580751253,300
nasa4704,p8,rz,50,0.417638056,0.063112974,0.32400161,0.568665656,0.41117122,11.07794841,0.854047869,300
nasa4704,p16,pAp,50,21.36380404,10.86555675,5.87734336,57.54190413,21.93298151,171.0991776,20.02160124,300
nasa4704,p16,rz,50,30.21411831,12.66814043,12.29874867,62.09497274,27.47130412,531.7440535,34.79243033,300
nasa4704,p32,pAp,50,259.6216717,164.4240238,82.8064292,812.0378198,212.1092057,30.95117475,2.856805262,300
nasa4704,p32,rz,50,249.3138586,132.8537148,79.59637526,699.9260134,213.1628097,38.02301603,3.390626236,300
bodyy4,p8,pAp,50,0.902926412,0.141341853,0.534673678,1.00000042,1,2.806815657,0.142221743,192.5
bodyy4,p8,rz,50,1,0,1,1,1,3.111562104,0.18671567,192.5
bodyy4,p16,pAp,50,3.298011554,0.216616866,3.000168246,3.785422106,3.22256501,511.7109809,77.97107114,192.5
bodyy4,p16,rz,50,3.287914741,0.187457471,3.002588474,3.72901314,3.254810751,726.9802814,117.5400719,192.5
bodyy4,p32,pAp,50,81.39965259,26.99474253,40.78619911,193.4010712,73.88411784,66.65650886,14.66386638,192.5
bodyy4,p32,rz,50,338.86365,70.70328013,215.2358145,538.7970078,334.0751312,91.74506728,24.03377425,192.5
bcsstk38,p8,pAp,50,0.396507109,0.091622072,0.274691314,0.782291978,0.382591728,6.663015552,0.76119594,300
bcsstk38,p8,rz,50,0.362796258,0.038519837,0.308841989,0.487740153,0.347168914,7.248846021,1.003891492,300
bcsstk38,p16,pAp,50,8.337935565,3.997896153,3.43196519,21.95598753,7.583765147,199.4987031,25.16201109,300
bcsstk38,p16,rz,50,10.65465102,5.961059701,3.428376343,28.62894468,9.839728231,541.8856362,68.82932941,300
bcsstk38,p32,pAp,50,35.58097158,20.78483881,9.703928357,129.2002892,31.99083779,32.71993957,3.085287776,300
bcsstk38,p32,rz,50,64.79058453,41.47971003,12.87225816,223.2478918,54.23830426,35.98556257,4.207354158,300
bcsstk37,p8,pAp,50,0.393583652,0.033890706,0.342618087,0.462449421,0.387651001,8.209622348,0.733556475,300
bcsstk37,p8,rz,50,0.395253745,0.035018564,0.34769939,0.471897135,0.388616243,9.551918492,0.631497861,300
bcsstk37,p16,pAp,50,25.96317437,9.867249964,12.33782249,52.71006701,24.48268842,612.8901385,38.48185121,300
bcsstk37,p16,rz,50,24.65167513,9.578747761,12.42898252,56.30053562,23.80981895,1237.281717,88.83321357,300
bcsstk37,p32,pAp,50,480.4571846,238.749889,139.4599971,1324.017864,434.1528494,76.36067653,6.686042753,300
bcsstk37,p32,rz,50,822.7600865,259.4667275,472.215695,1780.912318,800.3069951,93.33997499,9.493197988,300
bcsstk36,p8,pAp,50,0.375629451,0.030067192,0.337953871,0.46874886,0.366128176,6.606115867,0.365236524,300
bcsstk36,p8,rz,50,0.3929643,0.02608261,0.353571992,0.451794934,0.390901177,7.878008823,0.535177157,300
bcsstk36,p16,pAp,50,18.67981283,8.665218457,8.819097006,42.57099754,16.59009051,537.0830596,41.62268734,300
bcsstk36,p16,rz,50,25.1975141,10.71365275,11.94837051,54.2806442,22.37022919,1016.527339,80.4563676,300
bcsstk36,p32,pAp,50,190.0320297,80.75159977,72.77682307,448.2613467,187.530922,73.29815134,6.227628623,300
bcsstk36,p32,rz,50,422.6917595,170.3655292,242.2592976,1017.18431,369.6614375,82.85601723,6.976312147,300
nasasrb,p8,pAp,50,0.395327572,0.047622381,0.330270284,0.570523903,0.384297284,4.07939449,0.242033977,300
nasasrb,p8,rz,50,0.365096576,0.017666141,0.337595564,0.410864048,0.364668081,4.612817522,0.208451792,300
nasasrb,p16,pAp,50,6.826110231,1.359156023,4.729070187,11.97306697,6.608342379,503.8422345,32.13949258,300
nasasrb,p16,rz,50,7.035123384,1.645838938,4.804673646,13.20913428,6.885425026,808.5182403,54.52687506,300
nasasrb,p32,pAp,50,2430.563394,1092.827142,1099.635939,5720.631788,2101.429238,99.27600731,8.219392462,300
nasasrb,p32,rz,50,2840.638922,1355.764366,1113.395656,6132.190521,2608.214241,278.852599,27.15065333,300
s3dkt3m2,p8,pAp,50,0.722099328,0.340153918,0.338474688,1.033909532,1.031944938,32.24692379,1.877323867,300
s3dkt3m2,p8,rz,50,0.917673589,0.021036953,0.860714783,0.972770472,0.920732644,29.46232694,1.574425607,300
s3dkt3m2,p16,pAp,50,102.9164103,53.78744222,64.0672145,340.2517274,85.98598057,1814.100738,117.5305763,300
s3dkt3m2,p16,rz,50,110.0713242,36.23188151,62.56210581,199.695944,99.08312269,4999.582389,260.884772,300
s3dkt3m2,p32,pAp,50,1609.765816,688.3479263,779.9142638,4829.244176,1460.295489,151.3345566,11.13308819,300
s3dkt3m2,p32,rz,50,2861.989525,1352.170434,1419.976711,7471.477635,2415.136827,277.1126038,20.84759465,300
s3dkq4m2,p8,pAp,50,0.688347337,0.014039844,0.655750299,0.716945815,0.688637304,35.11511891,1.950444764,300
s3dkq4m2,p8,rz,50,1.180091228,0.00849952,1.128247319,1.188412473,1.181356376,31.54822888,1.576784192,300
s3dkq4m2,p16,pAp,50,151.8504886,58.82035796,63.35444974,275.1067727,137.1812628,2145.161687,163.6641118,300
s3dkq4m2,p16,rz,50,154.7017317,67.66306593,62.43127435,292.1921974,144.744617,5123.237267,284.8415568,300
s3dkq4m2,p32,pAp,50,2819.434018,1322.565253,1057.339154,6622.985045,2439.068427,162.1522531,14.21572277,300
s3dkq4m2,p32,rz,50,3846.788058,1880.634201,1747.567641,10138.41378,3308.635056,304.2643082,23.02224068,300
