matrix       n_seeds  n_valid  solerr_ratio_mean  solerr_ratio_std  solerr_ratio_median pAp_gain_mean  pAp_gain_std 
bcsstk03     50       50       1.1396             0.7566            0.9889              2.3773         3.3742       
bcsstk14     37       37       1.0186             0.2001            1.0099              619.9902       744.9851     
bcsstk36     50       50       1.0000             0.0001            1.0000              2088.4284      10466.9918   
bcsstk37     32       32       1.0001             0.0000            1.0001              1799.7584      2015.3315    
bcsstk38     11       11       1.0062             0.0819            1.0083              1.2936         1.0599       
bodyy4       12       12       0.9761             0.0799            0.9727              465.9051       913.7440     
mhd4800b     11       11       1.6642             1.4268            1.0197              96678.8140     222068.4364  
nasa4704     11       11       0.9518             0.1423            0.9659              40.2526        122.6030     
nasasrb      1        1        1.0008             0.0000            1.0008              23684.6301     0.0000       
nos2         12       12       1.0000             0.3483            0.8533              1.5781         1.2943       
s3dkq4m2     2        1        1.0000             0.0000            1.0000              1278.6373      0.0000       
s3dkt3m2     1        1        1.0000             0.0000            1.0000              40128.9929     0.0000       
sts4098      12       12       0.9550             0.2264            0.9244              2302.5107      3192.9475    
