=== bcsstk01 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual

=== bcsstk02 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual

=== bcsstk03 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	-3.900e-08	3.085e-08	-6.985e-08	-6.103e-08
1	9.043e-08	2.197e-08	6.846e-08	4.468e-08
2	1.985e-07	-1.712e-08	2.157e-07	2.199e-07
3	-1.041e-07	-4.784e-08	-5.630e-08	-4.733e-08
4	-4.959e-08	-4.728e-08	-2.305e-09	1.166e-08
5	-7.029e-08	-6.959e-08	-6.993e-10	2.500e-08
6	-6.903e-08	-5.374e-08	-1.529e-08	-1.011e-08
7	9.191e-08	2.095e-07	-1.176e-07	-8.881e-08
8	0.000e+00	-1.963e-08	1.963e-08	7.977e-09
9	0.000e+00	-3.478e-08	3.478e-08	4.252e-08
10	0.000e+00	-7.754e-08	7.754e-08	9.658e-08
11	1.912e-07	6.218e-08	1.290e-07	1.323e-07
12	1.171e-07	-6.028e-07	7.198e-07	7.428e-07
13	0.000e+00	3.111e-07	-3.111e-07	-3.604e-07
14	-8.255e-08	-1.475e-07	6.493e-08	5.672e-08
15	-6.154e-08	8.124e-08	-1.428e-07	-1.395e-07
16	-1.396e-07	-5.474e-08	-8.489e-08	-4.942e-08
17	-7.592e-08	6.442e-08	-1.403e-07	-1.680e-07
18	0.000e+00	1.002e-07	-1.002e-07	-1.088e-07
19	-1.382e-07	1.038e-08	-1.486e-07	-1.058e-07
20	-9.329e-08	5.355e-08	-1.468e-07	-1.485e-07
21	-7.870e-08	1.444e-08	-9.314e-08	-1.051e-07
22	0.000e+00	6.768e-08	-6.768e-08	-1.158e-07
23	1.023e-07	7.955e-08	2.272e-08	2.129e-08
24	-1.145e-07	-1.488e-07	3.426e-08	5.770e-08
25	0.000e+00	-1.380e-08	1.380e-08	-1.268e-08
26	0.000e+00	3.439e-07	-3.439e-07	-3.127e-07
27	2.491e-07	3.966e-08	2.094e-07	1.555e-07
28	-2.116e-07	-7.227e-08	-1.393e-07	-1.415e-07
29	7.329e-08	8.183e-08	-8.541e-09	-2.702e-08

=== bcsstk05 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual

=== bcsstk14 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	4.767e-08	4.040e-08	7.275e-09	1.050e-08
