iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag
   0  1.7779484469e+04  1.7779069042e+04  1.7779484807e+04  1.7778908853e+04  1.7779068142e+04  1.490456e+13  7.663202e+01
   1  2.0562908548e+04  2.0562074604e+04  2.0562907187e+04  2.0562073047e+04  2.0562080050e+04  7.477036e+12  9.436195e+01
   2  3.4184472104e+04  3.4182845756e+04  3.4184463372e+04  3.4183025495e+04  3.4182855118e+04  8.480698e+12  5.349255e+01
   3  3.6240828646e+04  3.6238758478e+04  3.6240830013e+04  3.6239304188e+04  3.6238784969e+04  1.791213e+13  1.409204e+02
   4  2.5205111734e+04  2.5203399136e+04  2.5205114402e+04  2.5203895572e+04  2.5203405484e+04  2.920514e+12  1.697365e+02
   5  2.4007321491e+04  2.4005430052e+04  2.4007316218e+04  2.4006089894e+04  2.4005451381e+04  4.246603e+13  8.971548e+01
   6  1.7466405915e+04  1.7464734753e+04  1.7466394705e+04  1.7465324732e+04  1.7464757656e+04  1.628028e+12  5.237896e+01
   7  1.3011900362e+04  1.3010536038e+04  1.3011896095e+04  1.3011342744e+04  1.3010548336e+04  9.646752e+12  3.755899e+01
   8  1.2935294953e+04  1.2933686868e+04  1.2935290024e+04  1.2934708655e+04  1.2933707898e+04  1.447777e+13  2.599433e+01
   9  1.4890238635e+04  1.4888371301e+04  1.4890235190e+04  1.4889616248e+04  1.4888387958e+04  3.086943e+13  2.638257e+01
  10  1.4078741962e+04  1.4076836576e+04  1.4078738580e+04  1.4078068049e+04  1.4076851352e+04  2.954853e+12  2.568218e+01
  11  1.3065647523e+04  1.3063930190e+04  1.3065643497e+04  1.3064952813e+04  1.3063940600e+04  2.418097e+13  2.525729e+01
  12  1.4333504550e+04  1.4331470825e+04  1.4333502015e+04  1.4332830007e+04  1.4331479756e+04  9.182061e+13  3.011453e+01
  13  2.0719850333e+04  2.0716891659e+04  2.0719851737e+04  2.0718504965e+04  2.0716891659e+04  6.707954e+12  2.238046e+01
  14  3.7123632457e+04  3.7119158611e+04  3.7123654992e+04  3.7121862022e+04  3.7119125852e+04  3.651999e+12  3.676867e+01
  15  4.3342489874e+04  4.3336375852e+04  4.3342496836e+04  4.3340630360e+04  4.3336408342e+04  7.904300e+13  1.255209e+02
  16  3.9790878378e+04  3.9784875920e+04  3.9790864479e+04  3.9788226600e+04  3.9784945092e+04  3.482990e+13  1.426830e+02
  17  4.1893694264e+04  4.1886863239e+04  4.1893683342e+04  4.1890603433e+04  4.1886753228e+04  3.188596e+12  1.366631e+02
  18  4.9323211225e+04  4.9315898613e+04  4.9323222604e+04  4.9320357501e+04  4.9315527453e+04  4.071237e+15  1.753560e+02
  19  5.0366504281e+04  5.0360189992e+04  5.0366515861e+04  5.0363710110e+04  5.0359986656e+04  1.727944e+13  2.578665e+02
  20  6.3770728277e+04  6.3762350772e+04  6.3770661091e+04  6.3766389642e+04  6.3762250399e+04  2.579988e+13  3.121542e+02
  21  7.5703447042e+04  7.5692552025e+04  7.5703370599e+04  7.5693252117e+04  7.5691253286e+04  4.176026e+11  4.240378e+02
  22  1.0601091476e+05  1.0599580611e+05  1.0601050876e+05  1.0599621186e+05  1.0599554043e+05  1.104186e+14  5.970418e+02
  23  1.0486671826e+05  1.0484953211e+05  1.0486661211e+05  1.0484973721e+05  1.0484754952e+05  6.755576e+12  9.647416e+02
  24  1.2778871143e+05  1.2776303666e+05  1.2779009990e+05  1.2777266212e+05  1.2776407858e+05  3.862870e+12  1.262648e+03
  25  1.6342990476e+05  1.6339836729e+05  1.6343108972e+05  1.6340492232e+05  1.6339836102e+05  2.579362e+13  1.900469e+03
  26  1.5762610348e+05  1.5760292058e+05  1.5763136338e+05  1.5760215389e+05  1.5760458389e+05  1.548434e+14  2.566780e+03
  27  1.7158483196e+05  1.7155399663e+05  1.7158990814e+05  1.7155982821e+05  1.7155282074e+05  3.494445e+12  2.255004e+03
  28  1.9822643132e+05  1.9820320562e+05  1.9823559640e+05  1.9820600580e+05  1.9819211819e+05  3.380545e+12  2.882171e+03
  29  2.1382847924e+05  2.1378458302e+05  2.1383356818e+05  2.1380475699e+05  2.1379053195e+05  2.046545e+13  3.169405e+03
  30  1.6209017401e+05  1.6205798389e+05  1.6209045889e+05  1.6206832100e+05  1.6206046082e+05  6.958337e+12  3.419814e+03
  31  1.8621717487e+05  1.8618051009e+05  1.8621620192e+05  1.8619244479e+05  1.8618922194e+05  3.917408e+12  2.542677e+03
  32  1.5515651743e+05  1.5512432299e+05  1.5515764865e+05  1.5513314849e+05  1.5512874570e+05  7.009063e+12  3.907945e+03
  33  1.7256472883e+05  1.7252643234e+05  1.7256944619e+05  1.7253792274e+05  1.7252898451e+05  5.330807e+12  3.887864e+03
  34  1.7558212382e+05  1.7555563394e+05  1.7558726295e+05  1.7555646804e+05  1.7556119845e+05  8.765782e+12  3.812888e+03
  35  1.9976476187e+05  1.9969955802e+05  1.9976826767e+05  1.9972364651e+05  1.9971335106e+05  1.371877e+12  3.150628e+03
  36  2.2010762538e+05  2.2008926305e+05  2.2010447672e+05  2.2007187073e+05  2.2006353235e+05  1.830748e+14  3.089306e+03
  37  2.4467378520e+05  2.4459712378e+05  2.4463368573e+05  2.4466730417e+05  2.4463214533e+05  2.075267e+12  4.371228e+03
  38  2.3218217959e+05  2.3207723735e+05  2.3208302625e+05  2.3220399528e+05  2.3212949986e+05  2.935990e+12  5.785401e+03
  39  3.2996996019e+05  3.2979843968e+05  3.2980630126e+05  3.3000415765e+05  3.2986816896e+05  1.845501e+12  5.373451e+03
  40  2.7242147780e+05  2.7217173684e+05  2.7228870513e+05  2.7240469094e+05  2.7228969796e+05  1.354985e+13  8.316258e+03
  41  2.8035089060e+05  2.8015708873e+05  2.8018986568e+05  2.8034840404e+05  2.8028209424e+05  1.414031e+12  5.808268e+03
  42  2.3223786523e+05  2.3214322751e+05  2.3213173198e+05  2.3219044762e+05  2.3223383967e+05  5.143867e+12  9.225902e+03
  43  2.2254342921e+05  2.2239422611e+05  2.2247210112e+05  2.2245339445e+05  2.2239093852e+05  5.927861e+12  6.223801e+03
  44  2.0503296166e+05  2.0501245980e+05  2.0496809102e+05  2.0493899283e+05  2.0501985199e+05  1.339180e+13  4.836532e+03
  45  2.0774351179e+05  2.0812301101e+05  2.0767880678e+05  2.0766855069e+05  2.0811725434e+05  2.703659e+13  3.978165e+03
  46  2.0405040911e+05  2.0423291488e+05  2.0398381363e+05  2.0396068013e+05  2.0423167143e+05  3.095431e+12  4.257020e+03
  47  2.1624022940e+05  2.1628795029e+05  2.1616467797e+05  2.1616058505e+05  2.1630396154e+05  8.282040e+11  4.063692e+03
  48  1.7285792029e+05  1.7191855783e+05  1.7279725035e+05  1.7274528319e+05  1.7196197980e+05  6.330627e+12  3.378755e+03
  49  1.7853918778e+05  1.7841986185e+05  1.7849002213e+05  1.7847147913e+05  1.7844288059e+05  9.230183e+12  2.427816e+03
  50  1.7245481250e+05  1.7124212117e+05  1.7239808667e+05  1.7235645594e+05  1.7131366694e+05  9.142159e+11  2.388149e+03
  51  1.7917180091e+05  1.7755425429e+05  1.7910681005e+05  1.7906930091e+05  1.7764937116e+05  2.446139e+12  1.939432e+03
  52  1.6263288400e+05  1.6179265823e+05  1.6256856670e+05  1.6256493851e+05  1.6188580192e+05  4.429215e+11  2.118158e+03
  53  1.4450124120e+05  1.4289890133e+05  1.4445876079e+05  1.4437242507e+05  1.4298514563e+05  5.286095e+13  2.119560e+03
  54  1.3622799008e+05  1.3543442682e+05  1.3618550360e+05  1.3614399154e+05  1.3548880869e+05  1.084755e+12  1.883728e+03
  55  1.0677716797e+05  1.0648036905e+05  1.0674647468e+05  1.0673304388e+05  1.0649733172e+05  1.439788e+11  1.689657e+03
  56  9.1616987322e+04  9.1602787731e+04  9.1687142479e+04  9.1643485922e+04  9.1613147004e+04  1.751036e+11  9.790683e+02
  57  1.0645583495e+05  1.0743092024e+05  1.0746497640e+05  1.0748029743e+05  1.0679131650e+05  6.742312e+11  7.741633e+02
  58  1.2083217815e+05  1.2519210608e+05  1.2617989139e+05  1.2483983774e+05  1.2274139683e+05  3.770576e+12  1.218555e+03
  59  1.3695361076e+05  1.4657134629e+05  1.4944546799e+05  1.4797896153e+05  1.4172065549e+05  9.403119e+12  1.498531e+03
  60  1.4767837247e+05  1.5515081777e+05  1.5828264906e+05  1.5603625261e+05  1.5226417128e+05  1.605213e+13  1.971466e+03
  61  1.0909609833e+05  1.1171364536e+05  1.1334159681e+05  1.1250967006e+05  1.1065177551e+05  7.906333e+11  2.485043e+03
  62  1.3932743883e+05  1.4212880603e+05  1.4299393263e+05  1.4220552293e+05  1.4075330862e+05  1.706290e+12  1.230634e+03
  63  1.5864507069e+05  1.5952414358e+05  1.5987676534e+05  1.5907779028e+05  1.5879322827e+05  1.065827e+12  1.392167e+03
  64  1.2562994062e+05  1.2559049747e+05  1.2578265038e+05  1.2460351302e+05  1.2579990410e+05  2.217101e+12  1.331211e+03
  65  1.0390127732e+05  1.0430092586e+05  1.0396082462e+05  1.0214488220e+05  1.0481668264e+05  3.464828e+11  1.019710e+03
  66  9.6548075531e+04  1.0773870614e+05  1.0200933479e+05  9.7286905018e+04  1.0538442967e+05  5.524456e+11  8.465114e+02
  67  1.0619408458e+05  1.1676678103e+05  1.1523341738e+05  1.0592941590e+05  1.1481161642e+05  4.975303e+11  1.042805e+03
  68  1.0733227406e+05  1.1420696441e+05  1.1468114265e+05  1.0402943583e+05  1.1536419410e+05  4.215906e+12  1.083219e+03
  69  1.1532630059e+05  1.2540634242e+05  1.2919258827e+05  1.1857733746e+05  1.2591509622e+05  2.134438e+11  9.602028e+02
  70  1.2949277668e+05  1.3910560109e+05  1.4208230629e+05  1.3579358265e+05  1.4123598680e+05  7.501620e+12  1.283841e+03
  71  1.5468479519e+05  1.3954399794e+05  1.3726840790e+05  1.3748510924e+05  1.4552630399e+05  2.034230e+11  1.600764e+03
  72  1.4615715951e+05  1.3740846204e+05  1.2909940654e+05  1.3205729666e+05  1.3172159343e+05  3.611224e+13  1.584656e+03
  73  1.7356655916e+05  1.4295222005e+05  1.3425436681e+05  1.3692063733e+05  1.4253592434e+05  3.144224e+11  1.489263e+03
  74  1.6771282912e+05  1.4980996773e+05  1.3629794376e+05  1.3566152327e+05  1.5576613280e+05  1.070762e+11  1.153841e+03
  75  1.3508633201e+05  1.4269276870e+05  1.3373409127e+05  1.2344795412e+05  1.6788180223e+05  1.793028e+11  1.354631e+03
  76  1.0826334635e+05  1.2869163143e+05  9.2525763072e+04  1.1962159858e+05  1.4055830893e+05  7.240851e+10  1.825647e+03
  77  1.2123538819e+05  1.1901765382e+05  9.7242519095e+04  1.1879799918e+05  1.2023785281e+05  8.098922e+11  1.704182e+03
  78  1.2581688584e+05  1.2617109400e+05  1.2046826610e+05  1.2906228004e+05  1.2730971470e+05  6.448631e+10  1.065493e+03
  79  1.0342456871e+05  1.0730786215e+05  1.1121793237e+05  1.1275216234e+05  1.1253390458e+05  4.779581e+11  8.561063e+02
  80  9.1731597665e+04  7.4797195242e+04  8.5503089816e+04  8.5710600698e+04  8.3176852165e+04  5.458735e+11  5.950011e+02
