iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag
   0  3.5710805383e+03  3.5710589466e+03  3.5710816289e+03  3.5709903388e+03  3.5710589466e+03  8.146405e+07  9.005677e+01
   1  1.1230051284e+04  1.1229979519e+04  1.1230049688e+04  1.1229818877e+04  1.1229981656e+04  5.908571e+08  2.526607e+01
   2  4.4671246604e+03  4.4670807022e+03  4.4671261455e+03  4.4669837698e+03  4.4670820454e+03  3.261408e+08  1.037424e+02
   3  5.6841863641e+03  5.6841333552e+03  5.6841885964e+03  5.6840752986e+03  5.6841407442e+03  9.712445e+07  4.210724e+01
   4  5.4431358991e+03  5.4431062823e+03  5.4431358609e+03  5.4430609036e+03  5.4431075683e+03  7.011451e+06  2.520149e+01
   5  4.1818318032e+03  4.1817988952e+03  4.1818321344e+03  4.1817670906e+03  4.1818027213e+03  1.404062e+07  1.869629e+01
   6  5.1634271034e+03  5.1633831932e+03  5.1634259944e+03  5.1633609210e+03  5.1633901654e+03  4.280536e+07  1.674709e+01
   7  3.3431410164e+03  3.3431072373e+03  3.3431410380e+03  3.3430958706e+03  3.3431103781e+03  1.241254e+09  2.024605e+01
   8  3.3599745227e+03  3.3599622022e+03  3.3599741070e+03  3.3599434519e+03  3.3599620534e+03  1.427382e+09  1.384808e+01
   9  2.2279492429e+03  2.2279317763e+03  2.2279488324e+03  2.2279290833e+03  2.2279339084e+03  1.013733e+08  6.299264e+00
  10  1.6899622210e+03  1.6899538455e+03  1.6899618339e+03  1.6899411232e+03  1.6899525141e+03  2.263784e+07  3.896858e+00
  11  2.0717441817e+03  2.0717248852e+03  2.0717444340e+03  2.0717236785e+03  2.0717248852e+03  9.438914e+07  2.236426e+00
  12  1.8025144859e+03  1.8024961858e+03  1.8025142163e+03  1.8024988211e+03  1.8024972954e+03  8.269800e+08  2.572829e+00
  13  1.3448878431e+03  1.3448733212e+03  1.3448877277e+03  1.3448759236e+03  1.3448721129e+03  2.936741e+07  1.689467e+00
  14  1.8893909658e+03  1.8893770799e+03  1.8893907748e+03  1.8893778076e+03  1.8893759552e+03  2.178217e+07  1.580537e+00
  15  1.9236600474e+03  1.9236422484e+03  1.9236597932e+03  1.9236493963e+03  1.9236395192e+03  1.151243e+08  1.822017e+00
  16  1.1857112136e+03  1.1856895146e+03  1.1857116007e+03  1.1856944168e+03  1.1856854558e+03  6.241344e+07  1.563531e+00
  17  1.4036586494e+03  1.4036415586e+03  1.4036590576e+03  1.4036466792e+03  1.4036372840e+03  4.583847e+07  2.396808e+00
  18  1.3127770994e+03  1.3127575462e+03  1.3127767327e+03  1.3127656874e+03  1.3127552609e+03  5.074390e+06  1.863078e+00
  19  9.0316780658e+02  9.0315284559e+02  9.0316782770e+02  9.0316142660e+02  9.0314955849e+02  1.852172e+07  1.389753e+00
  20  1.3444694128e+03  1.3444496086e+03  1.3444698769e+03  1.3444567676e+03  1.3444447274e+03  3.865265e+06  9.853186e-01
