iter  res_double64      res_float32      res_posit32q
   0  3.402459e+02  3.402444e+02  3.402459e+02
   1  3.775291e+02  3.775238e+02  3.775291e+02
   2  1.219297e+03  1.219274e+03  1.219297e+03
   3  6.574597e+02  6.574511e+02  6.574597e+02
   4  9.373706e+02  9.373367e+02  9.373708e+02
   5  1.340420e+03  1.340367e+03  1.340420e+03
   6  9.023410e+02  9.023360e+02  9.023412e+02
   7  9.741595e+02  9.740812e+02  9.741602e+02
   8  9.932269e+02  9.931738e+02  9.932276e+02
   9  8.454105e+02  8.454060e+02  8.454113e+02
  10  1.005363e+03  1.005225e+03  1.005364e+03
  11  8.490517e+02  8.490020e+02  8.490526e+02
  12  8.251976e+02  8.251682e+02  8.251985e+02
  13  8.496717e+02  8.495327e+02  8.496725e+02
  14  8.564750e+02  8.565102e+02  8.564763e+02
  15  1.027347e+03  1.027174e+03  1.027348e+03
  16  1.079711e+03  1.079525e+03  1.079713e+03
  17  9.720154e+02  9.720714e+02  9.720174e+02
  18  9.849184e+02  9.845815e+02  9.849207e+02
  19  8.044745e+02  8.044349e+02  8.044764e+02
  20  6.108799e+02  6.107861e+02  6.108815e+02
  21  6.521891e+02  6.518124e+02  6.521910e+02
  22  6.697442e+02  6.697504e+02  6.697464e+02
  23  8.012163e+02  8.007946e+02  8.012190e+02
  24  6.536016e+02  6.535484e+02  6.536034e+02
  25  6.736118e+02  6.734867e+02  6.736132e+02
  26  5.400600e+02  5.396146e+02  5.400605e+02
  27  3.972493e+02  3.974161e+02  3.972505e+02
  28  4.311068e+02  4.307698e+02  4.311046e+02
  29  4.369041e+02  4.364443e+02  4.369035e+02
  30  3.722914e+02  3.723373e+02  3.722984e+02
  31  3.669016e+02  3.664671e+02  3.669041e+02
  32  2.856621e+02  2.853640e+02  2.856629e+02
  33  3.149296e+02  3.148886e+02  3.149303e+02
  34  3.611881e+02  3.604390e+02  3.611888e+02
  35  3.235545e+02  3.236539e+02  3.235554e+02
  36  3.152839e+02  3.148241e+02  3.152851e+02
  37  2.545921e+02  2.543196e+02  2.545926e+02
  38  2.589007e+02  2.589872e+02  2.589016e+02
  39  2.468896e+02  2.462773e+02  2.469006e+02
  40  2.180478e+02  2.179993e+02  2.180918e+02
