matrix=data/matrices/s3dkq4m2.mtx n=90449 seed=10
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 1.5426966821e+05 1.5426693873e+05 1.5426695200e+05 1.5426968677e+05 1.5422603090e+05 3.0225469137e+01 3.0224124008e+01 3.0224122106e+01 3.0225464361e+01 3.0220376699e+01 2.3041982497e+08 2.3041984000e+08 2.3036294400e+08 1.0832849003e+08 1.0832848000e+08 1.0828348800e+08 0 0
1 7.2487894207e+04 7.2484623252e+04 7.2484605593e+04 7.2487904205e+04 7.2465637429e+04 3.5223243108e+01 3.5222428897e+01 3.5222428042e+01 3.5223245482e+01 3.5222045232e+01 3.3661570170e+07 3.3661552000e+07 3.3645360000e+07 1.6935051880e+07 1.6935048000e+07 1.6927376000e+07 0 0
2 3.7606877869e+04 3.7604449098e+04 3.7604445695e+04 3.7606889582e+04 3.7597889302e+04 4.7859581529e+01 4.7858235239e+01 4.7858233188e+01 4.7859586258e+01 4.7857768643e+01 6.8992983046e+06 6.8993000000e+06 6.8970540000e+06 4.1238123704e+06 4.1238135000e+06 4.1222360000e+06 0 0
3 2.3354451091e+04 2.3352174032e+04 2.3352165810e+04 2.3354454136e+04 2.3349170092e+04 5.1457921576e+01 5.1457136270e+01 5.1457134707e+01 5.1457926290e+01 5.1458005239e+01 1.8564327090e+06 1.8564332500e+06 1.8556197500e+06 1.0901337944e+06 1.0901342500e+06 1.0896377500e+06 0 0
4 1.7294812489e+04 1.7292951628e+04 1.7292951628e+04 1.7294815871e+04 1.7291485072e+04 4.9213931969e+01 4.9214054134e+01 4.9214054434e+01 4.9213933014e+01 4.9215042734e+01 5.4783705576e+05 5.4783737500e+05 5.4759731250e+05 4.2771642326e+05 4.2771668750e+05 4.2751878125e+05 0 0
5 1.2812838874e+04 1.2811060222e+04 1.2811065842e+04 1.2812843556e+04 1.2810076034e+04 4.6461146774e+01 4.6461431248e+01 4.6461431690e+01 4.6461144890e+01 4.6461550542e+01 3.5735472982e+05 3.5735496875e+05 3.5717881250e+05 2.5604445165e+05 2.5604462500e+05 2.5591435938e+05 0 0
6 1.0218038622e+04 1.0216289346e+04 1.0216303050e+04 1.0218042083e+04 1.0215564595e+04 4.4795491380e+01 4.4795579189e+01 4.4795579987e+01 4.4795489295e+01 4.4795378729e+01 1.8802215172e+05 1.8802228125e+05 1.8792642188e+05 1.4442661666e+05 1.4442671875e+05 1.4434703125e+05 0 0
7 8.8146065561e+03 8.8127857117e+03 8.8128002360e+03 8.8146096907e+03 8.8120789829e+03 4.3695835630e+01 4.3695823831e+01 4.3695825504e+01 4.3695834740e+01 4.3695903569e+01 1.1540674739e+05 1.1540683594e+05 1.1533824219e+05 9.1994182001e+04 9.1994250000e+04 9.1937187500e+04 0 0
8 7.3301790831e+03 7.3283632552e+03 7.3283774466e+03 7.3301808982e+03 7.3279061129e+03 4.2545105530e+01 4.2545047487e+01 4.2545050042e+01 4.2545105165e+01 4.2545320721e+01 8.3223834868e+04 8.3223890625e+04 8.3170343750e+04 6.8511433335e+04 6.8511476562e+04 6.8466078125e+04 0 0
9 6.2298253253e+03 6.2279704559e+03 6.2279781631e+03 6.2298263218e+03 6.2277289601e+03 4.0996525507e+01 4.0996507903e+01 4.0996510287e+01 4.0996524519e+01 4.0996634264e+01 6.0598254292e+04 6.0598291016e+04 6.0556910156e+04 4.7994525888e+04 4.7994554688e+04 4.7961134766e+04 0 0
