matrix=riscv-lab-transfer/s3dkq4m2.mtx n=90449 seed=2
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 1.5317498241e+05 1.5317245831e+05 1.5317245831e+05 1.5317498532e+05 1.5313123135e+05 3.0165860697e+01 3.0164855433e+01 3.0164855433e+01 3.0165855791e+01 3.0160494596e+01 2.3070935477e+08 2.3070937600e+08 2.3065408000e+08 1.0869325584e+08 1.0869324800e+08 1.0864787200e+08 0 0
1 7.2398554987e+04 7.2395083148e+04 7.2395083148e+04 7.2398569710e+04 7.2374294663e+04 3.4524982114e+01 3.4524203156e+01 3.4524203156e+01 3.4524979384e+01 3.4523850837e+01 3.3159361429e+07 3.3159352000e+07 3.3143120000e+07 1.6689839485e+07 1.6689834000e+07 1.6682170000e+07 0 0
2 3.7645914087e+04 3.7643392833e+04 3.7643392833e+04 3.7645915794e+04 3.7636924848e+04 4.6359511242e+01 4.6358090988e+01 4.6358090988e+01 4.6359509592e+01 4.6357735807e+01 6.8091459032e+06 6.8091430000e+06 6.8069300000e+06 4.0850179577e+06 4.0850165000e+06 4.0834545000e+06 0 0
3 2.3506603202e+04 2.3504413883e+04 2.3504413883e+04 2.3506597542e+04 2.3501423957e+04 4.9872064124e+01 4.9871264292e+01 4.9871264292e+01 4.9872063873e+01 4.9872102297e+01 1.8591596898e+06 1.8591592500e+06 1.8583465000e+06 1.0921398542e+06 1.0921395000e+06 1.0916332500e+06 0 0
4 1.7374662078e+04 1.7372781470e+04 1.7372781470e+04 1.7374659248e+04 1.7371535338e+04 4.7815180571e+01 4.7815295777e+01 4.7815295777e+01 4.7815181211e+01 4.7816219672e+01 5.4966140853e+05 5.4966118750e+05 5.4940306250e+05 4.3197857834e+05 4.3197837500e+05 4.3176743750e+05 0 0
5 1.3035138758e+04 1.3033398943e+04 1.3033398943e+04 1.3035135289e+04 1.3032073665e+04 4.5230025237e+01 4.5230350278e+01 4.5230350278e+01 4.5230025279e+01 4.5230380648e+01 3.5485590376e+05 3.5485568750e+05 3.5467693750e+05 2.5627988616e+05 2.5627973438e+05 2.5614496875e+05 0 0
6 1.0375226210e+04 1.0373577975e+04 1.0373577975e+04 1.0375224335e+04 1.0372549928e+04 4.3583878225e+01 4.3584024546e+01 4.3584024546e+01 4.3583877656e+01 4.3583764248e+01 1.9253612586e+05 1.9253601562e+05 1.9243103125e+05 1.4721033119e+05 1.4721025000e+05 1.4712570312e+05 0 0
7 8.9356383821e+03 8.9340758895e+03 8.9340758895e+03 8.9356365190e+03 8.9331812922e+03 4.2401177210e+01 4.2401168685e+01 4.2401168685e+01 4.2401176838e+01 4.2401285845e+01 1.2003517146e+05 1.2003510938e+05 1.1996285156e+05 9.5030943698e+04 9.5030890625e+04 9.4971632812e+04 0 0
8 7.4072910235e+03 7.4057113095e+03 7.4057113095e+03 7.4072893828e+03 7.4051992546e+03 4.1216102059e+01 4.1216027874e+01 4.1216027874e+01 4.1216101983e+01 4.1216347429e+01 8.5645578797e+04 8.5645523438e+04 8.5590257812e+04 7.0175835239e+04 7.0175789062e+04 7.0129437500e+04 0 0
9 6.2599331647e+03 6.2583061606e+03 6.2583061606e+03 6.2599309900e+03 6.2579025240e+03 3.9775750863e+01 3.9775725125e+01 3.9775725125e+01 3.9775750722e+01 3.9775872556e+01 6.1829401940e+04 6.1829361328e+04 6.1787710938e+04 4.8787402109e+04 4.8787371094e+04 4.8753896484e+04 0 0
10 5.4301343586e+03 5.4285290825e+03 5.4285290825e+03 5.4301329634e+03 5.4283898165e+03 3.7899418517e+01 3.7899549361e+01 3.7899549361e+01 3.7899418135e+01 3.7899518049e+01 3.9448695325e+04 3.9448671875e+04 3.9421072266e+04 3.4082587386e+04 3.4082566406e+04 3.4058460938e+04 0 0
11 4.5908902098e+03 4.5893964745e+03 4.5893964745e+03 4.5908892385e+03 4.5893049583e+03 3.6281602726e+01 3.6281821974e+01 3.6281821974e+01 3.6281601980e+01 3.6281806947e+01 3.0823030245e+04 3.0823009766e+04 3.0800944336e+04 2.5241844154e+04 2.5241828125e+04 2.5223459961e+04 0 0
12 3.9049966710e+03 3.9036164002e+03 3.9036164002e+03 3.9049957746e+03 3.9037243755e+03 3.4954960198e+01 3.4955197976e+01 3.4955197976e+01 3.4954959028e+01 3.4955204228e+01 2.1031463637e+04 2.1031451172e+04 2.1015915039e+04 1.8091108080e+04 1.8091097656e+04 1.8077576172e+04 0 0
13 3.3172805636e+03 3.3160386005e+03 3.3160386005e+03 3.3172799098e+03 3.3161224344e+03 3.3813956193e+01 3.3814218002e+01 3.3814218002e+01 3.3813954700e+01 3.3814234628e+01 1.6161336747e+04 1.6161327637e+04 1.6149131348e+04 1.3317513713e+04 1.3317506348e+04 1.3307333496e+04 0 0
14 2.8393453511e+03 2.8382291134e+03 2.8382291134e+03 2.8393448188e+03 2.8384113514e+03 3.2521708640e+01 3.2522133638e+01 3.2522133638e+01 3.2521706950e+01 3.2522074016e+01 1.1250755157e+04 1.1250749512e+04 1.1242020508e+04 9.5044280335e+03 9.5044233398e+03 9.4969990234e+03 0 0
15 2.4489422597e+03 2.4478842906e+03 2.4478842906e+03 2.4489418123e+03 2.4481219332e+03 3.1099860448e+01 3.1100545037e+01 3.1100545037e+01 3.1099858593e+01 3.1100306078e+01 8.4535464296e+03 8.4535424805e+03 8.4468872070e+03 7.0996431450e+03 7.0996396484e+03 7.0940095215e+03 0 0
16 2.1365407398e+03 2.1355602309e+03 2.1355602309e+03 2.1365404279e+03 2.1357876767e+03 2.9768789396e+01 2.9769693985e+01 2.9769693985e+01 2.9768787191e+01 2.9769268162e+01 6.3392991402e+03 6.3392956543e+03 6.3342480469e+03 5.3433482553e+03 5.3433454590e+03 5.3390405273e+03 0 0
17 1.9154406521e+03 1.9145428305e+03 1.9145428305e+03 1.9154404193e+03 1.9147651292e+03 2.8576532835e+01 2.8577579345e+01 2.8577579345e+01 2.8576530131e+01 2.8577048678e+01 4.8296340066e+03 4.8296318359e+03 4.8257016602e+03 4.1228479602e+03 4.1228461914e+03 4.1194643555e+03 0 0
18 1.6949323669e+03 1.6940961454e+03 1.6940961454e+03 1.6949321520e+03 1.6943199226e+03 2.7455683437e+01 2.7456864254e+01 2.7456864254e+01 2.7455680207e+01 2.7456249688e+01 3.8687760633e+03 3.8687744751e+03 3.8655668945e+03 3.2560176611e+03 3.2560164185e+03 3.2533053589e+03 0 0
19 1.5511536239e+03 1.5503351251e+03 1.5503351251e+03 1.5511534418e+03 1.5505748934e+03 2.6285504539e+01 2.6286834144e+01 2.6286834144e+01 2.6285500765e+01 2.6286101130e+01 2.8711681413e+03 2.8711671753e+03 2.8687692871e+03 2.5390253937e+03 2.5390245972e+03 2.5368948364e+03 0 0
20 1.4047263632e+03 1.4039363857e+03 1.4039363857e+03 1.4047263079e+03 1.4042061814e+03 2.5081287489e+01 2.5082773601e+01 2.5082773601e+01 2.5081283154e+01 2.5081888479e+01 2.4640766926e+03 2.4640759277e+03 2.4619949341e+03 2.1619174770e+03 2.1619168701e+03 2.1600859375e+03 0 0
21 1.3011061770e+03 1.3003352933e+03 1.3003352933e+03 1.3011061640e+03 1.3006236965e+03 2.3938547064e+01 2.3940179399e+01 2.3940179399e+01 2.3938542143e+01 2.3939140292e+01 1.9547829490e+03 1.9547824707e+03 1.9531252747e+03 1.7490264957e+03 1.7490261230e+03 1.7475384521e+03 0 0
22 1.2053073685e+03 1.2045690619e+03 1.2045690619e+03 1.2053074297e+03 1.2048586017e+03 2.2881312747e+01 2.2883025726e+01 2.2883025726e+01 2.2881307186e+01 2.2881893298e+01 1.6486558562e+03 1.6486555786e+03 1.6472497559e+03 1.4916181146e+03 1.4916179199e+03 1.4903388977e+03 0 0
