matrix=riscv-lab-transfer/s3dkt3m2.mtx n=90449 seed=2
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 2.6672522416e+05 2.6671936845e+05 2.6671936845e+05 2.6672546509e+05 2.6664584452e+05 4.0118795879e+01 4.0117048793e+01 4.0117048793e+01 4.0118807363e+01 4.0113605340e+01 5.2483566585e+08 5.2483558400e+08 5.2471910400e+08 1.9311287132e+08 1.9311289600e+08 1.9304499200e+08 0 0
1 1.1545299772e+05 1.1544524118e+05 1.1544524118e+05 1.1545301992e+05 1.1539617075e+05 4.5220258990e+01 4.5219189425e+01 4.5219189425e+01 4.5220265242e+01 4.5215516816e+01 6.8979514316e+07 6.8979552000e+07 6.8954848000e+07 3.4517625464e+07 3.4517648000e+07 3.4499296000e+07 0 0
2 6.6861485093e+04 6.6856550913e+04 6.6856550913e+04 6.6861532378e+04 6.6838187887e+04 5.3994643853e+01 5.3993057301e+01 5.3993057301e+01 5.3994653205e+01 5.3989239504e+01 1.7351084066e+07 1.7351096000e+07 1.7339576000e+07 8.2297783441e+06 8.2297850000e+06 8.2242460000e+06 0 0
3 4.6330868234e+04 4.6327894319e+04 4.6327894319e+04 4.6330883695e+04 4.6317609610e+04 6.2888022384e+01 6.2886802805e+01 6.2886802805e+01 6.2888029745e+01 6.2884103750e+01 4.5386017116e+06 4.5386060000e+06 4.5356450000e+06 2.5558288132e+06 2.5558315000e+06 2.5539810000e+06 0 0
4 3.0725134125e+04 3.0722073888e+04 3.0722073888e+04 3.0725149568e+04 3.0713315940e+04 6.4625948604e+01 6.4625378725e+01 6.4625378725e+01 6.4625950044e+01 6.4624933878e+01 2.6079364015e+06 2.6079395000e+06 2.6058755000e+06 1.3610239405e+06 1.3610255000e+06 1.3598792500e+06 0 0
5 2.3481458488e+04 2.3478360420e+04 2.3478360420e+04 2.3481470482e+04 2.3471078373e+04 6.0033708103e+01 6.0033856275e+01 6.0033856275e+01 6.0033705585e+01 6.0035166137e+01 1.1197999798e+06 1.1198012500e+06 1.1188192500e+06 6.2431355968e+05 6.2431431250e+05 6.2375287500e+05 0 0
6 1.8422606347e+04 1.8419476648e+04 1.8419476648e+04 1.8422615667e+04 1.8414269250e+04 5.3820517507e+01 5.3821098940e+01 5.3821098940e+01 5.3820514465e+01 5.3822522498e+01 4.9020097709e+05 4.9020162500e+05 4.8975000000e+05 3.3066090376e+05 3.3066134375e+05 3.3034993750e+05 0 0
7 1.5009471085e+04 1.5006715830e+04 1.5006715830e+04 1.5009479671e+04 1.5003302037e+04 4.9713960602e+01 4.9714453135e+01 4.9714453135e+01 4.9713959070e+01 4.9715238272e+01 3.1520472875e+05 3.1520515625e+05 3.1490315625e+05 2.1362517430e+05 2.1362545312e+05 2.1341621875e+05 0 0
8 1.2761212181e+04 1.2758617480e+04 1.2758617480e+04 1.2761216243e+04 1.2755991847e+04 4.7397069206e+01 4.7397362490e+01 4.7397362490e+01 4.7397068754e+01 4.7397717311e+01 2.1980089320e+05 2.1980117188e+05 2.1958328125e+05 1.4667625998e+05 1.4667643750e+05 1.4652679688e+05 0 0
9 1.1020750070e+04 1.1018081503e+04 1.1018081503e+04 1.1020754239e+04 1.1015648506e+04 4.5737821821e+01 4.5738041413e+01 4.5738041413e+01 4.5737821556e+01 4.5738333827e+01 1.6660400477e+05 1.6660418750e+05 1.6642896875e+05 1.0838284878e+05 1.0838296875e+05 1.0826565625e+05 0 0
10 9.7371411841e+03 9.7342841545e+03 9.7342841545e+03 9.7371453722e+03 9.7322704442e+03 4.4273167446e+01 4.4273388733e+01 4.4273388733e+01 4.4273167170e+01 4.4273751707e+01 1.2050946589e+05 1.2050960938e+05 1.2037515625e+05 8.1486182016e+04 8.1486273438e+04 8.1393710938e+04 0 0
11 8.5587942971e+03 8.5560374006e+03 8.5560374006e+03 8.5587980465e+03 8.5542391830e+03 4.2962360628e+01 4.2962568393e+01 4.2962568393e+01 4.2962360336e+01 4.2962933152e+01 8.4309359827e+04 8.4309445312e+04 8.4211898438e+04 5.9495616832e+04 5.9495677734e+04 5.9426386719e+04 0 0
12 7.4526418808e+03 7.4502426806e+03 7.4502426806e+03 7.4526440945e+03 7.4490106726e+03 4.1515917380e+01 4.1516118446e+01 4.1516118446e+01 4.1515917072e+01 4.1516464950e+01 6.1921656073e+04 6.1921720703e+04 6.1849255859e+04 4.5422117013e+04 4.5422164062e+04 4.5368580078e+04 0 0
13 6.5909105144e+03 6.5886736146e+03 6.5886736146e+03 6.5909125317e+03 6.5875603982e+03 3.9852353322e+01 3.9852611717e+01 3.9852611717e+01 3.9852353098e+01 3.9852910347e+01 5.2298644698e+04 5.2298699219e+04 5.2236394531e+04 3.6764591225e+04 3.6764628906e+04 3.6720666016e+04 0 0
14 5.8829146234e+03 5.8808098082e+03 5.8808098082e+03 5.8829162836e+03 5.8799469385e+03 3.8211158502e+01 3.8211473592e+01 3.8211473592e+01 3.8211158579e+01 3.8211727594e+01 4.3357243148e+04 4.3357287109e+04 4.3305326172e+04 2.9205516013e+04 2.9205544922e+04 2.9170087891e+04 0 0
15 5.2380309392e+03 5.2359572191e+03 5.2359572191e+03 5.2380324550e+03 5.2351473714e+03 3.6815124800e+01 3.6815464232e+01 3.6815464232e+01 3.6815125322e+01 3.6815645327e+01 3.2358825367e+04 3.2358856445e+04 3.2319041992e+04 2.2546895802e+04 2.2546916992e+04 2.2518866211e+04 0 0
16 4.6735276761e+03 4.6715736107e+03 4.6715736107e+03 4.6735297153e+03 4.6708937046e+03 3.5698088326e+01 3.5698433125e+01 3.5698433125e+01 3.5698089251e+01 3.5698558704e+01 2.5190321766e+04 2.5190344727e+04 2.5158712891e+04 1.7897104401e+04 1.7897121094e+04 1.7874441406e+04 0 0
