matrix=data/matrices/s3dkt3m2.mtx n=90449 seed=9
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 2.6595901583e+05 2.6595270653e+05 2.6595270653e+05 2.6595923658e+05 2.6588579515e+05 3.9112056302e+01 3.9110129613e+01 3.9110129613e+01 3.9112060252e+01 3.9106906834e+01 5.2699854329e+08 5.2699852800e+08 5.2687488000e+08 1.9370417835e+08 1.9370419200e+08 1.9363321600e+08 0 0
1 1.1524070260e+05 1.1523301749e+05 1.1523299527e+05 1.1524073946e+05 1.1518805271e+05 4.5124316712e+01 4.5123338888e+01 4.5123333177e+01 4.5124320583e+01 4.5121247375e+01 6.7782679931e+07 6.7782688000e+07 6.7757376000e+07 3.4051655821e+07 3.4051664000e+07 3.4035680000e+07 0 0
2 6.6548397348e+04 6.6543251739e+04 6.6543251739e+04 6.6548429764e+04 6.6526514654e+04 5.5420094183e+01 5.5418539136e+01 5.5418539085e+01 5.5420102359e+01 5.5415990451e+01 1.6882898805e+07 1.6882904000e+07 1.6874560000e+07 8.0831561782e+06 8.0831600000e+06 8.0788170000e+06 0 0
3 4.6012296726e+04 4.6009005032e+04 4.6009011987e+04 4.6012305832e+04 4.5999830261e+04 6.4561050519e+01 6.4559822821e+01 6.4559833086e+01 6.4561057348e+01 6.4557970346e+01 4.4702849029e+06 4.4702880000e+06 4.4677610000e+06 2.5191421417e+06 2.5191440000e+06 2.5175505000e+06 0 0
4 3.0736640067e+04 3.0733675081e+04 3.0733669875e+04 3.0736645490e+04 3.0726415997e+04 6.6154652403e+01 6.6154082156e+01 6.6154090932e+01 6.6154654951e+01 6.6153523764e+01 2.6318786982e+06 2.6318810000e+06 2.6299835000e+06 1.3399588952e+06 1.3399600000e+06 1.3389502500e+06 0 0
5 2.3384892498e+04 2.3382111453e+04 2.3382111453e+04 2.3384896322e+04 2.3376454479e+04 6.1512810797e+01 6.1512934076e+01 6.1512937389e+01 6.1512809916e+01 6.1513620226e+01 1.1534575156e+06 1.1534585000e+06 1.1525877500e+06 6.3051749271e+05 6.3051800000e+05 6.3003481250e+05 0 0
6 1.8258871486e+04 1.8256292723e+04 1.8256291847e+04 1.8258874445e+04 1.8250831871e+04 5.4965662650e+01 5.4966217529e+01 5.4966216530e+01 5.4965660322e+01 5.4967281887e+01 4.9261119393e+05 4.9261153125e+05 4.9223206250e+05 3.3130477431e+05 3.3130500000e+05 3.3104175000e+05 0 0
7 1.4989669449e+04 1.4987307697e+04 1.4987309832e+04 1.4989673245e+04 1.4983867592e+04 5.0625330856e+01 5.0625890559e+01 5.0625884465e+01 5.0625328676e+01 5.0626632107e+01 3.0549480574e+05 3.0549500000e+05 3.0524734375e+05 2.0937480980e+05 2.0937495312e+05 2.0919917188e+05 0 0
8 1.2735291049e+04 1.2733025406e+04 1.2733039857e+04 1.2735293950e+04 1.2730400779e+04 4.8203809878e+01 4.8204221577e+01 4.8204214963e+01 4.8203808714e+01 4.8204627680e+01 2.1267777617e+05 2.1267793750e+05 2.1249135938e+05 1.4391609784e+05 1.4391620312e+05 1.4378615625e+05 0 0
9 1.0913584792e+04 1.0911263172e+04 1.0911276002e+04 1.0913587861e+04 1.0909204921e+04 4.6536705470e+01 4.6536988894e+01 4.6536986178e+01 4.6536705235e+01 4.6537255235e+01 1.6551808289e+05 1.6551820312e+05 1.6536484375e+05 1.0775682041e+05 1.0775689844e+05 1.0765503125e+05 0 0
