iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag      sat_frac_pq      sat_frac_pn      pAp_double        pAp_naive        cond_pAp          n_eff
   0  6.3021740976e+02  6.3020661295e+02  6.3021744759e+02  6.3020393525e+02  6.3020668733e+02  2.304903e+05  6.747849e+04  0.000000e+00  0.000000e+00  6.7478494445e+04  6.7478531250e+04  1.940549e+16  4958
   1  9.5254712938e+01  9.5254070205e+01  9.5254708402e+01  9.5249843647e+01  9.5254039448e+01  3.950024e+03  9.683446e+07  0.000000e+00  0.000000e+00  -9.6834455017e+07  -9.6831328000e+07  5.614398e+13  4960
   2  1.2865750739e+01  1.2864512496e+01  1.2865758672e+01  1.2866209566e+01  1.2864513089e+01  4.099768e+04  1.117108e+06  0.000000e+00  0.000000e+00  1.1171084181e+06  1.1170605000e+06  4.618230e+12  4960
   3  8.6727877217e+01  8.6726049805e+01  8.6727927442e+01  8.6725602207e+01  8.6726041360e+01  2.178801e+07  9.752421e+02  0.000000e+00  0.000000e+00  -9.7524188659e+02  -9.7521037292e+02  2.025788e+15  4960
   4  9.6454415983e+00  9.6454021668e+00  9.6454442868e+00  9.6447833474e+00  9.6454077037e+00  3.113638e+05  5.003175e+06  0.000000e+00  0.000000e+00  5.0031682781e+06  5.0030340000e+06  3.136029e+13  4960
   5  3.4509538735e+00  3.4508059901e+00  3.4509550069e+00  3.4509734187e+00  3.4508109646e+00  3.351898e+04  6.588400e+03  0.000000e+00  0.000000e+00  6.5883975200e+03  6.5880830078e+03  1.267670e+13  4960
   6  1.3497613239e+01  1.3497726814e+01  1.3497618783e+01  1.3496827141e+01  1.3497736988e+01  9.236856e+05  2.449899e+02  0.000000e+00  0.000000e+00  -2.4498985438e+02  -2.4497957802e+02  2.336351e+14  4960
   7  1.0077168884e+00  1.0077768364e+00  1.0077169839e+00  1.0076177431e+00  1.0077689701e+00  6.235417e+06  3.870066e+04  0.000000e+00  0.000000e+00  3.8700612172e+04  3.8698839844e+04  1.616199e+13  4960
   8  1.8096865756e+00  1.8096096407e+00  1.8096873847e+00  1.8096797434e+00  1.8096185998e+00  1.658957e+06  4.826371e+01  0.000000e+00  0.000000e+00  4.8263690395e+01  4.8261483192e+01  8.648521e+13  4960
   9  1.7320617240e+00  1.7321429625e+00  1.7320616131e+00  1.7319029554e+00  1.7321448895e+00  5.741851e+05  1.230428e+02  0.000000e+00  0.000000e+00  -1.2304275182e+02  -1.2303680134e+02  9.015820e+13  4960
  10  1.9866907635e-01  1.9864805608e-01  1.9866920038e-01  1.9867941484e-01  1.9865190982e-01  1.987820e+06  5.711694e+02  0.000000e+00  0.000000e+00  5.7116932114e+02  5.7114343262e+02  6.077222e+12  4960
  11  6.9167601093e-01  6.9171181085e-01  6.9167560649e-01  6.9158813676e-01  6.9173100490e-01  1.085990e+07  4.382244e-01  0.000000e+00  0.000000e+00  -4.3822400012e-01  -4.3820356019e-01  1.812712e+14  4960
  12  8.7168989608e-02  8.7163510949e-02  8.7169044819e-02  8.7166317327e-02  8.7167472240e-02  4.012553e+05  1.859599e+02  0.000000e+00  0.000000e+00  1.8596010966e+02  1.8595270920e+02  1.070750e+13  4960
  13  4.6404694236e-02  4.6401847079e-02  4.6404713980e-02  4.6406093742e-02  4.6402609763e-02  4.084905e+05  5.384301e-01  0.000000e+00  0.000000e+00  5.3842984834e-01  5.3840753809e-01  9.700527e+12  4960
  14  1.1879303592e-01  1.1879025988e-01  1.1879305532e-01  1.1878686998e-01  1.1879461887e-01  1.337412e+08  5.945296e-02  0.000000e+00  0.000000e+00  -5.9452925595e-02  -5.9450146277e-02  5.333316e+13  4960
  15  1.1042762705e-02  1.1043075525e-02  1.1042764698e-02  1.1041950281e-02  1.1043338741e-02  4.013543e+06  2.422323e+00  0.000000e+00  0.000000e+00  2.4223218533e+00  2.4222314656e+00  7.668268e+12  4960
