iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag      sat_frac_pq      sat_frac_pn      pAp_double        pAp_naive        cond_pAp          n_eff
   0  4.7954429520e+03  4.7950831067e+03  4.7954428367e+03  4.7944359418e+03  4.7950831067e+03  2.626676e+12  8.763868e+01  0.000000e+00  0.000000e+00  8.7638681097e+01  8.7638643265e+01  5.404774e+15  12833
   1  5.9814564742e+03  5.9807962681e+03  5.9814566788e+03  5.9805712102e+03  5.9807962681e+03  3.093304e+11  2.866235e+02  0.000000e+00  0.000000e+00  2.8662347085e+02  2.8661736298e+02  1.576553e+15  15007
   2  4.1781371556e+03  4.1775356372e+03  4.1781373841e+03  4.1778616540e+03  4.1775358766e+03  1.977209e+11  2.747838e+02  0.000000e+00  0.000000e+00  2.7478379994e+02  2.7477339935e+02  4.658189e+14  16521
   3  5.5365319562e+03  5.5356099935e+03  5.5365324888e+03  5.5358735535e+03  5.5356099935e+03  1.025215e+12  1.707424e+02  0.000000e+00  0.000000e+00  1.7074236188e+02  1.7073449898e+02  6.125356e+14  18215
   4  6.5385634219e+03  6.5371954231e+03  6.5385637567e+03  6.5378271620e+03  6.5371954231e+03  6.836799e+10  1.755830e+02  0.000000e+00  0.000000e+00  1.7558303354e+02  1.7557359886e+02  3.245208e+14  19241
   5  9.2817634623e+03  9.2795646450e+03  9.2817636255e+03  9.2807551417e+03  9.2795663692e+03  1.965562e+10  1.927159e+02  0.000000e+00  0.000000e+00  1.9271593382e+02  1.9270436478e+02  1.906707e+14  19128
   6  6.5670139834e+03  6.5652287089e+03  6.5670145424e+03  6.5663664229e+03  6.5652305367e+03  2.164532e+11  3.204733e+02  0.000000e+00  0.000000e+00  3.2047327813e+02  3.2045281982e+02  3.365126e+14  19462
   7  6.7970027688e+03  6.7947373754e+03  6.7970040459e+03  6.7958752196e+03  6.7947370810e+03  5.032730e+10  2.860377e+02  0.000000e+00  0.000000e+00  2.8603764263e+02  2.8601705933e+02  2.118746e+14  19859
   8  6.4999100384e+03  6.4975250673e+03  6.4999101532e+03  6.4991076311e+03  6.4975235282e+03  5.333603e+10  2.868889e+02  0.000000e+00  0.000000e+00  2.8688885033e+02  2.8686677551e+02  2.456315e+14  20311
   9  7.4573491943e+03  7.4544746294e+03  7.4573496633e+03  7.4566501862e+03  7.4544638976e+03  7.436666e+09  2.563041e+02  0.000000e+00  0.000000e+00  2.5630408948e+02  2.5628305817e+02  2.418266e+14  20064
  10  7.5019404730e+03  7.4990023336e+03  7.5019410821e+03  7.5011252489e+03  7.4989929991e+03  7.564951e+10  2.661437e+02  0.000000e+00  0.000000e+00  2.6614363791e+02  2.6612103271e+02  2.715058e+14  20493
  11  5.6695112119e+03  5.6671461954e+03  5.6695121483e+03  5.6688616141e+03  5.6671393136e+03  9.852672e+10  2.001301e+02  0.000000e+00  0.000000e+00  2.0013007235e+02  2.0011240196e+02  3.037564e+16  21002
  12  6.8515080584e+03  6.8482756954e+03  6.8515084471e+03  6.8504002803e+03  6.8482783238e+03  1.565817e+10  1.637989e+02  0.000000e+00  0.000000e+00  1.6379882100e+02  1.6378381538e+02  8.412842e+14  21489
  13  6.8822547969e+03  6.8787839042e+03  6.8822554443e+03  6.8813266163e+03  6.8787830319e+03  4.956519e+10  1.809974e+02  0.000000e+00  0.000000e+00  1.8099733790e+02  1.8098035431e+02  6.655429e+14  21281
  14  7.1280620162e+03  7.1242669798e+03  7.1280628505e+03  7.1270987085e+03  7.1242560313e+03  4.240995e+10  2.608647e+02  0.000000e+00  0.000000e+00  2.6086468430e+02  2.6083888245e+02  4.494845e+14  21370
  15  7.3850705183e+03  7.3809836743e+03  7.3850714282e+03  7.3841765959e+03  7.3809815065e+03  1.657531e+10  2.020200e+02  0.000000e+00  0.000000e+00  2.0202001315e+02  2.0199976730e+02  2.378669e+15  21717
  16  7.7407451597e+03  7.7363190213e+03  7.7407451838e+03  7.7397488331e+03  7.7363174702e+03  5.049235e+09  2.583605e+02  0.000000e+00  0.000000e+00  2.5836044809e+02  2.5833413696e+02  1.303747e+15  21794
  17  7.0415268538e+03  7.0374029301e+03  7.0415271071e+03  7.0406215635e+03  7.0373961094e+03  3.411827e+10  2.767556e+02  0.000000e+00  0.000000e+00  2.7675554554e+02  2.7672705841e+02  4.517839e+14  21905
