iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag      sat_frac_pq      sat_frac_pn      pAp_double        pAp_naive        cond_pAp          n_eff
   0  7.7775208551e+03  7.7773597062e+03  7.7775091128e+03  7.7772745869e+03  7.7773579061e+03  2.026466e+13  2.325674e+12  0.000000e+00  0.000000e+00  2.3256677172e+12  2.3256073503e+12  3.631740e+14  1063
   1  4.5071305918e+03  4.5071585284e+03  4.5071259135e+03  4.5067904322e+03  4.5071574190e+03  6.168640e+13  1.092505e+13  0.000000e+00  0.000000e+00  1.0925033862e+13  1.0925927039e+13  6.138626e+13  1021
   2  8.4793756856e+03  8.4794844183e+03  8.4792697799e+03  8.4820110823e+03  8.4794858335e+03  1.291557e+12  1.119065e+12  0.000000e+00  0.000000e+00  1.1190652266e+12  1.1185873224e+12  4.334481e+13  1459
   3  1.8479256301e+04  1.8479532462e+04  1.8478801693e+04  1.8486246563e+04  1.8479552376e+04  7.582152e+11  9.694756e+11  0.000000e+00  0.000000e+00  9.6948271827e+11  9.6982794240e+11  3.840732e+13  1760
   4  7.7281568419e+03  7.7282919200e+03  7.7278271202e+03  7.7298569198e+03  7.7282976133e+03  1.716570e+14  3.678405e+12  0.000000e+00  0.000000e+00  3.6784771592e+12  3.6785556029e+12  3.365016e+13  1597
   5  1.1963721299e+04  1.1963743227e+04  1.1963073852e+04  1.1961824610e+04  1.1963757269e+04  5.249895e+11  7.691074e+11  0.000000e+00  0.000000e+00  7.6915683025e+11  7.6939683430e+11  2.956472e+13  1411
   6  2.3950775811e+03  2.3950221293e+03  2.3950889336e+03  2.3932170817e+03  2.3950344465e+03  1.144973e+12  4.506654e+11  0.000000e+00  0.000000e+00  4.5071059405e+11  4.5055842714e+11  4.516065e+13  3132
   7  2.9920970816e+03  2.9920591572e+03  2.9920932472e+03  2.9915377317e+03  2.9920740298e+03  2.389021e+11  4.733521e+10  0.000000e+00  0.000000e+00  4.7336663654e+10  4.7315484672e+10  6.038496e+13  3044
   8  1.2668843404e+03  1.2668860939e+03  1.2668428277e+03  1.2676406234e+03  1.2668867353e+03  2.081494e+10  2.606082e+10  0.000000e+00  0.000000e+00  2.6061659364e+10  2.6055081984e+10  2.402679e+13  4069
   9  1.1935878621e+03  1.1935261308e+03  1.1935298488e+03  1.1917022489e+03  1.1935374418e+03  1.192050e+10  1.840022e+09  0.000000e+00  0.000000e+00  1.8400780785e+09  1.8393630720e+09  4.505490e+13  4227
  10  8.2188195647e+02  8.2196627820e+02  8.2187480038e+02  8.2633762773e+02  8.2195270545e+02  2.986698e+10  3.745305e+09  0.000000e+00  0.000000e+00  3.7455663670e+09  3.7442498560e+09  2.398490e+13  4266
  11  6.0938329616e+02  6.0924664033e+02  6.0936970511e+02  6.0619522948e+02  6.0926210493e+02  9.151395e+11  9.178701e+08  0.000000e+00  0.000000e+00  9.1793813903e+08  9.1722649600e+08  4.201385e+13  4626
  12  3.5463509495e+02  3.5453897221e+02  3.5465406781e+02  3.5298232737e+02  3.5454960425e+02  5.356556e+10  1.706893e+09  0.000000e+00  0.000000e+00  1.7068763640e+09  1.7069076480e+09  2.960972e+13  4459
  13  3.2501728536e+02  3.2500899026e+02  3.2502848433e+02  3.2629994828e+02  3.2499643027e+02  6.801582e+09  2.925763e+08  0.000000e+00  0.000000e+00  2.9250311312e+08  2.9396633600e+08  4.906818e+13  4122
  14  8.6610030847e+01  8.6625386115e+01  8.6607211490e+01  8.7321595468e+01  8.6619413826e+01  1.567121e+10  2.407122e+08  0.000000e+00  0.000000e+00  2.4068257093e+08  2.4111974400e+08  2.595744e+13  4588
  15  7.5176420521e+01  7.5166075891e+01  7.5175114576e+01  7.5016438628e+01  7.5166501380e+01  9.059077e+09  3.475990e+07  0.000000e+00  0.000000e+00  3.4763133347e+07  3.4654080000e+07  2.451967e+13  4546
  16  4.4293224556e+01  4.4287722269e+01  4.4289523820e+01  4.4326014515e+01  4.4285478583e+01  1.210370e+10  5.784205e+06  0.000000e+00  0.000000e+00  5.7840602650e+06  5.7790450000e+06  2.613160e+13  4691
  17  2.9502276310e+01  2.9482939361e+01  2.9491836194e+01  2.9616502275e+01  2.9470945372e+01  3.905858e+09  1.406576e+06  0.000000e+00  0.000000e+00  1.4063767140e+06  1.4076792500e+06  1.288534e+13  4736
  18  2.6506804092e+01  2.6291319090e+01  2.6396285449e+01  2.7366972282e+01  2.6151120502e+01  1.722282e+09  1.952265e+05  0.000000e+00  0.000000e+00  1.9464547850e+05  1.9607798438e+05  3.879746e+13  4701
