matrix=data/matrices/bcsstk03.mtx n=112 seed=25
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n abs_dot_d cond_xy_d rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
bnorm=2.4606918242e+11
0 8.9893396448e+10 8.9893391077e+10 8.9893394208e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 8.9887006315e+10 8.9732958205e+10 8.9893396448e+10 8.9893396448e+10 5.3836602422e+00 5.3836590800e+00 5.3836590800e+00 5.3836427746e+00 5.3835815469e+00 1.8133008245e+12 1.6777216000e+07 1.6777216000e+07 1.6492674417e+12 1.0995116278e+12 1.8133066711e+12 1.8133234483e+12 1.8133008245e+12 1.8133008245e+12 1.8168289512e+12 1.0019456930e+00 9.3750457948e+11 9.3750453862e+11 9.3750244147e+11 0 0 0 0 0 0 0 0
1 8.1405272589e+09 8.1404941478e+09 8.1405000908e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 8.1409441784e+09 8.1343030264e+09 8.1405272589e+09 8.1405272589e+09 5.3308263514e+00 5.3308267337e+00 5.3308267290e+00 5.3308280645e+00 5.3308311234e+00 2.1034115486e+11 1.6777216000e+07 1.6777216000e+07 2.0615843021e+11 1.7179869184e+11 2.1033962701e+11 2.1033648128e+11 2.1034115486e+11 2.1034115486e+11 2.1266812039e+11 1.0110628162e+00 1.3654039384e+11 1.3653953741e+11 1.3653586739e+11 0 0 0 0 0 0 0 0
2 9.5932192266e+09 9.5932333444e+09 9.5932328859e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 9.5925777342e+09 9.5850629835e+09 9.5932192266e+09 9.5932192266e+09 3.6776126360e+00 3.6776144094e+00 3.6776141921e+00 3.6776079619e+00 3.6776268612e+00 1.2121867017e+10 1.6777216000e+07 1.6777216000e+07 3.8654705664e+10 1.9327352832e+10 1.2121800704e+10 1.2121309184e+10 1.2121867017e+10 1.2121867017e+10 1.2380691922e+10 1.0213519010e+00 1.0548643776e+10 1.0548609024e+10 1.0548068352e+10 0 0 0 0 0 0 0 0
3 2.9600320487e+09 2.9600387651e+09 2.9600383008e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.9600258572e+09 2.9602160352e+09 2.9600320487e+09 2.9600320487e+09 3.4706058789e+00 3.4706081449e+00 3.4706080252e+00 3.4706003786e+00 3.4706212532e+00 4.5430416765e+09 1.6777216000e+07 1.0000000000e+00 3.0064771072e+10 2.5769803776e+10 4.5430538240e+09 4.5427261440e+09 4.5430416765e+09 4.5430416765e+09 4.8236266216e+09 1.0617614728e+00 3.6490228253e+09 3.6490321920e+09 3.6487720960e+09 0 1 0 0 0 0 0 0
4 3.7389246096e+09 3.7389175167e+09 3.7389194281e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.7388732585e+09 3.7370660209e+09 3.7389246096e+09 3.7389246096e+09 3.5698997574e+00 3.5699024554e+00 3.5699024870e+00 3.5698904443e+00 3.5698911792e+00 1.7439951796e+09 1.6777216000e+07 1.0000000000e+00 1.9327352832e+10 2.1474836480e+10 1.7439969280e+09 1.7438781440e+09 1.7439951796e+09 1.7439951796e+09 2.0000220672e+09 1.1468048138e+00 1.4423646676e+09 1.4423705600e+09 1.4422691840e+09 0 1 0 0 0 0 0 0
5 1.5796978369e+09 1.5797013209e+09 1.5797006249e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.5797332507e+09 1.5797332507e+09 1.5796978369e+09 1.5796978369e+09 3.0643747926e+00 3.0643794314e+00 3.0643789861e+00 3.0643564266e+00 3.0643758672e+00 4.3704125803e+08 1.0000000000e+00 1.0000000000e+00 2.3622320128e+10 4.2949672960e+10 4.3704627200e+08 4.3701376000e+08 4.3704125803e+08 4.3704125803e+08 5.6900310169e+08 1.3019436752e+00 5.3811038039e+08 5.3811814400e+08 5.3807769600e+08 1 1 0 0 0 0 0 0
6 1.6017642342e+09 1.6017489215e+09 1.6017529544e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.6018507695e+09 1.6002685206e+09 1.6017642342e+09 1.6017642342e+09 2.6920288852e+00 2.6920347689e+00 2.6920341272e+00 2.6920004050e+00 2.6920235268e+00 2.6176691664e+08 1.0000000000e+00 1.0000000000e+00 2.5769803776e+10 2.5769803776e+10 2.6177081600e+08 2.6175155200e+08 2.6176691664e+08 2.6176691664e+08 3.2052176803e+08 1.2244548400e+00 2.8283462529e+08 2.8284057600e+08 2.8281830400e+08 1 1 0 0 0 0 0 0
7 1.0232459483e+09 1.0232501509e+09 1.0232490428e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.0232726486e+09 1.0234445550e+09 1.0232459483e+09 1.0232459483e+09 2.2977296337e+00 2.2977369921e+00 2.2977360983e+00 2.2976914421e+00 2.2977174590e+00 1.0474166601e+08 1.0000000000e+00 1.0000000000e+00 1.9327352832e+10 1.7179869184e+10 1.0474489600e+08 1.0473571200e+08 1.0474166601e+08 1.0474166601e+08 1.3975625532e+08 1.3342947524e+00 1.5338002137e+08 1.5338611200e+08 1.5337152000e+08 1 1 0 0 0 0 0 0
8 7.8468103094e+08 7.8466609407e+08 7.8467064812e+08 0.0000000000e+00 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 7.8468242720e+08 7.8409930358e+08 7.8468103094e+08 7.8468103094e+08 1.8523927144e+00 1.8524001001e+00 1.8523995243e+00 1.8523561401e+00 1.8523893137e+00 9.6000647991e+07 1.0000000000e+00 1.0000000000e+00 4.2949672960e+10 1.2884901888e+10 9.6005472000e+07 9.5995808000e+07 9.6000647991e+07 9.6000647991e+07 1.2015041166e+08 1.2515583402e+00 1.3190782460e+08 1.3191494400e+08 1.3190118400e+08 1 1 0 0 0 0 0 0
