matrix=data/matrices/mhd4800b.mtx n=4800 seed=17
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n abs_dot_d cond_xy_d rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
bnorm=6.3892938372e+00
0 9.2046908450e-01 9.2046604139e-01 9.2046591188e-01 1.8027756377e+00 1.2247448714e+00 9.1895724703e-01 8.9363526361e-01 9.2046907879e-01 9.2046652907e-01 9.2046908450e-01 9.2046908450e-01 2.2975160605e+02 2.2975162787e+02 2.2975160973e+02 2.2975160396e+02 2.2975144624e+02 7.1900778428e+01 6.4000000000e+01 4.0000000000e+01 7.1937500000e+01 6.4125000000e+01 7.1900778770e+01 7.1900820732e+01 7.1900778428e+01 7.1900778428e+01 7.1963550160e+01 1.0008730327e+00 5.4600328047e+01 5.4600327969e+01 5.4600322247e+01 0 0 0 0 0 0 0 0
1 3.2342662290e-01 3.2342516051e-01 3.2342510292e-01 4.8412291828e-01 4.6770717335e-01 3.2344127413e-01 3.1585117206e-01 3.2342663124e-01 3.2342623242e-01 3.2342662290e-01 3.2342662290e-01 9.9575360590e+01 9.9575355232e+01 9.9575368423e+01 9.9575361083e+01 9.9575438680e+01 2.5556755519e+00 6.0000000000e+00 2.5000000000e+00 2.5537109375e+00 2.2783203125e+00 2.5556755662e+00 2.5556713641e+00 2.5556755519e+00 2.5556755519e+00 2.6046236395e+00 1.0191527002e+00 2.5105072296e+00 2.5105072260e+00 2.5105036646e+00 0 0 0 0 0 0 0 0
2 1.5473144588e-01 1.5473011615e-01 1.5473007401e-01 1.2247448714e+00 7.5000000000e-01 1.5458092920e-01 1.5561393974e-01 1.5473144559e-01 1.5473134327e-01 1.5473144588e-01 1.5473144588e-01 6.5736129610e+01 6.5736185816e+01 6.5736193955e+01 6.5736145436e+01 6.5736175855e+01 4.2970683193e-01 3.2500000000e+00 1.5000000000e+00 4.2944335938e-01 3.8769531250e-01 4.2970681004e-01 4.2970646918e-01 4.2970683193e-01 4.2970683193e-01 4.3318243340e-01 1.0080883086e+00 3.9061491821e-01 3.9061490819e-01 3.9061459340e-01 0 0 0 0 0 0 0 0
3 3.4775190498e-02 3.4774847227e-02 3.4774828815e-02 6.9282032303e+00 2.2627416998e+01 3.4332804358e-02 3.2418345064e-02 3.4775192456e-02 3.4775057712e-02 3.4775190498e-02 3.4775190498e-02 3.2242880022e+01 3.2242984668e+01 3.2242995795e+01 3.2242830225e+01 3.2242861322e+01 7.7320479680e-02 1.0000000000e+00 2.1875000000e-01 7.8063964844e-02 6.8542480469e-02 7.7320474666e-02 7.7320405748e-02 7.7320479680e-02 7.7320479680e-02 8.0737447629e-02 1.0441922756e+00 6.9338009430e-02 6.9338006899e-02 6.9337965455e-02 1 0 0 0 0 0 0 0
4 1.7211103677e-02 1.7210957825e-02 1.7210961207e-02 1.0583005244e+01 2.2627416998e+01 1.7993677512e-02 1.8295892573e-02 1.7211102194e-02 1.7211090357e-02 1.7211103677e-02 1.7211103677e-02 3.5862612010e+01 3.5862525264e+01 3.5862532354e+01 3.5862569292e+01 3.5862681168e+01 1.1634645715e-02 6.5536000000e+04 1.0485760000e+06 1.2359619141e-02 1.0726928711e-02 1.1634643772e-02 1.1634637020e-02 1.1634645715e-02 1.1634645715e-02 1.1904563398e-02 1.0231994759e+00 1.0110946814e-02 1.0110945906e-02 1.0110941832e-02 0 0 0 0 0 0 0 0
5 1.3872971933e-02 1.3872751737e-02 1.3872737576e-02 1.2649110641e+01 2.2627416998e+01 1.4016308686e-02 1.3845162968e-02 1.3872972278e-02 1.3872904621e-02 1.3872971933e-02 1.3872971933e-02 2.1917366391e+01 2.1917427896e+01 2.1917445416e+01 2.1917207056e+01 2.1917394085e+01 3.7292108630e-03 1.0485760000e+06 1.0485760000e+06 3.7918090820e-03 2.8953552246e-03 3.7292108173e-03 3.7292100023e-03 3.7292108630e-03 3.7292108630e-03 3.8296712184e-03 1.0269387704e+00 3.3712815364e-03 3.3712814329e-03 3.3712800359e-03 0 0 0 0 0 0 0 0
6 4.9948720611e-03 4.9947382880e-03 4.9947326432e-03 1.4966629547e+01 2.2627416998e+01 4.9374385782e-03 4.4951056249e-03 4.9948723959e-03 4.9948445367e-03 4.9948720611e-03 4.9948720611e-03 1.8934808432e+01 1.8934777591e+01 1.8934797485e+01 1.8934615452e+01 1.8934901017e+01 7.4081785960e-04 1.0485760000e+06 1.0485760000e+06 7.3719024658e-04 6.5994262695e-04 7.4081799539e-04 7.4081793719e-04 7.4081785960e-04 7.4081785960e-04 7.8245296032e-04 1.0562015348e+00 9.2794940829e-04 9.2794954253e-04 9.2794885859e-04 0 0 0 0 0 0 0 0
7 2.4443179388e-03 2.4443192724e-03 2.4443241095e-03 1.6000000000e+01 2.2627416998e+01 2.4837634216e-03 2.7404717188e-03 2.4443181561e-03 2.4443218770e-03 2.4443179388e-03 2.4443179388e-03 1.8907056145e+01 1.8907053775e+01 1.8907077383e+01 1.8906749239e+01 1.8907120923e+01 1.2504544245e-04 1.0485760000e+06 1.0485760000e+06 1.2636184692e-04 1.1825561523e-04 1.2504546612e-04 1.2504526239e-04 1.2504544245e-04 1.2504544245e-04 1.3574897975e-04 1.0855971805e+00 1.6965570556e-04 1.6965573013e-04 1.6965535906e-04 0 0 0 0 0 0 0 0
8 1.2482449240e-03 1.2482048533e-03 1.2482035327e-03 1.9595917942e+01 2.2627416998e+01 1.2418817108e-03 1.1708573055e-03 1.2482448825e-03 1.2482394633e-03 1.2482449240e-03 1.2482449240e-03 1.4765900917e+01 1.4765838189e+01 1.4765864107e+01 1.4765604251e+01 1.4766048222e+01 4.7479905534e-05 1.0485760000e+06 1.0485760000e+06 4.7922134399e-05 7.4863433838e-05 4.7479905334e-05 4.7479747082e-05 4.7479905534e-05 4.7479905534e-05 5.1068238393e-05 1.0755758214e+00 5.3296508471e-05 5.3296502301e-05 5.3296322221e-05 0 0 0 0 0 0 0 0
