matrix=data/matrices/nasa4704.mtx n=4704 seed=1
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n abs_dot_d cond_xy_d rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
bnorm=4.6503452392e+08
0 1.5864091382e+08 1.5864004433e+08 1.5864009171e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 6.7108864000e+07 1.5864022708e+08 1.5839051995e+08 1.5864091382e+08 1.5864091382e+08 1.8930126051e+00 1.8930078796e+00 1.8930081649e+00 1.8930146071e+00 1.8929229567e+00 6.0627509297e+10 1.6777216000e+07 1.6777216000e+07 6.0129542144e+10 2.1474836480e+10 6.0627484672e+10 6.0622831616e+10 6.0627509297e+10 6.0627509297e+10 6.0850402735e+10 1.0036764406e+00 1.8494767180e+10 1.8494783488e+10 1.8492260352e+10 0 0 0 0 0 0 0 0
1 8.7449571773e+07 8.7449031738e+07 8.7449074713e+07 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 1.6777216000e+07 8.7449289586e+07 8.7348646601e+07 8.7449571773e+07 8.7449571773e+07 1.8693864784e+00 1.8693874465e+00 1.8693874530e+00 1.8693864263e+00 1.8694191987e+00 6.7978880850e+09 1.6777216000e+07 1.6777216000e+07 7.5161927680e+09 1.7448304640e+09 6.7979018240e+09 6.7966894080e+09 6.7978880850e+09 6.7978880850e+09 6.9518002308e+09 1.0226411709e+00 2.7484839868e+09 2.7484917760e+09 2.7480453120e+09 0 0 0 0 0 0 0 0
2 5.3246503887e+07 5.3246149836e+07 5.3246182605e+07 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 1.6777216000e+07 5.3246860670e+07 5.3183584521e+07 5.3246503887e+07 5.3246503887e+07 1.7231628210e+00 1.7231637947e+00 1.7231638058e+00 1.7231628677e+00 1.7231812117e+00 2.0885815968e+09 1.0000000000e+00 1.6777216000e+07 2.4159191040e+09 6.0397977600e+08 2.0885913600e+09 2.0883814400e+09 2.0885815968e+09 2.0885815968e+09 2.1465839774e+09 1.0277711825e+00 8.0387544250e+08 8.0387891200e+08 8.0376627200e+08 1 0 0 0 0 0 0 0
3 2.8965564226e+07 2.8965311087e+07 2.8965346998e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 2.8965725804e+07 2.8942288466e+07 2.8965564226e+07 2.8965564226e+07 1.6112367404e+00 1.6112370166e+00 1.6112369805e+00 1.6112368347e+00 1.6112302217e+00 6.4458802939e+08 1.6777216000e+07 1.0485760000e+06 7.3819750400e+08 2.6843545600e+08 6.4459059200e+08 6.4446156800e+08 6.4458802939e+08 6.4458802939e+08 6.8591932269e+08 1.0641204791e+00 2.9761674704e+08 2.9761792000e+08 2.9755827200e+08 0 0 0 0 0 0 0 0
4 2.2490764803e+07 2.2490359082e+07 2.2490400110e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 2.2490786521e+07 2.2471108452e+07 2.2490764803e+07 2.2490764803e+07 1.4681606429e+00 1.4681616662e+00 1.4681615635e+00 1.4681604682e+00 1.4681690788e+00 1.8920617854e+08 1.6777216000e+07 1.6777216000e+07 2.3068672000e+08 2.2649241600e+08 1.8920684800e+08 1.8917401600e+08 1.8920617854e+08 1.8920617854e+08 2.1331350549e+08 1.1274130007e+00 1.1054463249e+08 1.1054502400e+08 1.1052524800e+08 0 0 0 0 0 0 0 0
5 1.7332711729e+07 1.7332450384e+07 1.7332471680e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 8.3886080000e+06 1.7332754323e+07 1.7315896075e+07 1.7332711729e+07 1.7332711729e+07 1.3381578987e+00 1.3381587962e+00 1.3381586656e+00 1.3381580695e+00 1.3381662561e+00 1.3431540481e+08 1.6777216000e+07 1.6777216000e+07 1.8874368000e+08 1.4680064000e+08 1.3431590400e+08 1.3429273600e+08 1.3431540481e+08 1.3431540481e+08 1.5990200724e+08 1.1904964100e+00 6.8766751007e+07 6.8767008000e+07 6.8753888000e+07 0 0 0 0 0 0 0 0
6 1.4351964218e+07 1.4351778471e+07 1.4351809450e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 1.4352009931e+07 1.4342580177e+07 1.4351964218e+07 1.4351964218e+07 1.2483385240e+00 1.2483389340e+00 1.2483388592e+00 1.2483389353e+00 1.2483434163e+00 7.8667845370e+07 1.6777216000e+07 1.0000000000e+00 1.4260633600e+08 1.4260633600e+08 7.8668128000e+07 7.8651424000e+07 7.8667845370e+07 7.8667845370e+07 9.9585615307e+07 1.2658998710e+00 4.2062617792e+07 4.2062768000e+07 4.2053056000e+07 0 1 0 0 0 0 0 0
7 1.0780642668e+07 1.0780456071e+07 1.0780485251e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 8.3886080000e+06 1.0780672000e+07 1.0773099833e+07 1.0780642668e+07 1.0780642668e+07 1.1676643536e+00 1.1676651313e+00 1.1676650194e+00 1.1676647314e+00 1.1676762888e+00 4.1435344639e+07 1.6777216000e+07 1.6777216000e+07 9.8566144000e+07 7.7594624000e+07 4.1435488000e+07 4.1425216000e+07 4.1435344639e+07 4.1435344639e+07 5.4174282943e+07 1.3074413503e+00 2.4364776490e+07 2.4364864000e+07 2.4358800000e+07 0 0 0 0 0 0 0 0
8 1.0297296281e+07 1.0297161112e+07 1.0297182293e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 8.3886080000e+06 1.0297340741e+07 1.0290352032e+07 1.0297296281e+07 1.0297296281e+07 1.0947925878e+00 1.0947930110e+00 1.0947929905e+00 1.0947932792e+00 1.0947957107e+00 2.1041951632e+07 1.6777216000e+07 1.6777216000e+07 6.9206016000e+07 8.1788928000e+07 2.1042032000e+07 2.1036544000e+07 2.1041951632e+07 2.1041951632e+07 2.7578658285e+07 1.3106511586e+00 1.3331010734e+07 1.3331062000e+07 1.3327610000e+07 0 0 0 0 0 0 0 0
9 8.8439019724e+06 8.8436955967e+06 8.8437231043e+06 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 8.3886080000e+06 8.8439611842e+06 8.8357622354e+06 8.8439019724e+06 8.8439019724e+06 1.0394767356e+00 1.0394774029e+00 1.0394773896e+00 1.0394776262e+00 1.0394812344e+00 2.0165201421e+07 1.6777216000e+07 1.0000000000e+00 1.1114905600e+08 6.3963136000e+07 2.0165288000e+07 2.0160328000e+07 2.0165201421e+07 2.0165201421e+07 2.6911366503e+07 1.3345448896e+00 1.0564806090e+07 1.0564848000e+07 1.0562192000e+07 0 1 0 0 0 0 0 0
10 7.4679966985e+06 7.4678434991e+06 7.4678634376e+06 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 8.3886080000e+06 7.4680133958e+06 7.4618643216e+06 7.4679966985e+06 7.4679966985e+06 9.9231153248e-01 9.9231214692e-01 9.9231212284e-01 9.9231261697e-01 9.9231656343e-01 1.2072175033e+07 1.6777216000e+07 2.6214400000e+05 1.2582912000e+08 6.0817408000e+07 1.2072222000e+07 1.2069068000e+07 1.2072175033e+07 1.2072175033e+07 1.6876558218e+07 1.3979716308e+00 7.2321392476e+06 7.2321660000e+06 7.2302260000e+06 0 0 0 0 0 0 0 0
11 4.3654187929e+06 4.3653265325e+06 4.3653375819e+06 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 8.3886080000e+06 4.3654367855e+06 4.3618996149e+06 4.3654187929e+06 4.3654187929e+06 9.4892077685e-01 9.4892122164e-01 9.4892119838e-01 9.4892211467e-01 9.4892584553e-01 8.6726483975e+06 1.0000000000e+00 1.6777216000e+07 1.5099494400e+08 5.7671680000e+07 8.6726800000e+06 8.6702940000e+06 8.6726483975e+06 8.6726483975e+06 1.2922452521e+07 1.4900238000e+00 5.1735652452e+06 5.1735830000e+06 5.1721340000e+06 1 0 0 0 0 0 0 0
12 3.5681790160e+06 3.5681115063e+06 3.5681242899e+06 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 8.3886080000e+06 3.5681779213e+06 3.5665318766e+06 3.5681790160e+06 3.5681790160e+06 9.1423348776e-01 9.1423381498e-01 9.1423383380e-01 9.1423502866e-01 9.1423717620e-01 5.8502466260e+06 1.6777216000e+07 1.6777216000e+07 1.5099494400e+08 5.6623104000e+07 5.8502650000e+06 5.8486040000e+06 5.8502466260e+06 5.8502466260e+06 8.6871507623e+06 1.4849204346e+00 3.5387457616e+06 3.5387560000e+06 3.5377450000e+06 0 0 0 0 0 0 0 0
13 3.2239684728e+06 3.2238906048e+06 3.2238982482e+06 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.1863283203e+07 3.2239761449e+06 3.2223521223e+06 3.2239684728e+06 3.2239684728e+06 8.8720736692e-01 8.8720785608e-01 8.8720791277e-01 8.8720908411e-01 8.8721175748e-01 3.5826953301e+06 1.6777216000e+07 1.0000000000e+00 1.9293798400e+08 5.8720256000e+07 3.5827045000e+06 3.5816735000e+06 3.5826953301e+06 3.5826953301e+06 5.4291435085e+06 1.5153796257e+00 2.3301718285e+06 2.3301775000e+06 2.3295040000e+06 0 1 0 0 0 0 0 0
14 2.3582591028e+06 2.3581731773e+06 2.3581820704e+06 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.1863283203e+07 2.3582575492e+06 2.3564711978e+06 2.3582591028e+06 2.3582591028e+06 8.5888804509e-01 8.5888854612e-01 8.5888867037e-01 8.5889004436e-01 8.5888948100e-01 2.4225689411e+06 1.0000000000e+00 1.6777216000e+07 1.9293798400e+08 4.8234496000e+07 2.4225745000e+06 2.4218660000e+06 2.4225689411e+06 2.4225689411e+06 3.7505348618e+06 1.5481643466e+00 1.7694700765e+06 1.7694735000e+06 1.7689557500e+06 1 0 0 0 0 0 0 0
15 2.4454376358e+06 2.4454508235e+06 2.4454413902e+06 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 8.3886080000e+06 2.4454320641e+06 2.4455281111e+06 2.4454376358e+06 2.4454376358e+06 8.3483934437e-01 8.3484016740e-01 8.3484029980e-01 8.3484156745e-01 8.3484433862e-01 1.5951953755e+06 1.0000000000e+00 1.6777216000e+07 1.8035507200e+08 6.9206016000e+07 1.5951975000e+06 1.5947417500e+06 1.5951953755e+06 1.5951953755e+06 2.5995012053e+06 1.6295817084e+00 1.2135181544e+06 1.2135192500e+06 1.2131622500e+06 1 0 0 0 0 0 0 0
16 1.9356324839e+06 1.9354000250e+06 1.9354367308e+06 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 8.3886080000e+06 1.9356319640e+06 1.9318752628e+06 1.9356324839e+06 1.9356324839e+06 8.1318859835e-01 8.1318925801e-01 8.1318944156e-01 8.1319117024e-01 8.1318687426e-01 1.3441662379e+06 1.0000000000e+00 1.6777216000e+07 3.1876710400e+08 5.8720256000e+07 1.3441667500e+06 1.3437877500e+06 1.3441662379e+06 1.3441662379e+06 2.2747916195e+06 1.6923439641e+00 9.8218470982e+05 9.8218462500e+05 9.8189618750e+05 1 0 0 0 0 0 0 0
17 1.8143543409e+06 1.8142180142e+06 1.8142317411e+06 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 8.3886080000e+06 1.8143615635e+06 1.8117937322e+06 1.8143543409e+06 1.8143543409e+06 7.9312407446e-01 7.9312533832e-01 7.9312550372e-01 7.9312680230e-01 7.9313339078e-01 1.2332573728e+06 1.0000000000e+00 1.6777216000e+07 6.0397977600e+08 5.1380224000e+07 1.2332570000e+06 1.2330127500e+06 1.2332573728e+06 1.2332573728e+06 2.0514557500e+06 1.6634449509e+00 8.1694227724e+05 8.1694150000e+05 8.1672737500e+05 1 0 0 0 0 0 0 0
18 1.7490247786e+06 1.7490778059e+06 1.7490692629e+06 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 8.3886080000e+06 1.7489967962e+06 1.7515321694e+06 1.7490247786e+06 1.7490247786e+06 7.7476559756e-01 7.7476637974e-01 7.7476664704e-01 7.7476855468e-01 7.7476156052e-01 1.1750095264e+06 1.0000000000e+00 1.6777216000e+07 8.0530636800e+08 5.7671680000e+07 1.1750065000e+06 1.1748277500e+06 1.1750095264e+06 1.1750095264e+06 1.9608939571e+06 1.6688323907e+00 7.2059797810e+05 7.2059618750e+05 7.2042587500e+05 1 0 0 0 0 0 0 0
19 1.5910903612e+06 1.5910823228e+06 1.5910796867e+06 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 8.3886080000e+06 1.5910627165e+06 1.5928964307e+06 1.5910903612e+06 1.5910903612e+06 7.5655550056e-01 7.5655711788e-01 7.5655731723e-01 7.5655860151e-01 7.5657026067e-01 8.3535368609e+05 1.0000000000e+00 1.6777216000e+07 7.3819750400e+08 5.3477376000e+07 8.3534956250e+05 8.3527418750e+05 8.3535368609e+05 8.3535368609e+05 1.5065534563e+06 1.8034917201e+00 5.7419281877e+05 5.7419043750e+05 5.7405825000e+05 1 0 0 0 0 0 0 0
20 1.4123030672e+06 1.4114200558e+06 1.4115481577e+06 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 8.3886080000e+06 1.4123124417e+06 1.3982696565e+06 1.4123030672e+06 1.4123030672e+06 7.3827007287e-01 7.3827074656e-01 7.3827113812e-01 7.3827341660e-01 7.3826431188e-01 7.1244309188e+05 1.0000000000e+00 1.6777216000e+07 1.1408506880e+09 6.1865984000e+07 7.1243675000e+05 7.1260331250e+05 7.1244309188e+05 7.1244309188e+05 1.3400995862e+06 1.8809917612e+00 5.0369194568e+05 5.0368875000e+05 5.0361781250e+05 1 0 0 0 0 0 0 0
21 1.4251892971e+06 1.4251256272e+06 1.4251370317e+06 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 8.3886080000e+06 1.4250048165e+06 1.4373779705e+06 1.4251892971e+06 1.4251892971e+06 7.2057178963e-01 7.2057439303e-01 7.2057459939e-01 7.2057506084e-01 7.2062623895e-01 5.5849205520e+05 1.0000000000e+00 1.6777216000e+07 1.5435038720e+09 4.8234496000e+07 5.5847837500e+05 5.5955268750e+05 5.5849205520e+05 5.5849205520e+05 1.0628985106e+06 1.9031577991e+00 4.1663543899e+05 4.1663053125e+05 4.1675478125e+05 1 0 0 0 0 0 0 0
22 1.5964742289e+06 1.5959691280e+06 1.5960455863e+06 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 1.1863283203e+07 1.5961739393e+06 1.6126332257e+06 1.5964742289e+06 1.5964742289e+06 7.0488773861e-01 7.0488735629e-01 7.0488809833e-01 7.0489095160e-01 7.0492868383e-01 5.1908384688e+05 1.0000000000e+00 1.6777216000e+07 1.6777216000e+09 4.7185920000e+07 5.1903984375e+05 5.2358684375e+05 5.1908384688e+05 5.1908384688e+05 9.9106915467e+05 1.9092660283e+00 3.5679405820e+05 3.5678256250e+05 3.5765615625e+05 1 0 0 0 0 0 0 0
