matrix=data/matrices/nos2.mtx n=957 seed=13
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n abs_dot_d cond_xy_d rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
bnorm=1.7977927639e+12
0 7.9392937139e+10 7.9392764260e+10 7.9392767806e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 7.9369787080e+10 7.9311662000e+10 7.9392937139e+10 7.9392937139e+10 9.5563498776e+00 9.5563558711e+00 9.5563558711e+00 9.5562787280e+00 9.5561843616e+00 9.6213203031e+13 1.6777216000e+07 1.6777216000e+07 7.0368744178e+13 8.7960930222e+12 9.6213709881e+13 9.6210488656e+13 9.6213203031e+13 9.6213203031e+13 9.6223125453e+13 1.0001031295e+00 4.9459341813e+13 4.9459232768e+13 4.9457085284e+13 0 0 0 0 0 0 0 0
1 5.3384098835e+10 5.3385291123e+10 5.3385291123e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 5.3363996443e+10 5.3234209474e+10 5.3384098835e+10 5.3384098835e+10 9.1941555047e+00 9.1941489390e+00 9.1941489390e+00 9.1942329318e+00 9.1943440001e+00 2.1867905232e+11 1.6777216000e+07 1.6777216000e+07 8.2463372083e+11 2.7487790694e+11 2.1867580621e+11 2.1866532045e+11 2.1867905232e+11 2.1867905232e+11 2.3355042748e+11 1.0680054857e+00 2.5072283421e+11 2.5071924019e+11 2.5070927872e+11 0 0 0 0 0 0 0 0
2 3.7609922034e+10 3.7610117924e+10 3.7610117924e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.7611629666e+10 3.7626953207e+10 3.7609922034e+10 3.7609922034e+10 6.4027449425e+00 6.4027436501e+00 6.4027436501e+00 6.4027521014e+00 6.4027592694e+00 9.6452831813e+10 1.6777216000e+07 1.6777216000e+07 2.0615843021e+11 1.0307921510e+11 9.6451690496e+10 9.6449855488e+10 9.6452831813e+10 9.6452831813e+10 1.1232509836e+11 1.1645598812e+00 1.6164741381e+11 1.6164533043e+11 1.6164113613e+11 0 0 0 0 0 0 0 0
3 2.1516367128e+10 2.1516399331e+10 2.1516399331e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.1515064120e+10 2.1494959711e+10 2.1516367128e+10 2.1516367128e+10 5.6709392680e+00 5.6709402219e+00 5.6709402219e+00 5.6709308442e+00 5.6709114174e+00 2.2379645959e+10 1.6777216000e+07 1.6777216000e+07 4.8103633715e+11 1.0307921510e+11 2.2379298816e+10 2.2378774528e+10 2.2379645959e+10 2.2379645959e+10 2.7267239315e+10 1.2183945789e+00 2.8078659260e+10 2.8078211072e+10 2.8077621248e+10 0 0 0 0 0 0 0 0
4 1.0824844730e+10 1.0825027344e+10 1.0825029375e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.0822643813e+10 1.0814318061e+10 1.0824844730e+10 1.0824844730e+10 4.8538087335e+00 4.8538074178e+00 4.8538075915e+00 4.8538171663e+00 4.8538470030e+00 1.0100212768e+10 1.0000000000e+00 1.6777216000e+07 5.1539607552e+10 1.3743895347e+11 1.0100064256e+10 1.0099949568e+10 1.0100212768e+10 1.0100212768e+10 1.3292688627e+10 1.3160800601e+00 2.3304248647e+10 2.3303880704e+10 2.3303028736e+10 1 0 0 0 0 0 0 0
5 1.9006240577e+10 1.9006346845e+10 1.9006339440e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.9004016978e+10 1.8981253125e+10 1.9006240577e+10 1.9006240577e+10 4.5648324793e+00 4.5648317841e+00 4.5648319250e+00 4.5648408043e+00 4.5648558692e+00 7.2862559471e+09 1.6777216000e+07 1.0000000000e+00 6.8719476736e+10 8.5899345920e+10 7.2861532160e+09 7.2856862720e+09 7.2862559471e+09 7.2862559471e+09 1.0126515280e+10 1.3898105355e+00 9.2884454283e+09 9.2883025920e+09 9.2875489280e+09 0 1 0 0 0 0 0 0
6 1.3204789807e+10 1.3204824773e+10 1.3204819444e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.3205278398e+10 1.3197090770e+10 1.3204789807e+10 1.3204789807e+10 4.0693629775e+00 4.0693627866e+00 4.0693630523e+00 4.0693685591e+00 4.0693871112e+00 3.2100976295e+09 1.6777216000e+07 1.6777216000e+07 1.9327352832e+10 6.8719476736e+10 3.2100413440e+09 3.2097280000e+09 3.2100976295e+09 3.2100976295e+09 4.7653492058e+09 1.4844873134e+00 6.6588813011e+09 6.6587607040e+09 6.6581135360e+09 0 0 0 0 0 0 0 0
7 5.0130725981e+09 5.0132046809e+09 5.0132095060e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 5.0111946203e+09 5.0057994693e+09 5.0130725981e+09 5.0130725981e+09 3.8226977709e+00 3.8226971594e+00 3.8226975809e+00 3.8227050861e+00 3.8227359688e+00 3.1461569918e+09 1.0000000000e+00 1.6777216000e+07 5.3687091200e+09 6.8719476736e+10 3.1461007360e+09 3.1457935360e+09 3.1461569918e+09 3.1461569918e+09 4.6103581642e+09 1.4653935504e+00 5.0120610347e+09 5.0119639040e+09 5.0114887680e+09 1 0 0 0 0 0 0 0
8 1.1968938134e+10 1.1968993063e+10 1.1968977998e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.1968729964e+10 1.1962707961e+10 1.1968938134e+10 1.1968938134e+10 3.6264999891e+00 3.6265002743e+00 3.6265005962e+00 3.6265082925e+00 3.6265201711e+00 1.7203150624e+09 1.0000000000e+00 1.6777216000e+07 7.5161927680e+09 6.8719476736e+10 1.7202841600e+09 1.7201111040e+09 1.7203150624e+09 1.7203150624e+09 2.8114808885e+09 1.6342825509e+00 2.6822932506e+09 2.6822389760e+09 2.6819932160e+09 1 0 0 0 0 0 0 0
