matrix=data/matrices/sts4098.mtx n=4098 seed=2
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n abs_dot_d cond_xy_d rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
bnorm=3.6121957967e+08
0 1.0239911433e+08 1.0239912968e+08 1.0239912968e+08 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 6.7108864000e+07 1.0239869451e+08 1.0235036411e+08 1.0239911433e+08 1.0239911433e+08 1.9934035425e+00 1.9934019441e+00 1.9934019441e+00 1.9934041306e+00 1.9935095053e+00 1.4252791491e+10 1.6777216000e+07 1.6777216000e+07 1.3958643712e+10 7.5161927680e+09 1.4252785664e+10 1.4251130880e+10 1.4252791491e+10 1.4252791491e+10 1.4264382900e+10 1.0008132729e+00 4.0214939652e+09 4.0214937600e+09 4.0212828160e+09 0 0 0 0 0 0 0 0
1 2.5643039649e+07 2.5642977822e+07 2.5642976514e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 3.3554432000e+07 2.5643257845e+07 2.5634211835e+07 2.5643039649e+07 2.5643039649e+07 1.9942556944e+00 1.9942559532e+00 1.9942559343e+00 1.9942559012e+00 1.9942484326e+00 1.0987854384e+09 1.6777216000e+07 1.6777216000e+07 1.2079595520e+09 1.4092861440e+09 1.0987857920e+09 1.0988687360e+09 1.0987854384e+09 1.0987854384e+09 1.1083095163e+09 1.0086678232e+00 3.7048129432e+08 3.7048166400e+08 3.7050496000e+08 0 0 0 0 0 0 0 0
2 1.0972505528e+07 1.0972402307e+07 1.0972398485e+07 4.0960000000e+03 4.0960000000e+03 1.1863283203e+07 1.6777216000e+07 1.0972534951e+07 1.0972632807e+07 1.0972505528e+07 1.0972505528e+07 1.3926792822e+00 1.3926797937e+00 1.3926798003e+00 1.3926788943e+00 1.3926651178e+00 1.0770166613e+08 1.0000000000e+00 1.6777216000e+07 1.2373196800e+08 1.3841203200e+08 1.0770208000e+08 1.0771123200e+08 1.0770166613e+08 1.0770166613e+08 1.1258613815e+08 1.0453518706e+00 6.0944814184e+07 6.0945008000e+07 6.0949776000e+07 1 0 0 0 0 0 0 0
3 1.9436602373e+07 1.9436412985e+07 1.9436411259e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 1.9436479450e+07 1.9432501501e+07 1.9436602373e+07 1.9436602373e+07 1.4559318145e+00 1.4559235117e+00 1.4559234853e+00 1.4559337954e+00 1.4558949394e+00 6.5042781526e+07 1.6777216000e+07 1.6777216000e+07 8.3886080000e+07 6.0817408000e+07 6.5042928000e+07 6.5047712000e+07 6.5042781526e+07 6.5042781526e+07 7.2601064165e+07 1.1162047880e+00 3.4535773255e+07 3.4535824000e+07 3.4537408000e+07 0 0 0 0 0 0 0 0
4 1.1015248649e+07 1.1015324069e+07 1.1015325973e+07 4.0960000000e+03 4.0960000000e+03 1.1863283203e+07 8.3886080000e+06 1.1015166810e+07 1.1011169467e+07 1.1015248649e+07 1.1015248649e+07 1.1242016768e+00 1.1241974256e+00 1.1241974198e+00 1.1242028603e+00 1.1241641841e+00 2.7962390217e+07 1.6777216000e+07 1.6777216000e+07 3.7748736000e+07 2.7262976000e+07 2.7962400000e+07 2.7963104000e+07 2.7962390217e+07 2.7962390217e+07 3.3699986487e+07 1.2051897647e+00 1.7233232653e+07 1.7233248000e+07 1.7233200000e+07 0 0 0 0 0 0 0 0
5 5.6190562011e+06 5.6190443452e+06 5.6190424791e+06 4.0960000000e+03 4.0960000000e+03 8.3886080000e+06 4.1943040000e+06 5.6191148837e+06 5.6183743714e+06 5.6190562011e+06 5.6190562011e+06 1.0029507089e+00 1.0029461442e+00 1.0029460783e+00 1.0029477626e+00 1.0029235304e+00 1.7437095089e+07 1.0000000000e+00 1.6777216000e+07 2.4641536000e+07 2.6214400000e+07 1.7437128000e+07 1.7436472000e+07 1.7437095089e+07 1.7437095089e+07 2.2391791454e+07 1.2841468914e+00 1.0436268631e+07 1.0436280000e+07 1.0435924000e+07 1 0 0 0 0 0 0 0
6 5.9371349692e+06 5.9370435589e+06 5.9370414395e+06 4.0960000000e+03 4.0960000000e+03 8.3886080000e+06 5.9316416015e+06 5.9372957609e+06 5.9370696979e+06 5.9371349692e+06 5.9371349692e+06 9.9429360690e-01 9.9428859995e-01 9.9428836578e-01 9.9428943411e-01 9.9425350941e-01 9.2089952550e+06 1.6777216000e+07 1.6777216000e+07 1.3893632000e+07 1.5335424000e+07 9.2089900000e+06 9.2087980000e+06 9.2089952550e+06 9.2089952550e+06 1.2309754932e+07 1.3367098789e+00 6.3623741425e+06 6.3623660000e+06 6.3621980000e+06 0 0 0 0 0 0 0 0
7 4.8985334095e+06 4.8985251017e+06 4.8985246736e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 5.9316416015e+06 4.8985968111e+06 4.8972266586e+06 4.8985334095e+06 4.8985334095e+06 8.8875439437e-01 8.8875176593e-01 8.8875158593e-01 8.8875097209e-01 8.8873420675e-01 6.1756246627e+06 1.6777216000e+07 1.0000000000e+00 1.1403264000e+07 1.0223616000e+07 6.1756120000e+06 6.1754240000e+06 6.1756246627e+06 6.1756246627e+06 8.5441449934e+06 1.3835272479e+00 4.1624947936e+06 4.1624860000e+06 4.1623520000e+06 0 1 0 0 0 0 0 0
8 3.9604058891e+06 3.9604032364e+06 3.9604042954e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 4.1943040000e+06 3.9603215555e+06 3.9594911484e+06 3.9604058891e+06 3.9604058891e+06 7.7881434288e-01 7.7881357380e-01 7.7881345319e-01 7.7881123490e-01 7.7880142876e-01 4.0395036932e+06 1.0000000000e+00 1.6777216000e+07 8.6507520000e+06 7.1434240000e+06 4.0394940000e+06 4.0393635000e+06 4.0395036932e+06 4.0395036932e+06 5.9024469530e+06 1.4611812246e+00 2.9777720587e+06 2.9777635000e+06 2.9776395000e+06 1 0 0 0 0 0 0 0
