matrix,bitwidth,lambda_max,condest_cmsw,condest_method,nnz_static,saturated_count,total_entries,sat_fraction
mhd4800b,8,2.20022,FAIL,FAIL,27520,27175,27520,0.987464
mhd4800b,16,2.19625,FAIL,FAIL,27520,3620,27520,0.131541
mhd4800b,32,2.19627,1.301174e+06,CHOL,27520,0,27520,0
mhd4800b,64,2.19627,1.301186e+06,CHOL,27520,0,27520,0
bcsstk38,8,1743.98,3.421845e+03,INVPOWER,355460,324703,355460,0.913473
bcsstk38,16,2.91863e+09,5.652297e+05,INVPOWER,355460,10673,355460,0.0300259
bcsstk38,32,4.04224e+11,6.391547e+13,CHOL,355460,0,355460,0
bcsstk38,64,4.04224e+11,6.427296e+13,CHOL,355460,0,355460,0
bcsstk02,8,698.975,1.149986e+03,INVPOWER,4356,1464,4356,0.336088
bcsstk02,16,18243.3,1.420898e+04,CHOL,4356,16,4356,0.00367309
bcsstk02,32,18225.7,2.330770e+04,CHOL,4356,0,4356,0
bcsstk02,64,18225.7,2.330772e+04,CHOL,4356,0,4356,0
bcsstk03,8,258.674,FAIL,FAIL,640,640,640,1
bcsstk03,16,1.03335e+09,3.562839e+05,INVPOWER,640,236,640,0.36875
bcsstk03,32,1.99735e+11,7.880155e+08,CHOL,640,0,640,0
bcsstk03,64,1.99734e+11,7.880355e+08,CHOL,640,0,640,0
bcsstk05,8,839.922,FAIL,FAIL,2423,2423,2423,1
bcsstk05,16,5.95051e+06,1.139318e+04,INVPOWER,2423,2,2423,0.000825423
bcsstk05,32,6.19729e+06,4.216958e+05,CHOL,2423,0,2423,0
bcsstk05,64,6.19729e+06,4.217013e+05,CHOL,2423,0,2423,0
bcsstk01,8,421.25,4.227642e+02,LU,400,400,400,1
bcsstk01,16,8.71586e+08,2.732616e+05,LU,400,46,400,0.115
bcsstk01,32,3.01518e+09,4.541361e+07,CHOL,400,0,400,0
bcsstk01,64,3.01518e+09,4.541351e+07,CHOL,400,0,400,0
bcsstk14,8,913.262,2.513480e+06,LU,63454,61054,63454,0.962177
bcsstk14,16,1.68386e+09,5.930436e+18,LU,63454,4066,63454,0.0640779
bcsstk14,32,1.19196e+10,1.215207e+10,CHOL,63454,0,63454,0
bcsstk14,64,1.19196e+10,1.215207e+10,CHOL,63454,0,63454,0
nasa4704,8,1047.66,FAIL,FAIL,104756,100624,104756,0.960556
nasa4704,16,1.65731e+08,3.727349e+09,LU,104756,10904,104756,0.10409
nasa4704,32,2.0661e+08,9.513034e+07,CHOL,104756,0,104756,0
nasa4704,64,2.0661e+08,9.558894e+07,CHOL,104756,0,104756,0
nos1,8,191.999,1.318239e+02,INVPOWER,1017,1017,1017,1
nos1,16,8.04876e+08,6.371988e+06,INVPOWER,1017,235,1017,0.231072
nos1,32,2.45652e+09,1.987381e+08,CHOL,1017,0,1017,0
nos1,64,2.45652e+09,1.987381e+08,CHOL,1017,0,1017,0
nos2,8,191.998,5.287727e+02,INVPOWER,4137,4137,4137,1
nos2,16,8.27364e+08,2.612722e+07,INVPOWER,4137,2227,4137,0.538313
nos2,32,1.572e+11,2.484090e+10,CHOL,4137,0,4137,0
nos2,64,1.572e+11,2.484090e+10,CHOL,4137,0,4137,0
nos3,8,379.57,6.133362e+04,LU,15844,5796,15844,0.365817
nos3,16,689.024,1.675010e+04,INVPOWER,15844,3964,15844,0.250189
nos3,32,689.367,6.508549e+03,CHOL,15844,0,15844,0
nos3,64,689.367,6.508293e+03,CHOL,15844,0,15844,0
nos5,8,431.624,2.609649e+04,INVPOWER,5172,5172,5172,1
nos5,16,586241,3.184570e+04,CHOL,5172,892,5172,0.172467
nos5,32,582029,7.561806e+04,CHOL,5172,0,5172,0
nos5,64,582029,7.561805e+04,CHOL,5172,0,5172,0
nos6,8,301.883,6.592079e+03,INVPOWER,3255,2270,3255,0.697389
nos6,16,7.78041e+06,7.634694e+06,CHOL,3255,0,3255,0
nos6,32,7.6506e+06,1.070378e+07,CHOL,3255,0,3255,0
nos6,64,7.6506e+06,1.070378e+07,CHOL,3255,0,3255,0
sts4098,8,2067.12,2.201617e+06,INVPOWER,72356,42642,72356,0.589336
sts4098,16,3.64748e+08,9.934263e+07,INVPOWER,72356,4642,72356,0.064155
sts4098,32,3.07102e+08,1.942754e+08,CHOL,72356,14,72356,0.000193488
sts4098,64,3.07103e+08,1.942754e+08,CHOL,72356,0,72356,0
