matrix,bitwidth,lambda_max,condest_cmsw,condest_method,nnz_static,saturated_count,total_entries,sat_fraction
mhd4800b,8,2.20022,FAIL,FAIL,27520,27175,27520,0.987464
mhd4800b,16,2.19625,FAIL,FAIL,27520,3620,27520,0.131541
mhd4800b,32,2.19627,1.301174e+06,CHOL,27520,0,27520,0
mhd4800b,64,2.19627,1.301186e+06,CHOL,27520,0,27520,0
bcsstk38,8,1743.98,3.421845e+03,INVPOWER,355460,324703,355460,0.913473
bcsstk38,16,2.91863e+09,5.652297e+05,INVPOWER,355460,10673,355460,0.0300259
bcsstk38,32,4.04224e+11,6.391547e+13,CHOL,355460,0,355460,0
bcsstk38,64,4.04224e+11,6.427296e+13,CHOL,355460,0,355460,0
bcsstk03,8,258.674,FAIL,FAIL,640,640,640,1
bcsstk03,16,1.03335e+09,3.562839e+05,INVPOWER,640,236,640,0.36875
bcsstk03,32,1.99735e+11,7.880155e+08,CHOL,640,0,640,0
bcsstk03,64,1.99734e+11,7.880355e+08,CHOL,640,0,640,0
bcsstk14,8,913.262,2.513480e+06,LU,63454,61054,63454,0.962177
bcsstk14,16,1.68386e+09,5.930436e+18,LU,63454,4066,63454,0.0640779
bcsstk14,32,1.19196e+10,1.215207e+10,CHOL,63454,0,63454,0
bcsstk14,64,1.19196e+10,1.215207e+10,CHOL,63454,0,63454,0
nasa4704,8,1047.66,FAIL,FAIL,104756,100624,104756,0.960556
nasa4704,16,1.65731e+08,3.727349e+09,LU,104756,10904,104756,0.10409
nasa4704,32,2.0661e+08,9.513034e+07,CHOL,104756,0,104756,0
nasa4704,64,2.0661e+08,9.558894e+07,CHOL,104756,0,104756,0
nos2,8,191.998,5.287727e+02,INVPOWER,4137,4137,4137,1
nos2,16,8.27364e+08,2.612722e+07,INVPOWER,4137,2227,4137,0.538313
nos2,32,1.572e+11,2.484090e+10,CHOL,4137,0,4137,0
nos2,64,1.572e+11,2.484090e+10,CHOL,4137,0,4137,0
sts4098,8,2067.12,2.201617e+06,INVPOWER,72356,42642,72356,0.589336
sts4098,16,3.64748e+08,9.934263e+07,INVPOWER,72356,4642,72356,0.064155
sts4098,32,3.07102e+08,1.942754e+08,CHOL,72356,14,72356,0.000193488
sts4098,64,3.07103e+08,1.942754e+08,CHOL,72356,0,72356,0
bcsstk36,8,1759.6,2.261602e+05,INVPOWER,1143140,1073540,1143140,0.939115
bcsstk36,16,1.69615e+08,FAIL,FAIL,1143140,11784,1143140,0.0103084
bcsstk36,32,1.77539e+08,1.030572e+10,INVPOWER,1143140,0,1143140,0
bcsstk36,64,1.77539e+08,4.068413e+09,CHOL,1143140,0,1143140,0
bcsstk37,8,1384.51,FAIL,FAIL,1140977,941877,1140977,0.8255
bcsstk37,16,7.55357e+07,3.909190e+05,INVPOWER,1140977,30416,1140977,0.0266579
bcsstk37,32,8.41287e+07,1.155005e+10,INVPOWER,1140977,0,1140977,0
bcsstk37,64,8.41287e+07,1.146071e+10,INVPOWER,1140977,0,1140977,0
s3dkt3m2,8,1131.65,FAIL,FAIL,3686223,2290669,3753461,0.610282
s3dkt3m2,16,8789.11,8.052755e+03,INVPOWER,3686223,170864,3753461,0.0455217
s3dkt3m2,32,8789.54,1.694708e+06,INVPOWER,3686223,8,3753461,2.13137e-06
s3dkt3m2,64,8789.54,4.416764e+06,CHOL,3686223,0,3753461,0
nasasrb,8,1541.51,FAIL,FAIL,2677324,2546654,2677324,0.951194
nasasrb,16,1.73531e+09,4.278093e+02,INVPOWER,2677324,93137,2677324,0.0347873
nasasrb,32,2.64802e+09,2.819209e+09,CHOL,2677324,0,2677324,0
nasasrb,64,2.64802e+09,2.503357e+09,CHOL,2677324,0,2677324,0
s3dkq4m2,8,922.124,FAIL,FAIL,4427725,2914905,4820891,0.60464
s3dkq4m2,16,4594.7,5.156258e+05,INVPOWER,4427725,589348,4820891,0.122249
s3dkq4m2,32,4598.74,3.089717e+07,CHOL,4427725,0,4820891,0
s3dkq4m2,64,4598.74,4.099918e+07,CHOL,4427725,0,4820891,0
bodyy4,8,189.483,6.504030e+02,INVPOWER,121550,20963,121938,0.171915
bodyy4,16,832.224,8.792271e+02,CHOL,121550,32,121938,0.000262428
bodyy4,32,832.222,8.798551e+02,CHOL,121550,0,121938,0
bodyy4,64,832.222,8.798551e+02,CHOL,121550,0,121938,0
