matrix,n_trials,n_diverged,frac_diverged,mean_div_iter,median_div_iter,stdev_div_iter,min_div_iter,max_div_iter
bcsstk03,50,15,0.3,140.2,161,52.8774684214994,33,199
bcsstk14,50,50,1.0,11.64,8.5,11.385534682218486,0,46
bcsstk36,50,50,1.0,0.6,0.0,2.4819347291981715,0,17
bcsstk37,50,50,1.0,0.8,0.0,2.12602916254693,0,10
bcsstk38,50,50,1.0,0.1,0.0,0.7,0,5
bodyy4,50,50,1.0,1.58,0.0,2.661503334583671,0,14
mhd4800b,50,50,1.0,1.78,0.5,2.229708501127446,0,6
nasa4704,50,50,1.0,2.24,0.0,4.5058184606128995,0,21
nasasrb,50,50,1.0,1.38,0.0,2.8063499425410225,0,12
nos2,50,50,1.0,105.86,117.0,47.42362702282482,0,188
s3dkq4m2,50,50,1.0,0.06,0.0,0.23748684174075835,0,1
s3dkt3m2,50,50,1.0,0.7,0.0,1.5264337522473748,0,6
sts4098,50,50,1.0,4.44,3.0,4.779790790400768,0,18
