matrix,n_iters_logged,divergence_iter,final_err_quire,final_err_naive,max_err_quire,max_err_naive,gain_final
bcsstk03,300,no_divergence_detected,7.523163845297007e-37,7.523163845297007e-37,0.03215497616164845,0.21177319921501975,1.0
bcsstk14,300,32,6.48823119394888e-07,7.210678270947323e-05,3.329484133761143e-06,0.00013061971467298245,111.13473079800578
bcsstk36,300,6,3.125772754551973e-09,1.044292310280378e-08,1.5587196649830626e-08,1.7257289070553043e-06,3.340909247991893
bcsstk37,300,0,9.602927610985657e-09,9.450621885439546e-07,3.5071599753889114e-08,3.26919304376965e-06,98.41396570175252
bcsstk38,300,0,0.0,8.715349884867404e-08,3.467386864843998e-08,1.95358933850923e-06,
bodyy4,300,0,0.0032704595109303803,0.7668871579423231,0.006229492397431332,0.7963319854272263,234.4891154833955
mhd4800b,300,6,7.5231638453e-37,7.5231638453e-37,0.01774816999917666,0.40132460589444413,1.0
nasa4704,300,0,6.384163508571566e-09,1.6326134677036062e-07,4.669121879043427e-08,3.8509100833043594e-07,25.572864252483686
nasasrb,300,0,4.984084052154162e-09,4.984084052154162e-09,9.278564737533253e-09,7.371204337451339e-07,1.0
nos2,300,2,1.312096438589421e-07,2.06225131578288e-07,7.990445063653253e-07,7.719844177485312e-06,1.5717223636396107
s3dkq4m2,300,0,4.709242190509565e-08,5.39607187044486e-07,1.1140115885398179e-07,0.0005047930503939615,11.45847177135941
s3dkt3m2,300,0,1.7068950183444995e-09,4.3286262492241336e-06,1.1207528822295072e-07,0.00017208760631029526,2535.9651312489186
sts4098,300,12,2.512592262531586e-07,4.122030000765929e-06,3.6543858540106467e-07,1.427183067522022e-05,16.405487122740475
