matrix       n_seeds  n_valid  solerr_ratio_mean  solerr_ratio_std  solerr_ratio_median pAp_gain_mean  pAp_gain_std 
bcsstk03     48       48       1.1452             0.7720            0.9761              2.4341         3.4333       
bcsstk14     37       37       1.0186             0.2001            1.0099              619.9902       744.9851     
bcsstk36     50       50       1.0000             0.0001            1.0000              2088.4284      10466.9918   
bcsstk37     50       50       1.0001             0.0000            1.0001              1595.5083      1742.4049    
bcsstk38     50       50       1.0074             0.0413            1.0011              5.0604         12.9860      
bodyy4       19       19       0.9858             0.0684            0.9772              1242.9878      1664.5109    
mhd4800b     19       19       1.4145             1.1963            0.9220              56352.7751     172503.2604  
nasa4704     19       19       1.0472             0.3716            0.9811              23.9879        93.4621      
nasasrb      22       20       1.0001             0.0000            1.0001              2000.0888      3008.4544    
nos2         19       19       1.1920             0.6136            0.9629              1.6050         1.2573       
s3dkq4m2     2        1        1.0000             0.0000            1.0000              1278.6373      0.0000       
s3dkt3m2     1        1        1.0000             0.0000            1.0000              40128.9929     0.0000       
sts4098      19       19       1.0179             0.2828            0.9720              1454.7601      2744.2112    
