matrix,n_seeds,n_div_detected,div_mean,div_std,div_min,div_max,seed1_div,pct_div_detected,conv_mean,conv_std,pct_converged
bcsstk03,50,15,140.2,52.9,33,199,None,30.0,196.9,2.0,100.0
bcsstk14,50,50,11.6,11.4,0,46,5,100.0,N/A,N/A,0.0
bcsstk36,50,50,0.6,2.5,0,17,0,100.0,N/A,N/A,0.0
bcsstk37,50,50,0.8,2.1,0,10,2,100.0,N/A,N/A,0.0
bcsstk38,50,50,0.1,0.7,0,5,0,100.0,N/A,N/A,0.0
bodyy4,50,50,1.6,2.7,0,14,2,100.0,266.3,0.7,100.0
mhd4800b,50,50,1.8,2.2,0,6,0,100.0,54.9,0.2,100.0
nasa4704,50,50,2.2,4.5,0,21,0,100.0,N/A,N/A,0.0
nasasrb,50,50,1.4,2.8,0,12,0,100.0,N/A,N/A,0.0
nos2,50,50,105.9,47.4,0,188,105,100.0,N/A,N/A,0.0
s3dkq4m2,50,50,0.1,0.2,0,1,0,100.0,N/A,N/A,0.0
s3dkt3m2,28,28,0.2,0.8,0,4,0,100.0,N/A,N/A,0.0
sts4098,50,50,4.4,4.8,0,18,2,100.0,N/A,N/A,0.0
