matrix,n_seeds,p8_gain_max_mean,p8_gain_max_std,p8_gain_med_mean,p8_gain_med_std,p8q_max_res_mean,p8q_max_res_std,p8n_max_res_mean,p8n_max_res_std,p8q_total_guard_fires,p8n_total_guard_fires,p16_gain_max_mean,p16_gain_max_std,p16_gain_med_mean,p16_gain_med_std,p16q_max_res_mean,p16q_max_res_std,p16n_max_res_mean,p16n_max_res_std,p16q_total_guard_fires,p16n_total_guard_fires,p32_gain_max_mean,p32_gain_max_std,p32_gain_med_mean,p32_gain_med_std,p32q_max_res_mean,p32q_max_res_std,p32n_max_res_mean,p32n_max_res_std,p32q_total_guard_fires,p32n_total_guard_fires,p64_gain_max_mean,p64_gain_max_std,p64_gain_med_mean,p64_gain_med_std,p64q_max_res_mean,p64q_max_res_std,p64n_max_res_mean,p64n_max_res_std,p64q_total_guard_fires,p64n_total_guard_fires,pAp_gain_max_mean,pAp_gain_max_std,pAp_gain_med_mean,pAp_gain_med_std,solerr_gain_mean,solerr_gain_std,solerr_gain_median
bcsstk03,50,1.0,0.0,1.0,0.0,4096.0,0.0,4096.0,0.0,6071,1379,1.0,0.0,1.0,0.0,268435456.0,0.0,268435456.0,0.0,2574,2054,11.2185,11.9974,1.0246,0.0625,89229833414.36,34724182839.9626,89075078674.46,34655279082.5574,0,0,24.8315,36.2864,1.001,0.0045,89228923626.68,34724887814.2339,89228923626.7,34724887814.2393,0,0,649.6816,1259.0899,1.1342,0.2416,1.1974,0.8639,0.9761
bcsstk14,26,1.0,0.0,1.0,0.0,4096.0,0.0,4096.0,0.0,11787,500,1.0,0.0,0.9423,0.1999,268435456.0,0.0,268435456.0,0.0,5563,744,19.5339,11.0758,1.0482,0.0256,17273728798.3462,1437081482.1154,17207506130.5769,1411705889.2268,0,0,1.715,0.1199,1.004,0.0023,17273800380.0769,1437099774.7524,17273800380.0385,1437099774.7327,0,0,4272.1819,4813.6978,1.3846,0.1865,1.0268,0.1921,1.0121
bcsstk36,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1.3456,0.1391,1.0195,0.0512,401253800.662,26658545.6788,398845207.676,26424466.0548,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,56836.8988,48199.8681,1.1912,0.348,1.0051,0.0974,1.0264
bcsstk37,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1.1374,0.0313,1.014,0.0143,346060395.739,7627817.6567,341991188.453,7571796.6495,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,164321.3679,276336.9717,1.1811,0.1499,1.0565,0.1156,1.0682
bcsstk38,12,1.0,0.0,1.0,0.0,4096.0,0.0,4096.0,0.0,1,1,1.0,0.0,1.0,0.0,268435456.0,0.0,268435456.0,0.0,2,1878,3.7241,0.3924,1.0247,0.0609,106979255361.25,44135782229.2889,106981077661.9167,44133541966.632,0,0,2.7901,0.0,1.0,0.0,119340479350.0,0.0,119340479350.0,0.0,0,0,4256.1259,7461.3554,1.0781,0.2927,0.9915,0.1111,0.9735
bodyy4,25,0.82,0.7434,0.5425,0.3753,4096.0,0.0,2252.8,1504.9665,2013,353,19408.5178,9984.1121,635.3284,995.1052,2181.0545,59.4668,1482.0178,54.8761,0,0,1.215,0.293,1.0,0.0001,2177.7099,60.4059,2177.7005,60.4076,0,0,1.0,0.0,1.0,0.0,2177.71,60.406,2177.71,60.406,0,0,208618.6854,553098.9497,124.2529,90.4298,0.9921,0.0711,0.9772
mhd4800b,50,76.607,207.7671,32.6899,108.9085,2020.3723,2033.7137,2268.7889,2024.2951,112,131,5.1799,3.9769,1.1163,0.2452,1.1018,0.2242,1.1033,0.2355,0,0,1.5645,0.2665,1.0,0.0,1.1093,0.2283,1.1093,0.2283,0,0,1.0,0.0,1.0,0.0,1.1016,0.224,1.1016,0.224,0,0,1319.1524,4122.8569,3.3895,1.6202,1.4245,1.1924,1.0501
nasa4704,18,1.1667,0.6872,1.0,0.0,4096.0,0.0,4096.0,0.0,27832,13900,1.6063,1.1256,0.9167,0.2357,268435456.0,0.0,257250645.3333,46116155.7812,25445,21537,3.1003,0.7185,1.0675,0.1171,191617427.03,28786114.5034,191370702.4706,28757377.8778,0,0,3.087,0.1861,1.0003,0.001,191617308.4289,28786235.0624,191617308.4289,28786235.0624,0,0,85845.6474,294777.8216,1.2898,0.6806,1.0445,0.3728,0.9673
nasasrb,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1.552,0.131,1.0138,0.0371,7742593494.2857,200481966.2181,7408048269.3,222025630.935,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2785067.4794,6719046.8138,0.9386,0.1654,0.9722,0.0994,0.9635
nos2,40,1.15,0.6538,1.0,0.0,4096.0,0.0,4096.0,0.0,69665,37888,87789869.8301,248649188.9289,1269909.2325,4263125.2623,268435456.0,0.0,268435456.0,0.0,1948,11054,2.4091,1.1593,1.0339,0.1604,87999205307.375,5868567822.6053,87761750354.75,5848850732.556,0,0,3.4851,0.7796,1.0,0.0,87998984958.75,5869546499.8554,87998984958.775,5869546499.8545,0,0,4427.7033,12481.42,1.1363,0.5609,1.094,0.5941,0.9161
s3dkq4m2,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1.0373,0.0037,1.0021,0.0012,153516.5196,1369.937,153468.3033,1369.8982,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,68341.705,78871.6442,1.265,0.0563,1.0023,0.0065,1.0008
s3dkt3m2,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1.0484,0.0033,1.0049,0.001,264230.7458,2358.4594,264162.472,2357.0109,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1246571.6188,1765232.0063,1.1474,0.0212,1.0022,0.0056,1.0037
sts4098,27,1.0,0.0,1.0,0.0,4096.0,0.0,4096.0,0.0,6767,3108,14.4263,24.7075,0.8237,0.3315,268435456.0,0.0,246065834.6667,63270843.7495,3681,4531,15.126,19.2121,1.1401,0.0931,117406335.8128,39344749.1045,117368558.5624,39339014.157,0,0,2.4742,0.4204,1.0054,0.0096,117406192.7623,39344867.9063,117406192.7622,39344867.9064,0,0,23325.0504,37695.7662,1.8022,0.2924,0.9745,0.262,0.9689
