matrix,bitwidth,lambda_max,condest_cmsw,nnz_static,saturated_count,total_entries,sat_fraction
bcsstk01,8,421.25,CHOL_FAIL,400,400,400,1
bcsstk01,16,8.71586e+08,CHOL_FAIL,400,46,400,0.115
bcsstk01,32,3.01518e+09,4.275909e+07,400,0,400,0
bcsstk01,64,3.01518e+09,4.275898e+07,400,0,400,0
bcsstk02,8,698.975,CHOL_FAIL,4356,1464,4356,0.336088
bcsstk02,16,18243.3,9.693810e+03,4356,16,4356,0.00367309
bcsstk02,32,18225.7,1.862470e+04,4356,0,4356,0
bcsstk02,64,18225.7,1.897361e+04,4356,0,4356,0
bcsstk03,8,258.674,CHOL_FAIL,640,640,640,1
bcsstk03,16,1.03335e+09,CHOL_FAIL,640,236,640,0.36875
bcsstk03,32,1.99735e+11,7.208439e+08,640,0,640,0
bcsstk03,64,1.99734e+11,7.208585e+08,640,0,640,0
bcsstk05,8,839.922,CHOL_FAIL,2423,2423,2423,1
bcsstk05,16,5.95051e+06,CHOL_FAIL,2423,2,2423,0.000825423
bcsstk05,32,6.19729e+06,1.888079e+05,2423,0,2423,0
bcsstk05,64,6.19729e+06,1.888081e+05,2423,0,2423,0
bcsstm02,8,0.171875,7.900415e-01,66,0,66,0
bcsstm02,16,0.172852,7.408384e-01,66,0,66,0
bcsstm02,32,0.172829,7.407459e-01,66,0,66,0
bcsstm02,64,0.172829,7.407459e-01,66,0,66,0
bcsstm05,8,0.921875,2.139073e+00,153,0,153,0
bcsstm05,16,0.927979,2.170768e+00,153,0,153,0
bcsstm05,32,0.927954,2.170758e+00,153,0,153,0
bcsstm05,64,0.927954,2.170758e+00,153,0,153,0
nos1,8,191.999,CHOL_FAIL,1017,1017,1017,1
nos1,16,8.04876e+08,CHOL_FAIL,1017,235,1017,0.231072
nos1,32,2.45652e+09,2.146655e+08,1017,0,1017,0
nos1,64,2.45652e+09,2.146655e+08,1017,0,1017,0
nos2,8,191.998,CHOL_FAIL,4137,4137,4137,1
nos2,16,8.27364e+08,CHOL_FAIL,4137,2227,4137,0.538313
nos2,32,1.572e+11,2.693082e+10,4137,0,4137,0
nos2,64,1.572e+11,2.693082e+10,4137,0,4137,0
nos3,8,379.57,CHOL_FAIL,15844,5796,15844,0.365817
nos3,16,689.024,CHOL_FAIL,15844,3964,15844,0.250189
nos3,32,689.367,9.834748e+03,15844,0,15844,0
nos3,64,689.367,9.834227e+03,15844,0,15844,0
nos4,8,0.852466,3.114788e+01,594,0,594,0
nos4,16,0.849165,5.579026e+01,594,0,594,0
nos4,32,0.849138,5.320526e+01,594,0,594,0
nos4,64,0.849138,5.320526e+01,594,0,594,0
nos5,8,431.624,CHOL_FAIL,5172,5172,5172,1
nos5,16,586241,3.193520e+04,5172,892,5172,0.172467
nos5,32,582029,7.459550e+04,5172,0,5172,0
nos5,64,582029,7.459550e+04,5172,0,5172,0
nos6,8,301.883,CHOL_FAIL,3255,2270,3255,0.697389
nos6,16,7.78041e+06,7.651415e+06,3255,0,3255,0
nos6,32,7.6506e+06,1.079246e+07,3255,0,3255,0
nos6,64,7.6506e+06,1.079246e+07,3255,0,3255,0
mhd4800b,8,2.20022,CHOL_FAIL,27520,27175,27520,0.987464
mhd4800b,16,2.19625,CHOL_FAIL,27520,3620,27520,0.131541
mhd4800b,32,2.19627,1.440467e+06,27520,0,27520,0
mhd4800b,64,2.19627,1.440482e+06,27520,0,27520,0
bodyy4,8,189.483,CHOL_FAIL,121550,20963,121938,0.171915
bodyy4,16,832.224,8.587814e+02,121550,32,121938,0.000262428
bodyy4,32,832.222,8.593700e+02,121550,0,121938,0
bodyy4,64,832.222,8.593700e+02,121550,0,121938,0
bodyy4,8,189.483,CHOL_FAIL,121550,20963,121938,0.171915
bodyy4,16,832.224,8.792271e+02,121550,32,121938,0.000262428
bodyy4,32,832.222,8.798551e+02,121550,0,121938,0
bodyy4,64,832.222,8.798551e+02,121550,0,121938,0
