iter  relL2_f32pAp_vs_ctrl   relL2_p32pAp_vs_ctrl   ratio(p32/f32)
   0  5.662405e-08            5.173395e-06            91.364
   1  7.456535e-08            1.044422e-06            14.007
   2  1.252748e-07            5.639379e-06            45.016
   3  2.814923e-07            9.722053e-06            34.538
   4  9.245452e-07            2.814737e-05            30.445
   5  6.491383e-06            2.353654e-04            36.258
   6  2.545025e-06            7.870645e-05            30.926
   7  2.117407e-06            1.000513e-04            47.252
   8  2.313511e-05            8.972765e-04            38.784
   9  2.650417e-05            8.408002e-04            31.723
  10  1.504315e-04            5.497557e-03            36.545
  11  3.892877e-04            1.377947e-02            35.397
  12  9.367719e-04            3.323539e-02            35.479
  13  1.196163e-03            4.257009e-02            35.589
  14  3.056907e-04            1.125439e-02            36.816
  15  8.092852e-04            2.942294e-02            36.357
  16  1.802583e-03            6.292579e-02            34.909
  17  1.102584e-02            3.673288e-01            33.315
  18  2.185648e-02            5.838381e-01            26.712
  19  1.318313e-01            9.511510e-01            7.215
  20  1.498455e-01            8.615230e-01            5.749
  21  4.418865e-01            8.272454e-01            1.872
  22  7.048876e-01            5.123462e-01            0.727
  23  9.247618e-01            9.185511e-01            0.993
  24  9.510713e-01            9.774586e-01            1.028
  25  9.364407e-01            9.926858e-01            1.060
  26  8.336368e-01            9.961599e-01            1.195
  27  9.794387e-01            1.000127e+00            1.021
  28  7.973675e-01            9.995449e-01            1.254
  29  8.108457e-01            9.973384e-01            1.230
