matrix=data/matrices/bcsstk03.mtx n=112 seed=2
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.2927259933e+11 1.2927258963e+11 1.2927258963e+11 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.2927780216e+11 1.2913503259e+11 1.2927259933e+11 1.2927259933e+11 6.0699953167e+00 6.0699962162e+00 6.0699897769e+00 6.0700476242e+00 3.0484145261e+12 1.6777216000e+07 1.6777216000e+07 3.2985348833e+12 1.6492674417e+12 3.0484201472e+12 3.0484537016e+12 3.0484145261e+12 3.0484145261e+12 2.0396462515e+12 2.0396480922e+12 2.0396900352e+12 0 0 0 0 0 0 0 0
1 6.9566852303e+09 6.9566878379e+09 6.9566878379e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 6.9560530760e+09 6.9534628495e+09 6.9566852303e+09 6.9566852303e+09 5.1114332185e+00 5.1114330525e+00 5.1114333851e+00 5.1114402009e+00 6.0447176969e+11 1.6777216000e+07 1.6777216000e+07 6.8719476736e+11 9.6207267430e+11 6.0447260672e+11 6.0448938394e+11 6.0447176969e+11 6.0447176969e+11 2.9656321862e+11 2.9656350720e+11 2.9657084723e+11 0 0 0 0 0 0 0 0
2 6.7122993554e+09 6.7123011731e+09 6.7123015007e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 6.7122284431e+09 6.7068586595e+09 6.7122993554e+09 6.7122993554e+09 4.0397139681e+00 4.0397142479e+00 4.0397141840e+00 4.0397049403e+00 1.5187563425e+10 1.6777216000e+07 1.0000000000e+00 1.9327352832e+10 1.3743895347e+11 1.5187525632e+10 1.5187722240e+10 1.5187563425e+10 1.5187563425e+10 1.2122138467e+10 1.2122128384e+10 1.2122357760e+10 0 1 0 0 0 0 0 0
3 3.2970261967e+09 3.2969945820e+09 3.2969944153e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.2972245147e+09 3.2955167275e+09 3.2970261967e+09 3.2970261967e+09 3.5465632579e+00 3.5465630710e+00 3.5465681800e+00 3.5465643161e+00 3.9392786197e+09 1.6777216000e+07 1.6777216000e+07 1.2884901888e+10 1.7179869184e+11 3.9393013760e+09 3.9393812480e+09 3.9392786197e+09 3.9392786197e+09 3.8660033010e+09 3.8660075520e+09 3.8660997120e+09 0 0 0 0 0 0 0 0
4 3.7115312602e+09 3.7115164790e+09 3.7115141091e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.7110655694e+09 3.7107621671e+09 3.7115312602e+09 3.7115312602e+09 3.5236108953e+00 3.5236121535e+00 3.5236160502e+00 3.5236205894e+00 2.3356030032e+09 1.0000000000e+00 1.0000000000e+00 2.7917287424e+10 6.8719476736e+10 2.3355924480e+09 2.3356518400e+09 2.3356030032e+09 2.3356030032e+09 1.9031778598e+09 1.9031582720e+09 1.9032064000e+09 1 1 0 0 0 0 0 0
5 1.6274205160e+09 1.6274097985e+09 1.6274092918e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.6273034692e+09 1.6269574921e+09 1.6274205160e+09 1.6274205160e+09 3.2049872340e+00 3.2049881758e+00 3.2049997955e+00 3.2049983446e+00 7.5119954001e+08 1.0000000000e+00 1.0000000000e+00 2.3622320128e+10 3.4359738368e+10 7.5118694400e+08 7.5120947200e+08 7.5119954001e+08 7.5119954001e+08 7.5674156882e+08 7.5672115200e+08 7.5674060800e+08 1 1 0 0 0 0 0 0
6 1.6753755190e+09 1.6754005115e+09 1.6753992810e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.6748670448e+09 1.6753711433e+09 1.6753755190e+09 1.6753755190e+09 2.8536614938e+00 2.8536630124e+00 2.8536885994e+00 2.8536823863e+00 3.4337859519e+08 1.0000000000e+00 1.0000000000e+00 2.3622320128e+10 1.7179869184e+10 3.4336460800e+08 3.4337228800e+08 3.4337859519e+08 3.4337859519e+08 4.3835148789e+08 4.3832704000e+08 4.3833932800e+08 1 1 0 0 0 0 0 0
7 1.6156011615e+09 1.6155455555e+09 1.6155459808e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.6151501739e+09 1.6153244362e+09 1.6156011615e+09 1.6156011615e+09 2.5996797173e+00 2.5996824358e+00 2.5997293430e+00 2.5997211757e+00 1.7578888008e+08 1.0000000000e+00 1.0000000000e+00 1.2884901888e+10 1.5032385536e+10 1.7577612800e+08 1.7578163200e+08 1.7578888008e+08 1.7578888008e+08 2.2769561818e+08 2.2767385600e+08 2.2768236800e+08 1 1 0 0 0 0 0 0
8 7.0925382656e+08 7.0926962669e+08 7.0926972358e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 7.0909792097e+08 7.0917234481e+08 7.0925382656e+08 7.0925382656e+08 2.3109298366e+00 2.3109333774e+00 2.3110058744e+00 2.3109915032e+00 1.7796613182e+08 1.0000000000e+00 1.0000000000e+00 1.6106127360e+10 4.7244640256e+10 1.7794489600e+08 1.7795148800e+08 1.7796613182e+08 1.7796613182e+08 2.0393493172e+08 2.0390720000e+08 2.0391622400e+08 1 1 0 0 0 0 0 0
9 9.0677621601e+08 9.0676564499e+08 9.0676583446e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 9.0635794228e+08 9.0647439333e+08 9.0677621601e+08 9.0677621601e+08 2.0991407958e+00 2.0991448266e+00 2.0992366593e+00 2.0992155994e+00 1.5257645742e+08 1.0000000000e+00 1.0000000000e+00 9.6636764160e+09 1.3743895347e+11 1.5255334400e+08 1.5256147200e+08 1.5257645742e+08 1.5257645742e+08 1.4433769065e+08 1.4431328000e+08 1.4432128000e+08 1 1 0 0 0 0 0 0
