matrix=data/matrices/bcsstk14.mtx n=1806 seed=4
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.6543292083e+10 1.6543279306e+10 1.6543279306e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.6543117667e+10 1.6488580967e+10 1.6543292083e+10 1.6543292083e+10 7.1337281072e+00 7.1337269695e+00 7.1337269695e+00 7.1337317301e+00 7.1340372975e+00 2.0578936589e+12 1.6777216000e+07 1.6777216000e+07 2.1990232556e+12 4.8103633715e+11 2.0578933146e+12 2.0577926513e+12 2.0578936589e+12 2.0578936589e+12 1.4178083818e+12 1.4178089697e+12 1.4178005811e+12 0 0 0 0 0 0 0 0
1 7.6836302857e+09 7.6836215002e+09 7.6836215002e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 7.6833055331e+09 7.6609993045e+09 7.6836302857e+09 7.6836302857e+09 5.1915545444e+00 5.1915561524e+00 5.1915561524e+00 5.1915528806e+00 5.1915498566e+00 2.3856336487e+11 1.6777216000e+07 1.6777216000e+07 2.7487790694e+11 6.8719476736e+10 2.3856362291e+11 2.3858669158e+11 2.3856336487e+11 2.3856336487e+11 1.6342228337e+11 1.6342266675e+11 1.6343629824e+11 0 0 0 0 0 0 0 0
2 3.0582200909e+09 3.0582175193e+09 3.0582176991e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.0580589638e+09 3.0532689414e+09 3.0582200909e+09 3.0582200909e+09 3.2693492039e+00 3.2693511002e+00 3.2693509816e+00 3.2693476301e+00 3.2692574996e+00 4.7014373329e+10 1.6777216000e+07 1.0000000000e+00 6.8719476736e+10 2.7917287424e+10 4.7014608896e+10 4.7017361408e+10 4.7014373329e+10 4.7014373329e+10 3.6849649764e+10 3.6849844224e+10 3.6852137984e+10 0 1 0 0 0 0 0 0
3 1.4942974360e+09 1.4942969118e+09 1.4942969118e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.4943028442e+09 1.4924180013e+09 1.4942974360e+09 1.4942974360e+09 2.4694111123e+00 2.4694116990e+00 2.4694113831e+00 2.4694128718e+00 2.4693806457e+00 1.4359376610e+10 1.0000000000e+00 1.0000000000e+00 2.3622320128e+10 4.7244640256e+10 1.4359445504e+10 1.4360559616e+10 1.4359376610e+10 1.4359376610e+10 9.6653387330e+09 9.6653803520e+09 9.6660684800e+09 1 1 0 0 0 0 0 0
4 9.6460627040e+08 9.6460411389e+08 9.6460429199e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 9.6461697282e+08 9.6355861819e+08 9.6460627040e+08 9.6460627040e+08 1.9354331985e+00 1.9354333239e+00 1.9354330323e+00 1.9354357629e+00 1.9354377550e+00 4.3070337865e+09 1.6777216000e+07 1.6777216000e+07 8.5899345920e+09 6.8719476736e+10 4.3070504960e+09 4.3072798720e+09 4.3070337865e+09 4.3070337865e+09 2.9682903323e+09 2.9683056640e+09 2.9684715520e+09 0 0 0 0 0 0 0 0
5 6.8266871799e+08 6.8266784806e+08 6.8266792356e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 6.8268015402e+08 6.8190663696e+08 6.8266871799e+08 6.8266871799e+08 1.4141013777e+00 1.4141006826e+00 1.4141005985e+00 1.4141026755e+00 1.4141069943e+00 1.3987170923e+09 1.6777216000e+07 1.0000000000e+00 3.3554432000e+09 4.7244640256e+10 1.3987266560e+09 1.3988075520e+09 1.3987170923e+09 1.3987170923e+09 1.0896059533e+09 1.0896138240e+09 1.0896701440e+09 0 1 0 0 0 0 0 0
6 4.7255928693e+08 4.7255896969e+08 4.7255900604e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 4.7256238704e+08 4.7217133939e+08 4.7255928693e+08 4.7255928693e+08 9.9926465974e-01 9.9926445930e-01 9.9926438945e-01 9.9926358460e-01 9.9926181174e-01 5.1056523834e+08 1.0000000000e+00 1.0000000000e+00 1.5435038720e+09 6.8719476736e+10 5.1056947200e+08 5.1059712000e+08 5.1056523834e+08 5.1056523834e+08 4.5245331237e+08 4.5245721600e+08 4.5248281600e+08 1 1 0 0 0 0 0 0
7 2.7756804339e+08 2.7756763747e+08 2.7756766842e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.7756977282e+08 2.7741127924e+08 2.7756804339e+08 2.7756804339e+08 7.9092457595e-01 7.9092505024e-01 7.9092496554e-01 7.9092140377e-01 7.9092189149e-01 2.8342038282e+08 1.6777216000e+07 1.0000000000e+00 9.0596966400e+08 6.8719476736e+10 2.8342297600e+08 2.8343782400e+08 2.8342038282e+08 2.8342038282e+08 2.3165228361e+08 2.3165440000e+08 2.3166662400e+08 0 1 0 0 0 0 0 0
8 1.8090770681e+08 1.8090694950e+08 1.8090713350e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.8090899124e+08 1.8083604407e+08 1.8090770681e+08 1.8090770681e+08 6.9534718941e-01 6.9534814080e-01 6.9534801529e-01 6.9534284120e-01 6.9534355666e-01 1.0232646905e+08 1.6777216000e+07 1.0000000000e+00 3.6909875200e+08 5.1539607552e+10 1.0232739200e+08 1.0233257600e+08 1.0232646905e+08 1.0232646905e+08 8.9916695240e+07 8.9917504000e+07 8.9922368000e+07 0 1 0 0 0 0 0 0
9 1.1665912333e+08 1.1665838302e+08 1.1665847046e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.1665849807e+08 1.1659014647e+08 1.1665912333e+08 1.1665912333e+08 6.3765573251e-01 6.3765673246e-01 6.3765664430e-01 6.3765107675e-01 6.3765230482e-01 4.1995219660e+07 1.0000000000e+00 1.0000000000e+00 1.7616076800e+08 6.8719476736e+10 4.1995648000e+07 4.1998032000e+07 4.1995219660e+07 4.1995219660e+07 3.8710884850e+07 3.8711264000e+07 3.8713520000e+07 1 1 0 0 0 0 0 0
10 9.7248834600e+07 9.7248435156e+07 9.7248534527e+07 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 9.7249417820e+07 9.7192870881e+07 9.7248834600e+07 9.7248834600e+07 5.9298998044e-01 5.9299083449e-01 5.9299076114e-01 5.9298568266e-01 5.9298792160e-01 1.8584162153e+07 1.6777216000e+07 1.0000000000e+00 1.2582912000e+08 2.1474836480e+10 1.8584352000e+07 1.8585536000e+07 1.8584162153e+07 1.8584162153e+07 1.8798417884e+07 1.8798576000e+07 1.8799712000e+07 0 1 0 0 0 0 0 0
11 7.5065746933e+07 7.5065366099e+07 7.5065455499e+07 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 7.5064786781e+07 7.5035486058e+07 7.5065746933e+07 7.5065746933e+07 5.5051712316e-01 5.5051774448e-01 5.5051768548e-01 5.5051452005e-01 5.5051662463e-01 1.2697938819e+07 1.6777216000e+07 1.0000000000e+00 1.5518924800e+08 8.5899345920e+09 1.2698048000e+07 1.2698732000e+07 1.2697938819e+07 1.2697938819e+07 1.2412708360e+07 1.2412766000e+07 1.2413466000e+07 0 1 0 0 0 0 0 0
12 6.2215160855e+07 6.2214748999e+07 6.2214833135e+07 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 6.2214343420e+07 6.2197772813e+07 6.2215160855e+07 6.2215160855e+07 5.1577130038e-01 5.1577160046e-01 5.1577157146e-01 5.1577114802e-01 5.1577301572e-01 1.0032547877e+07 1.0000000000e+00 1.0000000000e+00 1.7616076800e+08 8.0530636800e+09 1.0032566000e+07 1.0033146000e+07 1.0032547877e+07 1.0032547877e+07 9.2012439651e+06 9.2012100000e+06 9.2018040000e+06 1 1 0 0 0 0 0 0
13 4.9949829313e+07 4.9949592622e+07 4.9949670546e+07 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 4.9948579588e+07 4.9930690928e+07 4.9949829313e+07 4.9949829313e+07 4.8881521709e-01 4.8881526537e-01 4.8881524932e-01 4.8881728080e-01 4.8881930912e-01 5.6798354504e+06 1.6777216000e+07 1.0000000000e+00 1.7196646400e+08 4.2949672960e+09 5.6797770000e+06 5.6801950000e+06 5.6798354504e+06 5.6798354504e+06 5.5440847371e+06 5.5439830000e+06 5.5444030000e+06 0 1 0 0 0 0 0 0
14 3.9207965715e+07 3.9207772955e+07 3.9207805476e+07 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.9206086972e+07 3.9197322113e+07 3.9207965715e+07 3.9207965715e+07 4.6394408798e-01 4.6394397254e-01 4.6394397810e-01 4.6394812626e-01 4.6394994750e-01 3.4570686017e+06 1.6777216000e+07 1.0000000000e+00 1.8874368000e+08 4.2949672960e+09 3.4569695000e+06 3.4572430000e+06 3.4570686017e+06 3.4570686017e+06 3.6504679735e+06 3.6503200000e+06 3.6506360000e+06 0 1 0 0 0 0 0 0
15 3.4786720858e+07 3.4786496299e+07 3.4786515591e+07 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.4784246821e+07 3.4774861493e+07 3.4786720858e+07 3.4786720858e+07 4.4158794861e-01 4.4158779313e-01 4.4158782528e-01 4.4159360510e-01 4.4159505857e-01 2.3477727508e+06 1.0000000000e+00 1.0000000000e+00 2.3068672000e+08 2.6843545600e+09 2.3476500000e+06 2.3478650000e+06 2.3477727508e+06 2.3477727508e+06 2.5068566900e+06 2.5066815000e+06 2.5069380000e+06 1 1 0 0 0 0 0 0
16 3.3318949180e+07 3.3318686856e+07 3.3318716062e+07 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.3315501324e+07 3.3306217936e+07 3.3318949180e+07 3.3318949180e+07 4.1754699534e-01 4.1754692182e-01 4.1754696022e-01 4.1755463975e-01 4.1755531744e-01 1.7196902041e+06 1.6777216000e+07 1.0000000000e+00 2.6424115200e+08 2.1474836480e+09 1.7195392500e+06 1.7197362500e+06 1.7196902041e+06 1.7196902041e+06 1.9017945350e+06 1.9015852500e+06 1.9018262500e+06 0 1 0 0 0 0 0 0
17 3.0531148398e+07 3.0530979540e+07 3.0531009214e+07 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.0527116209e+07 3.0518391964e+07 3.0531148398e+07 3.0531148398e+07 3.9246502123e-01 3.9246502430e-01 3.9246504600e-01 3.9247508647e-01 3.9247480078e-01 9.3307111274e+05 1.6777216000e+07 1.0000000000e+00 2.6843545600e+08 2.2817013760e+09 9.3294843750e+05 9.3307843750e+05 9.3307111274e+05 9.3307111274e+05 1.3052550514e+06 1.3050415000e+06 1.3052487500e+06 0 1 0 0 0 0 0 0
18 2.7810551484e+07 2.7810319794e+07 2.7810345131e+07 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.7806114663e+07 2.7801480439e+07 2.7810551484e+07 2.7810551484e+07 3.7001041086e-01 3.7001058351e-01 3.7001059861e-01 3.7002289936e-01 3.7002155461e-01 1.1001935472e+06 1.0000000000e+00 1.0000000000e+00 5.7042534400e+08 1.4763950080e+09 1.0999867500e+06 1.1001810000e+06 1.1001935472e+06 1.1001935472e+06 1.2425067659e+06 1.2422292500e+06 1.2424725000e+06 1 1 0 0 0 0 0 0
19 2.3102142758e+07 2.3101901885e+07 2.3101963614e+07 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.3097140252e+07 2.3093792868e+07 2.3102142758e+07 2.3102142758e+07 3.4715093923e-01 3.4715135654e-01 3.4715131647e-01 3.4716695806e-01 3.4716389075e-01 8.0727294409e+05 1.6777216000e+07 1.0000000000e+00 4.8653926400e+08 1.0066329600e+09 8.0708650000e+05 8.0725968750e+05 8.0727294409e+05 8.0727294409e+05 9.8953631731e+05 9.8925337500e+05 9.8949025000e+05 0 1 0 0 0 0 0 0
