matrix=data/matrices/bcsstk38.mtx n=8032 seed=15
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.1934047935e+11 1.1934080818e+11 1.1934080818e+11 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.1933518519e+11 1.1933518519e+11 1.1934047935e+11 1.1934047935e+11 5.4940130078e+01 5.4940097242e+01 5.4940097242e+01 5.4940207098e+01 5.4939223371e+01 7.4353371409e+12 1.6777216000e+07 1.6777216000e+07 6.5970697667e+12 3.2985348833e+12 7.4353265869e+12 7.4350245970e+12 7.4353371409e+12 7.4353371409e+12 3.4399332871e+12 3.4399332598e+12 3.4397319332e+12 0 0 0 0 0 0 0 0
1 5.4486074172e+10 5.4485986931e+10 5.4485986931e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 5.4475865783e+10 5.4475865783e+10 5.4486074172e+10 5.4486074172e+10 3.9259203565e+01 3.9259185881e+01 3.9259185881e+01 3.9259201909e+01 3.9258893354e+01 5.0163796600e+11 1.6777216000e+07 1.6777216000e+07 6.8719476736e+11 2.7487790694e+11 5.0163875840e+11 5.0162512691e+11 5.0163796600e+11 5.0163796600e+11 3.0350054097e+11 3.0350088602e+11 3.0348620595e+11 0 0 0 0 0 0 0 0
2 4.2797236077e+10 4.2797190007e+10 4.2797190007e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 4.2801778828e+10 4.2788308559e+10 4.2797236077e+10 4.2797236077e+10 1.8317182154e+01 1.8317163449e+01 1.8317162854e+01 1.8317169189e+01 1.8316741096e+01 2.3547073173e+11 1.0000000000e+00 1.6777216000e+07 3.4359738368e+11 1.3743895347e+11 2.3547084800e+11 2.3544830362e+11 2.3547073173e+11 2.3547073173e+11 1.3283669165e+11 1.3283649126e+11 1.3281997619e+11 1 0 0 0 0 0 0 0
3 2.6646907715e+10 2.6647000561e+10 2.6646997920e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.6649571232e+10 2.6649571232e+10 2.6646907715e+10 2.6646907715e+10 2.0329448371e+01 2.0329416673e+01 2.0329420119e+01 2.0329390358e+01 2.0327877576e+01 1.5758920076e+11 1.6777216000e+07 1.6777216000e+07 1.7179869184e+11 1.3743895347e+11 1.5758838989e+11 1.5756794266e+11 1.5758920076e+11 1.5758920076e+11 7.8868019277e+10 7.8867595264e+10 7.8853439488e+10 0 0 0 0 0 0 0 0
4 1.1016849442e+10 1.1016924112e+10 1.1016911337e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.1017305349e+10 1.1015670128e+10 1.1016849442e+10 1.1016849442e+10 3.9458216836e+01 3.9458097824e+01 3.9458098432e+01 3.9458134122e+01 3.9453528879e+01 3.7027681336e+10 1.6777216000e+07 1.0485760000e+06 3.8654705664e+10 6.8719476736e+10 3.7027512320e+10 3.7018468352e+10 3.7027681336e+10 3.7027681336e+10 2.4762263128e+10 2.4762122240e+10 2.4755666944e+10 0 0 0 0 0 0 0 0
5 6.2524252715e+09 6.2524588346e+09 6.2524567244e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 6.2522991584e+09 6.2522991584e+09 6.2524252715e+09 6.2524252715e+09 3.8884789661e+01 3.8884741814e+01 3.8884738750e+01 3.8884751151e+01 3.8881960227e+01 3.0799844930e+10 1.6777216000e+07 1.6777216000e+07 3.0064771072e+10 2.7917287424e+10 3.0799626240e+10 3.0791073792e+10 3.0799844930e+10 3.0799844930e+10 1.6525778475e+10 1.6525656064e+10 1.6520577024e+10 0 0 0 0 0 0 0 0
6 3.3404788304e+09 3.3405519989e+09 3.3405498595e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.3406466255e+09 3.3419944757e+09 3.3404788304e+09 3.3404788304e+09 2.7426642958e+01 2.7426692571e+01 2.7426692390e+01 2.7426693915e+01 2.7426107762e+01 8.1689606173e+09 1.6777216000e+07 1.6777216000e+07 1.1811160064e+10 2.7917287424e+10 8.1688985600e+09 8.1661132800e+09 8.1689606173e+09 8.1689606173e+09 5.6384180621e+09 5.6383651840e+09 5.6364810240e+09 0 0 0 0 0 0 0 0
7 2.9187992034e+09 2.9188118291e+09 2.9188130534e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.9188498754e+09 2.9184641158e+09 2.9187992034e+09 2.9187992034e+09 3.2488612886e+01 3.2488628601e+01 3.2488613996e+01 3.2488706705e+01 3.2487744482e+01 5.1495911478e+09 1.6777216000e+07 1.6777216000e+07 6.4424509440e+09 1.7179869184e+10 5.1495403520e+09 5.1479592960e+09 5.1495911478e+09 5.1495911478e+09 3.4828801809e+09 3.4828390400e+09 3.4817085440e+09 0 0 0 0 0 0 0 0
8 2.0869126163e+09 2.0869007074e+09 2.0869014318e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.0868590848e+09 2.0859147130e+09 2.0869126163e+09 2.0869126163e+09 3.3921164539e+01 3.3921177434e+01 3.3921147305e+01 3.3921319394e+01 3.3920570116e+01 3.3032081470e+09 1.6777216000e+07 1.6777216000e+07 5.3687091200e+09 9.6636764160e+09 3.3031618560e+09 3.3019863040e+09 3.3032081470e+09 3.3032081470e+09 2.2098962809e+09 2.2098616320e+09 2.2090444800e+09 0 0 0 0 0 0 0 0
9 1.8752657104e+09 1.8752834148e+09 1.8752865663e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.8752995385e+09 1.8752995385e+09 1.8752657104e+09 1.8752657104e+09 2.9684717877e+01 2.9684821090e+01 2.9684799021e+01 2.9684917863e+01 2.9685608242e+01 1.9778131194e+09 1.6777216000e+07 1.6777216000e+07 3.2212254720e+09 1.7179869184e+10 1.9777792000e+09 1.9770562560e+09 1.9778131194e+09 1.9778131194e+09 1.3872021371e+09 1.3871749120e+09 1.3866373120e+09 0 0 0 0 0 0 0 0
