matrix=data/matrices/bodyy4.mtx n=17546 seed=11
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 2.2724352082e+03 2.2724378979e+03 2.2724384480e+03 4.0960000000e+03 1.0240000000e+03 2.2609307818e+03 1.5466298846e+03 2.2724352576e+03 2.2724119345e+03 2.2724352082e+03 2.2724352082e+03 5.2710192226e-01 5.2710156812e-01 5.2710192139e-01 5.2710273242e-01 1.4366269643e+06 1.0485760000e+06 6.5536000000e+04 1.4417920000e+06 5.6934400000e+05 1.4366270000e+06 1.4366335000e+06 1.4366269643e+06 1.4366269643e+06 8.5858810188e+05 8.5858812500e+05 8.5858906250e+05 0 0 0 0 0 0 0 0
1 9.7674175350e+02 9.7674532889e+02 9.7674564883e+02 4.0960000000e+03 1.0240000000e+03 9.7481895755e+02 7.0400000000e+02 9.7674177754e+02 9.7673361901e+02 9.7674175350e+02 9.7674175350e+02 3.3908495022e-01 3.3908489472e-01 3.3908494915e-01 3.3908514772e-01 4.5116665384e+04 2.6214400000e+05 6.5536000000e+04 4.4928000000e+04 2.0992000000e+04 4.5116666016e+04 4.5116330078e+04 4.5116665384e+04 4.5116665384e+04 4.3258772612e+04 4.3258773438e+04 4.3258498047e+04 0 0 0 0 0 0 0 0
2 5.2750720200e+02 5.2750776061e+02 5.2750779023e+02 4.0960000000e+03 2.5600000000e+02 5.2581365520e+02 4.1600000000e+02 5.2750722744e+02 5.2750355449e+02 5.2750720200e+02 5.2750720200e+02 2.5275693765e-01 2.5275696276e-01 2.5275693714e-01 2.5275692670e-01 7.0650783287e+03 6.5536000000e+04 1.6384000000e+04 7.0720000000e+03 4.5760000000e+03 7.0650783691e+03 7.0650371094e+03 7.0650783287e+03 7.0650783287e+03 8.1315927692e+03 8.1315927734e+03 8.1315600586e+03 0 0 0 0 0 0 0 0
3 3.1314540095e+02 3.1314534615e+02 3.1314527130e+02 4.0960000000e+03 2.5600000000e+02 3.1189741903e+02 2.7988569095e+02 3.1314542099e+02 3.1314241469e+02 3.1314540095e+02 3.1314540095e+02 2.0642828357e-01 2.0642837939e-01 2.0642828244e-01 2.0642829637e-01 1.8931487141e+03 1.6384000000e+04 4.0960000000e+03 1.8880000000e+03 2.0880000000e+03 1.8931487122e+03 1.8931474915e+03 1.8931487141e+03 1.8931487141e+03 2.4471960083e+03 2.4471960449e+03 2.4471924438e+03 0 0 0 0 0 0 0 0
4 2.1234369403e+02 2.1234317743e+02 2.1234313144e+02 4.0960000000e+03 2.5600000000e+02 2.1135751702e+02 1.9661129164e+02 2.1234370631e+02 2.1234196789e+02 2.1234369403e+02 2.1234369403e+02 1.7612747154e-01 1.7612759524e-01 1.7612747006e-01 1.7612747643e-01 6.8220189896e+02 3.2768000000e+04 4.0960000000e+03 6.8000000000e+02 1.0280000000e+03 6.8220191956e+02 6.8220005798e+02 6.8220189896e+02 6.8220189896e+02 9.5380571376e+02 9.5380575562e+02 9.5380299377e+02 0 0 0 0 0 0 0 0
5 1.5041145758e+02 1.5041130458e+02 1.5041123966e+02 4.0960000000e+03 2.5600000000e+02 1.4987995196e+02 1.4794593607e+02 1.5041147015e+02 1.5040987620e+02 1.5041145758e+02 1.5041145758e+02 1.5454313834e-01 1.5454321571e-01 1.5454313668e-01 1.5454315311e-01 3.0198524787e+02 2.6214400000e+05 4.0960000000e+03 3.0100000000e+02 5.2000000000e+02 3.0198526764e+02 3.0198437500e+02 3.0198524787e+02 3.0198524787e+02 4.4977230076e+02 4.4977233124e+02 4.4977075958e+02 0 0 0 0 0 0 0 0
6 1.1150760785e+02 1.1150770713e+02 1.1150762393e+02 4.0960000000e+03 2.5600000000e+02 1.1099549540e+02 1.2800000000e+02 1.1150761737e+02 1.1150635842e+02 1.1150760785e+02 1.1150760785e+02 1.3859781510e-01 1.3859785694e-01 1.3859781328e-01 1.3859782527e-01 1.5836869894e+02 1.0485760000e+06 4.0960000000e+03 1.5812500000e+02 3.3350000000e+02 1.5836870956e+02 1.5836807060e+02 1.5836869894e+02 1.5836869894e+02 2.4470449559e+02 2.4470451355e+02 2.4470355034e+02 0 0 0 0 0 0 0 0
7 8.3166217375e+01 8.3166058351e+01 8.3165923315e+01 4.0960000000e+03 2.5600000000e+02 8.2849260709e+01 9.7816154085e+01 8.3166225679e+01 8.3165276016e+01 8.3166217375e+01 8.3166217375e+01 1.2659205063e-01 1.2659210207e-01 1.2659204854e-01 1.2659205671e-01 8.9254386732e+01 1.6777216000e+07 3.0720000000e+03 8.9125000000e+01 2.5900000000e+02 8.9254393578e+01 8.9254041672e+01 8.9254386732e+01 8.9254386732e+01 1.4043428551e+02 1.4043429756e+02 1.4043375778e+02 0 0 0 0 0 0 0 0
8 6.5057652168e+01 6.5057490351e+01 6.5057471588e+01 4.0960000000e+03 2.5600000000e+02 6.4745656225e+01 8.4758480402e+01 6.5057659222e+01 6.5056854267e+01 6.5057652168e+01 6.5057652168e+01 1.1667391492e-01 1.1667397510e-01 1.1667391251e-01 1.1667391592e-01 5.1827048744e+01 1.6777216000e+07 4.0960000000e+03 5.1781250000e+01 2.0025000000e+02 5.1827054024e+01 5.1826849937e+01 5.1827048744e+01 5.1827048744e+01 8.5104061301e+01 8.5104070663e+01 8.5103757858e+01 0 0 0 0 0 0 0 0
9 5.2956940490e+01 5.2956792529e+01 5.2956767173e+01 4.0960000000e+03 2.5600000000e+02 5.2725705306e+01 6.7290415365e+01 5.2956945818e+01 5.2956216829e+01 5.2956940490e+01 5.2956940490e+01 1.0816905209e-01 1.0816913390e-01 1.0816904950e-01 1.0816904909e-01 3.3172018575e+01 1.6777216000e+07 4.0960000000e+03 3.3156250000e+01 1.3600000000e+02 3.3172022343e+01 3.3171908379e+01 3.3172018575e+01 3.3172018575e+01 5.5494556259e+01 5.5494562626e+01 5.5494388580e+01 0 0 0 0 0 0 0 0
