matrix=data/matrices/bodyy4.mtx n=17546 seed=18
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 2.1825229422e+03 2.1825050974e+03 2.1825050974e+03 4.0960000000e+03 1.0240000000e+03 2.1570943419e+03 1.4927236851e+03 2.1825226230e+03 2.1825070447e+03 2.1825229422e+03 2.1825229422e+03 5.2460014204e-01 5.2460108335e-01 5.2460108335e-01 5.2460016680e-01 5.2460047575e-01 1.2883736543e+06 1.0485760000e+06 1.6384000000e+04 1.2943360000e+06 5.3657600000e+05 1.2883737500e+06 1.2883740000e+06 1.2883736543e+06 1.2883736543e+06 7.8399439975e+05 7.8399437500e+05 7.8399350000e+05 0 0 0 0 0 0 0 0
1 9.1080016116e+02 9.1078259618e+02 9.1078252756e+02 4.0960000000e+03 1.0240000000e+03 8.9600000000e+02 6.9374346844e+02 9.1079992314e+02 9.1079961435e+02 9.1080016116e+02 9.1080016116e+02 3.3856865011e-01 3.3856977243e-01 3.3856977877e-01 3.3856866095e-01 3.3856853691e-01 4.4641219594e+04 2.6214400000e+05 4.0960000000e+03 4.4160000000e+04 2.1632000000e+04 4.4641210938e+04 4.4641027344e+04 4.4641219594e+04 4.4641219594e+04 4.2181323598e+04 4.2181314453e+04 4.2181244141e+04 0 0 0 0 0 0 0 0
2 4.9126300934e+02 4.9125100191e+02 4.9125103371e+02 1.0240000000e+03 1.0240000000e+03 4.8212861355e+02 4.2332020977e+02 4.9126286561e+02 4.9126253165e+02 4.9126300934e+02 4.9126300934e+02 2.5264168512e-01 2.5264229510e-01 2.5264228980e-01 2.5264168908e-01 2.5264166389e-01 6.6798678051e+03 6.5536000000e+04 4.0960000000e+03 6.5760000000e+03 4.8640000000e+03 6.6798659668e+03 6.6798769531e+03 6.6798678051e+03 6.6798678051e+03 7.7084878274e+03 7.7084858398e+03 7.7084926758e+03 0 0 0 0 0 0 0 0
3 3.0752014241e+02 3.0751105163e+02 3.0751108974e+02 4.0960000000e+03 1.0240000000e+03 3.0103820356e+02 2.7340811985e+02 3.0752004508e+02 3.0751930834e+02 3.0752014241e+02 3.0752014241e+02 2.0640183693e-01 2.0640221830e-01 2.0640221131e-01 2.0640183961e-01 2.0640183335e-01 1.7932874433e+03 1.6384000000e+04 8.1920000000e+03 1.7640000000e+03 2.1760000000e+03 1.7932870483e+03 1.7932890625e+03 1.7932874433e+03 1.7932874433e+03 2.3286769436e+03 2.3286763916e+03 2.3286781006e+03 0 0 0 0 0 0 0 0
4 2.1374660349e+02 2.1373957394e+02 2.1373964704e+02 4.0960000000e+03 1.0240000000e+03 2.0830746506e+02 1.9983993595e+02 2.1374652318e+02 2.1374634043e+02 2.1374660349e+02 2.1374660349e+02 1.7507256356e-01 1.7507284275e-01 1.7507283808e-01 1.7507256560e-01 1.7507254364e-01 6.5575462474e+02 3.2768000000e+04 1.6384000000e+04 6.4500000000e+02 1.0380000000e+03 6.5575445557e+02 6.5575433350e+02 6.5575462474e+02 6.5575462474e+02 9.4241028501e+02 9.4241003418e+02 9.4241073608e+02 0 0 0 0 0 0 0 0
5 1.5018887913e+02 1.5018414478e+02 1.5018416429e+02 4.0960000000e+03 5.1200000000e+02 1.4642404174e+02 1.4816207342e+02 1.5018882321e+02 1.5018878745e+02 1.5018887913e+02 1.5018887913e+02 1.5352332962e-01 1.5352348776e-01 1.5352348460e-01 1.5352333126e-01 1.5352330542e-01 3.1994424905e+02 6.5536000000e+04 8.1920000000e+03 3.1450000000e+02 5.4900000000e+02 3.1994416046e+02 3.1994456482e+02 3.1994424905e+02 3.1994424905e+02 4.6531293465e+02 4.6531280518e+02 4.6531367493e+02 0 0 0 0 0 0 0 0
6 1.0946110153e+02 1.0945683100e+02 1.0945687560e+02 4.0960000000e+03 1.0240000000e+03 1.0613199329e+02 1.2276807403e+02 1.0946104874e+02 1.0946087031e+02 1.0946110153e+02 1.0946110153e+02 1.3761180127e-01 1.3761191374e-01 1.3761191261e-01 1.3761180281e-01 1.3761178424e-01 1.5467701620e+02 3.2768000000e+04 4.0960000000e+03 1.5200000000e+02 3.3850000000e+02 1.5467697334e+02 1.5467748070e+02 1.5467701620e+02 1.5467701620e+02 2.3980988141e+02 2.3980981445e+02 2.3981051064e+02 0 0 0 0 0 0 0 0
7 8.4699357028e+01 8.4695793528e+01 8.4695773350e+01 4.0960000000e+03 1.0240000000e+03 8.1975606128e+01 9.4826156729e+01 8.4699314501e+01 8.4699189115e+01 8.4699357028e+01 8.4699357028e+01 1.2546102762e-01 1.2546110458e-01 1.2546110735e-01 1.2546102912e-01 1.2546101903e-01 8.6834342847e+01 3.2768000000e+04 4.0960000000e+03 8.5500000000e+01 2.5650000000e+02 8.6834318161e+01 8.6834511757e+01 8.6834342847e+01 8.6834342847e+01 1.3776521372e+02 1.3776517487e+02 1.3776544380e+02 0 0 0 0 0 0 0 0
8 6.6052505378e+01 6.6049272121e+01 6.6049283210e+01 4.0960000000e+03 1.0240000000e+03 6.3718129288e+01 7.9195959493e+01 6.6052467530e+01 6.6052373278e+01 6.6052505378e+01 6.6052505378e+01 1.1571447962e-01 1.1571455418e-01 1.1571455512e-01 1.1571448116e-01 1.1571447319e-01 5.2009004823e+01 6.5536000000e+04 1.6384000000e+04 5.1312500000e+01 1.7550000000e+02 5.2008990765e+01 5.2009067535e+01 5.2009004823e+01 5.2009004823e+01 8.4545201495e+01 8.4545178413e+01 8.4545322418e+01 0 0 0 0 0 0 0 0
9 5.3736127749e+01 5.3733202771e+01 5.3733202771e+01 4.0960000000e+03 1.0240000000e+03 5.1730068626e+01 6.5360538553e+01 5.3736092405e+01 5.3736007218e+01 5.3736127749e+01 5.3736127749e+01 1.0747773558e-01 1.0747780658e-01 1.0747780492e-01 1.0747773722e-01 1.0747773110e-01 3.2873409292e+01 2.6214400000e+05 1.6384000000e+04 3.2531250000e+01 1.2837500000e+02 3.2873400211e+01 3.2873464108e+01 3.2873409292e+01 3.2873409292e+01 5.4743079065e+01 5.4743063927e+01 5.4743171215e+01 0 0 0 0 0 0 0 0
