matrix=data/matrices/bodyy4.mtx n=17546 seed=7
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 2.1552020946e+03 2.1552057906e+03 2.1552050946e+03 4.0960000000e+03 1.0240000000e+03 2.1570943419e+03 1.4594245441e+03 2.1552018467e+03 2.1552011507e+03 2.1552020946e+03 2.1552020946e+03 5.2426443700e-01 5.2426410377e-01 5.2426444869e-01 5.2426390045e-01 1.2975109802e+06 1.0485760000e+06 1.6384000000e+04 1.2943360000e+06 5.3657600000e+05 1.2975110000e+06 1.2975092500e+06 1.2975109802e+06 1.2975109802e+06 0 0 0 0 0 0 0 0
1 9.3213189325e+02 9.3213230016e+02 9.3213189786e+02 4.0960000000e+03 1.0240000000e+03 9.3623928565e+02 7.4085356178e+02 9.3213176375e+02 9.3213555211e+02 9.3213189325e+02 9.3213189325e+02 3.4135858707e-01 3.4135865266e-01 3.4135859257e-01 3.4135844626e-01 4.2723627328e+04 2.6214400000e+05 8.1920000000e+03 4.2880000000e+04 2.1824000000e+04 4.2723623047e+04 4.2723802734e+04 4.2723627328e+04 4.2723627328e+04 0 0 0 0 0 0 0 0
2 5.2399765329e+02 5.2399830033e+02 5.2399812142e+02 4.0960000000e+03 1.0240000000e+03 5.2581365520e+02 4.5705141943e+02 5.2399758468e+02 5.2400017891e+02 5.2399765329e+02 5.2399765329e+02 2.5639822027e-01 2.5639822597e-01 2.5639822264e-01 2.5639816149e-01 6.6906876359e+03 6.5536000000e+04 4.0960000000e+03 6.7200000000e+03 5.7600000000e+03 6.6906867676e+03 6.6907099609e+03 6.6906876359e+03 6.6906876359e+03 0 0 0 0 0 0 0 0
3 3.3067388854e+02 3.3067516160e+02 3.3067491353e+02 4.0960000000e+03 1.0240000000e+03 3.3255375505e+02 3.0609802352e+02 3.3067382673e+02 3.3067565774e+02 3.3067388854e+02 3.3067388854e+02 2.0820705379e-01 2.0820701834e-01 2.0820705557e-01 2.0820703958e-01 1.8411958668e+03 1.6384000000e+04 1.6384000000e+04 1.8520000000e+03 2.4240000000e+03 1.8411956482e+03 1.8412036438e+03 1.8411958668e+03 1.8411958668e+03 0 0 0 0 0 0 0 0
4 2.1878168245e+02 2.1878234582e+02 2.1878224762e+02 4.0960000000e+03 1.0240000000e+03 2.1996363336e+02 2.4106430677e+02 2.1878164057e+02 2.1878284128e+02 2.1878168245e+02 2.1878168245e+02 1.7644408838e-01 1.7644408072e-01 1.7644408991e-01 1.7644409373e-01 7.1698970103e+02 3.2768000000e+04 1.6384000000e+04 7.1900000000e+02 1.3020000000e+03 7.1698960876e+02 7.1699119568e+02 7.1698970103e+02 7.1698970103e+02 0 0 0 0 0 0 0 0
5 1.5593002583e+02 1.5593028540e+02 1.5593025409e+02 4.0960000000e+03 1.0240000000e+03 1.5676734354e+02 1.6819036833e+02 1.5592999731e+02 1.5593099623e+02 1.5593002583e+02 1.5593002583e+02 1.5342200986e-01 1.5342202126e-01 1.5342201118e-01 1.5342201197e-01 3.1884579913e+02 6.5536000000e+04 1.6384000000e+04 3.2000000000e+02 6.9500000000e+02 3.1884575653e+02 3.1884599304e+02 3.1884579913e+02 3.1884579913e+02 0 0 0 0 0 0 0 0
6 1.1635748262e+02 1.1635759889e+02 1.1635759470e+02 4.0960000000e+03 1.0240000000e+03 1.1716654813e+02 1.3362634471e+02 1.1635746041e+02 1.1635815491e+02 1.1635748262e+02 1.1635748262e+02 1.3663227280e-01 1.3663228499e-01 1.3663227389e-01 1.3663227858e-01 1.6613108037e+02 6.5536000000e+04 1.6384000000e+04 1.6675000000e+02 4.0700000000e+02 1.6613106155e+02 1.6613154793e+02 1.6613108037e+02 1.6613108037e+02 0 0 0 0 0 0 0 0
7 8.7799188581e+01 8.7799551425e+01 8.7799595916e+01 4.0960000000e+03 1.0240000000e+03 8.8453377550e+01 1.0998181668e+02 8.7799170474e+01 8.7799726607e+01 8.7799188581e+01 8.7799188581e+01 1.2353250213e-01 1.2353250814e-01 1.2353250319e-01 1.2353251362e-01 9.4990501192e+01 6.5536000000e+04 3.2768000000e+04 9.5562500000e+01 2.9350000000e+02 9.4990492821e+01 9.4990653992e+01 9.4990501192e+01 9.4990501192e+01 0 0 0 0 0 0 0 0
8 6.8230131177e+01 6.8230322827e+01 6.8230337140e+01 4.0960000000e+03 1.0240000000e+03 6.8818602136e+01 9.1038453414e+01 6.8230117081e+01 6.8230551831e+01 6.8230131177e+01 6.8230131177e+01 1.1311390859e-01 1.1311393218e-01 1.1311390958e-01 1.1311392423e-01 5.6380288376e+01 6.5536000000e+04 1.6384000000e+04 5.6687500000e+01 2.2537500000e+02 5.6380283833e+01 5.6380318642e+01 5.6380288376e+01 5.6380288376e+01 0 0 0 0 0 0 0 0
9 5.5132624517e+01 5.5132792019e+01 5.5132809732e+01 4.0960000000e+03 1.0240000000e+03 5.5641710973e+01 7.4296702484e+01 5.5132612676e+01 5.5133014538e+01 5.5132624517e+01 5.5132624517e+01 1.0427934539e-01 1.0427936820e-01 1.0427934619e-01 1.0427936235e-01 3.4034157514e+01 1.0485760000e+06 4.0960000000e+03 3.4250000000e+01 1.6462500000e+02 3.4034154415e+01 3.4034155846e+01 3.4034157514e+01 3.4034157514e+01 0 0 0 0 0 0 0 0
