matrix=data/matrices/bcsstk03.mtx n=112 seed=6
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.1099770400e+11 1.1099765532e+11 1.1099767561e+11 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.1100641892e+11 1.1084011707e+11 1.1099770400e+11 1.1099770400e+11 5.1003840766e+00 5.1003870592e+00 5.1003963471e+00 5.1002283928e+00 7.1709221725e+12 1.6777216000e+07 1.6777216000e+07 6.5970697667e+12 6.5970697667e+12 7.1709176627e+12 7.1708841083e+12 7.1709221725e+12 7.1709221725e+12 0 0 0 0 0 0 0 0
1 1.3659068198e+10 1.3659208684e+10 1.3659143643e+10 0.0000000000e+00 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.3661228662e+10 1.3637472281e+10 1.3659068198e+10 1.3659068198e+10 6.1369787149e+00 6.1369772218e+00 6.1369683293e+00 6.1370736903e+00 2.7004617302e+11 1.6777216000e+07 1.6777216000e+07 5.4975581389e+11 4.1231686042e+11 2.7004869018e+11 2.7003138867e+11 2.7004617302e+11 2.7004617302e+11 0 0 0 0 0 0 0 0
2 1.0039992825e+10 1.0039831725e+10 1.0039883854e+10 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 1.0040347308e+10 1.0042141348e+10 1.0039992825e+10 1.0039992825e+10 4.2860632070e+00 4.2860656439e+00 4.2860581054e+00 4.2859909334e+00 1.4360378504e+10 1.6777216000e+07 0.0000000000e+00 4.2949672960e+10 1.3743895347e+11 1.4360428544e+10 1.4359511040e+10 1.4360378504e+10 1.4360378504e+10 0 1 0 0 0 0 0 0
3 3.2791672563e+09 3.2792237469e+09 3.2791991025e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 3.2794200570e+09 3.2735783652e+09 3.2791672563e+09 3.2791672563e+09 3.6120346866e+00 3.6120352449e+00 3.6120206413e+00 3.6120786273e+00 5.4377703256e+09 1.6777216000e+07 nan 1.0737418240e+10 3.8654705664e+10 5.4378168320e+09 5.4374481920e+09 5.4377703256e+09 5.4377703256e+09 0 0 0 0 0 0 0 0
4 4.4457211944e+09 4.4456884642e+09 4.4456874749e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 4.4454240703e+09 4.4433974351e+09 4.4457211944e+09 4.4457211944e+09 3.5173709730e+00 3.5173724985e+00 3.5173569659e+00 3.5173574752e+00 2.9071820148e+09 1.6777216000e+07 nan 1.0737418240e+10 9.6636764160e+09 2.9072302080e+09 2.9070438400e+09 2.9071820148e+09 2.9071820148e+09 0 0 0 0 0 0 0 0
5 2.2683177400e+09 2.2682636699e+09 2.2682790603e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 2.2683391665e+09 2.2700757418e+09 2.2683177400e+09 2.2683177400e+09 3.0665968032e+00 3.0665992926e+00 3.0665768425e+00 3.0665814878e+00 9.3998795907e+08 -1.6777216000e+07 nan 8.5899345920e+09 2.3622320128e+10 9.4002124800e+08 9.3995264000e+08 9.3998795907e+08 9.3998795907e+08 1 0 0 0 0 0 0 0
6 2.6108248445e+09 2.6108984417e+09 2.6108631723e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 2.6114317406e+09 2.6049565713e+09 2.6108248445e+09 2.6108248445e+09 2.8306348160e+00 2.8306363756e+00 2.8306111705e+00 2.8306801842e+00 6.2491665820e+08 1.6777216000e+07 nan 1.1811160064e+10 1.0737418240e+10 6.2494208000e+08 6.2488934400e+08 6.2491665820e+08 6.2491665820e+08 0 0 0 0 0 0 0 0
7 1.8125537637e+09 1.8123894528e+09 1.8124406394e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 1.8120946659e+09 1.8215452301e+09 1.8125537637e+09 1.8125537637e+09 2.7422456496e+00 2.7422486999e+00 2.7422215945e+00 2.7422070703e+00 3.6785181584e+08 1.6777216000e+07 nan 4.8318382080e+09 1.0737418240e+10 3.6787379200e+08 3.6783846400e+08 3.6785181584e+08 3.6785181584e+08 0 0 0 0 0 0 0 0
8 1.4605919070e+09 1.4606418565e+09 1.4606163095e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 1.4609670593e+09 1.4563357956e+09 1.4605919070e+09 1.4605919070e+09 2.7008868339e+00 2.7008884573e+00 2.7008531443e+00 2.7009356718e+00 4.2397083766e+08 -1.6777216000e+07 nan 5.3687091200e+09 1.0737418240e+10 4.2400665600e+08 4.2395136000e+08 4.2397083766e+08 4.2397083766e+08 1 0 0 0 0 0 0 0
9 1.6471746850e+09 1.6471567869e+09 1.6471550347e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 1.6472458151e+09 1.6469040274e+09 1.6471746850e+09 1.6471746850e+09 2.6603201756e+00 2.6603218316e+00 2.6602891568e+00 2.6603495569e+00 2.3181601441e+08 -1.6777216000e+07 nan 4.8318382080e+09 6.9793218560e+09 2.3184160000e+08 2.3180819200e+08 2.3181601441e+08 2.3181601441e+08 1 0 0 0 0 0 0 0
