matrix=data/matrices/mhd4800b.mtx n=4800 seed=10
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.0861744404e+00 1.0861684430e+00 1.0861685528e+00 1.8708286934e+00 1.0000000000e+00 1.0868083289e+00 1.0217364203e+00 1.0861744485e+00 1.0861735876e+00 1.0861744404e+00 1.0861744404e+00 2.2663284781e+02 2.2663306478e+02 2.2663284638e+02 2.2663278402e+02 6.2780299543e+01 5.6000000000e+01 2.8000000000e+01 6.2812500000e+01 5.6187500000e+01 6.2780299664e+01 6.2780295372e+01 6.2780299543e+01 6.2780299543e+01 4.8365790731e+01 4.8365790844e+01 4.8365774155e+01 0 0 0 0 0 0 0 0
1 4.4958763207e-01 4.4958532552e-01 4.4958540838e-01 5.0000000000e-01 5.3033008589e-01 4.5021967294e-01 4.3645242886e-01 4.4958763526e-01 4.4958745296e-01 4.4958763207e-01 4.4958763207e-01 8.9376771893e+01 8.9376742691e+01 8.9376769406e+01 8.9376798579e+01 2.6304546352e+00 5.0000000000e+00 1.2500000000e+00 2.6318359375e+00 2.2861328125e+00 2.6304546595e+00 2.6304527670e+00 2.6304546352e+00 2.6304546352e+00 2.7407581668e+00 2.7407581806e+00 2.7407566905e+00 0 0 0 0 0 0 0 0
2 2.1302030121e-01 2.1301908729e-01 2.1301910478e-01 1.0000000000e+00 3.3071891388e-01 2.1280997612e-01 2.1847080397e-01 2.1302030380e-01 2.1302022292e-01 2.1302030121e-01 2.1302030121e-01 4.6334856530e+01 4.6334841664e+01 4.6334850866e+01 4.6334848842e+01 5.5400803076e-01 1.7500000000e+00 7.5000000000e-01 5.5322265625e-01 4.9121093750e-01 5.5400804430e-01 5.5400799587e-01 5.5400803076e-01 5.5400803076e-01 5.2058734889e-01 5.2058735117e-01 5.2058729529e-01 0 0 0 0 0 0 0 0
3 4.4443588764e-02 4.4443425464e-02 4.4443407128e-02 3.8729833462e+00 1.1180339887e+00 4.4366471452e-02 4.1912624480e-02 4.4443587212e-02 4.4443485710e-02 4.4443588764e-02 4.4443588764e-02 2.4545492983e+01 2.4545592095e+01 2.4545484799e+01 2.4545479940e+01 1.0024984203e-01 1.0000000000e+00 9.3750000000e-01 1.0055541992e-01 8.5632324219e-02 1.0024984833e-01 1.0024981434e-01 1.0024984203e-01 1.0024984203e-01 9.0171989193e-02 9.0171991847e-02 9.0171963442e-02 1 0 0 0 0 0 0 0
4 1.6963693908e-02 1.6963604031e-02 1.6963608320e-02 9.7979589711e+00 2.6457513111e+00 1.7068904583e-02 1.9260823167e-02 1.6963696676e-02 1.6963685095e-02 1.6963693908e-02 1.6963693908e-02 2.4904994391e+01 2.4904957135e+01 2.4904979820e+01 2.4904986598e+01 1.1036492248e-02 4.0960000000e+03 2.8000000000e+01 1.1184692383e-02 9.4223022461e-03 1.1036496377e-02 1.1036494980e-02 1.1036492248e-02 1.1036492248e-02 1.0439593815e-02 1.0439595557e-02 1.0439592297e-02 0 0 0 0 0 0 0 0
5 1.1877656564e-02 1.1877484924e-02 1.1877475736e-02 1.1313708499e+01 3.1622776602e+00 1.2000200906e-02 1.0230628340e-02 1.1877658897e-02 1.1877612954e-02 1.1877656564e-02 1.1877656564e-02 1.2442205105e+01 1.2442282264e+01 1.2442185801e+01 1.2442200540e+01 3.9979897363e-03 1.0485760000e+06 2.0480000000e+03 4.0931701660e-03 3.0326843262e-03 3.9979913272e-03 3.9979874273e-03 3.9979897363e-03 3.9979897363e-03 3.1668517840e-03 3.1668529264e-03 3.1668502488e-03 0 0 0 0 0 0 0 0
6 5.8210425394e-03 5.8208083580e-03 5.8207958581e-03 1.3856406461e+01 4.0000000000e+00 5.9100187680e-03 4.6386718750e-03 5.8210422579e-03 5.8210294460e-03 5.8210425394e-03 5.8210425394e-03 1.0086366932e+01 1.0086339031e+01 1.0086339965e+01 1.0086361374e+01 7.2517016045e-04 1.0485760000e+06 4.0960000000e+03 7.3242187500e-04 5.5217742920e-04 7.2516997170e-04 7.2516960790e-04 7.2517016045e-04 7.2517016045e-04 8.3699513854e-04 8.3699508104e-04 8.3699519746e-04 0 0 0 0 0 0 0 0
7 2.9697285368e-03 2.9697779590e-03 2.9697802559e-03 1.6000000000e+01 5.2915026221e+00 3.0099677749e-03 4.3192885774e-03 2.9697284992e-03 2.9697228335e-03 2.9697285368e-03 2.9697285368e-03 7.6724033404e+00 7.6724387391e+00 7.6723706878e+00 7.6723913662e+00 1.0929391663e-04 1.0485760000e+06 4.0960000000e+03 1.1301040649e-04 7.8439712524e-05 1.0929390919e-04 1.0929402197e-04 1.0929391663e-04 1.0929391663e-04 1.6398059841e-04 1.6398059233e-04 1.6398096341e-04 0 0 0 0 0 0 0 0
8 1.2757138289e-03 1.2756753564e-03 1.2756719699e-03 1.9595917942e+01 5.6568542495e+00 1.2656519381e-03 1.1418632162e-03 1.2757138552e-03 1.2757133205e-03 1.2757138289e-03 1.2757138289e-03 6.6230724161e+00 6.6229743434e+00 6.6230386039e+00 6.6230666171e+00 5.8364717076e-05 1.0485760000e+06 3.0720000000e+03 6.1273574829e-05 5.1617622375e-05 5.8364719735e-05 5.8364868892e-05 5.8364717076e-05 5.8364717076e-05 6.2946206438e-05 6.2946211983e-05 6.2946415710e-05 0 0 0 0 0 0 0 0
9 5.0939402968e-04 5.0939143517e-04 5.0939093301e-04 2.2627416998e+01 7.4833147735e+00 4.4851496755e-04 7.0124055744e-04 5.0939383437e-04 5.0938691572e-04 5.0939402968e-04 5.0939402968e-04 5.7490187868e+00 5.7490789700e+00 5.7489796213e+00 5.7490031884e+00 7.8481388562e-06 1.0485760000e+06 3.0720000000e+03 1.1146068573e-05 1.2814998627e-05 7.8481489254e-06 7.8481816672e-06 7.8481388562e-06 7.8481388562e-06 9.7272029137e-06 9.7272131825e-06 9.7272586572e-06 0 0 0 0 0 0 0 0
10 3.8332970018e-04 3.8333303640e-04 3.8333279543e-04 2.7712812921e+01 8.0000000000e+00 3.7376247296e-04 4.1843594973e-04 3.8332703072e-04 3.8332310102e-04 3.8332970018e-04 3.8332970018e-04 4.7965411966e+00 4.7962874199e+00 4.7965060100e+00 4.7965458188e+00 1.7494355420e-06 1.0485760000e+06 4.0960000000e+03 4.8577785492e-06 2.5331974030e-06 1.7494576241e-06 1.7494674012e-06 1.7494355420e-06 1.7494355420e-06 2.5919332526e-06 2.5919493964e-06 2.5919619020e-06 0 0 0 0 0 0 0 0
11 2.8513838563e-04 2.8511389480e-04 2.8510783884e-04 2.7712812921e+01 1.1313708499e+01 4.3158372875e-04 4.5264883344e-04 2.8514685140e-04 2.8514545596e-04 2.8513838563e-04 2.8513838563e-04 3.4032813540e+00 3.4036958215e+00 3.4033108575e+00 3.4033447029e+00 6.6441153122e-07 1.6777216000e+07 4.0960000000e+03 1.1697411537e-06 8.3446502686e-07 6.6447557856e-07 6.6448774305e-07 6.6441153122e-07 6.6441153122e-07 1.3031928502e-06 1.3032291690e-06 1.3032379229e-06 0 0 0 0 0 0 0 0
