matrix=data/matrices/mhd4800b.mtx n=4800 seed=43
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.1438938535e+00 1.1438813431e+00 1.1438813952e+00 1.3693063938e+00 1.3228756555e+00 1.1435109040e+00 1.1809027267e+00 1.1438938488e+00 1.1438943666e+00 1.1438938535e+00 1.1438938535e+00 2.5457360235e+02 2.5457246470e+02 2.5457246470e+02 2.5457360487e+02 2.5457375006e+02 4.3465053473e+01 4.0000000000e+01 1.6000000000e+01 4.3468750000e+01 3.6812500000e+01 4.3465053558e+01 4.3465037346e+01 4.3465053473e+01 4.3465053473e+01 3.6935163247e+01 3.6935163021e+01 3.6935170174e+01 0 0 0 0 0 0 0 0
1 3.5282568258e-01 3.5282063533e-01 3.5282060366e-01 6.8465319688e-01 2.9315098499e-01 3.5212628405e-01 3.6174490321e-01 3.5282567966e-01 3.5282599906e-01 3.5282568258e-01 3.5282568258e-01 8.0745476459e+01 8.0746151316e+01 8.0746162010e+01 8.0745480747e+01 8.0745413506e+01 2.0317031888e+00 3.2500000000e+00 1.5000000000e+00 2.0332031250e+00 2.0380859375e+00 2.0317031592e+00 2.0317053199e+00 2.0317031888e+00 2.0317031888e+00 2.0315808055e+00 2.0315807760e+00 2.0315830708e+00 0 0 0 0 0 0 0 0
2 1.2635305788e-01 1.2635335832e-01 1.2635338043e-01 6.3737743920e-01 2.3452078799e+00 1.2639601318e-01 1.2355734886e-01 1.2635306625e-01 1.2635284236e-01 1.2635305788e-01 1.2635305788e-01 8.3475706009e+01 8.3475284254e+01 8.3475268951e+01 8.3475790575e+01 8.3475836977e+01 2.6657369643e-01 1.2500000000e+00 3.7500000000e-01 2.6696777344e-01 2.6574707031e-01 2.6657370292e-01 2.6657404192e-01 2.6657369643e-01 2.6657369643e-01 2.6901565446e-01 2.6901565678e-01 2.6901601441e-01 0 0 0 0 0 0 0 0
3 4.6711016510e-02 4.6709972198e-02 4.6709979675e-02 9.7979589711e+00 9.0509667992e+01 4.6834292220e-02 4.6875000000e-02 4.6711018953e-02 4.6711060075e-02 4.6711016510e-02 4.6711016510e-02 3.4199952176e+01 3.4200067978e+01 3.4200091069e+01 3.4200015617e+01 3.4200014963e+01 9.3193446306e-02 1.0000000000e+00 1.0000000000e+00 9.3780517578e-02 9.1827392578e-02 9.3193459325e-02 9.3193579465e-02 9.3193446306e-02 9.3193446306e-02 6.7442780337e-02 6.7442786880e-02 6.7442867439e-02 1 1 0 0 0 0 0 0
4 1.7036565311e-02 1.7036441405e-02 1.7036447384e-02 4.0960000000e+03 1.2800000000e+02 1.7068904583e-02 1.8138843380e-02 1.7036567394e-02 1.7036551165e-02 1.7036565311e-02 1.7036565311e-02 3.5353911728e+01 3.5353860013e+01 3.5353872565e+01 3.5354113157e+01 3.5354080404e+01 1.2613132147e-02 1.0000000000e+00 1.6777216000e+07 1.2687683105e-02 1.1184692383e-02 1.2613135274e-02 1.2613147730e-02 1.2613132147e-02 1.2613132147e-02 1.0421488609e-02 1.0421490879e-02 1.0421501123e-02 1 0 0 0 0 0 0 0
5 1.1635412472e-02 1.1635151218e-02 1.1635136835e-02 4.0960000000e+03 1.2800000000e+02 1.1596037194e-02 1.0753279075e-02 1.1635415422e-02 1.1635381967e-02 1.1635412472e-02 1.1635412472e-02 2.8030535656e+01 2.8030585864e+01 2.8030605977e+01 2.8030841965e+01 2.8030771082e+01 1.8777110242e-03 1.6777216000e+07 1.6777216000e+07 1.8787384033e-03 1.6269683838e-03 1.8777116202e-03 1.8777140358e-03 1.8777110242e-03 1.8777110242e-03 1.9763811869e-03 1.9763818127e-03 1.9763830933e-03 0 0 0 0 0 0 0 0
6 3.4981954244e-03 3.4980710226e-03 3.4980727126e-03 4.0960000000e+03 1.2800000000e+02 3.4526698300e-03 3.2388913968e-03 3.4981967298e-03 3.4981868502e-03 3.4981954244e-03 3.4981954244e-03 2.4283522069e+01 2.4283482356e+01 2.4283501720e+01 2.4283976385e+01 2.4283849284e+01 5.3198602518e-04 1.6777216000e+07 1.6777216000e+07 5.3215026855e-04 4.4298171997e-04 5.3198619571e-04 5.3198586102e-04 5.3198602518e-04 5.3198602518e-04 5.2207765965e-04 5.2207788394e-04 5.2207770932e-04 0 0 0 0 0 0 0 0
7 1.5198249339e-03 1.5198748152e-03 1.5198751144e-03 4.0960000000e+03 1.2800000000e+02 1.6148384467e-03 1.3702358594e-03 1.5198258203e-03 1.5198140015e-03 1.5198249339e-03 1.5198249339e-03 2.3860857720e+01 2.3860885007e+01 2.3860913991e+01 2.3861456251e+01 2.3861280654e+01 5.4466388654e-05 1.6777216000e+07 1.6777216000e+07 5.9604644775e-05 4.4703483582e-05 5.4466425354e-05 5.4466521760e-05 5.4466388654e-05 5.4466388654e-05 7.6593989788e-05 7.6594049460e-05 7.6594064012e-05 0 0 0 0 0 0 0 0
8 1.0356740260e-03 1.0356291644e-03 1.0356289448e-03 4.0960000000e+03 1.2800000000e+02 9.8794031105e-04 1.0285827360e-03 1.0356748301e-03 1.0356661581e-03 1.0356740260e-03 1.0356740260e-03 1.8995214547e+01 1.8995154964e+01 1.8995190182e+01 1.8995984505e+01 1.8995760255e+01 2.5612901135e-05 1.6777216000e+07 1.6777216000e+07 3.8266181946e-05 3.1113624573e-05 2.5612941499e-05 2.5612880563e-05 2.5612901135e-05 2.5612901135e-05 3.0034106222e-05 3.0034155316e-05 3.0034032534e-05 0 0 0 0 0 0 0 0
9 6.7552489659e-04 6.7549175786e-04 6.7548908605e-04 4.0960000000e+03 1.2800000000e+02 5.9801995673e-04 5.8223828211e-04 6.7552154672e-04 6.7551494111e-04 6.7552489659e-04 6.7552489659e-04 2.1793496885e+01 2.1793562735e+01 2.1793599425e+01 2.1794425539e+01 2.1794147240e+01 4.7904352469e-06 1.6777216000e+07 1.6777216000e+07 1.3709068298e-05 1.0192394257e-05 4.7904700295e-06 4.7904345593e-06 4.7904352469e-06 4.7904352469e-06 7.4559376583e-06 7.4559716268e-06 7.4559116001e-06 0 0 0 0 0 0 0 0
10 5.1006066691e-04 5.1004830959e-04 5.1004708367e-04 4.0960000000e+03 1.2800000000e+02 9.5339961864e-04 1.1708573055e-03 5.1005964921e-04 5.1005112363e-04 5.1006066691e-04 5.1006066691e-04 1.0855725397e+01 1.0855293856e+01 1.0855450683e+01 1.0857069871e+01 1.0856758011e+01 2.6007343691e-06 1.6777216000e+07 1.6777216000e+07 4.7087669373e-06 3.8743019104e-06 2.6008281111e-06 2.6008058285e-06 2.6007343691e-06 2.6007343691e-06 4.1653382967e-06 4.1654002416e-06 4.1653574954e-06 0 0 0 0 0 0 0 0
11 5.1588355448e-04 5.1585704062e-04 5.1586166867e-04 4.0960000000e+03 1.2800000000e+02 8.1431055079e-04 7.8163137664e-04 5.1589758975e-04 5.1588960139e-04 5.1588355448e-04 5.1588355448e-04 1.8827705392e+01 1.8828317464e+01 1.8828100459e+01 1.8828476616e+01 1.8828035968e+01 2.8601549968e-06 1.6777216000e+07 1.6777216000e+07 2.5928020477e-06 2.8908252716e-06 2.8602735256e-06 2.8602312341e-06 2.8601549968e-06 2.8601549968e-06 3.8475389550e-06 3.8476327973e-06 3.8475845940e-06 0 0 0 0 0 0 0 0
12 2.7241969200e-04 2.7238802258e-04 2.7238833561e-04 4.0960000000e+03 1.2800000000e+02 3.2583856970e-04 4.2065578467e-04 2.7242011912e-04 2.7241573721e-04 2.7241969200e-04 2.7241969200e-04 1.0319159431e+01 1.0318909446e+01 1.0319095831e+01 1.0321370828e+01 1.0320762311e+01 2.5909424481e-06 1.6777216000e+07 1.6777216000e+07 3.3825635910e-06 2.8461217880e-06 2.5908632324e-06 2.5908407224e-06 2.5909424481e-06 2.5909424481e-06 3.2694157542e-06 3.2694119909e-06 3.2693774301e-06 0 0 0 0 0 0 0 0
13 1.8316567800e-04 1.8316722636e-04 1.8316758519e-04 4.0960000000e+03 1.2800000000e+02 2.5165439609e-04 1.9301011109e-04 1.8316626626e-04 1.8315711107e-04 1.8316567800e-04 1.8316567800e-04 8.8911863059e+00 8.8914677691e+00 8.8914316343e+00 8.8929993251e+00 8.8923600130e+00 6.8554110026e-07 1.6777216000e+07 1.6777216000e+07 1.6465783119e-06 1.0281801224e-06 6.8554595600e-07 6.8553958954e-07 6.8554110026e-07 6.8554110026e-07 1.0607908881e-06 1.0607965351e-06 1.0607795957e-06 0 0 0 0 0 0 0 0
14 1.2456558941e-04 1.2456090191e-04 1.2456094469e-04 4.0960000000e+03 1.2800000000e+02 1.6148384467e-04 1.8054442697e-04 1.2456586462e-04 1.2456044555e-04 1.2456558941e-04 1.2456558941e-04 9.6464538221e+00 9.6462726984e+00 9.6464397466e+00 9.6489457406e+00 9.6481955691e+00 4.2040984417e-07 1.6777216000e+07 1.6777216000e+07 1.1771917343e-06 7.2270631790e-07 4.2043046733e-07 4.2041801862e-07 4.2040984417e-07 4.2040984417e-07 4.4871906804e-07 4.4873155503e-07 4.4871984528e-07 0 0 0 0 0 0 0 0
15 5.9916137495e-05 5.9914923136e-05 5.9916185015e-05 4.0960000000e+03 1.2800000000e+02 1.0121535615e-04 1.1819407184e-04 5.9918856924e-05 5.9916084955e-05 5.9916137495e-05 5.9916137495e-05 7.6830195827e+00 7.6830792693e+00 7.6831454251e+00 7.6852849466e+00 7.6845525948e+00 1.6462583920e-07 1.6777216000e+07 1.6777216000e+07 2.6077032089e-07 1.8253922462e-07 1.6463567931e-07 1.6463314978e-07 1.6462583920e-07 1.6462583920e-07 1.5252100793e-07 1.5252842900e-07 1.5252516050e-07 0 0 0 0 0 0 0 0
16 2.5729837133e-05 2.5728358683e-05 2.5728523738e-05 4.0960000000e+03 1.2800000000e+02 3.8146972656e-05 7.0752094234e-05 2.5729995160e-05 2.5728553944e-05 2.5729837133e-05 2.5729837133e-05 7.9139553586e+00 7.9139786308e+00 7.9140614957e+00 7.9163411488e+00 7.9155526988e+00 5.8280702285e-08 1.6777216000e+07 1.6777216000e+07 7.8231096268e-08 6.0535967350e-08 5.8279240989e-08 5.8277421999e-08 5.8280702285e-08 5.8280702285e-08 5.2425098059e-08 5.2425562558e-08 5.2423857255e-08 0 0 0 0 0 0 0 0
17 1.5415712736e-05 1.5414489613e-05 1.5414524725e-05 4.0960000000e+03 1.2800000000e+02 2.5303839038e-05 7.2378791660e-05 1.5415407900e-05 1.5414169100e-05 1.5415712736e-05 1.5415712736e-05 7.3868035210e+00 7.3868284465e+00 7.3869125864e+00 7.3892536885e+00 7.3884396080e+00 7.3738068046e-09 1.6777216000e+07 1.6777216000e+07 2.0489096642e-08 2.0489096642e-08 7.3737105311e-09 7.3734724992e-09 7.3738068046e-09 7.3738068046e-09 9.0080398233e-09 9.0079161907e-09 9.0076781589e-09 0 0 0 0 0 0 0 0
18 5.9376706527e-06 5.9380198365e-06 5.9378547760e-06 4.0960000000e+03 1.2800000000e+02 2.7508173183e-05 5.3947966094e-05 5.9372619812e-06 5.9368552587e-06 5.9376706527e-06 5.9376706527e-06 6.9397826080e+00 6.9398045083e+00 6.9398922507e+00 6.9423223909e+00 6.9414522554e+00 1.5293432514e-09 1.6777216000e+07 1.6777216000e+07 1.3737007976e-08 3.2596290112e-08 1.5293091238e-09 1.5292807021e-09 1.5293432514e-09 1.5293432514e-09 2.1498119504e-09 2.1496973091e-09 2.1496919800e-09 0 0 0 0 0 0 0 0
19 6.3640788791e-06 6.3641768509e-06 6.3641823024e-06 4.0960000000e+03 1.2800000000e+02 2.2243316249e-05 3.7376247296e-05 6.3631535174e-06 6.3627434836e-06 6.3640788791e-06 6.3640788791e-06 6.3333216747e+00 6.3333404444e+00 6.3334340142e+00 6.3360267127e+00 6.3350902196e+00 4.5881338603e-10 1.6777216000e+07 1.6777216000e+07 6.5192580223e-09 2.0954757929e-08 4.5877079913e-10 4.5876746846e-10 4.5881338603e-10 4.5881338603e-10 7.8152912157e-10 7.8139938964e-10 7.8143003179e-10 0 0 0 0 0 0 0 0
20 7.0325437026e-06 7.0308970152e-06 7.0311131462e-06 4.0960000000e+03 1.2800000000e+02 1.6184389828e-05 2.1579186438e-05 7.0308101662e-06 7.0301429721e-06 7.0325437026e-06 7.0325437026e-06 5.2635728898e+00 5.2635794272e+00 5.2636850939e+00 5.2666193887e+00 5.2655066393e+00 2.3653808214e-10 1.6777216000e+07 1.6777216000e+07 4.1909515858e-09 7.9162418842e-09 2.3647594993e-10 2.3650614800e-10 2.3653808214e-10 2.3653808214e-10 5.4917841290e-10 5.4899729207e-10 5.4906301727e-10 0 0 0 0 0 0 0 0
21 8.2009223629e-06 8.2028253159e-06 8.2023989636e-06 4.0960000000e+03 1.2800000000e+02 1.0789593219e-05 1.0789593219e-05 8.1993698708e-06 8.1992750879e-06 8.2009223629e-06 8.2009223629e-06 3.3827096468e+00 3.3826924941e+00 3.3828122734e+00 3.3863138838e+00 3.3851606436e+00 2.1467382127e-10 1.6777216000e+07 1.6777216000e+07 4.6566128731e-09 2.3283064365e-09 2.1457879917e-10 2.1460366817e-10 2.1467382127e-10 2.1467382127e-10 5.9559956059e-10 5.9534377428e-10 5.9541349628e-10 0 0 0 0 0 0 0 0
22 5.2174754049e-06 5.2163852125e-06 5.2165767594e-06 4.0960000000e+03 1.2800000000e+02 8.9462580868e-06 9.3440618240e-06 5.2170612486e-06 5.2163456386e-06 5.2174754049e-06 5.2174754049e-06 1.0890898985e+00 1.0890617633e+00 1.0891824991e+00 1.0928599972e+00 1.0912487308e+00 4.2717289448e-10 1.6777216000e+07 1.6777216000e+07 2.2118911147e-09 9.3132257462e-10 4.2697800851e-10 4.2704706438e-10 4.2717289448e-10 4.2717289448e-10 8.7962864770e-10 8.7931439907e-10 8.7939788784e-10 0 0 0 0 0 0 0 0
23 1.8980553841e-06 1.9011294300e-06 1.9003903568e-06 4.0960000000e+03 1.2800000000e+02 4.0460974570e-06 5.7220458984e-06 1.8980838462e-06 1.8979869667e-06 1.8980553841e-06 1.8980553841e-06 2.7044733082e-01 2.7042083037e-01 2.7053741527e-01 2.7431569616e-01 2.7363529779e-01 2.7484418640e-10 1.6777216000e+07 1.6777216000e+07 7.5669959188e-10 5.8207660913e-10 2.7479418740e-10 2.7480528964e-10 2.7484418640e-10 2.7484418640e-10 4.0706966476e-10 4.0701131354e-10 4.0700109949e-10 0 0 0 0 0 0 0 0
24 1.4028283657e-06 1.4030250173e-06 1.4029158993e-06 4.0960000000e+03 1.2800000000e+02 2.5231850730e-06 5.7220458984e-06 1.4027634908e-06 1.4018901460e-06 1.4028283657e-06 1.4028283657e-06 6.9769803917e-02 6.9791726612e-02 6.9903344532e-02 7.3402933217e-02 7.1530569040e-02 1.0835805218e-10 1.6777216000e+07 1.6777216000e+07 2.1827872843e-10 2.0372681320e-10 1.0835587982e-10 1.0840273124e-10 1.0835805218e-10 1.0835805218e-10 1.2345880253e-10 1.2345413580e-10 1.2346257350e-10 0 0 0 0 0 0 0 0
25 5.0280637595e-07 5.0246401125e-07 5.0234224428e-07 4.0960000000e+03 1.2800000000e+02 1.7841612753e-06 3.0157829858e-06 5.0271408860e-07 5.0154293172e-07 5.0280637595e-07 5.0280637595e-07 1.3768403518e-02 1.3865295485e-02 1.3972803551e-02 1.7684671548e-02 1.7616541943e-02 2.1443104202e-11 1.6777216000e+07 1.6777216000e+07 7.2759576142e-11 1.8917489797e-10 2.1450702326e-11 2.1534191097e-11 2.1443104202e-11 2.1443104202e-11 2.8138784548e-11 2.8141794450e-11 2.8175961564e-11 0 0 0 0 0 0 0 0
