matrix=data/matrices/mhd4800b.mtx n=4800 seed=6
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.0205634960e+00 1.0205505654e+00 1.0205503318e+00 1.3228756555e+00 1.0000000000e+00 1.0214974455e+00 9.9865632383e-01 1.0205634983e+00 1.0205631661e+00 1.0205634960e+00 1.0205634960e+00 2.3962784457e+02 2.3962727209e+02 2.3962784245e+02 2.3962783126e+02 6.1357159439e+01 5.6000000000e+01 2.8000000000e+01 6.1343750000e+01 5.4468750000e+01 6.1357159138e+01 6.1357151985e+01 6.1357159439e+01 6.1357159439e+01 0 0 0 0 0 0 0 0
1 4.0785853826e-01 4.0785467069e-01 4.0785461588e-01 5.0000000000e-01 3.7500000000e-01 4.0782447300e-01 3.8041340075e-01 4.0785853658e-01 4.0785861193e-01 4.0785853826e-01 4.0785853826e-01 8.7622930036e+01 8.7623069980e+01 8.7622927420e+01 8.7622900668e+01 2.2368218087e+00 5.0000000000e+00 1.2500000000e+00 2.2402343750e+00 2.0175781250e+00 2.2368217558e+00 2.2368208617e+00 2.2368218087e+00 2.2368218087e+00 0 0 0 0 0 0 0 0
2 1.8018017379e-01 1.8017855179e-01 1.8017858281e-01 1.5000000000e+00 5.5901699437e-01 1.8045014785e-01 1.8545433548e-01 1.8018017094e-01 1.8018010504e-01 1.8018017379e-01 1.8018017379e-01 5.0063668677e+01 5.0063622668e+01 5.0063655674e+01 5.0063650861e+01 4.2258134306e-01 4.0000000000e+00 8.7500000000e-01 4.2358398438e-01 3.6926269531e-01 4.2258132994e-01 4.2258151621e-01 4.2258134306e-01 4.2258134306e-01 0 0 0 0 0 0 0 0
3 5.5464137183e-02 5.5463336963e-02 5.5463357952e-02 1.9595917942e+01 6.3737743920e-01 5.5346200450e-02 4.9603223044e-02 5.5464138235e-02 5.5464130364e-02 5.5464137183e-02 5.5464137183e-02 2.6016501477e+01 2.6016443223e+01 2.6016495918e+01 2.6016485048e+01 8.4655367411e-02 -8.1250000000e-01 -1.2500000000e+00 8.4838867188e-02 7.2540283203e-02 8.4655362647e-02 8.4655380342e-02 8.4655367411e-02 8.4655367411e-02 1 1 0 0 0 0 0 0
4 1.7637917219e-02 1.7637932547e-02 1.7637966373e-02 1.9595917942e+01 4.5069390943e-01 1.7414604004e-02 1.6998921080e-02 1.7637920584e-02 1.7637937084e-02 1.7637917219e-02 1.7637917219e-02 2.5644552471e+01 2.5644516346e+01 2.5644539936e+01 2.5644546363e+01 1.2434115265e-02 -1.6777216000e+07 1.6000000000e+01 1.2763977051e-02 1.0818481445e-02 1.2434113305e-02 1.2434125412e-02 1.2434115265e-02 1.2434115265e-02 1 0 0 0 0 0 0 0
5 1.6314302452e-02 1.6314037993e-02 1.6314043345e-02 1.9595917942e+01 3.0618621785e-01 1.6500727782e-02 1.4151735104e-02 1.6314301796e-02 1.6314290424e-02 1.6314302452e-02 1.6314302452e-02 1.2116785822e+01 1.2116791691e+01 1.2116775980e+01 1.2116775375e+01 3.7689193488e-03 -1.6777216000e+07 2.0000000000e+00 3.8719177246e-03 3.0670166016e-03 3.7689186283e-03 3.7689240999e-03 3.7689193488e-03 3.7689193488e-03 1 0 0 0 0 0 0 0
6 7.0683503715e-03 7.0682361859e-03 7.0682531708e-03 1.9595917942e+01 1.0606601718e+00 6.9053396600e-03 5.8593750000e-03 7.0683531492e-03 7.0683405394e-03 7.0683503715e-03 7.0683503715e-03 1.1208984495e+01 1.1208985654e+01 1.1208979815e+01 1.1208982807e+01 1.1368763544e-03 -1.6777216000e+07 1.0000000000e+00 1.0986328125e-03 8.4304809570e-04 1.1368769919e-03 1.1368785927e-03 1.1368763544e-03 1.1368763544e-03 1 0 0 0 0 0 0 0
7 2.2862208424e-03 2.2862432816e-03 2.2862409942e-03 1.9595917942e+01 3.1622776602e+00 2.3289531285e-03 2.7459037791e-03 2.2862217002e-03 2.2862107602e-03 2.2862208424e-03 2.2862208424e-03 8.7321282272e+00 8.7321266978e+00 8.7321254280e+00 8.7321342069e+00 1.2527024788e-04 -1.6777216000e+07 1.2800000000e+02 1.2254714966e-04 8.3923339844e-05 1.2527032959e-04 1.2527024228e-04 1.2527024788e-04 1.2527024788e-04 1 0 0 0 0 0 0 0
8 1.2118701560e-03 1.2118641653e-03 1.2118691373e-03 1.9595917942e+01 3.7416573868e+00 1.1991505557e-03 9.0529766688e-04 1.2118704507e-03 1.2118697471e-03 1.2118701560e-03 1.2118701560e-03 7.6555464693e+00 7.6555458296e+00 7.6555494633e+00 7.6555431068e+00 5.4274899892e-05 -1.6777216000e+07 6.5536000000e+04 5.5551528931e-05 5.8650970459e-05 5.4274938520e-05 5.4274822105e-05 5.4274899892e-05 5.4274899892e-05 1 0 0 0 0 0 0 0
9 6.3598567343e-04 6.3597138163e-04 6.3597030907e-04 1.9595917942e+01 4.0000000000e+00 5.2148460360e-04 6.1943918244e-04 6.3598516842e-04 6.3598271051e-04 6.3598567343e-04 6.3598567343e-04 6.6340737176e+00 6.6340679865e+00 6.6340742614e+00 6.6340910758e+00 7.7284342990e-06 -1.6777216000e+07 6.5536000000e+04 9.8347663879e-06 1.3291835785e-05 7.7284403233e-06 7.7284348663e-06 7.7284342990e-06 7.7284342990e-06 1 0 0 0 0 0 0 0
