matrix=data/matrices/nasa4704.mtx n=4704 seed=11
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.7520874306e+08 1.7520855638e+08 1.7520856864e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 6.7108864000e+07 1.7520948789e+08 1.7502426535e+08 1.7520874306e+08 1.7520874306e+08 1.8555133417e+00 1.8555144140e+00 1.8555131178e+00 1.8555461461e+00 5.0664735186e+10 1.6777216000e+07 1.6777216000e+07 5.1539607552e+10 1.7179869184e+10 5.0664767488e+10 5.0659524608e+10 5.0664735186e+10 5.0664735186e+10 1.5818908324e+10 1.5818915840e+10 1.5817637888e+10 0 0 0 0 0 0 0 0
1 1.1119420294e+08 1.1119372627e+08 1.1119377938e+08 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 6.7108864000e+07 1.1119356211e+08 1.1104513904e+08 1.1119420294e+08 1.1119420294e+08 1.8145516637e+00 1.8145511573e+00 1.8145515954e+00 1.8145722123e+00 6.9780309530e+09 1.6777216000e+07 1.0485760000e+06 6.9793218560e+09 2.2817013760e+09 6.9780275200e+09 6.9780357120e+09 6.9780309530e+09 6.9780309530e+09 2.7568929526e+09 2.7568926720e+09 2.7569479680e+09 0 0 0 0 0 0 0 0
2 5.9064781891e+07 5.9064238194e+07 5.9064270007e+07 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 1.6777216000e+07 5.9065063070e+07 5.9034223491e+07 5.9064781891e+07 5.9064781891e+07 1.6628387652e+00 1.6628381535e+00 1.6628390342e+00 1.6628401971e+00 2.3803696246e+09 1.0000000000e+00 1.0485760000e+06 2.1474836480e+09 7.3819750400e+08 2.3803719680e+09 2.3804968960e+09 2.3803696246e+09 2.3803696246e+09 9.0616664962e+08 9.0616780800e+08 9.0622259200e+08 1 0 0 0 0 0 0 0
3 2.7179243904e+07 2.7178825206e+07 2.7178837551e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 2.7179352366e+07 2.7160699232e+07 2.7179243904e+07 2.7179243904e+07 1.5938457504e+00 1.5938455915e+00 1.5938461298e+00 1.5938455485e+00 6.2842735302e+08 1.6777216000e+07 1.6777216000e+07 6.0397977600e+08 2.6843545600e+08 6.2842828800e+08 6.2848102400e+08 6.2842735302e+08 6.2842735302e+08 3.1340658398e+08 3.1340723200e+08 3.1342643200e+08 0 0 0 0 0 0 0 0
4 2.1351198152e+07 2.1350979817e+07 2.1350998676e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 8.3886080000e+06 2.1351262696e+07 2.1335164025e+07 2.1351198152e+07 2.1351198152e+07 1.4933528975e+00 1.4933532657e+00 1.4933532689e+00 1.4933500069e+00 1.7386484965e+08 1.6777216000e+07 1.6777216000e+07 1.6777216000e+08 1.9713228800e+08 1.7386534400e+08 1.7387609600e+08 1.7386484965e+08 1.7386484965e+08 1.0397258042e+08 1.0397286400e+08 1.0397827200e+08 0 0 0 0 0 0 0 0
5 2.1755518392e+07 2.1755199826e+07 2.1755216021e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 2.1755583100e+07 2.1742154458e+07 2.1755518392e+07 2.1755518392e+07 1.3985201652e+00 1.3985209827e+00 1.3985207257e+00 1.3985172274e+00 1.0588681449e+08 1.6777216000e+07 1.0000000000e+00 1.1114905600e+08 6.7108864000e+07 1.0588710400e+08 1.0589040000e+08 1.0588681449e+08 1.0588681449e+08 6.2242444280e+07 6.2242608000e+07 6.2244528000e+07 0 1 0 0 0 0 0 0
6 1.7530663783e+07 1.7530444555e+07 1.7530460825e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 8.3886080000e+06 1.7530604379e+07 1.7515653111e+07 1.7530663783e+07 1.7530663783e+07 1.3221489062e+00 1.3221498643e+00 1.3221497321e+00 1.3221495834e+00 7.8844871730e+07 1.6777216000e+07 1.6777216000e+07 8.5983232000e+07 6.7108864000e+07 7.8845088000e+07 7.8847840000e+07 7.8844871730e+07 7.8844871730e+07 4.0057402620e+07 4.0057504000e+07 4.0058192000e+07 0 0 0 0 0 0 0 0
7 1.0991663722e+07 1.0991404787e+07 1.0991414709e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 8.3886080000e+06 1.0991698233e+07 1.0987203729e+07 1.0991663722e+07 1.0991663722e+07 1.2474073438e+00 1.2474090277e+00 1.2474083320e+00 1.2474120583e+00 5.1931348227e+07 1.6777216000e+07 1.6777216000e+07 6.7108864000e+07 4.4040192000e+07 5.1931456000e+07 5.1931360000e+07 5.1931348227e+07 5.1931348227e+07 2.7417147420e+07 2.7417208000e+07 2.7416760000e+07 0 0 0 0 0 0 0 0
8 9.6533043679e+06 9.6530585033e+06 9.6530832700e+06 4.0960000000e+03 4.0960000000e+03 1.1863283203e+07 8.3886080000e+06 9.6533326722e+06 9.6496613785e+06 9.6533043679e+06 9.6533043679e+06 1.1878446187e+00 1.1878460367e+00 1.1878459786e+00 1.1878489180e+00 2.3180007405e+07 1.6777216000e+07 1.0000000000e+00 3.3554432000e+07 3.5651584000e+07 2.3180064000e+07 2.3179408000e+07 2.3180007405e+07 2.3180007405e+07 1.4792325041e+07 1.4792356000e+07 1.4791844000e+07 0 1 0 0 0 0 0 0
9 7.5437051212e+06 7.5434509746e+06 7.5434629290e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 5.9316416015e+06 7.5437245311e+06 7.5406992894e+06 7.5437051212e+06 7.5437051212e+06 1.1462276935e+00 1.1462289768e+00 1.1462293708e+00 1.1462339980e+00 1.9835448696e+07 1.6777216000e+07 1.0000000000e+00 3.7748736000e+07 3.8797312000e+07 1.9835488000e+07 1.9834592000e+07 1.9835448696e+07 1.9835448696e+07 1.1433828013e+07 1.1433848000e+07 1.1433302000e+07 0 1 0 0 0 0 0 0
