matrix=data/matrices/nasa4704.mtx n=4704 seed=15
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 2.4953051816e+08 2.4953004768e+08 2.4953004768e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 6.7108864000e+07 2.4953024562e+08 2.4923925844e+08 2.4953051816e+08 2.4953051816e+08 1.6658594821e+00 1.6658597615e+00 1.6658597615e+00 1.6658574538e+00 1.6659353194e+00 9.7415742140e+10 1.6777216000e+07 1.6777216000e+07 1.0307921510e+11 5.1539607552e+10 9.7415856128e+10 9.7397243904e+10 9.7415742140e+10 9.7415742140e+10 2.4567591394e+10 2.4567578624e+10 2.4564465664e+10 0 0 0 0 0 0 0 0
1 9.3969294165e+07 9.3968811940e+07 9.3968811940e+07 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 6.7108864000e+07 9.3969026188e+07 9.3854874172e+07 9.3969294165e+07 9.3969294165e+07 1.8321697158e+00 1.8321698374e+00 1.8321698374e+00 1.8321696188e+00 1.8322198330e+00 1.1497400027e+10 1.6777216000e+07 1.6777216000e+07 1.0737418240e+10 3.6238786560e+09 1.1497357312e+10 1.1497816064e+10 1.1497400027e+10 1.1497400027e+10 4.0674755137e+09 4.0674611200e+09 4.0678338560e+09 0 0 0 0 0 0 0 0
2 4.9341390726e+07 4.9341182421e+07 4.9341198743e+07 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 3.3554432000e+07 4.9340904961e+07 4.9295619849e+07 4.9341390726e+07 4.9341390726e+07 1.6304450480e+00 1.6304446480e+00 1.6304446431e+00 1.6304448658e+00 1.6304457487e+00 1.7881898338e+09 1.0000000000e+00 1.0485760000e+06 2.0132659200e+09 8.3886080000e+08 1.7881835520e+09 1.7885941760e+09 1.7881898338e+09 1.7881898338e+09 8.1230348618e+08 8.1230080000e+08 8.1246259200e+08 1 0 0 0 0 0 0 0
3 2.9230105331e+07 2.9229829730e+07 2.9229836617e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 2.9229937637e+07 2.9212887941e+07 2.9230105331e+07 2.9230105331e+07 1.4681280946e+00 1.4681286060e+00 1.4681286343e+00 1.4681281948e+00 1.4681036358e+00 5.4895721117e+08 1.6777216000e+07 1.6777216000e+07 8.7241523200e+08 3.1876710400e+08 5.4895564800e+08 5.4905036800e+08 5.4895721117e+08 5.4895721117e+08 2.7947740865e+08 2.7947648000e+08 2.7951897600e+08 0 0 0 0 0 0 0 0
4 2.5178086890e+07 2.5178154313e+07 2.5178158311e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 2.5178450166e+07 2.5151142384e+07 2.5178086890e+07 2.5178086890e+07 1.3431045432e+00 1.3431045039e+00 1.3431045080e+00 1.3431035300e+00 1.3431036789e+00 1.9296464730e+08 1.6777216000e+07 1.0485760000e+06 3.6909875200e+08 1.8035507200e+08 1.9296396800e+08 1.9299123200e+08 1.9296464730e+08 1.9296464730e+08 1.0984665992e+08 1.0984627200e+08 1.0986016000e+08 0 0 0 0 0 0 0 0
5 2.0015385688e+07 2.0015036837e+07 2.0015043543e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 2.0015213703e+07 2.0002334451e+07 2.0015385688e+07 2.0015385688e+07 1.2404910796e+00 1.2404921484e+00 1.2404921206e+00 1.2404905246e+00 1.2404854315e+00 1.4214357577e+08 1.6777216000e+07 1.6777216000e+07 1.6777216000e+08 1.3421772800e+08 1.4214316800e+08 1.4215737600e+08 1.4214357577e+08 1.4214357577e+08 6.6854857844e+07 6.6854656000e+07 6.6860880000e+07 0 0 0 0 0 0 0 0
6 1.7351458364e+07 1.7351485623e+07 1.7351484656e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 1.7351576512e+07 1.7332754323e+07 1.7351458364e+07 1.7351458364e+07 1.1457798094e+00 1.1457802384e+00 1.1457802129e+00 1.1457782702e+00 1.1457870989e+00 6.5052776176e+07 1.6777216000e+07 1.6777216000e+07 1.4260633600e+08 9.6468992000e+07 6.5052560000e+07 6.5058352000e+07 6.5052776176e+07 6.5052776176e+07 3.9596441358e+07 3.9596336000e+07 3.9599296000e+07 0 0 0 0 0 0 0 0
7 8.7038794061e+06 8.7036978545e+06 8.7036997821e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 8.7037754399e+06 8.7013694886e+06 8.7038794061e+06 8.7038794061e+06 1.0854652233e+00 1.0854661441e+00 1.0854660845e+00 1.0854637154e+00 1.0854658892e+00 5.2127716908e+07 1.6777216000e+07 1.6777216000e+07 1.1324620800e+08 7.1303168000e+07 5.2127584000e+07 5.2130752000e+07 5.2127716908e+07 5.2127716908e+07 2.6081273010e+07 2.6081224000e+07 2.6082696000e+07 0 0 0 0 0 0 0 0
8 7.8524334039e+06 7.8523714564e+06 7.8523757296e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 7.8525009855e+06 7.8498683216e+06 7.8524334039e+06 7.8524334039e+06 1.0271532926e+00 1.0271540394e+00 1.0271539437e+00 1.0271512622e+00 1.0271547378e+00 2.3930335737e+07 1.6777216000e+07 1.6777216000e+07 8.1788928000e+07 4.0894464000e+07 2.3930304000e+07 2.3931528000e+07 2.3930335737e+07 2.3930335737e+07 1.4353901396e+07 1.4353890000e+07 1.4354624000e+07 0 0 0 0 0 0 0 0
9 6.7545680396e+06 6.7544027355e+06 6.7544049089e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.1863283203e+07 6.7545014695e+06 6.7532296150e+06 6.7545680396e+06 6.7545680396e+06 9.7324326641e-01 9.7324452181e-01 9.7324438694e-01 9.7324111464e-01 9.7324172049e-01 1.2929278959e+07 1.6777216000e+07 1.6777216000e+07 7.7594624000e+07 6.7108864000e+07 1.2929270000e+07 1.2929902000e+07 1.2929278959e+07 1.2929278959e+07 9.2070991273e+06 9.2071020000e+06 9.2075260000e+06 0 0 0 0 0 0 0 0
