matrix=data/matrices/nasa4704.mtx n=4704 seed=3
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.7090896206e+08 1.7090810632e+08 1.7090810632e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 6.7108864000e+07 1.7090823826e+08 1.7066681731e+08 1.7090896206e+08 1.7090896206e+08 1.7850568983e+00 1.7850536750e+00 1.7850556933e+00 1.7849840581e+00 6.7892334937e+10 1.6777216000e+07 1.6777216000e+07 6.8719476736e+10 2.1474836480e+10 6.7892346880e+10 6.7886841856e+10 6.7892334937e+10 6.7892334937e+10 0 0 0 0 0 0 0 0
1 1.0675378236e+08 1.0675305468e+08 1.0675306474e+08 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 6.7108864000e+07 1.0675410073e+08 1.0659949659e+08 1.0675378236e+08 1.0675378236e+08 1.8187468937e+00 1.8187480312e+00 1.8187470083e+00 1.8187754587e+00 6.9617196714e+09 1.6777216000e+07 1.6777216000e+07 6.4424509440e+09 2.5501368320e+09 6.9617090560e+09 6.9605621760e+09 6.9617196714e+09 6.9617196714e+09 0 0 0 0 0 0 0 0
2 5.9772147330e+07 5.9771670389e+07 5.9771668143e+07 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 1.6777216000e+07 5.9772281164e+07 5.9711892035e+07 5.9772147330e+07 5.9772147330e+07 1.6665267015e+00 1.6665273707e+00 1.6665270169e+00 1.6665457681e+00 2.3033765830e+09 -1.6777216000e+07 1.6777216000e+07 2.0803747840e+09 1.1408506880e+09 2.3033733120e+09 2.3031623680e+09 2.3033765830e+09 2.3033765830e+09 1 0 0 0 0 0 0 0
3 3.1411447396e+07 3.1411192906e+07 3.1411195043e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 3.1411371300e+07 3.1388118104e+07 3.1411447396e+07 3.1411447396e+07 1.5847509356e+00 1.5847507097e+00 1.5847511798e+00 1.5847463580e+00 7.3990637237e+08 1.6777216000e+07 6.5536000000e+04 7.0464307200e+08 4.3620761600e+08 7.3990451200e+08 7.3980876800e+08 7.3990637237e+08 7.3990637237e+08 0 0 0 0 0 0 0 0
4 2.0875688377e+07 2.0875437496e+07 2.0875445532e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 2.0875659311e+07 2.0857134452e+07 2.0875688377e+07 2.0875688377e+07 1.4964295609e+00 1.4964300813e+00 1.4964300809e+00 1.4964345297e+00 1.9313495820e+08 1.6777216000e+07 1.6777216000e+07 1.9293798400e+08 2.6843545600e+08 1.9313433600e+08 1.9310841600e+08 1.9313495820e+08 1.9313495820e+08 0 0 0 0 0 0 0 0
5 1.6411790498e+07 1.6411600177e+07 1.6411602221e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 1.6411698315e+07 1.6403910846e+07 1.6411790498e+07 1.6411790498e+07 1.4023780886e+00 1.4023786291e+00 1.4023787494e+00 1.4023796316e+00 1.2455332632e+08 1.6777216000e+07 1.6777216000e+07 1.3841203200e+08 2.6843545600e+08 1.2455283200e+08 1.2453811200e+08 1.2455332632e+08 1.2455332632e+08 0 0 0 0 0 0 0 0
6 1.2804141724e+07 1.2803972831e+07 1.2803972831e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.1863283203e+07 1.2804114344e+07 1.2797823364e+07 1.2804141724e+07 1.2804141724e+07 1.3236494378e+00 1.3236501332e+00 1.3236503169e+00 1.3236507380e+00 6.8162166896e+07 1.6777216000e+07 1.6777216000e+07 9.2274688000e+07 1.5938355200e+08 6.8161888000e+07 6.8153920000e+07 6.8162166896e+07 6.8162166896e+07 0 0 0 0 0 0 0 0
7 8.6430815281e+06 8.6429705609e+06 8.6429691050e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.1863283203e+07 8.6430530589e+06 8.6383931111e+06 8.6430815281e+06 8.6430815281e+06 1.2522560518e+00 1.2522567693e+00 1.2522570687e+00 1.2522633363e+00 4.2030646468e+07 -1.6777216000e+07 1.6777216000e+07 7.3400320000e+07 1.0905190400e+08 4.2030496000e+07 4.2024720000e+07 4.2030646468e+07 4.2030646468e+07 1 0 0 0 0 0 0 0
8 8.2751079476e+06 8.2750785090e+06 8.2750772418e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 8.2750716664e+06 8.2727032769e+06 8.2751079476e+06 8.2751079476e+06 1.1888051743e+00 1.1888055507e+00 1.1888062194e+00 1.1888088027e+00 1.9959436954e+07 1.6777216000e+07 1.6777216000e+07 5.1380224000e+07 6.7108864000e+07 1.9959368000e+07 1.9955664000e+07 1.9959436954e+07 1.9959436954e+07 0 0 0 0 0 0 0 0
9 7.3834446739e+06 7.3834149364e+06 7.3834129481e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.1863283203e+07 7.3834600979e+06 7.3821147914e+06 7.3834446739e+06 7.3834446739e+06 1.1410266724e+00 1.1410270692e+00 1.1410278143e+00 1.1410286308e+00 1.6521477452e+07 1.6777216000e+07 -1.6777216000e+07 6.5011712000e+07 3.8797312000e+07 1.6521422000e+07 1.6518232000e+07 1.6521477452e+07 1.6521477452e+07 0 1 0 0 0 0 0 0
10 7.0106856454e+06 7.0107006654e+06 7.0106922896e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 8.3886080000e+06 7.0106674612e+06 7.0108206178e+06 7.0106856454e+06 7.0106856454e+06 1.1105649716e+00 1.1105653644e+00 1.1105662384e+00 1.1105685001e+00 1.1712246752e+07 -1.6777216000e+07 1.6777216000e+07 6.7108864000e+07 6.7108864000e+07 1.1712202000e+07 1.1710006000e+07 1.1712246752e+07 1.1712246752e+07 1 0 0 0 0 0 0 0
11 5.8085558083e+06 5.8085849186e+06 5.8085795029e+06 4.0960000000e+03 nan 1.6777216000e+07 8.3886080000e+06 5.8085843770e+06 5.8093468510e+06 5.8085558083e+06 5.8085558083e+06 1.0764794717e+00 1.0764799232e+00 1.0764808859e+00 1.0764828065e+00 8.6726298988e+06 1.6777216000e+07 0.0000000000e+00 7.1303168000e+07 5.1380224000e+07 8.6725980000e+06 8.6709200000e+06 8.6726298988e+06 8.6726298988e+06 0 1 0 0 0 0 0 0
12 4.1120438142e+06 4.1120270124e+06 4.1120211473e+06 4.0960000000e+03 nan 1.6777216000e+07 8.3886080000e+06 4.1120331324e+06 4.1118944091e+06 4.1120438142e+06 4.1120438142e+06 1.0422055950e+00 1.0422060895e+00 1.0422072124e+00 1.0422090663e+00 7.0625625650e+06 1.6777216000e+07 nan 8.1788928000e+07 3.8797312000e+07 7.0625370000e+06 7.0610720000e+06 7.0625625650e+06 7.0625625650e+06 0 0 0 0 0 0 0 0
