matrix=data/matrices/nasasrb.mtx n=54870 seed=10
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 7.9718857972e+09 7.9715277194e+09 7.9715285469e+09 7.9721263124e+09 7.5972450812e+09 1.0059753000e+00 1.0059694714e+00 1.0059695015e+00 1.0059763505e+00 1.0060381743e+00 7.8297081063e+12 7.8296918262e+12 7.8002645893e+12 2.6206153407e+12 2.6206179164e+12 2.6112394527e+12 0 0
1 4.7237404916e+09 4.7235060975e+09 4.7235044681e+09 4.7234344024e+09 4.5997729345e+09 1.0480436116e+00 1.0480398144e+00 1.0480397698e+00 1.0480442069e+00 1.0481191192e+00 1.3640072568e+12 1.3640128266e+12 1.3628635873e+12 5.2569843644e+11 5.2570148045e+11 5.2478397645e+11 0 0
2 2.5222037299e+09 2.5220361854e+09 2.5220366213e+09 2.5221686053e+09 2.4552124351e+09 1.0085687350e+00 1.0085675969e+00 1.0085675571e+00 1.0085688766e+00 1.0085053469e+00 3.4976206311e+11 3.4976510771e+11 3.4894616986e+11 1.4642704912e+11 1.4642839552e+11 1.4601158656e+11 0 0
3 1.6789946650e+09 1.6788868350e+09 1.6788865894e+09 1.6790632408e+09 1.6462202391e+09 9.5355713208e-01 9.5355785052e-01 9.5355787116e-01 9.5355697967e-01 9.5353663805e-01 1.1968909531e+11 1.1969023181e+11 1.1932690022e+11 5.3216970691e+10 5.3217525760e+10 5.3054341120e+10 0 0
4 1.1489148713e+09 1.1488174801e+09 1.1488175997e+09 1.1489637247e+09 1.1225700293e+09 9.0094088829e-01 9.0094297579e-01 9.0094300135e-01 9.0094061759e-01 9.0098976896e-01 4.8277073946e+10 4.8277618688e+10 4.8148381696e+10 2.2079583126e+10 2.2079864832e+10 2.2012067840e+10 0 0
5 8.8669452535e+08 8.8661960640e+08 8.8662018770e+08 8.8669610279e+08 8.6768380990e+08 8.5520498314e-01 8.5520752059e-01 8.5520749428e-01 8.5520476701e-01 8.5527447505e-01 1.9097943299e+10 1.9098206208e+10 1.9032440832e+10 1.0272499637e+10 1.0272653312e+10 1.0233430016e+10 0 0
6 7.4332850168e+08 7.4326776580e+08 7.4326843610e+08 7.4332723567e+08 7.3322384407e+08 8.1616949326e-01 8.1617230220e-01 8.1617224444e-01 8.1616930621e-01 8.1624046037e-01 1.1404362917e+10 1.1404558336e+10 1.1356471296e+10 6.3707658143e+09 6.3708774400e+09 6.3423528960e+09 0 0
7 6.1528489345e+08 6.1523141610e+08 6.1523205836e+08 6.1529167366e+08 6.0557964817e+08 7.7856866701e-01 7.7857174527e-01 7.7857169895e-01 7.7856844835e-01 7.7862994656e-01 7.5576987347e+09 7.5578327040e+09 7.5220500480e+09 4.4477053200e+09 4.4477890560e+09 4.4260065280e+09 0 0
8 5.2253756624e+08 5.2249113499e+08 5.2249202277e+08 5.2254025644e+08 5.1635953723e+08 7.4587788811e-01 7.4588146265e-01 7.4588140595e-01 7.4587767414e-01 7.4594211281e-01 5.6286234155e+09 5.6287395840e+09 5.6010014720e+09 3.1865544686e+09 3.1866204160e+09 3.1702036480e+09 0 0
9 4.0869705554e+08 4.0865512886e+08 4.0865611680e+08 4.0870258929e+08 4.0350425257e+08 7.1491966107e-01 7.1492384771e-01 7.1492374643e-01 7.1491946284e-01 7.1499911229e-01 4.1068661407e+09 4.1069547520e+09 4.0852377600e+09 2.2786188836e+09 2.2786682880e+09 2.2660382720e+09 0 0
10 3.6980006332e+08 3.6975489025e+08 3.6975608667e+08 3.6980110629e+08 3.6532604537e+08 6.8615310172e-01 6.8615787764e-01 6.8615772134e-01 6.8615296561e-01 6.8624012151e-01 2.7819499220e+09 2.7820113920e+09 2.7657687040e+09 1.5566143995e+09 1.5566489600e+09 1.5472158720e+09 0 0
11 2.8268930754e+08 2.8264091158e+08 2.8264194490e+08 2.8268799958e+08 2.7903945139e+08 6.5942309100e-01 6.5942857889e-01 6.5942837971e-01 6.5942304845e-01 6.5951954737e-01 2.0951712134e+09 2.0952176640e+09 2.0820633600e+09 1.1736534144e+09 1.1736791040e+09 1.1660154880e+09 0 0
12 2.7139881925e+08 2.7134883033e+08 2.7134987499e+08 2.7140096346e+08 2.6846822200e+08 6.3602323104e-01 6.3602955647e-01 6.3602932157e-01 6.3602327225e-01 6.3613044061e-01 1.3056695372e+09 1.3056972800e+09 1.2968878080e+09 7.6913519195e+08 7.6915148800e+08 7.6378214400e+08 0 0
13 2.1463151229e+08 2.1458714188e+08 2.1458803255e+08 2.1463303143e+08 2.1201988914e+08 6.1225682948e-01 6.1226414663e-01 6.1226389111e-01 6.1225694330e-01 6.1237561434e-01 9.5747297387e+08 9.5749222400e+08 9.5053363200e+08 5.8350803596e+08 5.8352025600e+08 5.7920256000e+08 0 0
14 2.1176814767e+08 2.1172499997e+08 2.1172557811e+08 2.1177082017e+08 2.0952112364e+08 5.8928688104e-01 5.8929482495e-01 5.8929458381e-01 5.8928708184e-01 5.8941243686e-01 6.8864788956e+08 6.8866252800e+08 6.8354304000e+08 4.3182202107e+08 4.3183129600e+08 4.2856908800e+08 0 0
15 1.8533943414e+08 1.8529552146e+08 1.8529595607e+08 1.8534303814e+08 1.8332395483e+08 5.6734281893e-01 5.6735139490e-01 5.6735121960e-01 5.6734314423e-01 5.6747384191e-01 5.9573453880e+08 5.9574681600e+08 5.9119718400e+08 3.6479297349e+08 3.6480051200e+08 3.6197068800e+08 0 0
16 1.7616503195e+08 1.7612234552e+08 1.7612283325e+08 1.7616700941e+08 1.7433187002e+08 5.4728741107e-01 5.4729652118e-01 5.4729637395e-01 5.4728788365e-01 5.4742171805e-01 4.8951177866e+08 4.8952166400e+08 4.8567065600e+08 2.9382783824e+08 2.9383372800e+08 2.9150182400e+08 0 0
17 1.4398430930e+08 1.4394652329e+08 1.4394692610e+08 1.4398746908e+08 1.4240573185e+08 5.2794995909e-01 5.2795948582e-01 5.2795935584e-01 5.2795058127e-01 5.2808588898e-01 3.9429362433e+08 3.9430169600e+08 3.9114624000e+08 2.3980868527e+08 2.3981356800e+08 2.3788294400e+08 0 0
18 1.4271630863e+08 1.4267733574e+08 1.4267772707e+08 1.4271808892e+08 1.4088429261e+08 5.0892321770e-01 5.0893310077e-01 5.0893296994e-01 5.0892398225e-01 5.0905839040e-01 2.7865013659e+08 2.7865600000e+08 2.7641011200e+08 1.8720511281e+08 1.8720902400e+08 1.8568166400e+08 0 0
19 1.2004139320e+08 1.2000555615e+08 1.2000600800e+08 1.2004248995e+08 1.1843339831e+08 4.9128958018e-01 4.9129941926e-01 4.9129925986e-01 4.9129047204e-01 4.9142385433e-01 2.5638603912e+08 2.5639136000e+08 2.5429350400e+08 1.6557624893e+08 1.6557977600e+08 1.6420563200e+08 0 0
20 1.2138990667e+08 1.2135333610e+08 1.2135397316e+08 1.2139276993e+08 1.1996919274e+08 4.7372230866e-01 4.7373202347e-01 4.7373180540e-01 4.7372332373e-01 4.7385486400e-01 1.9491413019e+08 1.9491833600e+08 1.9332966400e+08 1.3748271965e+08 1.3748588800e+08 1.3633337600e+08 0 0
21 1.1152458945e+08 1.1148733068e+08 1.1148802411e+08 1.1152679180e+08 1.1012045106e+08 4.5757637955e-01 4.5758613798e-01 4.5758587350e-01 4.5757744452e-01 4.5771424435e-01 1.7080442553e+08 1.7080825600e+08 1.6949920000e+08 1.1587194168e+08 1.1587481600e+08 1.1490800000e+08 0 0
22 1.1018788890e+08 1.1015185331e+08 1.1015261851e+08 1.1019032129e+08 1.0877680995e+08 4.4337792769e-01 4.4338765012e-01 4.4338733743e-01 4.4337902323e-01 4.4352132716e-01 1.6025296772e+08 1.6025670400e+08 1.5920652800e+08 1.0110067201e+08 1.0110336000e+08 1.0029248000e+08 0 0
23 9.6824643212e+07 9.6799323132e+07 9.6799911030e+07 9.6827349701e+07 9.5768346770e+07 4.2990912646e-01 4.2991900544e-01 4.2991865086e-01 4.2991025317e-01 4.3006050660e-01 1.4840343368e+08 1.4840768000e+08 1.4740083200e+08 9.1131517554e+07 9.1134240000e+07 9.0400416000e+07 0 0
24 9.1770999752e+07 9.1749911404e+07 9.1750244937e+07 9.1772866735e+07 9.0829018607e+07 4.1657816111e-01 4.1658808203e-01 4.1658770422e-01 4.1657929609e-01 4.1673237630e-01 1.1952258654e+08 1.1952640000e+08 1.1870611200e+08 7.7419118872e+07 7.7421664000e+07 7.6784416000e+07 0 0
25 7.9262921779e+07 7.9249955035e+07 7.9250236172e+07 7.9264647347e+07 7.8658927067e+07 4.0440559417e-01 4.0441572812e-01 4.0441532182e-01 4.0440672244e-01 4.0456608027e-01 1.1157168240e+08 1.1157545600e+08 1.1086928000e+08 6.8787047324e+07 6.8789472000e+07 6.8245536000e+07 0 0
26 7.6839767811e+07 7.6824808360e+07 7.6825045960e+07 7.6841735529e+07 7.6288858451e+07 3.9304498869e-01 3.9305516923e-01 3.9305473191e-01 3.9304610116e-01 3.9319889827e-01 9.7571928507e+07 9.7575616000e+07 9.6804416000e+07 5.9260690624e+07 5.9262960000e+07 5.8765744000e+07 0 0
27 6.9264934551e+07 6.9244141741e+07 6.9244668963e+07 6.9265568559e+07 6.8415064127e+07 3.8158367805e-01 3.8159428634e-01 3.8159382300e-01 3.8158477836e-01 3.8173891707e-01 7.9481977916e+07 7.9485344000e+07 7.8711584000e+07 5.0673790180e+07 5.0675888000e+07 5.0202480000e+07 0 0
28 6.2192455457e+07 6.2168353425e+07 6.2168994627e+07 6.2194458161e+07 6.1510624693e+07 3.7027982949e-01 3.7029074214e-01 3.7029024265e-01 3.7028094250e-01 3.7043043628e-01 6.8903728353e+07 6.8906688000e+07 6.8267392000e+07 4.4937402940e+07 4.4939312000e+07 4.4516768000e+07 0 0
29 5.6245553850e+07 5.6216349997e+07 5.6217312160e+07 5.6246842311e+07 5.5587510031e+07 3.5967890566e-01 3.5969036887e-01 3.5968979282e-01 3.5967999823e-01 3.5985301058e-01 5.8131705920e+07 5.8134144000e+07 5.7826592000e+07 3.8167555839e+07 3.8169200000e+07 3.7855680000e+07 0 0
30 5.6175513082e+07 5.6147002258e+07 5.6147991904e+07 5.6177159501e+07 5.5705445797e+07 3.5032057225e-01 3.5033236142e-01 3.5033170115e-01 3.5032165243e-01 3.5049385929e-01 5.8157086429e+07 5.8159456000e+07 5.7916112000e+07 3.4238993658e+07 3.4240464000e+07 3.4000368000e+07 0 0
31 4.9770940557e+07 4.9748712250e+07 4.9749626835e+07 4.9772855417e+07 4.9313738884e+07 3.4168858334e-01 3.4170071576e-01 3.4169996647e-01 3.4168964652e-01 3.4183808814e-01 5.1755839131e+07 5.1758144000e+07 5.1033792000e+07 2.9817541602e+07 2.9818880000e+07 2.9512240000e+07 0 0
32 4.7097734727e+07 4.7082154350e+07 4.7082648946e+07 4.7098822371e+07 4.6836190885e+07 3.3298825304e-01 3.3300054314e-01 3.3299975793e-01 3.3298927562e-01 3.3311917822e-01 3.5621562701e+07 3.5623216000e+07 3.5052960000e+07 2.3883735625e+07 2.3884856000e+07 2.3592928000e+07 0 0
