matrix=data/matrices/nos2.mtx n=957 seed=11
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 8.1687743540e+10 8.1687804699e+10 8.1687804699e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 8.1660871797e+10 8.1830117309e+10 8.1687743540e+10 8.1687743540e+10 9.5509829434e+00 9.5509812321e+00 9.5509708324e+00 9.5505859753e+00 1.0227874223e+14 1.6777216000e+07 1.6777216000e+07 7.0368744178e+13 8.7960930222e+12 1.0227927745e+14 1.0227820370e+14 1.0227874223e+14 1.0227874223e+14 5.2555158247e+13 5.2555367318e+13 5.2552682963e+13 0 0 0 0 0 0 0 0
1 5.4393517736e+10 5.4393198766e+10 5.4393201353e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 5.4391144324e+10 5.4221304270e+10 5.4393517736e+10 5.4393517736e+10 9.2109178157e+00 9.2109197064e+00 9.2109298496e+00 9.2113689870e+00 2.3848790498e+11 1.6777216000e+07 1.6777216000e+07 8.2463372083e+11 2.7487790694e+11 2.3848760115e+11 2.3846033818e+11 2.3848790498e+11 2.3848790498e+11 2.7170558603e+11 2.7170544026e+11 2.7167765299e+11 0 0 0 0 0 0 0 0
2 3.7816474196e+10 3.7816414273e+10 3.7816419855e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.7810351304e+10 3.7764585278e+10 3.7816474196e+10 3.7816474196e+10 6.4675364552e+00 6.4675363588e+00 6.4675328197e+00 6.4675828223e+00 1.0231909219e+11 1.6777216000e+07 1.0485760000e+06 2.0615843021e+11 1.7179869184e+11 1.0231925965e+11 1.0231349248e+11 1.0231909219e+11 1.0231909219e+11 1.6896015849e+11 1.6896072090e+11 1.6894761370e+11 0 0 0 0 0 0 0 0
3 2.0525383507e+10 2.0525400777e+10 2.0525393064e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.0527854489e+10 2.0471613686e+10 2.0525383507e+10 2.0525383507e+10 5.8364994225e+00 5.8364986352e+00 5.8364882377e+00 5.8364226924e+00 2.3028269501e+10 1.6777216000e+07 1.0000000000e+00 4.8103633715e+11 1.7179869184e+11 2.3028498432e+10 2.3025844224e+10 2.3028269501e+10 2.3028269501e+10 2.8317737412e+10 2.8317974528e+10 2.8314927104e+10 0 1 0 0 0 0 0 0
4 1.6232660378e+10 1.6232632215e+10 1.6232627880e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.6233133444e+10 1.6215368039e+10 1.6232660378e+10 1.6232660378e+10 5.2452290052e+00 5.2452301799e+00 5.2452254865e+00 5.2452579007e+00 1.0319759940e+10 1.0000000000e+00 1.0000000000e+00 5.5834574848e+10 2.0615843021e+11 1.0319806464e+10 1.0318807040e+10 1.0319759940e+10 1.0319759940e+10 2.0602287698e+10 2.0602421248e+10 2.0600553472e+10 1 1 0 0 0 0 0 0
5 1.8291022251e+10 1.8291037065e+10 1.8291034180e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.8293044217e+10 1.8300920662e+10 1.8291022251e+10 1.8291022251e+10 4.8120640166e+00 4.8120637103e+00 4.8120678669e+00 4.8120847608e+00 8.3045034194e+09 1.6777216000e+07 1.0000000000e+00 1.2025908429e+11 8.5899345920e+10 8.3045908480e+09 8.3040092160e+09 8.3045034194e+09 8.3045034194e+09 1.2040243763e+10 1.2040323072e+10 1.2039454720e+10 0 1 0 0 0 0 0 0
6 1.3110905944e+10 1.3110890468e+10 1.3110904557e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.3112185911e+10 1.3092937647e+10 1.3110905944e+10 1.3110905944e+10 4.3828037312e+00 4.3828040189e+00 4.3828138817e+00 4.3827803620e+00 3.5814615678e+09 1.6777216000e+07 1.0000000000e+00 4.7244640256e+10 6.8719476736e+10 3.5814850560e+09 3.5812106240e+09 3.5814615678e+09 3.5814615678e+09 6.1386688360e+09 6.1386752000e+09 6.1381918720e+09 0 1 0 0 0 0 0 0
7 5.0896267732e+09 5.0896163788e+09 5.0896120582e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 5.0896664976e+09 5.0781503982e+09 5.0896267732e+09 5.0896267732e+09 3.8306305337e+00 3.8306314602e+00 3.8306696849e+00 3.8306752935e+00 2.8128807723e+09 1.0000000000e+00 1.0000000000e+00 1.0737418240e+10 2.0615843021e+11 2.8128645120e+09 2.8126371840e+09 2.8128807723e+09 2.8128807723e+09 6.8324856559e+09 6.8324065280e+09 6.8318330880e+09 1 1 0 0 0 0 0 0
8 1.2906953463e+10 1.2906952268e+10 1.2906961809e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.2907252125e+10 1.2898875324e+10 1.2906953463e+10 1.2906953463e+10 3.6357210584e+00 3.6357210094e+00 3.6357667223e+00 3.6357715217e+00 2.5052989850e+09 1.0000000000e+00 1.0000000000e+00 8.5899345920e+09 2.7487790694e+11 2.5052692480e+09 2.5050808320e+09 2.5052989850e+09 2.5052989850e+09 3.2952400361e+09 3.2951685120e+09 3.2948920320e+09 1 1 0 0 0 0 0 0
9 7.7731563800e+09 7.7731484172e+09 7.7731636937e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 7.7730491186e+09 7.7660933686e+09 7.7731563800e+09 7.7731563800e+09 3.2592361259e+00 3.2592365201e+00 3.2592938000e+00 3.2592837412e+00 1.1886699392e+09 1.6777216000e+07 1.0000000000e+00 6.9793218560e+09 2.0615843021e+11 1.1886223360e+09 1.1885004800e+09 1.1886699392e+09 1.1886699392e+09 3.0128937045e+09 3.0127759360e+09 3.0125056000e+09 0 1 0 0 0 0 0 0
10 3.5916996961e+09 3.5917158287e+09 3.5917083286e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.5914216312e+09 3.5820043744e+09 3.5916996961e+09 3.5916996961e+09 3.1661627247e+00 3.1661640213e+00 3.1662249721e+00 3.1662252377e+00 1.0175994539e+09 1.6777216000e+07 1.0000000000e+00 2.0803747840e+09 1.0307921510e+11 1.0175692800e+09 1.0175093760e+09 1.0175994539e+09 1.0175994539e+09 1.3281534097e+09 1.3281034240e+09 1.3280184320e+09 0 1 0 0 0 0 0 0
11 4.8680017655e+09 4.8679971119e+09 4.8680102121e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 4.8680531262e+09 4.8624991562e+09 4.8680017655e+09 4.8680017655e+09 2.9202342110e+00 2.9202353981e+00 2.9202879956e+00 2.9202998463e+00 4.1279061104e+08 1.0000000000e+00 1.0000000000e+00 5.3687091200e+08 5.1539607552e+10 4.1276518400e+08 4.1273728000e+08 4.1279061104e+08 4.1279061104e+08 1.2387634215e+09 1.2386990080e+09 1.2386078720e+09 1 1 0 0 0 0 0 0
12 5.6287581920e+09 5.6287458104e+09 5.6287460057e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 5.6283496497e+09 5.6267490952e+09 5.6287581920e+09 5.6287581920e+09 2.8073364837e+00 2.8073372664e+00 2.8073872580e+00 2.8073938001e+00 5.6429505651e+08 1.0000000000e+00 1.0000000000e+00 1.2079595520e+09 3.8654705664e+10 5.6427827200e+08 5.6423731200e+08 5.6429505651e+08 5.6429505651e+08 7.6666065925e+08 7.6663552000e+08 7.6656998400e+08 1 1 0 0 0 0 0 0
13 2.7726388431e+09 2.7726560324e+09 2.7726439375e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.7724571528e+09 2.7669693469e+09 2.7726388431e+09 2.7726388431e+09 2.6667989293e+00 2.6667996330e+00 2.6668336373e+00 2.6668623020e+00 2.5439083263e+08 1.6777216000e+07 1.0000000000e+00 2.5585254400e+08 3.0064771072e+10 2.5437920000e+08 2.5435219200e+08 2.5439083263e+08 2.5439083263e+08 7.3485830662e+08 7.3483059200e+08 7.3475328000e+08 0 1 0 0 0 0 0 0
14 4.0043393875e+09 4.0043342317e+09 4.0043434301e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 4.0040997332e+09 3.9995982144e+09 4.0043393875e+09 4.0043393875e+09 2.5402981505e+00 2.5402994723e+00 2.5403244959e+00 2.5403640149e+00 4.1911314080e+08 1.6777216000e+07 1.0000000000e+00 9.8566144000e+07 2.1474836480e+10 4.1910425600e+08 4.1906585600e+08 4.1911314080e+08 4.1911314080e+08 5.8742383242e+08 5.8740992000e+08 5.8734489600e+08 0 1 0 0 0 0 0 0
15 3.8057687920e+09 3.8057440077e+09 3.8057575864e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.8057294178e+09 3.8048417841e+09 3.8057687920e+09 3.8057687920e+09 2.4704907154e+00 2.4704905554e+00 2.4705052139e+00 2.4705565237e+00 2.0929113683e+08 1.0000000000e+00 1.0000000000e+00 2.0552089600e+08 3.0064771072e+10 2.0928512000e+08 2.0925561600e+08 2.0929113683e+08 2.0929113683e+08 4.6641079349e+08 4.6639897600e+08 4.6633267200e+08 1 1 0 0 0 0 0 0
