matrix=data/matrices/nos2.mtx n=957 seed=17
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 9.0257069478e+10 9.0256915819e+10 9.0256915819e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 9.0245429294e+10 9.0194313216e+10 9.0257069478e+10 9.0257069478e+10 1.0858900724e+01 1.0858904793e+01 1.0858904793e+01 1.0858945512e+01 1.0858396932e+01 1.0433237247e+14 1.6777216000e+07 1.6777216000e+07 7.0368744178e+13 1.3194139533e+13 1.0433227181e+14 1.0433549304e+14 1.0433237247e+14 1.0433237247e+14 5.4011190301e+13 5.4011361231e+13 5.4010287489e+13 0 0 0 0 0 0 0 0
1 6.8726795594e+10 6.8727545382e+10 6.8727545382e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 6.8719476736e+10 6.8450514934e+10 6.8726795594e+10 6.8726795594e+10 1.0287946113e+01 1.0287941082e+01 1.0287941088e+01 1.0287887695e+01 1.0288555194e+01 2.6336139746e+11 1.6777216000e+07 1.6777216000e+07 1.7592186044e+13 2.7487790694e+11 2.6336349389e+11 2.6332889088e+11 2.6336139745e+11 2.6336139745e+11 3.1165334843e+11 3.1165566157e+11 3.1161686426e+11 0 0 0 0 0 0 0 0
2 4.4102632976e+10 4.4102796823e+10 4.4102779271e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 4.4101911277e+10 4.4023414784e+10 4.4102632976e+10 4.4102632976e+10 6.9540213960e+00 6.9540197541e+00 6.9540201277e+00 6.9540273107e+00 6.9541015857e+00 1.2875122161e+11 1.6777216000e+07 1.6777216000e+07 3.5184372089e+13 1.2025908429e+11 1.2875228774e+11 1.2873996698e+11 1.2875122161e+11 1.2875122161e+11 2.2215275490e+11 2.2215445709e+11 2.2213400986e+11 0 0 0 0 0 0 0 0
3 2.4429372266e+10 2.4429382222e+10 2.4429372140e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.4426151531e+10 2.4390725622e+10 2.4429372266e+10 2.4429372266e+10 6.1349143092e+00 6.1349147894e+00 6.1349148876e+00 6.1349334319e+00 6.1347969320e+00 3.2922665419e+10 1.6777216000e+07 1.0000000000e+00 4.3980465111e+12 8.5899345920e+10 3.2922959872e+10 3.2920174592e+10 3.2922665419e+10 3.2922665419e+10 3.9695917148e+10 3.9696138240e+10 3.9692468224e+10 0 1 0 0 0 0 0 0
4 1.6149022229e+10 1.6149158704e+10 1.6149154891e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.6150804637e+10 1.6121778490e+10 1.6149022229e+10 1.6149022229e+10 5.2898271729e+00 5.2898265019e+00 5.2898268875e+00 5.2898435319e+00 5.2898726691e+00 1.3347341260e+10 1.0000000000e+00 1.0000000000e+00 5.4975581389e+11 1.3743895347e+11 1.3347356672e+10 1.3345947648e+10 1.3347341260e+10 1.3347341260e+10 2.9067270541e+10 2.9067247616e+10 2.9064101888e+10 1 1 0 0 0 0 0 0
5 2.1800936426e+10 2.1801019040e+10 2.1801015812e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.1801190111e+10 2.1741614864e+10 2.1800936426e+10 2.1800936426e+10 4.8871172339e+00 4.8871155436e+00 4.8871157196e+00 4.8871390343e+00 4.8871594336e+00 1.1284552410e+10 1.6777216000e+07 1.0000000000e+00 1.6492674417e+12 6.8719476736e+10 1.1284545536e+10 1.1283398656e+10 1.1284552410e+10 1.1284552410e+10 1.5063891704e+10 1.5063826432e+10 1.5062237184e+10 0 1 0 0 0 0 0 0
6 1.4622464446e+10 1.4622486124e+10 1.4622466273e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.4621726352e+10 1.4621726352e+10 1.4622464446e+10 1.4622464446e+10 4.4085324433e+00 4.4085307501e+00 4.4085313756e+00 4.4085579014e+00 4.4085237495e+00 5.1423320727e+09 1.6777216000e+07 1.0000000000e+00 4.1231686042e+11 6.8719476736e+10 5.1422822400e+09 5.1417661440e+09 5.1423320727e+09 5.1423320727e+09 8.8325725516e+09 8.8324833280e+09 8.8314675200e+09 0 1 0 0 0 0 0 0
7 5.0333832065e+09 5.0334870084e+09 5.0334894112e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 5.0345067984e+09 5.0192764733e+09 5.0333832065e+09 5.0333832065e+09 4.0473429070e+00 4.0473405204e+00 4.0473411097e+00 4.0473614133e+00 4.0473716417e+00 3.9318091505e+09 1.0000000000e+00 1.0000000000e+00 1.0307921510e+11 6.8719476736e+10 3.9317626880e+09 3.9312343040e+09 3.9318091505e+09 3.9318091505e+09 7.3945129323e+09 7.3944268800e+09 7.3933783040e+09 1 1 0 0 0 0 0 0
8 1.2540001055e+10 1.2540066942e+10 1.2540050809e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.2539125575e+10 1.2539125575e+10 1.2540001055e+10 1.2540001055e+10 3.8676768549e+00 3.8676737264e+00 3.8676743098e+00 3.8676932582e+00 3.8677105065e+00 2.3094677825e+09 1.0000000000e+00 1.0000000000e+00 1.7179869184e+11 6.8719476736e+10 2.3094517760e+09 2.3091077120e+09 2.3094677825e+09 2.3094677825e+09 3.1327543283e+09 3.1327191040e+09 3.1322419200e+09 1 1 0 0 0 0 0 0
9 8.3768543237e+09 8.3768874803e+09 8.3768740922e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 8.3765196946e+09 8.3765196946e+09 8.3768543237e+09 8.3768543237e+09 3.4903864204e+00 3.4903827098e+00 3.4903833420e+00 3.4903910880e+00 3.4904029524e+00 1.0166312137e+09 1.6777216000e+07 1.0000000000e+00 2.3622320128e+10 3.4359738368e+10 1.0166067200e+09 1.0164505600e+09 1.0166312137e+09 1.0166312137e+09 2.8920105426e+09 2.8919582720e+09 2.8914810880e+09 0 1 0 0 0 0 0 0
