matrix=data/matrices/nos2.mtx n=957 seed=4
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 8.1166139337e+10 8.1166163127e+10 8.1166163127e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 8.1151017457e+10 8.1207826017e+10 8.1166139337e+10 8.1166139337e+10 9.4443967619e+00 9.4443939654e+00 9.4444833939e+00 9.4446433049e+00 7.0177877083e+13 1.6777216000e+07 1.6777216000e+07 7.0368744178e+13 8.7960930222e+12 7.0177618133e+13 7.0173323166e+13 7.0177877083e+13 7.0177877083e+13 0 0 0 0 0 0 0 0
1 5.1909043185e+10 5.1908527361e+10 5.1908535495e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 5.1918498416e+10 5.1874066659e+10 5.1909043185e+10 5.1909043185e+10 9.1820665542e+00 9.1820694173e+00 9.1819735240e+00 9.1818023069e+00 1.9123452775e+11 1.6777216000e+07 1.6777216000e+07 5.4975581389e+11 2.7487790694e+11 1.9123824230e+11 1.9123771802e+11 1.9123452775e+11 1.9123452775e+11 0 0 0 0 0 0 0 0
2 4.3258695419e+10 4.3258513436e+10 4.3258510182e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 4.3257272244e+10 4.3217274757e+10 4.3258695419e+10 4.3258695419e+10 6.2936479364e+00 6.2936515095e+00 6.2936486299e+00 6.2936948018e+00 7.0872800209e+10 1.6777216000e+07 1.0485760000e+06 1.2025908429e+11 8.5899345920e+10 7.0874038272e+10 7.0874300416e+10 7.0872800209e+10 7.0872800209e+10 0 0 0 0 0 0 0 0
3 2.0494740680e+10 2.0494688713e+10 2.0494687855e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.0492722075e+10 2.0464572718e+10 2.0494740680e+10 2.0494740680e+10 5.5190879578e+00 5.5190884520e+00 5.5191118212e+00 5.5191056721e+00 3.3790531244e+10 1.6777216000e+07 1.0485760000e+06 2.7487790694e+11 6.8719476736e+10 3.3791180800e+10 3.3790623744e+10 3.3790531244e+10 3.3790531244e+10 0 0 0 0 0 0 0 0
4 1.8059346565e+10 1.8059199211e+10 1.8059183624e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.8063133333e+10 1.8031191428e+10 1.8059346565e+10 1.8059346565e+10 5.1167350627e+00 5.1167360812e+00 5.1167403167e+00 5.1167284735e+00 1.1815225849e+10 -1.6777216000e+07 1.6777216000e+07 3.8654705664e+10 6.8719476736e+10 1.1815436288e+10 1.1815108608e+10 1.1815225849e+10 1.1815225849e+10 1 0 0 0 0 0 0 0
5 1.6799253930e+10 1.6799180300e+10 1.6799164068e+10 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 1.6800285588e+10 1.6765937920e+10 1.6799253930e+10 1.6799253930e+10 4.5299757889e+00 4.5299766566e+00 4.5299967477e+00 4.5300126977e+00 7.5078595439e+09 1.6777216000e+07 0.0000000000e+00 4.2949672960e+10 4.2949672960e+10 7.5079270400e+09 7.5074109440e+09 7.5078595439e+09 7.5078595439e+09 0 1 0 0 0 0 0 0
6 9.3627007948e+09 9.3626819646e+09 9.3626824343e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 9.3625884854e+09 9.3587395280e+09 9.3627007948e+09 9.3627007948e+09 4.2068140204e+00 4.2068135740e+00 4.2068463642e+00 4.2068336685e+00 3.7985774862e+09 -1.6777216000e+07 nan 1.7179869184e+10 5.1539607552e+10 3.7986078720e+09 3.7982822400e+09 3.7985774862e+09 3.7985774862e+09 1 0 0 0 0 0 0 0
7 4.3601807085e+09 4.3601169498e+09 4.3601018193e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 4.3615599074e+09 4.3605272189e+09 4.3601807085e+09 4.3601807085e+09 3.7189281378e+00 3.7189277089e+00 3.7189584049e+00 3.7189387709e+00 1.8415739660e+09 1.6777216000e+07 nan 6.4424509440e+09 3.4359738368e+10 1.8415667200e+09 1.8414202880e+09 1.8415739660e+09 1.8415739660e+09 0 0 0 0 0 0 0 0
8 1.0526108172e+10 1.0526054432e+10 1.0526033959e+10 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 1.0527325379e+10 1.0522190515e+10 1.0526108172e+10 1.0526108172e+10 3.5643288487e+00 3.5643291197e+00 3.5643625890e+00 3.5643555322e+00 1.9268628249e+09 -1.6777216000e+07 nan 2.1474836480e+09 3.0064771072e+10 1.9268689920e+09 1.9266785280e+09 1.9268628249e+09 1.9268628249e+09 1 0 0 0 0 0 0 0
9 7.2325262760e+09 7.2324889392e+09 7.2324862028e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 7.2328288568e+09 7.2253530627e+09 7.2325262760e+09 7.2325262760e+09 3.2022662984e+00 3.2022663286e+00 3.2023067327e+00 3.2022828735e+00 6.6820056540e+08 1.6777216000e+07 nan 3.2212254720e+09 1.9327352832e+10 6.6819686400e+08 6.6811545600e+08 6.6820056540e+08 6.6820056540e+08 0 0 0 0 0 0 0 0
