matrix=data/matrices/s3dkq4m2.mtx n=90449 seed=35
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 1.5245904409e+05 1.5245622816e+05 1.5245622816e+05 1.5245901556e+05 1.5242333302e+05 2.9944518683e+01 2.9943281230e+01 2.9943279327e+01 2.9944522617e+01 2.9940012839e+01 2.2900634260e+08 2.2900633600e+08 2.2895155200e+08 1.0801144515e+08 1.0801145600e+08 1.0796934400e+08 0 0
1 7.2194045708e+04 7.2190535446e+04 7.2190521261e+04 7.2194042524e+04 7.2168960863e+04 3.5006737744e+01 3.5005826565e+01 3.5005824068e+01 3.5006739224e+01 3.5005910822e+01 3.3035156576e+07 3.3035168000e+07 3.3020488000e+07 1.6591480768e+07 1.6591486000e+07 1.6584778000e+07 0 0
2 3.7547644366e+04 3.7545054321e+04 3.7545061140e+04 3.7547646957e+04 3.7540173681e+04 4.7688574100e+01 4.7687141022e+01 4.7687145628e+01 4.7688575314e+01 4.7687451291e+01 6.8595905480e+06 6.8595920000e+06 6.8577620000e+06 4.0963480661e+06 4.0963490000e+06 4.0950685000e+06 0 0
3 2.3350499398e+04 2.3348272399e+04 2.3348275140e+04 2.3350496697e+04 2.3346582448e+04 5.1209214276e+01 5.1208462381e+01 5.1208468790e+01 5.1209213014e+01 5.1209566872e+01 1.8708637034e+06 1.8708640000e+06 1.8702262500e+06 1.0910178795e+06 1.0910180000e+06 1.0906202500e+06 0 0
4 1.7344377206e+04 1.7342386456e+04 1.7342380921e+04 1.7344376380e+04 1.7340848422e+04 4.8951042733e+01 4.8951224832e+01 4.8951226303e+01 4.8951041157e+01 4.8951931454e+01 5.3841154847e+05 5.3841162500e+05 5.3821418750e+05 4.2537867539e+05 4.2537871875e+05 4.2521018750e+05 0 0
5 1.2947112504e+04 1.2945020973e+04 1.2945012321e+04 1.2947112110e+04 1.2944165636e+04 4.6142122609e+01 4.6142466016e+01 4.6142463341e+01 4.6142122205e+01 4.6142272831e+01 3.5265378735e+05 3.5265381250e+05 3.5250537500e+05 2.5516542799e+05 2.5516543750e+05 2.5505062500e+05 0 0
6 1.0326201208e+04 1.0324176674e+04 1.0324170475e+04 1.0326201238e+04 1.0323741957e+04 4.4379962359e+01 4.4380041608e+01 4.4380036809e+01 4.4379962624e+01 4.4379700651e+01 1.8835195613e+05 1.8835195312e+05 1.8826256250e+05 1.4564616891e+05 1.4564617188e+05 1.4557218750e+05 0 0
7 8.9294528611e+03 8.9274946094e+03 8.9274865444e+03 8.9294532867e+03 8.9270823901e+03 4.3205616784e+01 4.3205525614e+01 4.3205521994e+01 4.3205617039e+01 4.3205616870e+01 1.1377123852e+05 1.1377124219e+05 1.1370895312e+05 9.2829794019e+04 9.2829796875e+04 9.2776515625e+04 0 0
8 7.3795583012e+03 7.3776627735e+03 7.3776600626e+03 7.3795577103e+03 7.3774662317e+03 4.2055085952e+01 4.2054931606e+01 4.2054929221e+01 4.2055086108e+01 4.2055249832e+01 8.5522137553e+04 8.5522140625e+04 8.5471367188e+04 7.0270820961e+04 7.0270820312e+04 7.0227554688e+04 0 0
9 6.2732479155e+03 6.2713459480e+03 6.2713456291e+03 6.2732473250e+03 6.2712703657e+03 4.0556633216e+01 4.0556553958e+01 4.0556552963e+01 4.0556633482e+01 4.0556683802e+01 5.9978715417e+04 5.9978712891e+04 5.9940314453e+04 4.8332974404e+04 4.8332970703e+04 4.8301310547e+04 0 0
10 5.4056523475e+03 5.4038700947e+03 5.4038697246e+03 5.4056518571e+03 5.4038985927e+03 3.8622529468e+01 3.8622637987e+01 3.8622638951e+01 3.8622529804e+01 3.8622592125e+01 4.0780528439e+04 4.0780523438e+04 4.0753304688e+04 3.4560253702e+04 3.4560250000e+04 3.4536640625e+04 0 0
11 4.5393936122e+03 4.5377573756e+03 4.5377556126e+03 4.5393929110e+03 4.5378082815e+03 3.6929558448e+01 3.6929827788e+01 3.6929829106e+01 3.6929558824e+01 3.6929734044e+01 3.0598530815e+04 3.0598528320e+04 3.0577000977e+04 2.5104804962e+04 2.5104802734e+04 2.5086929688e+04 0 0
12 3.8759291852e+03 3.8744349265e+03 3.8744338941e+03 3.8759290499e+03 3.8746496616e+03 3.5564711985e+01 3.5565054894e+01 3.5565056766e+01 3.5564712401e+01 3.5564969936e+01 2.0864910443e+04 2.0864908203e+04 2.0849905273e+04 1.7801791887e+04 1.7801790039e+04 1.7788794922e+04 0 0
13 3.3320776117e+03 3.3306825126e+03 3.3306825126e+03 3.3320774301e+03 3.3309392069e+03 3.4351629687e+01 3.4352051763e+01 3.4352053707e+01 3.4351630123e+01 3.4351958965e+01 1.5723425801e+04 1.5723424316e+04 1.5711707520e+04 1.3084797643e+04 1.3084796387e+04 1.3074981934e+04 0 0
14 2.8665141244e+03 2.8652878564e+03 2.8652870711e+03 2.8665139107e+03 2.8655573629e+03 3.2937779481e+01 3.2938399082e+01 3.2938400829e+01 3.2937780016e+01 3.2938239900e+01 1.1293592738e+04 1.1293591797e+04 1.1285182617e+04 9.6104107092e+03 9.6104096680e+03 9.6031152344e+03 0 0
15 2.4701054819e+03 2.4689641553e+03 2.4689623326e+03 2.4701052609e+03 2.4692480637e+03 3.1419574185e+01 3.1420465620e+01 3.1420467967e+01 3.1419574941e+01 3.1420143860e+01 8.8296655763e+03 8.8296645508e+03 8.8227900391e+03 7.3264063160e+03 7.3264052734e+03 7.3206335449e+03 0 0
16 2.1466106009e+03 2.1455679901e+03 2.1455655432e+03 2.1466103512e+03 2.1458352686e+03 3.0035396880e+01 3.0036493600e+01 3.0036496364e+01 3.0035397904e+01 3.0036020625e+01 6.5215917244e+03 6.5215905762e+03 6.5163872070e+03 5.4458463128e+03 5.4458452148e+03 5.4414509277e+03 0 0
17 1.9310446022e+03 1.9300646362e+03 1.9300625638e+03 1.9310444065e+03 1.9303573503e+03 2.8820692588e+01 2.8821910713e+01 2.8821913348e+01 2.8820693716e+01 2.8821355488e+01 4.9792315341e+03 4.9792304688e+03 4.9751572266e+03 4.1859430672e+03 4.1859421387e+03 4.1825126953e+03 0 0
18 1.7179032922e+03 1.7169926470e+03 1.7169913366e+03 1.7179030822e+03 1.7172911809e+03 2.7654460156e+01 2.7655797775e+01 2.7655798981e+01 2.7654461240e+01 2.7655168621e+01 3.9396749591e+03 3.9396741333e+03 3.9364534302e+03 3.3353809910e+03 3.3353802490e+03 3.3326486206e+03 0 0
19 1.5684089679e+03 1.5674964115e+03 1.5674983254e+03 1.5684087477e+03 1.5678163158e+03 2.6446869802e+01 2.6448363301e+01 2.6448361952e+01 2.6446870776e+01 2.6447607595e+01 2.9440645247e+03 2.9440637817e+03 2.9416474609e+03 2.6090205905e+03 2.6090199585e+03 2.6068651123e+03 0 0
20 1.4296521162e+03 1.4287906600e+03 1.4287919723e+03 1.4296518807e+03 1.4291116996e+03 2.5202128026e+01 2.5203767350e+01 2.5203763381e+01 2.5202128897e+01 2.5202867456e+01 2.4904808736e+03 2.4904802856e+03 2.4884080200e+03 2.2015944475e+03 2.2015939331e+03 2.1997557373e+03 0 0
21 1.3221880519e+03 1.3213754198e+03 1.3213759874e+03 1.3221878649e+03 1.3216902058e+03 2.4004865230e+01 2.4006612238e+01 2.4006607343e+01 2.4004865986e+01 2.4005591907e+01 1.9906201182e+03 1.9906195984e+03 1.9889507141e+03 1.7999081430e+03 1.7999077148e+03 1.7983947449e+03 0 0
22 1.2285625553e+03 1.2277874409e+03 1.2277884081e+03 1.2285624730e+03 1.2280934411e+03 2.2891574264e+01 2.2893357192e+01 2.2893350925e+01 2.2891574769e+01 2.2892275078e+01 1.6633153154e+03 1.6633149414e+03 1.6619143677e+03 1.5359446729e+03 1.5359443665e+03 1.5346463928e+03 0 0
23 1.1271588180e+03 1.1264263181e+03 1.1264278716e+03 1.1271587067e+03 1.1267337751e+03 2.1926361552e+01 2.1928133443e+01 2.1928125061e+01 2.1926361660e+01 2.1927026561e+01 1.5102351506e+03 1.5102348938e+03 1.5089576416e+03 1.3316298041e+03 1.3316296082e+03 1.3304961243e+03 0 0
24 1.0526797108e+03 1.0519671454e+03 1.0519680366e+03 1.0526796759e+03 1.0522837070e+03 2.1011689962e+01 2.1013452839e+01 2.1013443048e+01 2.1011689628e+01 2.1012321251e+01 1.2667793042e+03 1.2667791748e+03 1.2656925659e+03 1.1370284373e+03 1.1370283203e+03 1.1360470886e+03 0 0
25 9.9787626952e+02 9.9718826583e+02 9.9718760772e+02 9.9787624483e+02 9.9751249992e+02 2.0150023572e+01 2.0151770180e+01 2.0151761757e+01 2.0150022839e+01 2.0150610883e+01 1.1279992127e+03 1.1279990845e+03 1.1270171509e+03 9.9508179195e+02 9.9508171082e+02 9.9421604919e+02 0 0
26 9.2243629027e+02 9.2178020699e+02 9.2177915603e+02 9.2243631216e+02 9.2208313752e+02 1.9348017293e+01 1.9349704166e+01 1.9349697579e+01 1.9348016163e+01 1.9348550324e+01 9.8935124471e+02 9.8935121155e+02 9.8849188232e+02 8.8109406017e+02 8.8109405518e+02 8.8032575989e+02 0 0
27 8.6464000150e+02 8.6399797453e+02 8.6399775752e+02 8.6464002625e+02 8.6430955103e+02 1.8660395626e+01 1.8661994862e+01 1.8661989261e+01 1.8660394060e+01 1.8660872502e+01 8.4554529291e+02 8.4554530334e+02 8.4480570984e+02 7.5782633708e+02 7.5782637024e+02 7.5716194153e+02 0 0
28 8.0655713888e+02 8.0593420172e+02 8.0593261195e+02 8.0655718954e+02 8.0623879837e+02 1.8065808744e+01 1.8067321175e+01 1.8067316618e+01 1.8065806707e+01 1.8066241366e+01 7.0960911358e+02 7.0960916138e+02 7.0898594666e+02 6.4544783702e+02 6.4544790649e+02 6.4487803650e+02 0 0
29 7.5057581496e+02 7.4997449957e+02 7.4997370787e+02 7.5057586226e+02 7.5028182205e+02 1.7519416976e+01 1.7520856827e+01 1.7520853087e+01 1.7519414472e+01 1.7519810241e+01 6.1241966220e+02 6.1241975403e+02 6.1187510681e+02 5.6235210944e+02 5.6235220337e+02 5.6185052490e+02 0 0
30 6.8784352535e+02 6.8727664554e+02 6.8727525872e+02 6.8784359596e+02 6.8756661041e+02 1.7018590185e+01 1.7019975567e+01 1.7019972256e+01 1.7018587302e+01 1.7018946318e+01 5.4473824002e+02 5.4473832703e+02 5.4425141907e+02 4.8976480226e+02 4.8976490021e+02 4.8932675934e+02 0 0
31 6.4978224637e+02 6.4923743731e+02 6.4923649870e+02 6.4978234337e+02 6.4953028702e+02 1.6559593062e+01 1.6560929248e+01 1.6560926266e+01 1.6559589910e+01 1.6559918860e+01 4.5641932656e+02 4.5641944122e+02 4.5601048279e+02 4.1515870982e+02 4.1515882874e+02 4.1478618622e+02 0 0
32 6.0345930739e+02 6.0294413091e+02 6.0294278336e+02 6.0345942801e+02 6.0322736178e+02 1.6135516410e+01 1.6136802899e+01 1.6136799919e+01 1.6135513018e+01 1.6135815530e+01 4.0824566638e+02 4.0824579620e+02 4.0787886810e+02 3.7144478269e+02 3.7144491577e+02 3.7111065674e+02 0 0
33 5.6199292278e+02 5.6149602069e+02 5.6149482411e+02 5.6199304933e+02 5.6177514407e+02 1.5748315597e+01 1.5749564099e+01 1.5749561082e+01 1.5748311890e+01 1.5748595606e+01 3.5987330117e+02 3.5987344360e+02 3.5954963684e+02 3.2460083550e+02 3.2460097504e+02 3.2430784607e+02 0 0
34 5.3268178254e+02 5.3219054976e+02 5.3218787801e+02 5.3268192315e+02 5.3247089122e+02 1.5367054283e+01 1.5368298534e+01 1.5368295757e+01 1.5367050269e+01 1.5367323501e+01 3.1135821254e+02 3.1135836029e+02 3.1107601929e+02 2.8305130452e+02 2.8305144501e+02 2.8279412842e+02 0 0
35 5.0645307888e+02 5.0597242390e+02 5.0597023134e+02 5.0645321539e+02 5.0625125000e+02 1.4977724343e+01 1.4978990183e+01 1.4978988327e+01 1.4977720125e+01 1.4977985222e+01 2.7358451271e+02 2.7358465576e+02 2.7333556366e+02 2.5258738056e+02 2.5258752060e+02 2.5235718918e+02 0 0
36 4.8099689781e+02 4.8052211187e+02 4.8052102256e+02 4.8099704391e+02 4.8079965942e+02 1.4594309724e+01 1.4595603309e+01 1.4595600529e+01 1.4594305402e+01 1.4594562014e+01 2.5123170078e+02 2.5123184586e+02 2.5100241470e+02 2.3080408046e+02 2.3080422020e+02 2.3059338951e+02 0 0
37 4.6339019232e+02 4.6292301601e+02 4.6292225657e+02 4.6339034234e+02 4.6320200102e+02 1.4223899981e+01 1.4225213883e+01 1.4225209989e+01 1.4223895527e+01 1.4224146487e+01 2.1912643057e+02 2.1912656975e+02 2.1892610550e+02 2.0536029473e+02 2.0536043167e+02 2.0517234612e+02 0 0
38 4.4151709202e+02 4.4106047630e+02 4.4106081284e+02 4.4151725264e+02 4.4133198601e+02 1.3855318988e+01 1.3856651059e+01 1.3856644490e+01 1.3855314345e+01 1.3855560636e+01 1.9964280145e+02 1.9964294052e+02 1.9946018791e+02 1.8958749695e+02 1.8958763504e+02 1.8941381073e+02 0 0
39 4.2318445893e+02 4.2273551128e+02 4.2273732240e+02 4.2318461545e+02 4.2300910525e+02 1.3495778015e+01 1.3497142275e+01 1.3497131640e+01 1.3495773208e+01 1.3496015857e+01 1.8635378342e+02 1.8635392761e+02 1.8618254852e+02 1.7384590127e+02 1.7384603691e+02 1.7368589020e+02 0 0
40 4.0339892095e+02 4.0295973357e+02 4.0296268050e+02 4.0339907350e+02 4.0323295066e+02 1.3139214693e+01 1.3140618615e+01 1.3140602808e+01 1.3139209809e+01 1.3139448049e+01 1.7087195250e+02 1.7087208748e+02 1.7071461105e+02 1.5928919404e+02 1.5928932190e+02 1.5914230537e+02 0 0
41 3.8637845387e+02 3.8594711020e+02 3.8595049067e+02 3.8637861936e+02 3.8622143907e+02 1.2793728434e+01 1.2795165271e+01 1.2795144793e+01 1.2793723555e+01 1.2793955917e+01 1.5246773579e+02 1.5246785927e+02 1.5232674789e+02 1.4460158469e+02 1.4460170555e+02 1.4446783447e+02 0 0
42 3.7195339833e+02 3.7153221597e+02 3.7153368791e+02 3.7195356313e+02 3.7180310229e+02 1.2470550448e+01 1.2471996635e+01 1.2471974233e+01 1.2470545596e+01 1.2470769258e+01 1.4347986187e+02 1.4347998619e+02 1.4334713745e+02 1.3456689815e+02 1.3456701851e+02 1.3444235802e+02 0 0
43 3.5244195282e+02 3.5203665248e+02 3.5203705194e+02 3.5244211626e+02 3.5230017608e+02 1.2174189811e+01 1.2175631040e+01 1.2175609015e+01 1.2174184971e+01 1.2174399269e+01 1.3416064200e+02 1.3416076279e+02 1.3403647423e+02 1.2294927109e+02 1.2294938469e+02 1.2283543301e+02 0 0
44 3.3881817017e+02 3.3841624472e+02 3.3841637169e+02 3.3881833951e+02 3.3868022805e+02 1.1891464019e+01 1.1892902876e+01 1.1892881761e+01 1.1891459154e+01 1.1891663512e+01 1.2039970166e+02 1.2039981365e+02 1.2028821754e+02 1.1114380957e+02 1.1114391613e+02 1.1104082966e+02 0 0
45 3.2268417512e+02 3.2229264167e+02 3.2229356280e+02 3.2268434654e+02 3.2255465864e+02 1.1621320021e+01 1.1622755617e+01 1.1622734638e+01 1.1621315155e+01 1.1621508837e+01 1.1193392273e+02 1.1193403244e+02 1.1183023453e+02 1.0271951360e+02 1.0271961689e+02 1.0262429047e+02 0 0
