matrix=riscv-lab-transfer/s3dkq4m2.mtx n=90449 seed=8
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 1.5482704962e+05 1.5482395019e+05 1.5482395019e+05 1.5482709840e+05 1.5478053004e+05 2.9915685014e+01 2.9914380600e+01 2.9914380600e+01 2.9915686090e+01 2.9909877338e+01 2.3393535391e+08 2.3393536000e+08 2.3388339200e+08 1.0913260111e+08 1.0913260800e+08 1.0908716800e+08 0 0
1 7.2514021952e+04 7.2510291242e+04 7.2510291242e+04 7.2514005268e+04 7.2484174714e+04 3.5043145268e+01 3.5042206122e+01 3.5042206122e+01 3.5043141207e+01 3.5040632065e+01 3.4112920316e+07 3.4112928000e+07 3.4095360000e+07 1.7055281074e+07 1.7055280000e+07 1.7045984000e+07 0 0
2 3.7450176371e+04 3.7447399269e+04 3.7447399269e+04 3.7450172977e+04 3.7440793154e+04 4.8131070955e+01 4.8129533630e+01 4.8129533630e+01 4.8131066658e+01 4.8128015835e+01 6.7196844386e+06 6.7196810000e+06 6.7163490000e+06 4.0810288461e+06 4.0810270000e+06 4.0788405000e+06 0 0
3 2.3176499039e+04 2.3174387241e+04 2.3174387241e+04 2.3176495680e+04 2.3169999914e+04 5.1851376841e+01 5.1850613216e+01 5.1850613216e+01 5.1851373903e+01 5.1850985153e+01 1.8824386407e+06 1.8824380000e+06 1.8813927500e+06 1.0901494685e+06 1.0901490000e+06 1.0895130000e+06 0 0
4 1.7198348053e+04 1.7196826684e+04 1.7196826684e+04 1.7198340385e+04 1.7194216702e+04 4.9758175956e+01 4.9758460948e+01 4.9758460948e+01 4.9758175966e+01 4.9759648199e+01 5.3238731208e+05 5.3238700000e+05 5.3206706250e+05 4.2186557249e+05 4.2186531250e+05 4.2160540625e+05 0 0
5 1.2816149713e+04 1.2814504907e+04 1.2814504907e+04 1.2816147315e+04 1.2812711189e+04 4.7007891763e+01 4.7008324408e+01 4.7008324408e+01 4.7007893284e+01 4.7008837365e+01 3.4681968753e+05 3.4681946875e+05 3.4660306250e+05 2.5143820186e+05 2.5143804688e+05 2.5127551562e+05 0 0
6 1.0242198312e+04 1.0240571078e+04 1.0240571078e+04 1.0242196639e+04 1.0239142152e+04 4.5143797586e+01 4.5143961874e+01 4.5143961874e+01 4.5143798619e+01 4.5143933592e+01 1.8573639805e+05 1.8573628125e+05 1.8561209375e+05 1.4354393161e+05 1.4354384375e+05 1.4344487500e+05 0 0
7 8.8843975753e+03 8.8827657855e+03 8.8827657855e+03 8.8843953086e+03 8.8816448927e+03 4.3800538120e+01 4.3800556382e+01 4.3800556382e+01 4.3800538078e+01 4.3800674971e+01 1.1435088118e+05 1.1435081250e+05 1.1427083594e+05 9.2303645061e+04 9.2303593750e+04 9.2236484375e+04 0 0
8 7.3609871193e+03 7.3593785064e+03 7.3593785064e+03 7.3609858035e+03 7.3585270265e+03 4.2453407117e+01 4.2453373732e+01 4.2453373732e+01 4.2453406709e+01 4.2453697144e+01 8.3952370876e+04 8.3952328125e+04 8.3888921875e+04 6.9163795179e+04 6.9163757812e+04 6.9110125000e+04 0 0
9 6.2184110915e+03 6.2166743521e+03 6.2166743521e+03 6.2184100862e+03 6.2161106811e+03 4.0890364066e+01 4.0890364614e+01 4.0890364614e+01 4.0890363830e+01 4.0890598721e+01 6.1905584003e+04 6.1905548828e+04 6.1856232422e+04 4.8647321745e+04 4.8647294922e+04 4.8607886719e+04 0 0
