matrix=data/matrices/s3dkt3m2.mtx n=90449 seed=11
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 2.6360216169e+05 2.6359706657e+05 2.6359708211e+05 2.6360194573e+05 2.6352088403e+05 3.9535158005e+01 3.9533550058e+01 3.9533553245e+01 3.9535160023e+01 3.9527201025e+01 5.1477401197e+08 5.1477401600e+08 5.1468339200e+08 1.9026827699e+08 1.9026828800e+08 1.9019648000e+08 0 0
1 1.1432986154e+05 1.1432252481e+05 1.1432249346e+05 1.1432986941e+05 1.1427676271e+05 4.5451982552e+01 4.5451022490e+01 4.5451016240e+01 4.5451988367e+01 4.5448163600e+01 6.7162432008e+07 6.7162432000e+07 6.7127392000e+07 3.3719592400e+07 3.3719600000e+07 3.3699344000e+07 0 0
2 6.5931774560e+04 6.5927296684e+04 6.5927257853e+04 6.5931804768e+04 6.5909933212e+04 5.5686321956e+01 5.5684878772e+01 5.5684857354e+01 5.5686327958e+01 5.5681615871e+01 1.6469936557e+07 1.6469946000e+07 1.6460302000e+07 7.9219898162e+06 7.9219940000e+06 7.9170070000e+06 0 0
3 4.5228375195e+04 4.5225155478e+04 4.5225128590e+04 4.5228386131e+04 4.5213803202e+04 6.4953352980e+01 6.4952111548e+01 6.4952096921e+01 6.4953358994e+01 6.4950203851e+01 4.2310622720e+06 4.2310640000e+06 4.2281720000e+06 2.4294766576e+06 2.4294780000e+06 2.4276605000e+06 0 0
4 2.9854604665e+04 2.9851562371e+04 2.9851562371e+04 2.9854610900e+04 2.9843530086e+04 6.6324316012e+01 6.6323602715e+01 6.6323601882e+01 6.6324318381e+01 6.6323978790e+01 2.4025593933e+06 2.4025610000e+06 2.4005985000e+06 1.2645893779e+06 1.2645902500e+06 1.2635385000e+06 0 0
5 2.3200891033e+04 2.3197617809e+04 2.3197627465e+04 2.3200904810e+04 2.3191788892e+04 6.1783328911e+01 6.1783335565e+01 6.1783342116e+01 6.1783327637e+01 6.1784804819e+01 1.1297044334e+06 1.1297052500e+06 1.1287830000e+06 6.0758877873e+05 6.0758925000e+05 6.0707706250e+05 0 0
6 1.8262123346e+04 1.8258974341e+04 1.8258977847e+04 1.8262126930e+04 1.8253693106e+04 5.5485298599e+01 5.5485784264e+01 5.5485792437e+01 5.5485296389e+01 5.5487099750e+01 5.0555543987e+05 5.0555590625e+05 5.0511865625e+05 3.3117176309e+05 3.3117206250e+05 3.3087975000e+05 0 0
7 1.4916097833e+04 1.4913134613e+04 1.4913143733e+04 1.4916102440e+04 1.4909776658e+04 5.1108098729e+01 5.1108632614e+01 5.1108639104e+01 5.1108097832e+01 5.1109362418e+01 3.0930394013e+05 3.0930421875e+05 3.0902653125e+05 2.1185580445e+05 2.1185598438e+05 2.1166079688e+05 0 0
8 1.2747321880e+04 1.2744494655e+04 1.2744500304e+04 1.2747324111e+04 1.2742254746e+04 4.8653693061e+01 4.8654119345e+01 4.8654120846e+01 4.8653693009e+01 4.8654427034e+01 2.0412670081e+05 2.0412685938e+05 2.0393446875e+05 1.4243811238e+05 1.4243821875e+05 1.4230004688e+05 0 0
9 1.0933742185e+04 1.0930957140e+04 1.0930961897e+04 1.0933743732e+04 1.0929081938e+04 4.7007050545e+01 4.7007391453e+01 4.7007388987e+01 4.7007050481e+01 4.7007564624e+01 1.6029804985e+05 1.6029817188e+05 1.6013898438e+05 1.0634247651e+05 1.0634255469e+05 1.0623426562e+05 0 0
