matrix=riscv-lab-transfer/s3dkt3m2.mtx n=90449 seed=8
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 2.6496055139e+05 2.6495426467e+05 2.6495426467e+05 2.6496037101e+05 2.6490100213e+05 4.0205845834e+01 4.0204069238e+01 4.0204069238e+01 4.0205834340e+01 4.0201549075e+01 5.0997852749e+08 5.0997862400e+08 5.0984320000e+08 1.8986465892e+08 1.8986464000e+08 1.8979398400e+08 0 0
1 1.1464852043e+05 1.1464104843e+05 1.1464104843e+05 1.1464849320e+05 1.1459639199e+05 4.5350558795e+01 4.5349509794e+01 4.5349509794e+01 4.5350551245e+01 4.5347786037e+01 6.8179993757e+07 6.8179968000e+07 6.8157088000e+07 3.4029107205e+07 3.4029088000e+07 3.4014192000e+07 0 0
2 6.5980076729e+04 6.5974827685e+04 6.5974827685e+04 6.5980058078e+04 6.5962114702e+04 5.5195316758e+01 5.5193683162e+01 5.5193683162e+01 5.5195309355e+01 5.5192025917e+01 1.6284902111e+07 1.6284886000e+07 1.6277430000e+07 7.9609341234e+06 7.9609270000e+06 7.9570790000e+06 0 0
3 4.5270222002e+04 4.5266061459e+04 4.5266061459e+04 4.5270206715e+04 4.5257967785e+04 6.4518245620e+01 6.4516580198e+01 6.4516580198e+01 6.4518243429e+01 6.4515852543e+01 4.1137542965e+06 4.1137510000e+06 4.1117200000e+06 2.4120463618e+06 2.4120445000e+06 2.4107195000e+06 0 0
4 2.9677930813e+04 2.9674632399e+04 2.9674632399e+04 2.9677925534e+04 2.9668659828e+04 6.6088858074e+01 6.6087837499e+01 6.6087837499e+01 6.6088860032e+01 6.6087989486e+01 2.3787122907e+06 2.3787105000e+06 2.3772630000e+06 1.2615844740e+06 1.2615835000e+06 1.2607437500e+06 0 0
5 2.2921147056e+04 2.2917998516e+04 2.2917998516e+04 2.2921137843e+04 2.2913614468e+04 6.1744472143e+01 6.1744350797e+01 6.1744350797e+01 6.1744476252e+01 6.1745045175e+01 1.1164132372e+06 1.1164125000e+06 1.1156365000e+06 5.9771853556e+05 5.9771806250e+05 5.9728768750e+05 0 0
6 1.8161353468e+04 1.8158321508e+04 1.8158321508e+04 1.8161346206e+04 1.8153711687e+04 5.5606792729e+01 5.5607319134e+01 5.5607319134e+01 5.5606795948e+01 5.5607941987e+01 5.0162033404e+05 5.0161984375e+05 5.0124396875e+05 3.2761126764e+05 3.2761093750e+05 3.2735981250e+05 0 0
7 1.4807491120e+04 1.4804611174e+04 1.4804611174e+04 1.4807485674e+04 1.4801969599e+04 5.1321917305e+01 5.1322638528e+01 5.1322638528e+01 5.1321918445e+01 5.1322962497e+01 3.0895964639e+05 3.0895931250e+05 3.0871896875e+05 2.0939088382e+05 2.0939065625e+05 2.0922139062e+05 0 0
8 1.2626638582e+04 1.2623955640e+04 1.2623955640e+04 1.2626633439e+04 1.2622286322e+04 4.8896657610e+01 4.8897250661e+01 4.8897250661e+01 4.8896657609e+01 4.8897383171e+01 2.1137240544e+05 2.1137217188e+05 2.1119464062e+05 1.4206181564e+05 1.4206165625e+05 1.4193884375e+05 0 0
9 1.0875169371e+04 1.0872611094e+04 1.0872611094e+04 1.0875165102e+04 1.0870891776e+04 4.7210975090e+01 4.7211406504e+01 4.7211406504e+01 4.7210975188e+01 4.7211557492e+01 1.6359642701e+05 1.6359625000e+05 1.6344978125e+05 1.0554027238e+05 1.0554015625e+05 1.0544386719e+05 0 0
10 9.6933050861e+03 9.6905735640e+03 9.6905735640e+03 9.6932999541e+03 9.6889512332e+03 4.5687157174e+01 4.5687477664e+01 4.5687477664e+01 4.5687158012e+01 4.5687711793e+01 1.2020106576e+05 1.2020092969e+05 1.2009052344e+05 8.0458248995e+04 8.0458156250e+04 8.0382195312e+04 0 0
11 8.5896651589e+03 8.5869398507e+03 8.5869398507e+03 8.5896607616e+03 8.5855357433e+03 4.4227900041e+01 4.4228135452e+01 4.4228135452e+01 4.4227901370e+01 4.4228400554e+01 8.3387437986e+04 8.3387335938e+04 8.3306007812e+04 5.9368524620e+04 5.9368453125e+04 5.9310154297e+04 0 0
12 7.4651230069e+03 7.4626327794e+03 7.4626327794e+03 7.4651199588e+03 7.4616909612e+03 4.2612299646e+01 4.2612544477e+01 4.2612544477e+01 4.2612301154e+01 4.2612785324e+01 6.0042515318e+04 6.0042445312e+04 5.9983328125e+04 4.4967689751e+04 4.4967636719e+04 4.4922832031e+04 0 0
13 6.5738656537e+03 6.5715419804e+03 6.5715419804e+03 6.5738621829e+03 6.5709895754e+03 4.0810468856e+01 4.0810830343e+01 4.0810830343e+01 4.0810470260e+01 4.0810992969e+01 4.9660131828e+04 4.9660072266e+04 4.9610033203e+04 3.5878963065e+04 3.5878919922e+04 3.5842482422e+04 0 0
14 5.8149714699e+03 5.8127576932e+03 5.8127576932e+03 5.8149682716e+03 5.8124941290e+03 3.9113032907e+01 3.9113491896e+01 3.9113491896e+01 3.9113034037e+01 3.9113577865e+01 4.2906424224e+04 4.2906373047e+04 4.2862226562e+04 2.8794683100e+04 2.8794648438e+04 2.8764879883e+04 0 0
