matrix=data/matrices/sts4098.mtx n=4098 seed=1
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 7.4692872468e+07 7.4693737786e+07 7.4693752161e+07 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 6.7108864000e+07 7.4692181648e+07 7.4655371148e+07 7.4692872468e+07 7.4692872468e+07 1.6316804331e+00 1.6316751505e+00 1.6316793789e+00 1.6318126586e+00 1.0134576898e+10 1.6777216000e+07 1.6777216000e+07 9.6636764160e+09 7.5161927680e+09 1.0134585344e+10 1.0132881408e+10 1.0134576898e+10 1.0134576898e+10 0 0 0 0 0 0 0 0
1 2.3624563994e+07 2.3624614498e+07 2.3624613788e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 3.3554432000e+07 2.3624432697e+07 2.3618978009e+07 2.3624563994e+07 2.3624563994e+07 1.6013288779e+00 1.6013289687e+00 1.6013287838e+00 1.6013425702e+00 7.6534466314e+08 1.6777216000e+07 1.6777216000e+07 9.3952409600e+08 7.3819750400e+08 7.6534323200e+08 7.6545996800e+08 7.6534466314e+08 7.6534466314e+08 0 0 0 0 0 0 0 0
2 2.5977491956e+07 2.5977045131e+07 2.5977054172e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 2.5977399053e+07 2.5980705538e+07 2.5977491956e+07 2.5977491956e+07 1.2898200682e+00 1.2898223690e+00 1.2898205102e+00 1.2897645829e+00 9.2663575726e+07 -1.6777216000e+07 1.0485760000e+06 1.2582912000e+08 1.0066329600e+08 9.2663456000e+07 9.2688256000e+07 9.2663575726e+07 9.2663575726e+07 1 0 0 0 0 0 0 0
3 1.9159457954e+07 1.9159514504e+07 1.9159529390e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 1.9159615205e+07 1.9151767727e+07 1.9159457954e+07 1.9159457954e+07 1.0904494596e+00 1.0904489353e+00 1.0904493796e+00 1.0904309498e+00 4.8122373582e+07 1.6777216000e+07 1.6777216000e+07 7.1303168000e+07 5.1380224000e+07 4.8122368000e+07 4.8134080000e+07 4.8122373582e+07 4.8122373582e+07 0 0 0 0 0 0 0 0
4 9.9895459372e+06 9.9895952486e+06 9.9896002870e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 9.9895654379e+06 9.9860177588e+06 9.9895459372e+06 9.9895459372e+06 9.9513858516e-01 9.9513735374e-01 9.9513869339e-01 9.9511430034e-01 3.2062534244e+07 1.6777216000e+07 1.6777216000e+07 5.4525952000e+07 3.3554432000e+07 3.2062568000e+07 3.2070944000e+07 3.2062534244e+07 3.2062534244e+07 0 0 0 0 0 0 0 0
5 7.5186993821e+06 7.5186587585e+06 7.5186626635e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 7.5187031076e+06 7.5165606607e+06 7.5186993821e+06 7.5186993821e+06 9.2327646618e-01 9.2327277977e-01 9.2327706955e-01 9.2326935775e-01 1.4806337750e+07 1.6777216000e+07 1.6777216000e+07 2.8835840000e+07 2.3592960000e+07 1.4806378000e+07 1.4809520000e+07 1.4806337750e+07 1.4806337750e+07 0 0 0 0 0 0 0 0
6 6.7459621074e+06 6.7458350107e+06 6.7458393630e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 6.7459913820e+06 6.7472646010e+06 6.7459621074e+06 6.7459621074e+06 9.3049523440e-01 9.3049037892e-01 9.3049620989e-01 9.3046319714e-01 1.0571178865e+07 1.6777216000e+07 1.6777216000e+07 2.9884416000e+07 2.3592960000e+07 1.0571222000e+07 1.0573160000e+07 1.0571178865e+07 1.0571178865e+07 0 0 0 0 0 0 0 0
7 4.5421689026e+06 4.5422061460e+06 4.5422121481e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.1863283203e+07 4.5422109939e+06 4.5406741866e+06 4.5421689026e+06 4.5421689026e+06 8.3147646075e-01 8.3147223966e-01 8.3147632256e-01 8.3146384463e-01 6.7150209600e+06 1.6777216000e+07 1.6777216000e+07 2.6738688000e+07 2.8835840000e+07 6.7150530000e+06 6.7161750000e+06 6.7150209600e+06 6.7150209600e+06 0 0 0 0 0 0 0 0
8 3.3732132115e+06 3.3731817439e+06 3.3731823656e+06 4.0960000000e+03 nan 1.6777216000e+07 8.3886080000e+06 3.3731747496e+06 3.3734930524e+06 3.3732132115e+06 3.3732132115e+06 8.2872714339e-01 8.2872125797e-01 8.2872621347e-01 8.2870672215e-01 5.2323936624e+06 1.6777216000e+07 0.0000000000e+00 2.5690112000e+07 2.0447232000e+07 5.2324140000e+06 5.2332400000e+06 5.2323936624e+06 5.2323936624e+06 0 1 0 0 0 0 0 0
9 3.3828227953e+06 3.3828078292e+06 3.3828096890e+06 4.0960000000e+03 nan 1.6777216000e+07 1.6777216000e+07 3.3827901607e+06 3.3822346422e+06 3.3828227953e+06 3.3828227953e+06 7.0966912608e-01 7.0966643026e-01 7.0966933613e-01 7.0964060406e-01 2.7848756928e+06 1.6777216000e+07 nan 1.9922944000e+07 1.8350080000e+07 2.7848805000e+06 2.7852825000e+06 2.7848756928e+06 2.7848756928e+06 0 0 0 0 0 0 0 0
