matrix=data/matrices/sts4098.mtx n=4098 seed=11
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.2060144732e+08 1.2060161683e+08 1.2060164354e+08 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 6.7108864000e+07 1.2060219554e+08 1.2054520178e+08 1.2060144732e+08 1.2060144732e+08 1.2892271220e+00 1.2892261474e+00 1.2892275041e+00 1.2892772383e+00 1.3655282525e+10 1.6777216000e+07 1.6777216000e+07 1.3958643712e+10 8.5899345920e+09 1.3655277568e+10 1.3653491712e+10 1.3655282525e+10 1.3655282525e+10 4.0529646958e+09 4.0529653760e+09 4.0527114240e+09 0 0 0 0 0 0 0 0
1 5.3525718976e+07 5.3525635323e+07 5.3525645353e+07 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 6.7108864000e+07 5.3525542544e+07 5.3510133967e+07 5.3525718976e+07 5.3525718976e+07 1.7546221627e+00 1.7546181347e+00 1.7546219102e+00 1.7546486907e+00 9.2329951003e+08 1.6777216000e+07 1.6777216000e+07 9.0596966400e+08 8.0530636800e+08 9.2330188800e+08 9.2339097600e+08 9.2329951003e+08 9.2329951003e+08 3.8427476110e+08 3.8427545600e+08 3.8430464000e+08 0 0 0 0 0 0 0 0
2 1.6153335248e+07 1.6153234894e+07 1.6153234374e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 1.6153394322e+07 1.6153726677e+07 1.6153335248e+07 1.6153335248e+07 2.1385042271e+00 2.1385006199e+00 2.1385064418e+00 2.1384915906e+00 1.8964877106e+08 1.0000000000e+00 1.6777216000e+07 2.0132659200e+08 1.3841203200e+08 1.8964870400e+08 1.8966169600e+08 1.8964877106e+08 1.8964877106e+08 1.0408520122e+08 1.0408524800e+08 1.0409209600e+08 1 0 0 0 0 0 0 0
3 2.3281317100e+07 2.3280979402e+07 2.3280988049e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 2.3281427636e+07 2.3273309082e+07 2.3281317100e+07 2.3281317100e+07 1.3384418296e+00 1.3384474589e+00 1.3384440996e+00 1.3384248148e+00 6.7738201835e+07 1.6777216000e+07 1.6777216000e+07 8.1788928000e+07 6.7108864000e+07 6.7738336000e+07 6.7743616000e+07 6.7738201835e+07 6.7738201835e+07 3.5605483541e+07 3.5605584000e+07 3.5606944000e+07 0 0 0 0 0 0 0 0
4 1.2701437879e+07 1.2701476735e+07 1.2701472772e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.1863283203e+07 1.2701478716e+07 1.2696828343e+07 1.2701437879e+07 1.2701437879e+07 1.2067618764e+00 1.2067532484e+00 1.2067622326e+00 1.2067336755e+00 2.2618206971e+07 1.6777216000e+07 1.6777216000e+07 2.5165824000e+07 1.6515072000e+07 2.2618288000e+07 2.2618208000e+07 2.2618206971e+07 2.2618206971e+07 1.6184715089e+07 1.6184796000e+07 1.6184850000e+07 0 0 0 0 0 0 0 0
5 7.1348721672e+06 7.1348205071e+06 7.1348143345e+06 4.0960000000e+03 4.0960000000e+03 1.1863283203e+07 8.3886080000e+06 7.1349639444e+06 7.1347005818e+06 7.1348721672e+06 7.1348721672e+06 1.1420128137e+00 1.1420096518e+00 1.1420137858e+00 1.1419689541e+00 2.0123170280e+07 1.0000000000e+00 1.6777216000e+07 2.5690112000e+07 1.7825792000e+07 2.0123296000e+07 2.0123416000e+07 2.0123170280e+07 2.0123170280e+07 1.2035917179e+07 1.2036010000e+07 1.2036150000e+07 1 0 0 0 0 0 0 0
6 6.9516358133e+06 6.9514864300e+06 6.9514894468e+06 4.0960000000e+03 4.0960000000e+03 8.3886080000e+06 8.3886080000e+06 6.9517217395e+06 6.9509880302e+06 6.9516358133e+06 6.9516358133e+06 1.0736786961e+00 1.0736713471e+00 1.0736836559e+00 1.0736758686e+00 1.2971751784e+07 1.6777216000e+07 1.6777216000e+07 1.7825792000e+07 1.0354688000e+07 1.2971878000e+07 1.2972304000e+07 1.2971751784e+07 1.2971751784e+07 7.7221098951e+06 7.7221920000e+06 7.7223940000e+06 0 0 0 0 0 0 0 0
7 5.5366917557e+06 5.5366152596e+06 5.5366220776e+06 4.0960000000e+03 4.0960000000e+03 8.3886080000e+06 5.9316416015e+06 5.5367497244e+06 5.5350283281e+06 5.5366917557e+06 5.5366917557e+06 1.2102889947e+00 1.2102819692e+00 1.2102966015e+00 1.2102407643e+00 6.6952091139e+06 1.6777216000e+07 1.6777216000e+07 1.1010048000e+07 5.8982400000e+06 6.6952900000e+06 6.6954480000e+06 6.6952091139e+06 6.6952091139e+06 4.6702040081e+06 4.6702640000e+06 4.6702870000e+06 0 0 0 0 0 0 0 0
8 4.5956636418e+06 4.5956408123e+06 4.5956428658e+06 4.0960000000e+03 4.0960000000e+03 8.3886080000e+06 5.9316416015e+06 4.5957339037e+06 4.5947408314e+06 4.5956636418e+06 4.5956636418e+06 1.0143848447e+00 1.0143823938e+00 1.0143913670e+00 1.0143607389e+00 6.8382202323e+06 1.0000000000e+00 1.6777216000e+07 1.3369344000e+07 6.0293120000e+06 6.8383160000e+06 6.8381950000e+06 6.8382202323e+06 6.8382202323e+06 4.0773775620e+06 4.0774370000e+06 4.0773480000e+06 1 0 0 0 0 0 0 0
9 3.3718017276e+06 3.3717881965e+06 3.3717841537e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 4.1943040000e+06 3.3718713840e+06 3.3720405515e+06 3.3718017276e+06 3.3718017276e+06 9.2332342553e-01 9.2331890361e-01 9.2332769371e-01 9.2330192916e-01 3.1819247241e+06 1.6777216000e+07 1.6777216000e+07 7.7332480000e+06 3.8993920000e+06 3.1819725000e+06 3.1818845000e+06 3.1819247241e+06 3.1819247241e+06 2.3268205381e+06 2.3268570000e+06 2.3267785000e+06 0 0 0 0 0 0 0 0
