matrix=data/matrices/sts4098.mtx n=4098 seed=28
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 8.0160628537e+07 8.0160628374e+07 8.0160635072e+07 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 6.7108864000e+07 8.0161217747e+07 8.0135495643e+07 8.0160628537e+07 8.0160628537e+07 1.7224422524e+00 1.7224415112e+00 1.7224413791e+00 1.7224422070e+00 1.7225669728e+00 9.2509316650e+09 1.6777216000e+07 1.6777216000e+07 9.6636764160e+09 5.3687091200e+09 9.2509306880e+09 9.2494397440e+09 9.2509316650e+09 9.2509316650e+09 2.8235001799e+09 2.8234997760e+09 2.8233134080e+09 0 0 0 0 0 0 0 0
1 3.1572483814e+07 3.1572487701e+07 3.1572486638e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 3.3554432000e+07 3.1572575911e+07 3.1562779890e+07 3.1572483814e+07 3.1572483814e+07 1.8497927766e+00 1.8497920324e+00 1.8497921535e+00 1.8497929499e+00 1.8497805299e+00 7.1196625276e+08 1.6777216000e+07 1.6777216000e+07 6.7108864000e+08 7.7175193600e+08 7.1196620800e+08 7.1206348800e+08 7.1196625276e+08 7.1196625276e+08 2.9369162092e+08 2.9369164800e+08 2.9372544000e+08 0 0 0 0 0 0 0 0
2 1.2472498433e+07 1.2472301168e+07 1.2472303858e+07 4.0960000000e+03 4.0960000000e+03 1.1863283203e+07 3.3554432000e+07 1.2472604497e+07 1.2472690585e+07 1.2472498433e+07 1.2472498433e+07 1.4356629882e+00 1.4356641352e+00 1.4356641295e+00 1.4356638499e+00 1.4356313981e+00 1.6341375246e+08 1.6777216000e+07 1.6777216000e+07 1.7196646400e+08 3.3554432000e+08 1.6341382400e+08 1.6343308800e+08 1.6341375246e+08 1.6341375246e+08 7.8384169491e+07 7.8384192000e+07 7.8392416000e+07 0 0 0 0 0 0 0 0
3 2.0442893017e+07 2.0442771206e+07 2.0442778592e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 2.0442820447e+07 2.0434414855e+07 2.0442893017e+07 2.0442893017e+07 1.1757149605e+00 1.1757118629e+00 1.1757119776e+00 1.1757127985e+00 1.1756889232e+00 4.7505990501e+07 1.0000000000e+00 1.6777216000e+07 4.9283072000e+07 1.6777216000e+08 4.7505984000e+07 4.7511232000e+07 4.7505990501e+07 4.7505990501e+07 3.1456279826e+07 3.1456272000e+07 3.1459504000e+07 1 0 0 0 0 0 0 0
4 7.7592188051e+06 7.7591401122e+06 7.7591384905e+06 4.0960000000e+03 4.0960000000e+03 1.1863283203e+07 8.3886080000e+06 7.7591344363e+06 7.7573006286e+06 7.7592188051e+06 7.7592188051e+06 1.0373886549e+00 1.0373845837e+00 1.0373847015e+00 1.0373885906e+00 1.0373618339e+00 3.7331550265e+07 1.6777216000e+07 1.6777216000e+07 3.9845888000e+07 1.2792627200e+08 3.7331536000e+07 3.7334736000e+07 3.7331550265e+07 3.7331550265e+07 1.9886144787e+07 1.9886112000e+07 1.9887480000e+07 0 0 0 0 0 0 0 0
5 7.4172667392e+06 7.4170844259e+06 7.4170948875e+06 4.0960000000e+03 4.0960000000e+03 1.1863283203e+07 8.3886080000e+06 7.4171220311e+06 7.4151312411e+06 7.4172667392e+06 7.4172667392e+06 9.3362355201e-01 9.3361885974e-01 9.3361904496e-01 9.3362891495e-01 9.3361018158e-01 1.8130434670e+07 1.6777216000e+07 1.6777216000e+07 2.0971520000e+07 5.1380224000e+07 1.8130352000e+07 1.8131440000e+07 1.8130434670e+07 1.8130434670e+07 1.0329212715e+07 1.0329172000e+07 1.0329750000e+07 0 0 0 0 0 0 0 0
6 7.3004722289e+06 7.3004225552e+06 7.3004288750e+06 4.0960000000e+03 4.0960000000e+03 1.1863283203e+07 8.3886080000e+06 7.3002441618e+06 7.2990306261e+06 7.3004722289e+06 7.3004722289e+06 9.2766961567e-01 9.2766378081e-01 9.2766403444e-01 9.2767711944e-01 9.2765540123e-01 9.6123062259e+06 1.6777216000e+07 1.6777216000e+07 1.1534336000e+07 1.7825792000e+07 9.6122880000e+06 9.6128300000e+06 9.6123062259e+06 9.6123062259e+06 6.0335837241e+06 6.0335670000e+06 6.0338860000e+06 0 0 0 0 0 0 0 0
7 5.4565797748e+06 5.4566105446e+06 5.4566132349e+06 4.0960000000e+03 4.0960000000e+03 8.3886080000e+06 5.9316416015e+06 5.4564377845e+06 5.4547894662e+06 5.4565797748e+06 5.4565797748e+06 8.3617126116e-01 8.3616945043e-01 8.3616964772e-01 8.3617904115e-01 8.3616340908e-01 5.8398864462e+06 1.6777216000e+07 1.6777216000e+07 8.5196800000e+06 9.8304000000e+06 5.8398620000e+06 5.8401570000e+06 5.8398864462e+06 5.8398864462e+06 3.6780600589e+06 3.6780435000e+06 3.6782070000e+06 0 0 0 0 0 0 0 0
8 3.1032010159e+06 3.1030643558e+06 3.1030657075e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 5.9316416015e+06 3.1033194721e+06 3.1028220604e+06 3.1032010159e+06 3.1032010159e+06 7.3112040014e-01 7.3111970155e-01 7.3111976288e-01 7.3112762333e-01 7.3112252323e-01 3.4960267778e+06 1.6777216000e+07 1.6777216000e+07 6.1603840000e+06 7.5366400000e+06 3.4960090000e+06 3.4961720000e+06 3.4960267778e+06 3.4960267778e+06 2.3463049427e+06 2.3462915000e+06 2.3463590000e+06 0 0 0 0 0 0 0 0
9 2.9015726989e+06 2.9015043162e+06 2.9015057618e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 8.3886080000e+06 2.9016279091e+06 2.9011710951e+06 2.9015726989e+06 2.9015726989e+06 6.9959781044e-01 6.9959550771e-01 6.9959561485e-01 6.9960407054e-01 6.9959419325e-01 1.9609632900e+06 1.0000000000e+00 1.6777216000e+07 4.2598400000e+06 4.8496640000e+06 1.9609497500e+06 1.9609665000e+06 1.9609632900e+06 1.9609632900e+06 1.4974645163e+06 1.4974535000e+06 1.4974512500e+06 1 0 0 0 0 0 0 0
10 3.1143230715e+06 3.1142510165e+06 3.1142537101e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 8.3886080000e+06 3.1142424306e+06 3.1137790922e+06 3.1143230715e+06 3.1143230715e+06 6.5367257895e-01 6.5367089843e-01 6.5367105085e-01 6.5368104018e-01 6.5367216306e-01 1.8762105288e+06 1.6777216000e+07 1.0000000000e+00 5.1773440000e+06 4.0960000000e+06 1.8761960000e+06 1.8761752500e+06 1.8762105288e+06 1.8762105288e+06 1.2847620262e+06 1.2847505000e+06 1.2847247500e+06 0 1 0 0 0 0 0 0
11 2.5412813053e+06 2.5412255434e+06 2.5412262655e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 4.1943040000e+06 2.5411644740e+06 2.5409267845e+06 2.5412813053e+06 2.5412813053e+06 6.3910965307e-01 6.3910578444e-01 6.3910601887e-01 6.3912159457e-01 6.3910899479e-01 1.1650845211e+06 1.6777216000e+07 1.6777216000e+07 4.0960000000e+06 2.9818880000e+06 1.1650730000e+06 1.1650367500e+06 1.1650845211e+06 1.1650845211e+06 9.5722208128e+05 9.5721131250e+05 9.5718337500e+05 0 0 0 0 0 0 0 0
