matrix=data/matrices/bcsstk03.mtx n=112 seed=9
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.7132803455e+11 1.7132802291e+11 1.7132802291e+11 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.7136865689e+11 1.7104542116e+11 1.7132803455e+11 1.7132803455e+11 6.9698505683e+00 6.9698495890e+00 6.9698314184e+00 6.9697997393e+00 4.0748940997e+12 1.6777216000e+07 1.6777216000e+07 4.3980465111e+12 3.2985348833e+12 4.0749005537e+12 4.0749508854e+12 4.0748940997e+12 4.0748940997e+12 2.2047135081e+12 2.2047107318e+12 2.2047275090e+12 0 0 0 0 0 0 0 0
1 1.0532083894e+10 1.0532038907e+10 1.0532038489e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.0532457739e+10 1.0527325379e+10 1.0532083894e+10 1.0532083894e+10 7.3119480228e+00 7.3119474371e+00 7.3119460472e+00 7.3119426132e+00 5.8619723224e+11 1.6777216000e+07 1.6777216000e+07 4.1231686042e+11 8.2463372083e+11 5.8619382989e+11 5.8618963558e+11 5.8619723224e+11 5.8619723224e+11 3.5663118457e+11 3.5662908621e+11 3.5662803763e+11 0 0 0 0 0 0 0 0
2 8.1692706268e+09 8.1692776213e+09 8.1692778905e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 8.1696601201e+09 8.1652488562e+09 8.1692706268e+09 8.1692706268e+09 5.1998147895e+00 5.1998138311e+00 5.1998063488e+00 5.1998174976e+00 9.6774131837e+09 1.6777216000e+07 1.6777216000e+07 1.3958643712e+10 3.4359738368e+11 9.6773898240e+09 9.6774225920e+09 9.6774131837e+09 9.6774131837e+09 8.4227590117e+09 8.4227768320e+09 8.4227768320e+09 0 0 0 0 0 0 0 0
3 2.8131697755e+09 2.8131524577e+09 2.8131522623e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.8133745476e+09 2.8127741903e+09 2.8131697755e+09 2.8131697755e+09 3.9866518200e+00 3.9866511490e+00 3.9866362996e+00 3.9866460363e+00 4.4817888891e+09 1.6777216000e+07 1.6777216000e+07 7.5161927680e+09 1.2025908429e+11 4.4818350080e+09 4.4818104320e+09 4.4817888891e+09 4.4817888891e+09 4.2192137456e+09 4.2192752640e+09 4.2192486400e+09 0 0 0 0 0 0 0 0
4 4.6184483895e+09 4.6184370116e+09 4.6184358212e+09 0.0000000000e+00 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 4.6193132644e+09 4.6124835652e+09 4.6184483895e+09 4.6184483895e+09 3.3458079521e+00 3.3458076488e+00 3.3457807761e+00 3.3457891914e+00 2.1962381190e+09 1.0000000000e+00 1.6777216000e+07 4.8318382080e+09 1.7179869184e+10 2.1962813440e+09 2.1962629120e+09 2.1962381190e+09 2.1962381190e+09 2.1257442910e+09 2.1258004480e+09 2.1257809920e+09 1 0 0 0 0 0 0 0
5 1.7738796387e+09 1.7738825616e+09 1.7738821742e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.7739476429e+09 1.7734715644e+09 1.7738796387e+09 1.7738796387e+09 2.2217363857e+00 2.2217380753e+00 2.2216942338e+00 2.2217151753e+00 1.0198762453e+09 1.0000000000e+00 1.0000000000e+00 4.2949672960e+09 7.5161927680e+09 1.0199137280e+09 1.0199065600e+09 1.0198762453e+09 1.0198762453e+09 1.5534655510e+09 1.5535278080e+09 1.5535114240e+09 1 1 0 0 0 0 0 0
6 2.1543301699e+09 2.1543147671e+09 2.1543129808e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.1542886102e+09 2.1532430927e+09 2.1543301699e+09 2.1543301699e+09 2.1634293671e+00 2.1634321969e+00 2.1633884904e+00 2.1634154310e+00 8.4810991405e+08 1.0000000000e+00 1.0000000000e+00 1.2884901888e+10 2.3622320128e+10 8.4814489600e+08 8.4813004800e+08 8.4810991405e+08 8.4810991405e+08 9.5873373650e+08 9.5877990400e+08 9.5876198400e+08 1 1 0 0 0 0 0 0
7 1.4566598074e+09 1.4566726687e+09 1.4566750746e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.4573018559e+09 1.4570121051e+09 1.4566598074e+09 1.4566598074e+09 2.0464647108e+00 2.0464673681e+00 2.0463966650e+00 2.0464353669e+00 4.5354225881e+08 1.0000000000e+00 1.0000000000e+00 4.2949672960e+10 1.6106127360e+10 4.5356928000e+08 4.5356108800e+08 4.5354225881e+08 4.5354225881e+08 5.6945907916e+08 5.6949657600e+08 5.6948633600e+08 1 1 0 0 0 0 0 0
8 9.8598365040e+08 9.8595843369e+08 9.8595707458e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 9.8611646158e+08 9.8615214066e+08 9.8598365040e+08 9.8598365040e+08 1.9989149870e+00 1.9989179558e+00 1.9988356822e+00 1.9988777517e+00 3.2248420331e+08 1.0000000000e+00 1.0000000000e+00 3.8654705664e+10 1.2884901888e+10 3.2250982400e+08 3.2250393600e+08 3.2248420331e+08 3.2248420331e+08 2.8604839924e+08 2.8607513600e+08 2.8606873600e+08 1 1 0 0 0 0 0 0
9 9.3599965702e+08 9.3599373285e+08 9.3599446704e+08 0.0000000000e+00 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 9.3644823132e+08 9.3626035173e+08 9.3599965702e+08 9.3599965702e+08 1.9749458513e+00 1.9749490368e+00 1.9748529311e+00 1.9749003476e+00 1.5555739938e+08 1.0000000000e+00 1.0000000000e+00 2.4051816858e+11 2.3622320128e+10 1.5557427200e+08 1.5556985600e+08 1.5555739938e+08 1.5555739938e+08 1.4359083696e+08 1.4361196800e+08 1.4360780800e+08 1 1 0 0 0 0 0 0
