iter  pAp_true         relerr_float32     relerr_posit32     ratio(p32/f32)
   0  2.325668e+12  3.172948e-08      2.898932e-06      91.364
   1  1.092503e+13  1.921067e-08      1.900373e-06      98.923
   2  1.119065e+12  1.401477e-08      2.202379e-07      15.715
   3  9.694827e+11  2.012943e-08      8.313167e-07      41.299
   4  3.678477e+12  1.703907e-08      1.479511e-06      86.831
   5  7.691568e+11  1.459336e-08      1.207463e-06      82.741
   6  4.507106e+11  1.704319e-08      2.737687e-07      16.063
   7  4.733666e+10  3.030308e-08      2.292843e-07      7.566
   8  2.606166e+10  3.054793e-08      3.448794e-07      11.290
   9  1.840078e+09  7.995956e-10      1.383249e-07      172.994
  10  3.745566e+09  2.589578e-08      9.424325e-08      3.639
  11  9.179381e+08  2.944532e-08      4.027616e-08      1.368
  12  1.706876e+09  3.046931e-08      2.694938e-07      8.845
  13  2.925031e+08  3.119388e-08      2.499950e-07      8.014
  14  2.406826e+08  2.108123e-08      4.539637e-08      2.153
  15  3.476313e+07  3.875413e-08      7.631029e-08      1.969
  16  5.784060e+06  4.063720e-08      4.580726e-08      1.127
  17  1.406377e+06  2.557711e-08      2.557711e-08      1.000
  18  1.946455e+05  3.019478e-08      3.019478e-08      1.000
  19  5.194407e+04  5.484266e-09      5.484266e-09      1.000
  20  9.471838e+03  6.948098e-09      6.948098e-09      1.000
  21  1.983744e+03  1.973872e-08      4.354886e-09      0.221
  22  6.112423e+02  4.881910e-08      1.108032e-09      0.023
  23  8.297292e+01  1.513323e-09      1.513323e-09      1.000
  24  2.266625e+01  3.917674e-08      2.897905e-09      0.074
  25  5.100834e+00  3.510622e-08      5.040111e-11      0.001
  26  1.500122e+00  1.703822e-08      2.138265e-09      0.125
  27  1.245118e+00  3.233723e-08      2.418050e-09      0.075
  28  7.151935e-01  3.396342e-08      2.498086e-09      0.074
  29  7.061360e-01  2.349918e-08      2.396788e-09      0.102
