magnitude      posit32_relprec   float32_relprec   posit32_better
1.000e-20   3.309067e-04     8.077936e-08     float32
3.162e-20   4.185852e-04     1.021787e-07     float32
1.000e-19   1.323452e-04     6.462349e-08     float32
3.162e-19   1.674201e-04     8.174296e-08     float32
1.000e-18   1.058761e-04     1.033976e-07     float32
3.162e-18   6.696578e-05     6.539437e-08     float32
1.000e-17   8.470269e-05     8.271806e-08     float32
3.162e-17   5.357047e-05     1.046310e-07     float32
1.000e-16   3.388108e-05     6.617445e-08     float32
3.162e-16   2.142842e-05     8.370479e-08     float32
1.000e-15   2.710541e-05     1.058791e-07     float32
3.162e-15   1.714266e-05     6.696383e-08     float32
1.000e-14   1.084199e-05     8.470330e-08     float32
3.162e-14   1.371422e-05     1.071421e-07     float32
1.000e-13   4.336814e-06     6.776264e-08     float32
3.162e-13   5.485674e-06     8.571371e-08     float32
1.000e-12   3.469451e-06     1.084202e-07     float32
3.162e-12   2.194272e-06     6.857096e-08     float32
1.000e-11   2.775557e-06     8.673617e-08     float32
3.162e-11   1.755418e-06     1.097135e-07     float32
1.000e-10   1.110223e-06     6.938894e-08     float32
3.162e-10   7.021668e-07     8.777084e-08     float32
1.000e-09   8.881783e-07     1.110223e-07     float32
3.162e-09   5.617334e-07     7.021667e-08     float32
1.000e-08   3.552713e-07     8.881784e-08     float32
3.162e-08   4.493867e-07     1.123467e-07     float32
1.000e-07   1.421086e-07     7.105427e-08     float32
3.162e-07   1.797547e-07     8.987734e-08     float32
1.000e-06   1.136868e-07     1.136868e-07     float32
3.162e-06   7.190187e-08     7.190187e-08     float32
1.000e-05   9.094947e-08     9.094947e-08     float32
3.162e-05   5.752150e-08     1.150430e-07     posit32
1.000e-04   3.637979e-08     7.275958e-08     posit32
3.162e-04   2.300860e-08     9.203440e-08     posit32
1.000e-03   2.910383e-08     1.164153e-07     posit32
3.162e-03   1.840688e-08     7.362752e-08     posit32
1.000e-02   1.164153e-08     9.313226e-08     posit32
3.162e-02   1.472550e-08     1.178040e-07     posit32
1.000e-01   4.656613e-09     7.450580e-08     posit32
3.162e-01   5.890201e-09     9.424322e-08     posit32
1.000e+00   7.450581e-09     1.192093e-07     posit32
3.162e+00   4.712161e-09     7.539457e-08     posit32
1.000e+01   5.960464e-09     9.536743e-08     posit32
3.162e+01   7.539457e-09     6.031566e-08     posit32
1.000e+02   9.536743e-09     7.629395e-08     posit32
3.162e+02   2.412626e-08     9.650506e-08     posit32
1.000e+03   1.525879e-08     6.103516e-08     posit32
3.162e+03   1.930101e-08     7.720405e-08     posit32
1.000e+04   4.882813e-08     9.765625e-08     posit32
3.162e+04   3.088162e-08     6.176323e-08     posit32
1.000e+05   7.812500e-08     7.812500e-08     float32
3.162e+05   9.882117e-08     9.882117e-08     float32
1.000e+06   6.250000e-08     6.250000e-08     float32
3.162e+06   1.581139e-07     7.905694e-08     float32
1.000e+07   2.000000e-07     1.000000e-07     float32
3.162e+07   2.529822e-07     6.324555e-08     float32
1.000e+08   3.200000e-07     8.000000e-08     float32
3.162e+08   8.095429e-07     1.011929e-07     float32
1.000e+09   5.120000e-07     6.400000e-08     float32
3.162e+09   6.476344e-07     8.095431e-08     float32
1.000e+10   1.638399e-06     1.024000e-07     float32
3.162e+10   1.036215e-06     6.476345e-08     float32
1.000e+11   2.621438e-06     8.192000e-08     float32
3.162e+11   3.315892e-06     1.036215e-07     float32
1.000e+12   2.097153e-06     6.553600e-08     float32
3.162e+12   5.305434e-06     8.289721e-08     float32
1.000e+13   6.710869e-06     1.048576e-07     float32
3.162e+13   8.488676e-06     6.631777e-08     float32
1.000e+14   1.073745e-05     8.388608e-08     float32
3.162e+14   2.716358e-05     1.061084e-07     float32
1.000e+15   1.717977e-05     6.710886e-08     float32
3.162e+15   2.173110e-05     8.488675e-08     float32
1.000e+16   5.497526e-05     1.073742e-07     float32
3.162e+16   3.476931e-05     6.790940e-08     float32
1.000e+17   8.795848e-05     8.589935e-08     float32
3.162e+17   1.112595e-04     1.086550e-07     float32
1.000e+18   7.036802e-05     6.871948e-08     float32
3.162e+18   1.780310e-04     8.692403e-08     float32
1.000e+19   2.251745e-04     1.099512e-07     float32
3.162e+19   2.848191e-04     6.953922e-08     float32
1.000e+20   3.602305e-04     8.796093e-08     float32
