iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
   0  9.979687e-15  2.126576e+01  1.721506e-14  2.126600e+01  69.98  3.911906e+02  3.911953e+02
   1  6.265903e-12  1.278576e+01  6.304672e-12  1.278622e+01  57.99  3.488067e+02  3.488094e+02
   2  1.637711e-11  1.418797e+01  1.100158e-11  1.418900e+01  52.04  6.853100e+02  6.853443e+02
   3  9.699303e-11  1.119252e+01  9.662884e-11  1.119361e+01  50.11  5.784355e+02  5.784835e+02
   4  5.476156e-11  1.308841e+01  5.539940e-11  1.309020e+01  45.84  3.845090e+02  3.845560e+02
   5  1.820582e-10  1.398184e+01  1.817857e-10  1.398440e+01  43.25  6.852643e+02  6.853629e+02
   6  7.361390e-10  2.182771e+01  7.163423e-10  2.183251e+01  38.44  5.178181e+02  5.179155e+02
   7  3.290858e-10  1.264760e+01  3.127402e-10  1.265101e+01  37.98  9.024379e+02  9.026483e+02
   8  8.010179e-11  1.943269e+01  7.964076e-11  1.943903e+01  36.30  4.962467e+02  4.963840e+02
   9  5.152813e-12  5.984481e+00  6.671382e-12  5.986519e+00  36.50  5.541875e+02  5.543759e+02
  10  3.169310e-10  1.172914e+01  3.170612e-10  1.173398e+01  33.87  3.641700e+02  3.643100e+02
  11  1.266379e-10  5.862466e+00  1.162506e-10  5.865223e+00  32.36  4.514089e+02  4.516003e+02
  12  9.407242e-10  8.389515e+00  9.579664e-10  8.393644e+00  31.76  4.781998e+02  4.784327e+02
  13  3.459277e-10  5.380458e+00  3.619868e-10  5.383262e+00  28.49  3.762581e+02  3.764537e+02
  14  3.263792e-10  6.505770e+00  3.019209e-10  6.509406e+00  27.53  4.783953e+02  4.786635e+02
  15  2.141948e-10  9.739302e+00  2.102395e-10  9.745786e+00  23.43  4.228495e+02  4.231066e+02
  16  1.349036e-09  1.232424e+01  1.339284e-09  1.233248e+01  19.87  5.502200e+02  5.505679e+02
  17  2.462256e-09  1.738279e+01  2.467350e-09  1.739346e+01  15.88  5.416495e+02  5.420057e+02
  18  1.174786e-09  3.051940e+01  1.158437e-09  3.054125e+01  12.14  9.665541e+02  9.672150e+02
  19  1.216308e-09  4.162996e+01  1.316911e-09  4.166109e+01  10.09  1.151864e+03  1.152698e+03
  20  4.306534e-09  3.942832e+01  4.293366e-09  3.946130e+01  8.77  1.393893e+03  1.394939e+03
  21  1.460795e-08  3.640172e+01  1.457010e-08  3.643083e+01  8.37  1.304372e+03  1.305389e+03
  22  1.173111e-09  4.574017e+01  4.123577e-10  4.577960e+01  8.25  1.508911e+03  1.510151e+03
  23  1.185599e-08  3.910973e+01  1.191704e-08  3.914347e+01  7.52  1.111711e+03  1.112650e+03
  24  9.243058e-10  5.178858e+01  1.992260e-09  5.183574e+01  7.35  1.537494e+03  1.538825e+03
  25  2.701192e-08  5.589092e+01  2.527953e-08  5.593589e+01  6.56  1.315208e+03  1.316378e+03
  26  1.896777e-09  4.735952e+01  1.989206e-09  4.740017e+01  6.90  1.779052e+03  1.780680e+03
  27  1.163109e-09  3.576520e+01  1.156576e-09  3.579966e+01  6.71  1.280069e+03  1.281273e+03
  28  1.828543e-09  5.851379e+01  1.818253e-09  5.857426e+01  6.03  1.360170e+03  1.361464e+03
  29  8.376954e-09  3.610014e+01  2.541001e-08  3.613899e+01  5.92  1.404052e+03  1.405440e+03
  30  7.848875e-09  5.646006e+01  7.893672e-09  5.652053e+01  6.11  1.405569e+03  1.406997e+03
