iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
   0  1.638854e-12  2.428621e+01  1.629457e-12  2.428636e+01  90.48  7.663142e+01  7.663197e+01
   1  2.308455e-12  1.603075e+01  2.332018e-12  1.603108e+01  88.05  9.436008e+01  9.436142e+01
   2  1.090687e-12  9.277160e+00  1.096453e-12  9.277925e+00  79.66  5.349025e+01  5.349211e+01
   3  1.329143e-12  2.381182e+01  1.329347e-12  2.381307e+01  75.81  1.409110e+02  1.409187e+02
   4  3.879644e-12  1.135526e+01  3.882790e-12  1.135609e+01  74.33  1.697214e+02  1.697339e+02
   5  9.443468e-14  4.407742e+00  9.936868e-14  4.408027e+00  75.40  8.970594e+01  8.971393e+01
   6  2.087183e-12  3.396571e+00  2.086604e-12  3.396924e+00  77.22  5.237279e+01  5.237799e+01
   7  7.137561e-13  6.918936e+00  7.171364e-13  6.919680e+00  77.44  3.755370e+01  3.755815e+01
   8  5.259861e-13  7.682396e+00  5.291592e-13  7.683297e+00  77.10  2.599019e+01  2.599373e+01
   9  3.297087e-13  6.086753e+00  2.210136e-13  6.087634e+00  75.63  2.637782e+01  2.638189e+01
  10  1.756789e-12  5.010169e+00  1.711727e-12  5.010830e+00  74.34  2.567719e+01  2.568144e+01
