iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
   0  6.831016e-07  1.676100e-01  4.635222e-07  1.676125e-01  0.09  3.754391e+03  3.754386e+03
   1  1.106581e-09  1.391503e-02  4.268037e-10  1.391540e-02  45.89  4.460426e+00  4.460380e+00
   2  1.583120e-10  1.911356e-03  1.775649e-10  1.911401e-03  92.74  4.970647e-01  4.970578e-01
   3  1.173819e-10  2.834095e-03  1.792627e-10  2.834249e-03  91.91  2.466079e-01  2.466063e-01
   4  1.985904e-12  2.253885e-03  1.658456e-12  2.253996e-03  89.27  2.680024e-01  2.680046e-01
   5  5.800702e-12  1.463417e-03  7.654844e-12  1.463459e-03  86.69  3.219771e-01  3.219858e-01
   6  3.076740e-11  1.011304e-03  2.524212e-12  1.011377e-03  86.26  2.294889e-01  2.294944e-01
   7  1.090522e-11  1.011377e-03  8.635698e-13  1.011495e-03  86.03  2.234576e-01  2.234639e-01
   8  9.148803e-11  5.663571e-04  7.257820e-11  5.664298e-04  85.26  1.849247e-01  1.849309e-01
   9  6.492127e-11  4.939022e-04  5.048686e-11  4.939790e-04  86.49  1.389430e-01  1.389486e-01
  10  6.294700e-11  3.335965e-04  3.732531e-11  3.336239e-04  89.26  1.131607e-01  1.131653e-01
  11  5.729197e-12  2.476138e-04  6.436639e-12  2.476305e-04  93.50  7.886866e-02  7.887139e-02
  12  1.961034e-11  1.888037e-04  3.327108e-11  1.888329e-04  96.62  6.368046e-02  6.368233e-02
  13  1.613264e-11  1.475567e-04  1.129569e-11  1.475802e-04  97.98  4.581193e-02  4.581392e-02
  14  2.156533e-11  8.720810e-05  2.572700e-11  8.721364e-05  98.35  3.447884e-02  3.448023e-02
  15  3.489113e-12  8.876171e-05  3.271841e-12  8.876958e-05  98.62  3.022270e-02  3.022397e-02
  16  7.921978e-12  8.644875e-05  6.192614e-12  8.645425e-05  98.77  2.386307e-02  2.386422e-02
  17  3.404355e-12  6.946388e-05  2.973264e-12  6.946789e-05  99.10  2.244934e-02  2.245027e-02
  18  3.202092e-12  5.779718e-05  1.516109e-12  5.779239e-05  99.41  2.232180e-02  2.232281e-02
  19  8.618700e-14  4.127448e-05  8.885301e-14  4.127844e-05  99.71  1.969745e-02  1.969852e-02
  20  1.793231e-12  6.756372e-05  2.741018e-12  6.756962e-05  99.90  1.575531e-02  1.575593e-02
  21  1.017884e-12  5.969862e-05  9.878454e-13  5.970268e-05  99.99  1.136748e-02  1.136786e-02
  22  8.227841e-13  1.860519e-05  1.506021e-14  1.860283e-05  100.00  8.320231e-03  8.320471e-03
  23  5.552414e-13  1.602044e-05  1.572494e-12  1.602077e-05  100.00  5.807073e-03  5.807288e-03
  24  3.647549e-12  1.522618e-05  8.007883e-13  1.522631e-05  100.00  4.972090e-03  4.972263e-03
  25  7.205895e-13  2.783133e-05  2.401633e-13  2.783403e-05  100.00  5.208080e-03  5.208199e-03
  26  2.625342e-13  9.046080e-06  5.630659e-13  9.046642e-06  100.00  4.750498e-03  4.750673e-03
  27  2.134928e-14  1.188321e-05  3.715969e-14  1.188453e-05  100.00  3.356219e-03  3.356356e-03
  28  3.936825e-13  7.306062e-06  1.116532e-12  7.307171e-06  100.00  2.519859e-03  2.519995e-03
  29  1.200731e-14  8.054212e-06  4.058772e-16  8.055432e-06  100.00  2.421696e-03  2.421809e-03
  30  5.562979e-13  5.040273e-06  1.835873e-14  5.039884e-06  100.00  1.800609e-03  1.800700e-03
