iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
  15  1.680519e-04  1.662676e+06  4.605531e-05  1.657992e+06  0.40  3.476140e+07  3.465408e+07
  16  5.223464e-05  6.334940e+05  4.601425e-05  6.329379e+05  0.10  5.783919e+06  5.779045e+06
  17  1.989038e-05  7.457830e+04  1.477556e-05  7.469965e+04  0.04  1.406669e+06  1.407679e+06
  18  8.924579e-06  2.057334e+04  7.983232e-06  2.119612e+04  0.15  1.957602e+05  1.960780e+05
  19  3.571258e-07  2.949323e+03  2.553200e-06  2.802415e+03  0.12  5.304653e+04  5.449665e+04
  20  3.951917e-06  7.777162e+02  5.339643e-06  2.280210e+03  0.23  1.275977e+04  1.182023e+04
  21  1.633013e-06  3.083329e+02  9.540304e-07  2.838076e+03  0.27  2.839000e+03  4.699439e+03
  22  2.543402e-07  5.966137e+01  1.445108e-07  7.071858e+03  0.38  1.350443e+03  6.409882e+03
  23  1.867961e-09  1.429357e+01  2.143498e-07  7.072768e+03  0.40  1.660798e+02  4.838797e+03
  24  1.517094e-09  2.108271e+00  5.896134e-07  2.654402e+03  0.27  4.852567e+01  1.057079e+04
  25  6.038973e-10  8.264416e-01  1.945575e-07  2.354043e+02  2.88  1.028063e+01  4.724424e+03
