iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
   0  1.609507e-01  3.260535e+12  1.618250e-01  3.260642e+12  23.60  2.325659e+12  2.325607e+12
   1  3.817992e-02  2.355648e+12  3.804581e-02  2.355747e+12  21.56  1.092505e+13  1.092593e+13
   2  3.484022e-01  4.499338e+11  2.137827e-01  4.499673e+11  22.81  1.119032e+12  1.118587e+12
   3  6.441127e-01  4.884582e+11  6.430939e-01  4.885662e+11  28.44  9.694880e+11  9.698279e+11
   4  2.818107e-03  4.820034e+11  3.131915e-03  4.815356e+11  25.85  3.678436e+12  3.678556e+12
   5  1.109425e-01  5.825160e+10  1.111527e-01  5.829135e+10  20.79  7.691589e+11  7.693968e+11
   6  2.257484e-02  2.583337e+10  2.278686e-02  2.581681e+10  24.04  4.507056e+11  4.505584e+11
   7  2.302814e-02  5.509677e+09  2.051567e-02  5.500094e+09  18.88  4.733585e+10  4.731548e+10
   8  5.793390e-02  1.205977e+09  5.803285e-02  1.207655e+09  5.98  2.606031e+10  2.605508e+10
   9  3.007047e-02  3.652916e+08  4.570334e-03  3.647358e+08  2.31  1.840031e+09  1.839363e+09
  10  1.503932e-02  4.471344e+08  1.105802e-02  4.460460e+08  1.73  3.745431e+09  3.744250e+09
  11  2.823921e-04  2.547800e+08  3.297221e-05  2.539164e+08  1.65  9.179096e+08  9.172265e+08
  12  2.424572e-03  1.339259e+08  5.139268e-03  1.333452e+08  1.29  1.706766e+09  1.706908e+09
  13  5.971332e-03  4.037529e+07  5.476998e-03  3.334828e+07  1.12  2.924718e+08  2.939663e+08
  14  1.241817e-03  1.084905e+07  9.579668e-04  9.027432e+06  0.83  2.406595e+08  2.411197e+08
  15  1.680519e-04  1.662676e+06  4.605531e-05  1.657992e+06  0.40  3.476140e+07  3.465408e+07
  16  5.223464e-05  6.334940e+05  4.601425e-05  6.329379e+05  0.10  5.783919e+06  5.779045e+06
  17  1.989038e-05  7.457830e+04  1.477556e-05  7.469965e+04  0.04  1.406669e+06  1.407679e+06
  18  8.924579e-06  2.057334e+04  7.983232e-06  2.119612e+04  0.15  1.957602e+05  1.960780e+05
  19  3.571258e-07  2.949323e+03  2.553200e-06  2.802415e+03  0.12  5.304653e+04  5.449665e+04
  20  3.951917e-06  7.777162e+02  5.339643e-06  2.280210e+03  0.23  1.275977e+04  1.182023e+04
  21  1.633013e-06  3.083329e+02  9.540304e-07  2.838076e+03  0.27  2.839000e+03  4.699439e+03
  22  2.543402e-07  5.966137e+01  1.445108e-07  7.071858e+03  0.38  1.350443e+03  6.409882e+03
  23  1.867961e-09  1.429357e+01  2.143498e-07  7.072768e+03  0.40  1.660798e+02  4.838797e+03
  24  1.517094e-09  2.108271e+00  5.896134e-07  2.654402e+03  0.27  4.852567e+01  1.057079e+04
  25  6.038973e-10  8.264416e-01  1.945575e-07  2.354043e+02  2.88  1.028063e+01  4.724424e+03
  26  7.757296e-11  4.392113e-01  2.263513e-07  8.291150e+01  7.12  3.052006e+00  1.925307e+03
  27  5.423991e-10  2.330791e-01  1.762250e-07  4.784097e+01  14.33  1.260285e+00  7.921133e+02
  28  5.213435e-10  1.507440e-01  8.665868e-10  1.812078e+01  22.71  1.826837e+00  2.592569e+02
  29  3.902722e-10  2.036886e-01  2.689757e-09  4.144543e+00  30.08  1.202583e+00  3.407864e+01
  30  7.533208e-11  6.595111e-02  2.746589e-09  1.081368e+00  58.56  1.630214e+00  1.722573e+01
