iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
   0  8.433492e-13  1.163137e-03  9.575511e-13  1.163132e-03  67.47  1.187045e+00  1.187050e+00
   1  1.472314e-10  1.583162e-03  1.437058e-10  1.583136e-03  77.61  6.114976e-02  6.114922e-02
   2  1.256828e-09  7.080832e-03  1.258413e-09  7.080704e-03  63.95  3.588689e-01  3.588630e-01
   3  3.975089e-12  9.232453e-03  2.413450e-12  9.232256e-03  54.06  4.888860e-01  4.888781e-01
   4  5.799256e-10  9.509257e-03  5.800606e-10  9.509145e-03  61.25  5.457816e-01  5.457733e-01
   5  8.758704e-11  8.386581e-03  8.899578e-11  8.386492e-03  61.97  4.849893e-01  4.849861e-01
   6  8.654698e-10  7.288610e-03  8.723151e-10  7.288472e-03  63.61  1.990139e-01  1.990116e-01
   7  6.593656e-10  1.200049e-02  5.446679e-10  1.200027e-02  50.34  2.325298e-01  2.325258e-01
   8  3.357322e-09  1.650847e-02  2.761297e-09  1.650825e-02  43.28  5.616353e-01  5.616243e-01
   9  2.872097e-10  1.482509e-02  2.771315e-10  1.482452e-02  35.78  7.032015e-01  7.031910e-01
  10  5.318241e-09  3.224969e-02  5.314872e-09  3.224943e-02  39.84  7.345585e-01  7.345478e-01
  11  2.580368e-09  2.296921e-02  2.576017e-09  2.296897e-02  39.99  6.136528e-01  6.136473e-01
  12  8.081628e-10  9.393005e-03  8.074138e-10  9.392918e-03  44.15  4.104346e-01  4.104292e-01
  13  4.335430e-09  9.778967e-03  4.349146e-09  9.778722e-03  41.14  4.513877e-01  4.513831e-01
  14  7.148761e-10  9.755111e-03  7.148192e-10  9.754907e-03  40.52  6.233798e-01  6.233717e-01
  15  4.992898e-10  8.610099e-03  5.070105e-10  8.609849e-03  42.11  5.302396e-01  5.302330e-01
  16  2.333667e-10  7.717119e-03  3.119250e-10  7.716958e-03  52.13  4.027192e-01  4.027155e-01
  17  1.792924e-10  6.517935e-03  6.403256e-11  6.518112e-03  51.04  2.253164e-01  2.253152e-01
  18  6.972984e-10  1.519539e-02  6.957212e-10  1.519612e-02  52.06  3.359594e-01  3.359599e-01
  19  1.086812e-09  1.222378e-02  1.088381e-09  1.222411e-02  44.66  3.254959e-01  3.254954e-01
  20  1.629986e-10  1.688152e-02  1.568022e-10  1.688185e-02  46.53  4.238420e-01  4.238399e-01
  21  1.048421e-09  1.189857e-02  1.021438e-09  1.189830e-02  41.28  3.243872e-01  3.243834e-01
  22  1.009270e-09  9.372641e-03  1.014301e-09  9.372838e-03  42.90  3.619746e-01  3.619718e-01
  23  2.019924e-10  7.570892e-03  2.094132e-10  7.570812e-03  43.58  3.821098e-01  3.821078e-01
  24  3.632914e-10  5.332251e-03  3.548058e-10  5.332338e-03  44.79  2.942744e-01  2.942743e-01
  25  2.461193e-09  6.359130e-03  2.462422e-09  6.359230e-03  43.56  4.015003e-01  4.015028e-01
  26  2.521174e-09  4.504263e-03  2.549597e-09  4.504881e-03  43.09  2.524574e-01  2.524590e-01
  27  1.589770e-09  9.439777e-03  1.530684e-09  9.351576e-03  39.12  3.102358e-01  3.102380e-01
  28  1.430516e-09  2.385339e-02  1.409531e-09  2.363485e-02  34.63  4.516029e-01  4.516041e-01
  29  2.512657e-09  2.606129e-02  2.500357e-09  2.577559e-02  34.48  4.651147e-01  4.651158e-01
  30  9.720369e-10  4.601240e-02  9.745759e-10  4.557162e-02  33.80  6.378280e-01  6.378297e-01
